Date,Portfolio_Value,Daily_Return,Drawdown
2025-01-01,99900.4005,-0.0009959949999999663,-0.0009959949999999663
2025-01-02,100675.9005,0.007762731641901675,0.0
2025-01-03,100956.4005,0.002786168274700458,0.0
2025-01-06,99399.9005,-0.015417546508108716,-0.015417546508108716
2025-01-07,100598.9005,0.012062386319994354,-0.003541132590201648
2025-01-08,99553.9005,-0.010387787488790694,-0.013892135546175697
2025-01-09,98305.4005,-0.012540945093356739,-0.026258860130418376
2025-01-10,99311.9005,0.010238501596868017,-0.016289209914927584
2025-01-13,97513.4005,-0.018109612150660634,-0.034103830791788185
2025-01-14,99966.4005,0.025155516958922992,-0.009806213326712257
2025-01-15,99746.4005,-0.002200739437447285,-0.011985371843759425
2025-01-16,100048.9005,0.003032690888930874,-0.008989028882819569
2025-01-17,100246.9005,0.0019790322433378463,-0.007027786217477117
2025-01-20,101412.9005,0.011631282305830493,0.0
2025-01-21,102254.4005,0.008297760894828168,0.0
2025-01-22,101434.9005,-0.008014325016750746,-0.008014325016750746
2025-01-23,102589.9005,0.011386613427002869,0.0
2025-01-24,102870.4005,0.0027341872702176953,0.0
2025-01-27,101429.4005,-0.01400791668931045,-0.01400791668931045
2025-01-28,101077.4005,-0.0034703941684048503,-0.017429697865325215
2025-01-29,103436.9005,0.02334349704610775,0.0
2025-01-30,104894.4005,0.014090716107642842,0.0
2025-01-31,104250.9005,-0.006134741196218572,-0.006134741196218572
2025-02-01,103068.4005,-0.011342827681378157,-0.01740798356533817
2025-02-03,103035.4005,-0.0003201757264099582,-0.017722585677964763
2025-02-04,104168.4005,0.010996220663013777,-0.006921246477785055
2025-02-05,104789.9005,0.005966300692118239,-0.0009962400233175458
2025-02-06,104624.9005,-0.0015745792219737816,-0.002569250586450513
2025-02-07,108183.4005,0.0340119797772233,0.0
2025-02-10,105807.4005,-0.02196270397324033,-0.02196270397324033
2025-02-11,105295.9005,-0.004834255426207168,-0.02669078607859068
2025-02-12,105504.9005,0.001984882592841304,-0.02475888156242602
2025-02-13,106978.9005,0.013970915028728926,-0.011133870764212113
2025-02-14,106406.9005,-0.005346848746122606,-0.0164211883873996
2025-02-17,107391.4005,0.00925221950243725,-0.0073209013244134435
2025-02-18,107968.9005,0.005377525549636537,-0.001982744108695308
2025-02-19,107809.4005,-0.0014772772461455232,-0.003457092292084126
2025-02-20,108227.4005,0.0038772129152132703,0.0
2025-02-21,108309.9005,0.0007622838543553487,0.0
2025-02-24,106648.9005,-0.015335624835146071,-0.015335624835146071
2025-02-25,105763.4005,-0.008302945420426533,-0.02351123939957825
2025-02-27,107550.9005,0.01690093162237158,-0.007007669626656152
2025-02-28,104877.9005,-0.02485334839200161,-0.03168685396401043
2025-03-03,107666.4005,0.0265880608470037,-0.005941285118251955
2025-03-04,107451.9005,-0.0019922649870699445,-0.007921713491002607
2025-03-05,110597.9005,0.02927821644252816,0.0
2025-03-06,111521.9005,0.00835458897341365,0.0
2025-03-07,111527.4005,4.931766742981572e-05,0.0
2025-03-10,111785.9005,0.0023178160599197323,0.0
2025-03-11,112352.4005,0.005067723187505207,0.0
2025-03-12,111444.9005,-0.008077264001137207,-0.008077264001137207
2025-03-13,110432.9005,-0.009080720566482986,-0.017084637190284153
2025-03-17,110927.9005,0.004482359856155367,-0.012678856826027495
2025-03-18,112286.4005,0.012246693517831432,-0.0005874373819008878
2025-03-19,113969.40049999999,0.014988458019009929,0.0
2025-03-20,115828.4005,0.016311395794347577,0.0
2025-03-21,116757.9005,0.008024802172762456,0.0
2025-03-24,117049.40049999999,0.0024966190617652074,0.0
2025-03-25,117087.9005,0.00032892094991989775,0.0
2025-03-26,116510.4005,-0.00493219194753603,-0.00493219194753603
2025-03-27,116873.4005,0.003115601683988718,-0.0018319570090848114
