Date,Portfolio_Value,Daily_Return,Drawdown
2025-01-02,100001.30325999999,1.3032599999860395e-05,0.0
2025-01-03,100001.48326,1.7999765417013929e-06,0.0
2025-01-06,99995.30325999999,-6.179908335899184e-05,-6.179908335899184e-05
2025-01-07,99996.50326,1.2000563635388906e-05,-4.9799261347435394e-05
2025-01-08,99995.76325999999,-7.400258767860826e-06,-5.71991515878758e-05
2025-01-09,99993.05325999999,-2.71011482052505e-05,-8.429874963044191e-05
2025-01-10,99990.55325999999,-2.5001736805651376e-05,-0.00010929837882094198
2025-01-13,99986.05325999999,-4.500425143462198e-05,-0.00015429771136384212
2025-01-14,99990.05325999999,4.000557947415476e-05,-0.000114298304659042
2025-01-15,99989.65325999999,-4.000397909120778e-06,-0.0001182982453294638
2025-01-16,99990.93325999999,1.2801324519752975e-05,-0.0001054984351839394
2025-01-17,99993.40325999999,2.4702239687858318e-05,-8.07988015437137e-05
2025-01-20,99994.78326,1.3800910410223963e-05,-6.699900623051109e-05
2025-01-21,99992.82325999999,-1.9601022534446993e-05,-8.659871551592717e-05
2025-01-22,99992.04325999999,-7.800559825885608e-06,-9.439859982335155e-05
2025-01-23,99993.49325999999,1.4501153819077281e-05,-7.98988148928906e-05
2025-01-24,99992.86326,-6.300409951195506e-06,-8.619872144879768e-05
2025-01-27,99989.49325999999,-3.370240525313562e-05,-0.00011989822159769073
2025-01-28,99991.74325999999,2.250236426490717e-05,-9.739855532624066e-05
2025-01-29,99993.92326,2.1801800118026738e-05,-7.559887867204893e-05
2025-01-30,99994.24325999999,3.2001944674216096e-06,-7.239892613574059e-05
2025-01-31,99997.74325999999,3.500201497499688e-05,-3.739944526904049e-05
2025-02-01,99994.30863999999,-3.434697512192633e-05,-7.174513583315058e-05
2025-02-03,99992.00863999999,-2.300130908733398e-05,-9.474479468843975e-05
2025-02-04,99995.20863999998,3.20025574395451e-05,-6.274526932462877e-05
2025-02-05,99997.16863999999,1.9600939151622168e-05,-4.3145560039212685e-05
2025-02-06,99993.44863999999,-3.720105329575424e-05,-8.034500827468843e-05
2025-02-07,100004.98863999998,0.00011540756076470891,0.0
2025-02-10,99996.44863999999,-8.539573991389635e-05,-8.539573991389635e-05
2025-02-11,99988.58863999999,-7.860279146810091e-05,-0.00016399181903846053
2025-02-12,99992.92863999998,4.340495309542063e-05,-0.00012059398400025331
2025-02-13,100000.86863999999,7.940561505692419e-05,-4.119794478280083e-05
2025-02-14,99997.30863999999,-3.559969076682285e-05,-7.679616891552918e-05
2025-02-17,99996.94863999999,-3.600096891573522e-06,-8.039598933345371e-05
2025-02-18,99997.44863999999,5.000152572655542e-06,-7.539623875301106e-05
2025-02-19,99999.88863999999,2.4400622547746722e-05,-5.099745592042767e-05
2025-02-20,100004.44863999999,4.560005078019327e-05,-5.399730626814031e-06
2025-02-21,100009.88863999999,5.4397580047518265e-05,0.0
2025-02-24,100003.66863999999,-6.219384987409546e-05,-6.219384987409546e-05
2025-02-25,100002.50863999999,-1.1599574453406698e-05,-7.379270290531e-05
2025-02-27,100005.74863999999,3.239918722108209e-05,-4.1395906507824886e-05
2025-02-28,100002.76863999998,-2.9798287003858757e-05,-7.119295998458074e-05
2025-03-03,100005.50863999999,2.7399241413694916e-05,-4.3795669203983396e-05
2025-03-04,100007.04863999998,1.539915171610488e-05,-2.83971919040331e-05
2025-03-05,100020.56863999998,0.000135190470910432,0.0
2025-03-06,100033.44253999999,0.00012871252558403735,0.0
2025-03-07,100037.77209999999,4.3281125692211035e-05,0.0
2025-03-10,100035.07053999999,-2.700539949351128e-05,-2.700539949351128e-05
2025-03-11,100033.71948999999,-1.3505763455799785e-05,-4.051079822077347e-05
2025-03-12,100032.21873999998,-1.5002441253387002e-05,-5.551263171329004e-05
2025-03-13,100033.22843999998,1.0093747921551541e-05,-4.5419444122249475e-05
