Company,Episode,Total_Reward,Final_Portfolio_Value,Number_of_Trades,Epsilon
RELI,1,-0.026767804036224162,101729.16802000014,1554,0.995
RELI,2,0.3631559687682726,140317.33750999987,1642,0.990025
RELI,3,0.09753776256680863,113114.56958000002,1594,0.985074875
RELI,4,0.25662821724395285,130427.04059000005,1636,0.9801495006250001
RELI,5,0.19366247366038794,122908.9682199999,1557,0.9752487531218751
RELI,6,-0.03416846868234822,104637.04181999994,1581,0.9703725093562657
RELI,7,0.08697202891911297,111600.98895000004,1600,0.9655206468094844
RELI,8,0.08706372865634521,113069.83857000037,1566,0.960693043575437
RELI,9,0.2712437524168374,130686.45772000036,1615,0.9558895783575597
RELI,10,0.28903648307031726,131973.30252000023,1600,0.9511101304657719
RELI,11,0.10332458914758993,117694.84993000019,1613,0.946354579813443
RELI,12,0.06447429889942871,109055.20206999993,1608,0.9416228069143757
RELI,13,-0.02733223230815941,107042.32747000016,1516,0.9369146928798039
RELI,14,0.2643647702390343,130026.09517999992,1615,0.9322301194154049
RELI,15,0.14927083281693088,120398.57799000022,1599,0.9275689688183278
RELI,16,0.026215072595925027,106426.46094000028,1577,0.9229311239742362
RELI,17,0.012271722961864205,107091.80845000001,1584,0.918316468354365
RELI,18,-0.039668908234866164,98829.31905999989,1587,0.9137248860125932
RELI,19,0.1272321933322155,114681.2307300002,1581,0.9091562615825302
RELI,20,0.23695154885041952,126262.5917600001,1636,0.9046104802746175
