Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-10,ADELc1_NS,Expected SARSA,BUY,2382.05,1,97615.56795,99844.41795,-0.0015558204999999725,1
2025-01-13,ADELc1_NS,Expected SARSA,SELL,2228.85,0,99842.1891,99842.1891,-2.232323094031829e-05,0
2025-02-10,ADELc1_NS,Expected SARSA,BUY,2299.8,1,97540.0893,99869.0393,0.0002689263951645544,1
2025-02-11,ADELc1_NS,Expected SARSA,SELL,2328.95,0,99866.71035000001,99866.71035000001,-2.3320040087694422e-05,0
2025-02-13,ADELc1_NS,Expected SARSA,BUY,2251.9,1,97612.55845000001,99770.90845000002,-0.0009592976444726888,1
2025-02-14,ADELc1_NS,Expected SARSA,SELL,2158.35,0,99768.7501,99768.7501,-2.163305951147158e-05,0
2025-02-17,ADELc1_NS,Expected SARSA,BUY,2231.4,1,97535.1187,99754.71870000001,-0.00014063922807420809,1
2025-02-18,ADELc1_NS,Expected SARSA,SELL,2219.6,0,99752.4991,99752.4991,-2.2250576503417763e-05,0
2025-02-19,ADELc1_NS,Expected SARSA,BUY,2187.35,1,97562.96175,99746.61175,-5.9019573976813946e-05,1
2025-02-20,ADELc1_NS,Expected SARSA,SELL,2183.65,0,99744.4281,99744.4281,-2.18919716838578e-05,0
2025-02-21,ADELc1_NS,Expected SARSA,BUY,2136.8,1,97605.49130000001,99720.4413,-0.00024048260596522248,1
2025-02-24,ADELc1_NS,Expected SARSA,SELL,2114.95,0,99718.32635,99718.32635,-2.120879102049124e-05,0
2025-02-25,ADELc1_NS,Expected SARSA,BUY,2128.7,1,97587.49765,99698.39765,-0.0001998499245771189,1
2025-02-27,ADELc1_NS,Expected SARSA,SELL,2110.9,0,99696.28675,99696.28675,-2.117285783679467e-05,0
2025-03-03,ADELc1_NS,Expected SARSA,BUY,2129.45,1,97564.7073,99720.35729999999,0.00024143878157016166,1
2025-03-04,ADELc1_NS,Expected SARSA,SELL,2155.65,0,99718.20164999999,99718.20164999999,-2.161695022326806e-05,0
2025-03-18,ADELc1_NS,Expected SARSA,BUY,2316.35,1,97399.53529999999,99725.03529999999,6.852961532525281e-05,1
2025-03-19,ADELc1_NS,Expected SARSA,SELL,2325.5,0,99722.70979999998,99722.70979999998,-2.3319119346616934e-05,0
2025-03-20,ADELc1_NS,Expected SARSA,BUY,2341.3,1,97379.06849999998,99743.21849999997,0.00020565726744813372,1
2025-03-21,ADELc1_NS,Expected SARSA,SELL,2364.15,0,99740.85434999998,99740.85434999998,-2.3702363283915592e-05,0
2025-03-24,ADELc1_NS,Expected SARSA,BUY,2373.4,1,97365.08094999997,99684.83094999997,-0.0005616895941497969,1
2025-03-25,ADELc1_NS,Expected SARSA,SELL,2319.75,0,99682.51119999998,99682.51119999998,-2.327084249316381e-05,0
2025-04-03,ADELc1_NS,Expected SARSA,BUY,2421.4,1,97258.68979999998,99595.68979999998,-0.0008709792616059289,1
2025-04-04,ADELc1_NS,Expected SARSA,SELL,2337.0,0,99593.35279999998,99593.35279999998,-2.3464870866324727e-05,0
2025-04-07,ADELc1_NS,Expected SARSA,BUY,2217.2,1,97373.93559999998,99662.33559999998,0.000692644619952969,1
