Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ADELc1_NS,SARSA,BUY,2567.95,1,97429.48205,100040.73205,0.0004073205000000598,1
2025-01-02,ADELc1_NS,SARSA,SELL,2611.25,0,100038.1208,100038.1208,-2.6101868174021883e-05,0
2025-01-03,ADELc1_NS,SARSA,BUY,2579.05,1,97456.49175,99944.29175,-0.0009379329524550632,1
2025-01-06,ADELc1_NS,SARSA,SELL,2487.8,0,99941.80395,99941.80395,-2.4891866823425737e-05,0
2025-01-07,ADELc1_NS,SARSA,BUY,2530.1,1,97409.17385,99931.77385000001,-0.00010035940520952577,1
2025-01-08,ADELc1_NS,SARSA,SELL,2522.6,0,99929.25125,99929.25125,-2.5243222478944842e-05,0
2025-01-09,ADELc1_NS,SARSA,BUY,2493.0,1,97433.75825,99815.80825,-0.0011352331632725938,1
2025-01-10,ADELc1_NS,SARSA,SELL,2382.05,0,99813.4262,99813.4262,-2.386445635979873e-05,0
2025-01-13,ADELc1_NS,SARSA,BUY,2228.85,1,97582.34735,99972.64735,0.0015951877023133144,1
2025-01-14,ADELc1_NS,SARSA,BUY,2390.3,2,95189.65705,99968.35704999999,-4.291473831824907e-05,1
2025-01-15,ADELc1_NS,SARSA,BUY,2389.35,3,92797.91769999999,100111.7677,0.001434560437241929,1
2025-01-16,ADELc1_NS,SARSA,BUY,2437.95,4,90357.52974999999,99988.72974999998,-0.0012290058684081416,1
2025-01-17,ADELc1_NS,SARSA,BUY,2407.8,5,87947.32194999998,100196.32194999998,0.002076155987970226,1
2025-01-20,ADELc1_NS,SARSA,BUY,2449.8,6,85495.07214999998,99835.07214999998,-0.003605419769602682,1
2025-01-21,ADELc1_NS,SARSA,BUY,2390.0,7,83102.68214999998,99751.13214999998,-0.0008407866914132575,1
2025-01-22,ADELc1_NS,SARSA,BUY,2378.35,8,80721.95379999997,99853.15379999997,0.001022761825365359,1
2025-01-23,ADELc1_NS,SARSA,BUY,2391.4,9,78328.16239999997,99185.66239999997,-0.006684730272385239,1
2025-01-24,ADELc1_NS,SARSA,BUY,2317.5,10,76008.34489999997,98601.84489999997,-0.005886107788901603,1
2025-01-27,ADELc1_NS,SARSA,BUY,2259.35,11,73746.73554999997,98882.28554999997,0.002844172442051378,1
2025-01-28,ADELc1_NS,SARSA,BUY,2285.05,12,71459.40049999997,99280.20049999998,0.00402412775743133,1
2025-01-29,ADELc1_NS,SARSA,BUY,2318.4,13,69138.68209999998,98422.48209999998,-0.008639370143093114,1
2025-01-30,ADELc1_NS,SARSA,BUY,2252.6,14,66883.82949999998,99115.32949999998,0.007039523747186608,1
2025-01-31,ADELc1_NS,SARSA,BUY,2302.25,15,64579.27724999998,98747.02724999998,-0.0037158959351488957,1
2025-02-01,ADELc1_NS,SARSA,BUY,2277.85,16,62299.14939999998,98687.94939999998,-0.000598274719201752,1
2025-02-03,ADELc1_NS,SARSA,BUY,2274.3,17,60022.57509999998,99349.52509999997,0.006703713108056401,1
2025-02-04,ADELc1_NS,SARSA,BUY,2313.35,18,57706.91174999998,99758.51174999998,0.004116644237487214,1
2025-02-05,ADELc1_NS,SARSA,BUY,2336.2,19,55368.375549999975,99435.07554999998,-0.0032421915115428386,1
2025-02-06,ADELc1_NS,SARSA,BUY,2319.3,20,53046.75624999998,99905.75624999998,0.004733547969834044,1
2025-02-07,ADELc1_NS,SARSA,SELL,2342.95,19,55387.363299999975,99083.56329999998,-0.008229685464194633,1
2025-02-10,ADELc1_NS,SARSA,SELL,2299.8,18,57684.86349999998,99605.96349999998,0.0052723194705695834,1
2025-02-11,ADELc1_NS,SARSA,SELL,2328.95,17,60011.48454999998,100060.08454999999,0.0045591753148394734,1
2025-02-12,ADELc1_NS,SARSA,SELL,2355.8,16,62364.92874999998,98395.32874999999,-0.01663756139610417,1
2025-02-13,ADELc1_NS,SARSA,SELL,2251.9,15,64614.576849999976,96989.82684999998,-0.014284233996220102,1
2025-02-14,ADELc1_NS,SARSA,SELL,2158.35,14,66770.76849999998,98010.36849999998,0.010522151478611484,1
2025-02-17,ADELc1_NS,SARSA,SELL,2231.4,13,68999.93709999998,97854.73709999998,-0.0015879075079694087,1
2025-02-18,ADELc1_NS,SARSA,SELL,2219.6,12,71217.31749999998,97465.51749999997,-0.003977524354311625,1
2025-02-19,ADELc1_NS,SARSA,SELL,2187.35,11,73402.48014999997,97422.63014999998,-0.0004400258788959898,1
2025-02-20,ADELc1_NS,SARSA,SELL,2183.65,10,75583.94649999998,96951.94649999998,-0.0048313584767245826,1
2025-02-21,ADELc1_NS,SARSA,SELL,2136.8,9,77718.60969999997,96753.15969999997,-0.0020503641976904684,1
2025-02-24,ADELc1_NS,SARSA,SELL,2114.95,8,79831.44474999997,96861.04474999997,0.0011150545401774322,1
2025-02-25,ADELc1_NS,SARSA,SELL,2128.7,7,81958.01604999996,96734.31604999996,-0.0013083556999317516,1
2025-02-27,ADELc1_NS,SARSA,SELL,2110.9,6,84066.80514999996,96679.70514999997,-0.0005645452640795272,1
2025-03-03,ADELc1_NS,SARSA,SELL,2129.45,5,86194.12569999996,96972.37569999996,0.0013307092695622755,1
2025-03-04,ADELc1_NS,SARSA,SELL,2155.65,4,88347.62004999995,97374.42004999996,0.004145967829475345,1
2025-03-05,ADELc1_NS,SARSA,SELL,2256.7,3,90602.06334999995,97387.46334999995,0.0001339499633814792,1
2025-03-06,ADELc1_NS,SARSA,SELL,2261.8,2,92861.60154999995,97377.30154999995,-0.00010434402591924253,1
2025-03-07,ADELc1_NS,SARSA,SELL,2257.85,1,95117.19369999995,97348.54369999995,-0.0002953239568384253,1
2025-03-10,ADELc1_NS,SARSA,SELL,2231.35,0,97346.31234999995,97346.31234999995,-2.2921246843488635e-05,0
2025-03-11,ADELc1_NS,SARSA,BUY,2258.65,1,95085.40369999995,97333.65369999995,-0.00013003728332804777,1
2025-03-12,ADELc1_NS,SARSA,SELL,2248.25,0,97331.40544999995,97331.40544999995,-2.3098382877249292e-05,0
2025-03-13,ADELc1_NS,SARSA,BUY,2226.15,1,95103.02929999995,97362.67929999995,0.0003213130423362009,1
2025-03-17,ADELc1_NS,SARSA,SELL,2259.65,0,97360.41964999995,97360.41964999995,-2.3208584811333252e-05,0
2025-03-18,ADELc1_NS,SARSA,BUY,2316.35,1,95041.75329999995,97367.25329999995,7.018920034000174e-05,1
2025-03-19,ADELc1_NS,SARSA,SELL,2325.5,0,97364.92779999995,97364.92779999995,-2.3883799955218493e-05,0
2025-03-20,ADELc1_NS,SARSA,BUY,2341.3,1,95021.28649999994,97385.43649999994,0.00021063744885754676,1
2025-03-21,ADELc1_NS,SARSA,SELL,2364.15,0,97383.07234999994,97383.07234999994,-2.427621711172359e-05,0
2025-03-24,ADELc1_NS,SARSA,BUY,2373.4,1,95007.29894999994,97327.04894999994,-0.0005752888941381354,1
2025-03-25,ADELc1_NS,SARSA,SELL,2319.75,0,97324.72919999994,97324.72919999994,-2.383458683913083e-05,0
2025-03-26,ADELc1_NS,SARSA,BUY,2314.9,1,95007.51429999994,97370.81429999994,0.0004735189132177583,1
2025-03-27,ADELc1_NS,SARSA,SELL,2363.3,0,97368.45099999994,97368.45099999994,-2.427113316230379e-05,0
2025-03-28,ADELc1_NS,SARSA,BUY,2324.45,1,95041.67654999995,97387.47654999995,0.00019539748044267196,1
2025-04-01,ADELc1_NS,SARSA,SELL,2345.8,0,97385.13074999995,97385.13074999995,-2.408728599504417e-05,0
2025-04-02,ADELc1_NS,SARSA,BUY,2379.95,1,95002.80079999995,97424.20079999995,0.00040119112331730197,1
2025-04-03,ADELc1_NS,SARSA,SELL,2421.4,0,97421.77939999996,97421.77939999996,-2.4854194133579095e-05,0
2025-04-04,ADELc1_NS,SARSA,BUY,2337.0,1,95082.44239999996,97299.64239999995,-0.001253692970424255,1
2025-04-07,ADELc1_NS,SARSA,SELL,2217.2,0,97297.42519999995,97297.42519999995,-2.2787339658291893e-05,0
2025-04-08,ADELc1_NS,SARSA,BUY,2288.4,1,95006.73679999996,97247.28679999996,-0.0005153106559288087,1
2025-04-09,ADELc1_NS,SARSA,SELL,2240.55,0,97245.04624999996,97245.04624999996,-2.3039717340497147e-05,0
2025-04-11,ADELc1_NS,SARSA,BUY,2328.95,1,94913.76729999996,97331.56729999997,0.0008897219276093494,1
2025-04-15,ADELc1_NS,SARSA,SELL,2417.8,0,97329.14949999997,97329.14949999997,-2.484086167587711e-05,0
2025-04-16,ADELc1_NS,SARSA,BUY,2413.7,1,94913.03579999997,97327.93579999996,-1.247005656827938e-05,1
2025-04-17,ADELc1_NS,SARSA,SELL,2414.9,0,97325.52089999997,97325.52089999997,-2.4811992365185333e-05,0
2025-04-21,ADELc1_NS,SARSA,BUY,2438.8,1,94884.28209999997,97326.38209999997,8.848655440377629e-06,1
2025-04-22,ADELc1_NS,SARSA,SELL,2442.1,0,97323.93999999997,97323.93999999997,-2.509186047305266e-05,0
2025-04-23,ADELc1_NS,SARSA,BUY,2451.6,1,94869.88839999997,97312.38839999997,-0.00011869227653551788,1
2025-04-24,ADELc1_NS,SARSA,SELL,2442.5,0,97309.94589999996,97309.94589999996,-2.5099579202237087e-05,0
2025-04-25,ADELc1_NS,SARSA,BUY,2364.9,1,94942.68099999997,97325.48099999997,0.00015964555170930629,1
2025-04-28,ADELc1_NS,SARSA,SELL,2382.8,0,97323.09819999996,97323.09819999996,-2.4482797059145106e-05,0
2025-04-29,ADELc1_NS,SARSA,BUY,2339.0,1,94981.75919999997,97289.95919999997,-0.00034050498404699975,1
2025-04-30,ADELc1_NS,SARSA,SELL,2308.2,0,97287.65099999997,97287.65099999997,-2.3724955987025312e-05,0
2025-05-02,ADELc1_NS,SARSA,BUY,2302.3,1,94983.04869999997,97448.44869999996,0.0016528068911849418,1
2025-05-05,ADELc1_NS,SARSA,BUY,2465.4,2,92515.18329999998,97229.98329999998,-0.0022418561086851503,1
2025-05-06,ADELc1_NS,SARSA,BUY,2357.4,3,90155.42589999997,97232.12589999997,2.2036412300730534e-05,1
