Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,APLH,Monte Carlo,BUY,7369.65,1,92622.98035,100044.63034999999,0.0004463034999999218,1
2025-01-08,APLH,Monte Carlo,BUY,7142.65,2,85473.1877,99656.2877,-0.001095995180067455,1
2025-01-09,APLH,Monte Carlo,BUY,7091.55,3,78374.54615,99484.79615,-0.001720830205077026,1
2025-01-10,APLH,Monte Carlo,BUY,7036.75,4,71330.7594,98689.1594,-0.007997571295219372,1
2025-01-13,APLH,Monte Carlo,BUY,6839.6,5,64484.3198,98018.5698,-0.0067949671886657756,1
2025-01-14,APLH,Monte Carlo,BUY,6706.85,6,57770.76295,97921.86295000001,-0.0009866176398748857,1
2025-01-15,APLH,Monte Carlo,BUY,6691.85,7,51072.221099999995,98599.77109999998,0.006922949886544962,1
2025-01-16,APLH,Monte Carlo,BUY,6789.65,8,44275.781449999995,98900.58145,0.0030508219912086017,1
2025-01-17,APLH,Monte Carlo,BUY,6828.1,9,37440.85335,98468.50335,-0.004368812535429222,1
2025-01-20,APLH,Monte Carlo,BUY,6780.85,10,30653.222499999996,99844.7225,0.01397623710302899,1
2025-01-21,APLH,Monte Carlo,BUY,6919.15,11,23727.153349999997,99549.05334999999,-0.0029612897166399164,1
2025-01-22,APLH,Monte Carlo,BUY,6892.9,12,16827.36045,99877.56045000002,0.003299952023100094,1
2025-01-23,APLH,Monte Carlo,BUY,6920.85,13,9899.5896,97585.2396,-0.0229513099806596,1
2025-01-24,APLH,Monte Carlo,BUY,6745.05,14,3147.7945499999996,96884.09455000001,-0.007184949823087711,1
