Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-14,APLH,SARSA,BUY,6706.85,1,93286.44315,99978.29315000001,-0.00021706849999987752,1
2025-01-15,APLH,SARSA,BUY,6691.85,2,86587.90130000001,100167.20130000002,0.0018894916491180656,1
2025-01-16,APLH,SARSA,SELL,6789.65,1,93370.76165000001,100198.86165000002,0.0003160750184602149,1
2025-01-17,APLH,SARSA,SELL,6828.1,0,100192.03355000002,100192.03355000002,-6.814548476458476e-05,0
2025-01-24,APLH,SARSA,BUY,6745.05,1,93440.23850000002,100135.68850000002,-0.0005623705598498008,1
2025-01-27,APLH,SARSA,BUY,6695.45,2,86738.09305000002,100155.99305000002,0.00020277036393473983,1
2025-01-28,APLH,SARSA,BUY,6708.95,3,80022.43410000003,100375.33410000004,0.002189994261157368,1
2025-01-29,APLH,SARSA,SELL,6784.3,2,86799.94980000003,100449.24980000003,0.0007363930657143159,1
2025-01-30,APLH,SARSA,SELL,6824.65,1,93617.77515000003,100428.27515000003,-0.0002088084285523827,1
2025-01-31,APLH,SARSA,SELL,6810.5,0,100421.46465000004,100421.46465000004,-6.781456706112028e-05,0
2025-02-11,APLH,SARSA,BUY,6317.35,1,94097.79730000003,100472.34730000004,0.0005066909766486815,1
2025-02-12,APLH,SARSA,BUY,6374.55,2,87716.87275000004,100461.27275000003,-0.00011022485586942006,1
2025-02-13,APLH,SARSA,BUY,6372.2,3,81338.30055000004,100149.80055000004,-0.0031004206046154155,1
2025-02-14,APLH,SARSA,BUY,6270.5,4,75061.53005000004,100262.33005000005,0.0011236118233088597,1
2025-02-18,APLH,SARSA,BUY,6376.85,5,68678.30320000004,100791.55320000004,0.002213637451341114,1
2025-02-19,APLH,SARSA,BUY,6422.65,6,62249.23055000004,100594.93055000003,-0.0019507849989160075,1
2025-02-20,APLH,SARSA,SELL,6390.95,5,68633.78960000003,100221.53960000003,-0.0037118267089454315,1
2025-02-21,APLH,SARSA,BUY,6317.55,6,62309.92205000003,99818.32205000002,-0.004023262380615191,1
2025-02-25,APLH,SARSA,BUY,6251.35,7,56052.32070000003,99348.72070000003,-0.004701569319465334,1
2025-02-27,APLH,SARSA,BUY,6185.2,8,49860.935500000036,98281.73550000004,-0.010739798081768306,1
2025-03-04,APLH,SARSA,BUY,6188.15,9,43666.59735000004,99596.19735000003,0.0023152943288208905,1
2025-03-05,APLH,SARSA,BUY,6214.4,10,37445.98295000004,100186.98295000003,0.005931808801131931,1
2025-03-06,APLH,SARSA,BUY,6274.1,11,31165.60885000004,99542.70885000005,-0.006430716656289731,1
2025-03-07,APLH,SARSA,BUY,6216.1,12,24943.29275000004,98738.49275000005,-0.008079106036905934,1
2025-03-10,APLH,SARSA,BUY,6149.6,13,18787.54315000004,98539.94315000005,-0.0020108631848646317,1
2025-03-11,APLH,SARSA,BUY,6134.8,14,12646.608350000042,98659.10835000004,0.0012093085929488735,1
2025-03-12,APLH,SARSA,SELL,6143.75,13,18784.214600000043,98157.66460000005,-0.005082589518456671,1
2025-03-13,APLH,SARSA,SELL,6105.65,12,24883.758950000043,98763.55895000004,0.0061726646866452385,1
2025-03-17,APLH,SARSA,SELL,6156.65,11,31034.252300000044,99749.05230000004,0.009978309413686878,1
2025-03-18,APLH,SARSA,BUY,6246.8,12,24781.205500000044,101911.80550000005,0.021681942335606587,1
2025-03-19,APLH,SARSA,BUY,6427.55,13,18347.227950000044,102513.77795000005,0.005906798010756476,1
2025-03-20,APLH,SARSA,BUY,6474.35,14,11866.403600000045,104428.10360000005,0.018673837685834676,1
2025-03-26,APLH,SARSA,BUY,6519.8,15,5340.083800000046,102720.83380000005,-0.0040988465134448185,1
2025-05-08,APLH,SARSA,SELL,6851.5,14,12184.732300000047,106292.73230000005,-0.01683292948919424,1
2025-05-09,APLH,SARSA,SELL,6722.0,13,18900.010300000045,108938.01030000005,0.024886725016476076,1
2025-05-12,APLH,SARSA,SELL,6926.0,12,25819.084300000046,108829.08430000005,-0.000999889751061542,1
2025-05-13,APLH,SARSA,SELL,6917.5,11,32729.666800000046,108811.16680000005,-0.00016463889331829945,1
2025-05-14,APLH,SARSA,SELL,6916.5,10,39639.25030000004,110364.25030000004,0.014273199577527117,1
2025-05-15,APLH,SARSA,BUY,7072.5,11,32559.677800000045,109724.67780000005,-0.005795105736336384,1
2025-05-16,APLH,SARSA,BUY,7015.0,12,25537.662800000046,109231.66280000005,-0.004493200708218431,1
2025-05-19,APLH,SARSA,SELL,6974.5,11,32505.188300000045,108537.18830000004,-0.006357813130351897,1
2025-05-20,APLH,SARSA,SELL,6912.0,10,39410.27630000004,109250.27630000004,0.006569987772568853,1
2025-05-21,APLH,SARSA,BUY,6984.0,11,32419.29230000004,108918.79230000004,-0.0030341708160970264,1
2025-05-22,APLH,SARSA,SELL,6954.5,10,39366.83780000004,110011.83780000004,0.010035417001222043,1
2025-05-23,APLH,SARSA,BUY,7064.5,11,32295.273300000037,110356.77330000003,0.0031354398480923497,1
2025-05-26,APLH,SARSA,BUY,7096.5,12,25191.676800000037,110073.67680000004,-0.002565284318619934,1
2025-05-27,APLH,SARSA,BUY,7073.5,13,18111.10330000004,108545.60330000005,-0.01388227907364677,1
2025-05-28,APLH,SARSA,SELL,6956.5,12,25060.64680000004,108136.64680000005,-0.0037676007831447564,1
2025-05-29,APLH,SARSA,SELL,6923.0,11,31976.72380000004,107662.22380000004,-0.004387254589810432,1
2025-05-30,APLH,SARSA,SELL,6880.5,10,38850.34330000004,108005.34330000004,0.0031869999326541924,1
2025-06-02,APLH,SARSA,SELL,6915.5,9,45758.927800000034,107071.42780000003,-0.008646937933486504,1
2025-06-03,APLH,SARSA,SELL,6812.5,8,52564.615300000034,107404.61530000003,0.0031118245721198827,1
2025-06-04,APLH,SARSA,SELL,6855.0,7,59412.76030000004,107544.76030000004,0.0013048321956049503,1
2025-06-05,APLH,SARSA,SELL,6876.0,6,66281.88430000003,107936.88430000003,0.0036461469522657535,1
