Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-14,APSEc1_NS,Policy Iteration,BUY,1122.5,1,98876.3775,100006.4275,6.427500000005238e-05,1
2025-01-15,APSEc1_NS,Policy Iteration,BUY,1130.05,2,97745.19745,100055.59745,0.0004916678980458119,1
2025-01-16,APSEc1_NS,Policy Iteration,BUY,1155.2,3,96588.84225,100082.19225000001,0.00026580022185461666,1
2025-01-17,APSEc1_NS,Policy Iteration,BUY,1164.45,4,95423.22780000001,100027.82780000001,-0.0005431980333143998,1
2025-01-20,APSEc1_NS,Policy Iteration,BUY,1151.15,5,94270.92665000001,99817.67665000001,-0.0021009268582757837,1
2025-01-21,APSEc1_NS,Policy Iteration,BUY,1109.35,6,93160.4673,99777.2673,-0.00040483160253962613,1
2025-01-22,APSEc1_NS,Policy Iteration,BUY,1102.8,7,92056.56450000001,99802.41450000001,0.0002520333607092755,1
2025-01-23,APSEc1_NS,Policy Iteration,BUY,1106.55,8,90948.90795000001,99703.70795000001,-0.0009890196594392272,1
2025-01-24,APSEc1_NS,Policy Iteration,BUY,1094.35,9,89853.4636,99577.06360000001,-0.0012702070224260128,1
2025-01-27,APSEc1_NS,Policy Iteration,BUY,1080.4,10,88771.9832,99591.9832,0.0001498296842727325,1
2025-01-28,APSEc1_NS,Policy Iteration,BUY,1082.0,11,87688.90120000001,99767.45120000001,0.0017618687203731478,1
2025-01-29,APSEc1_NS,Policy Iteration,BUY,1098.05,12,86589.75315,99514.35315000001,-0.0025368799839601444,1
2025-01-30,APSEc1_NS,Policy Iteration,BUY,1077.05,13,85511.62610000001,99846.0761,0.0033334181401951436,1
2025-01-31,APSEc1_NS,Policy Iteration,BUY,1102.65,14,84407.87345000001,99653.87345000001,-0.0019249895189420666,1
2025-02-01,APSEc1_NS,Policy Iteration,BUY,1089.0,15,83317.78445,99679.78445,0.00026000996351630305,1
2025-02-03,APSEc1_NS,Policy Iteration,BUY,1090.8,16,82225.89365000001,100301.09365000001,0.006233051199179267,1
2025-02-04,APSEc1_NS,Policy Iteration,BUY,1129.7,17,81095.06395000001,100613.61395000001,0.003115821459440325,1
2025-02-05,APSEc1_NS,Policy Iteration,BUY,1148.15,18,79945.76580000001,100934.6658,0.0031909384564949212,1
2025-02-06,APSEc1_NS,Policy Iteration,BUY,1166.05,19,78778.54975,100607.64975000001,-0.0032398784640350104,1
2025-02-07,APSEc1_NS,Policy Iteration,BUY,1148.9,20,77628.50085000001,100553.50085000001,-0.000538218516529854,1
2025-02-13,APSEc1_NS,Policy Iteration,SELL,1111.6,19,78738.98925000001,99011.03925000002,-0.008506482470741534,1
2025-02-14,APSEc1_NS,Policy Iteration,SELL,1066.95,18,79804.87230000002,99319.57230000001,0.003116147980438435,1
2025-02-17,APSEc1_NS,Policy Iteration,SELL,1084.15,17,80887.93815000002,99322.73815000002,3.187538897612496e-05,1
2025-02-18,APSEc1_NS,Policy Iteration,SELL,1084.4,16,81971.25375000002,99305.65375000003,-0.0001720089510036575,1
2025-02-19,APSEc1_NS,Policy Iteration,SELL,1083.4,15,83053.57035000002,99722.32035000002,0.004195799375622123,1
2025-02-21,APSEc1_NS,Policy Iteration,SELL,1084.95,14,84137.43540000002,99151.73540000002,-0.0017727656700764801,1
2025-02-24,APSEc1_NS,Policy Iteration,SELL,1072.45,13,85208.81295000002,99235.81295000002,0.0008479685167467253,1
2025-02-25,APSEc1_NS,Policy Iteration,SELL,1079.0,12,86286.73395000002,99234.13395000002,-1.6919295061851205e-05,1
2025-02-27,APSEc1_NS,Policy Iteration,SELL,1078.95,11,87364.60500000003,99169.25500000003,-0.0006537967070148837,1
2025-02-28,APSEc1_NS,Policy Iteration,SELL,1073.15,10,88436.68185000002,99025.18185000002,-0.0014528005680794016,1
2025-03-03,APSEc1_NS,Policy Iteration,SELL,1058.85,9,89494.47300000003,99070.92300000002,0.0004619143246743923,1
2025-03-04,APSEc1_NS,Policy Iteration,SELL,1064.05,8,90557.45895000003,99490.25895000003,0.004232684397217212,1
2025-04-04,APSEc1_NS,Policy Iteration,SELL,1151.8,7,91708.10715000003,99502.95715000003,-0.0026951667817951617,1
2025-04-07,APSEc1_NS,Policy Iteration,SELL,1113.55,6,92820.54360000002,99636.54360000002,0.0013425374865855223,1
2025-04-08,APSEc1_NS,Policy Iteration,SELL,1136.0,5,93955.40760000002,99620.40760000002,-0.00016194861259718167,1
2025-04-09,APSEc1_NS,Policy Iteration,SELL,1133.0,4,95087.27460000002,99752.67460000001,0.0013277098858205487,1
2025-04-11,APSEc1_NS,Policy Iteration,SELL,1166.35,3,96252.45825000003,99884.85825000002,0.0013251138431129975,1
2025-04-16,APSEc1_NS,Policy Iteration,BUY,1235.4,4,95015.82285000003,100045.02285000002,0.00086400319404048,1
2025-04-17,APSEc1_NS,Policy Iteration,BUY,1257.3,5,93757.26555000003,99969.26555000003,-0.0007572320725398032,1
2025-04-21,APSEc1_NS,Policy Iteration,BUY,1242.4,6,92513.62315000003,99896.62315000003,-0.000726647331060611,1
2025-04-22,APSEc1_NS,Policy Iteration,BUY,1230.5,7,91281.89265000002,99966.09265000002,0.0006954138969810808,1
2025-04-23,APSEc1_NS,Policy Iteration,BUY,1240.6,8,90040.05205000003,99931.25205000002,-0.0003485241753119166,1
2025-04-24,APSEc1_NS,Policy Iteration,BUY,1236.4,9,88802.41565000002,99563.71565000003,-0.0036778924756802056,1
2025-04-25,APSEc1_NS,Policy Iteration,BUY,1195.7,10,87605.51995000003,99749.51995000003,0.0018661848725409975,1
2025-04-28,APSEc1_NS,Policy Iteration,BUY,1214.4,11,86389.90555000002,99806.60555000002,0.0005722894709528999,1
2025-04-29,APSEc1_NS,Policy Iteration,BUY,1219.7,12,85168.98585000003,99820.98585000003,0.0001440816459066957,1
2025-04-30,APSEc1_NS,Policy Iteration,SELL,1221.0,11,86388.76485000002,100395.06485000002,0.005751085256387475,1
2025-05-02,APSEc1_NS,Policy Iteration,SELL,1273.3,10,87660.79155000002,101191.79155000002,0.007935914989351183,1
2025-05-05,APSEc1_NS,Policy Iteration,SELL,1353.1,9,89012.53845000002,100923.13845000003,-0.002654890242428916,1
2025-05-06,APSEc1_NS,Policy Iteration,SELL,1323.4,8,90334.61505000002,101082.61505000002,0.0015801787622667263,1
2025-05-07,APSEc1_NS,Policy Iteration,BUY,1343.5,9,88989.77155000002,100994.87155000003,-0.0008680374954347487,1
2025-05-08,APSEc1_NS,Policy Iteration,BUY,1333.9,10,87654.53765000001,100743.53765000001,-0.0024885808174485696,1
2025-05-09,APSEc1_NS,Policy Iteration,BUY,1308.9,11,86344.32875000002,101392.32875000002,0.006440026974772432,1
2025-05-12,APSEc1_NS,Policy Iteration,BUY,1368.0,12,84974.96075000001,101431.76075000002,0.0003889051616244754,1
2025-05-13,APSEc1_NS,Policy Iteration,BUY,1371.4,13,83602.18935000002,101479.78935000002,0.000473506519505086,1
2025-05-14,APSEc1_NS,Policy Iteration,BUY,1375.2,14,82225.61415000001,101936.21415000001,0.004497691638142854,1
2025-05-15,APSEc1_NS,Policy Iteration,SELL,1407.9,13,83632.10625000001,101990.70625000002,0.0005345705690012925,1
2025-05-16,APSEc1_NS,Policy Iteration,SELL,1412.2,12,85042.89405000002,101859.69405000002,-0.001284550375392634,1
2025-05-19,APSEc1_NS,Policy Iteration,SELL,1401.4,11,86442.89265000002,101730.69265000003,-0.0012664616873546727,1
2025-05-20,APSEc1_NS,Policy Iteration,SELL,1389.8,10,87831.30285000002,101725.30285000002,-5.298106067701554e-05,1
2025-05-21,APSEc1_NS,Policy Iteration,SELL,1389.4,9,89219.31345000002,101584.41345000002,-0.0013849985800263459,1
2025-05-22,APSEc1_NS,Policy Iteration,BUY,1373.9,10,87844.03955000002,101801.03955000002,0.0021324737983216065,1
2025-05-23,APSEc1_NS,Policy Iteration,BUY,1395.7,11,86446.94385000001,101857.94385000001,0.0005589756278671978,1
2025-05-26,APSEc1_NS,Policy Iteration,BUY,1401.0,12,85044.54285000001,101916.54285000001,0.000575301226247971,1
2025-05-27,APSEc1_NS,Policy Iteration,BUY,1406.0,13,83637.13685000001,101961.93685000001,0.0004454036482262823,1
2025-05-28,APSEc1_NS,Policy Iteration,BUY,1409.6,14,82226.12725,102366.52725,0.003968053300077992,1
2025-05-29,APSEc1_NS,Policy Iteration,SELL,1438.6,13,83663.28865,102283.18865,-0.0008141196369441435,1
2025-05-30,APSEc1_NS,Policy Iteration,SELL,1432.3,12,85094.15635,102726.95635000001,0.004338618162546023,1
2025-06-13,APSEc1_NS,Policy Iteration,SELL,1407.7,11,86500.44865,101953.24865000001,-0.00032658912303778646,1
2025-06-16,APSEc1_NS,Policy Iteration,SELL,1404.8,10,87903.84385,101828.84385,-0.0012202141829445656,1
2025-06-17,APSEc1_NS,Policy Iteration,SELL,1392.5,9,89294.95135,101669.95135,-0.0015603879411030133,1
2025-06-18,APSEc1_NS,Policy Iteration,SELL,1375.0,8,90668.57635,101391.77635,-0.0027360591433980546,1
2025-06-19,APSEc1_NS,Policy Iteration,SELL,1340.4,7,92007.63595,101457.63595,0.0006495556382467515,1
2025-06-20,APSEc1_NS,Policy Iteration,SELL,1350.0,6,93356.28594999999,101498.28594999999,0.0004006598381616853,1
2025-06-23,APSEc1_NS,Policy Iteration,SELL,1357.0,5,94711.92894999999,101672.92894999999,0.001720649746597976,1
2025-06-24,APSEc1_NS,Policy Iteration,SELL,1392.2,4,96102.73674999998,101683.13674999998,0.00010039840600057014,1
2025-06-25,APSEc1_NS,Policy Iteration,SELL,1395.1,3,97496.44164999998,101784.34164999997,0.0009952967938904286,1
2025-07-22,APSEc1_NS,Policy Iteration,SELL,1425.7,2,98920.71594999998,101771.51594999999,-1.9903994369820814e-05,1
2025-07-23,APSEc1_NS,Policy Iteration,SELL,1425.4,1,100344.69054999998,101757.49054999999,-0.00013781262732579576,1
2025-07-24,APSEc1_NS,Policy Iteration,SELL,1412.8,0,101756.07774999998,101756.07774999998,-1.3883990184597946e-05,0
2025-08-19,APSEc1_NS,Policy Iteration,BUY,1373.2,1,100381.50454999998,101752.80454999999,-3.216712035656264e-05,1
2025-08-21,APSEc1_NS,Policy Iteration,SELL,1361.0,0,101741.14354999998,101741.14354999998,-1.3376906790569311e-05,0
2025-09-08,APSEc1_NS,Policy Iteration,BUY,1352.3,1,100387.49124999998,101771.89124999997,0.00030221500296860604,1
