Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,APSEc1_NS,SARSA,BUY,1069.6,1,98929.3304,100051.8304,0.0005183040000000619,1
2025-01-14,APSEc1_NS,SARSA,BUY,1122.5,2,97805.70790000001,100065.80790000001,0.00013970259158805102,1
2025-01-15,APSEc1_NS,SARSA,BUY,1130.05,3,96674.52785000001,100140.12785000002,0.0007427107376605171,1
2025-01-16,APSEc1_NS,SARSA,BUY,1155.2,4,95518.17265000001,100175.97265000001,0.00035794641738108845,1
2025-01-17,APSEc1_NS,SARSA,BUY,1164.45,5,94352.55820000001,100108.30820000001,-0.0006754558823841534,1
2025-01-20,APSEc1_NS,SARSA,BUY,1151.15,6,93200.25705000001,99856.35705000002,-0.002516785614802683,1
2025-01-21,APSEc1_NS,SARSA,BUY,1109.35,7,92089.79770000001,99809.39770000002,-0.0004702690082764703,1
2025-01-22,APSEc1_NS,SARSA,BUY,1102.8,8,90985.89490000001,99838.29490000001,0.0002895238390962873,1
2025-01-23,APSEc1_NS,SARSA,BUY,1106.55,9,89878.23835000001,99727.38835000001,-0.001110861820217241,1
2025-01-24,APSEc1_NS,SARSA,BUY,1094.35,10,88782.79400000001,99586.79400000001,-0.0014097867429012983,1
2025-01-27,APSEc1_NS,SARSA,BUY,1080.4,11,87701.31360000001,99603.31360000001,0.00016588143203003026,1
2025-01-28,APSEc1_NS,SARSA,BUY,1082.0,12,86618.23160000001,99794.8316,0.0019228075159137715,1
2025-01-29,APSEc1_NS,SARSA,BUY,1098.05,13,85519.08355000001,99520.73355,-0.0027466156874601157,1
2025-01-30,APSEc1_NS,SARSA,BUY,1077.05,14,84440.95650000001,99878.05650000002,0.0035904372612013983,1
2025-01-31,APSEc1_NS,SARSA,BUY,1102.65,15,83337.20385000002,99672.20385000002,-0.0020610398040734872,1
2025-02-01,APSEc1_NS,SARSA,BUY,1089.0,16,82247.11485000001,99699.91485000002,0.0002780213432593393,1
2025-02-03,APSEc1_NS,SARSA,BUY,1090.8,17,81155.22405000002,100360.12405000001,0.006621963529189488,1
2025-02-04,APSEc1_NS,SARSA,BUY,1129.7,18,80024.39435000002,100691.09435000001,0.003297826732807838,1
2025-02-05,APSEc1_NS,SARSA,BUY,1148.15,19,78875.09620000001,101030.04620000001,0.0033662545053071776,1
2025-02-06,APSEc1_NS,SARSA,BUY,1166.05,20,77707.88015000001,100685.88015000001,-0.0034065712423676964,1
2025-02-07,APSEc1_NS,SARSA,BUY,1148.9,21,76557.83125000002,100629.08125000002,-0.0005641198141723183,1
2025-02-10,APSEc1_NS,SARSA,SELL,1146.25,20,77702.93500000001,100529.93500000001,-0.0009852643864817678,1
2025-02-11,APSEc1_NS,SARSA,SELL,1141.35,19,78843.14365000001,100352.09365000001,-0.0017690387445292032,1
2025-02-12,APSEc1_NS,SARSA,SELL,1132.05,18,79974.06160000002,99982.86160000002,-0.0036793656870555127,1
2025-02-20,APSEc1_NS,SARSA,SELL,1111.25,17,81084.20035000001,99528.35035000002,-0.004483163281742557,1
2025-02-27,APSEc1_NS,SARSA,SELL,1078.95,16,82162.07140000002,99332.47140000001,-0.0009442059340360065,1
2025-02-28,APSEc1_NS,SARSA,SELL,1073.15,15,83234.14825000001,99116.89825000001,-0.0021702183280219536,1
2025-03-03,APSEc1_NS,SARSA,SELL,1058.85,14,84291.93940000002,99188.63940000001,0.0007238034206745533,1
2025-03-04,APSEc1_NS,SARSA,SELL,1064.05,13,85354.92535000002,99870.72535000002,0.006876653960836645,1
2025-03-05,APSEc1_NS,SARSA,SELL,1116.6,12,86470.40875000002,100140.80875000003,0.0027043300131593877,1
2025-03-06,APSEc1_NS,SARSA,SELL,1139.2,11,87608.46955000002,100220.51955000003,0.0007959871804011242,1
2025-03-07,APSEc1_NS,SARSA,SELL,1146.55,10,88753.87300000002,100192.37300000002,-0.00028084617926933236,1
2025-03-10,APSEc1_NS,SARSA,SELL,1143.85,9,89896.57915000002,100143.97915000001,-0.0004830093204799895,1
2025-03-11,APSEc1_NS,SARSA,SELL,1138.6,8,91034.04055000002,100054.04055000002,-0.0008980929334281803,1
2025-03-12,APSEc1_NS,SARSA,SELL,1127.5,7,92160.41305000002,100016.51305000002,-0.00037507230886135864,1
2025-03-13,APSEc1_NS,SARSA,SELL,1122.3,6,93281.59075000002,100120.09075000002,0.0010356059898650341,1
2025-03-17,APSEc1_NS,SARSA,SELL,1139.75,5,94420.20100000002,100215.45100000002,0.0009524586852214563,1
2025-03-18,APSEc1_NS,SARSA,SELL,1159.05,4,95578.09195000002,100276.09195000002,0.0006051057935168189,1
2025-03-19,APSEc1_NS,SARSA,SELL,1174.5,3,96751.41745000002,100280.91745000002,4.812213864908489e-05,1
2025-03-20,APSEc1_NS,SARSA,SELL,1176.5,2,97926.74095000002,100308.24095000002,0.0002724695853886865,1
2025-03-21,APSEc1_NS,SARSA,SELL,1190.75,1,99116.30020000003,100319.15020000003,0.00010875726557152354,1
2025-03-24,APSEc1_NS,SARSA,SELL,1202.85,0,100317.94735000003,100317.94735000003,-1.1990233146945953e-05,0
2025-03-25,APSEc1_NS,SARSA,BUY,1183.65,1,99133.11370000003,100315.81370000003,-2.1268876171870744e-05,1
2025-03-26,APSEc1_NS,SARSA,SELL,1182.7,0,100314.63100000004,100314.63100000004,-1.178976630272093e-05,0
2025-03-27,APSEc1_NS,SARSA,BUY,1196.8,1,99116.63420000004,100304.33420000004,-0.00010264504686257017,1
2025-03-28,APSEc1_NS,SARSA,SELL,1187.7,0,100303.14650000005,100303.14650000005,-1.1840963897200636e-05,0
2025-04-01,APSEc1_NS,SARSA,BUY,1181.7,1,99120.26480000005,100322.46480000005,0.00019259914244065105,1
2025-04-02,APSEc1_NS,SARSA,SELL,1202.2,0,100321.26260000005,100321.26260000005,-1.1983357888947323e-05,0
2025-04-03,APSEc1_NS,SARSA,BUY,1204.75,1,99115.30785000004,100267.10785000004,-0.0005398132818157085,1
2025-04-15,APSEc1_NS,SARSA,SELL,1210.8,0,100324.89705000004,100324.89705000004,-1.2068643207120534e-05,0
2025-04-16,APSEc1_NS,SARSA,BUY,1235.4,1,99088.26165000004,100345.56165000005,0.00020597678749378486,1
2025-04-17,APSEc1_NS,SARSA,BUY,1257.3,2,97829.70435000004,100314.50435000005,-0.0003095034746860713,1
2025-04-21,APSEc1_NS,SARSA,BUY,1242.4,3,96586.06195000005,100277.56195000005,-0.00036826578807693514,1
2025-04-22,APSEc1_NS,SARSA,BUY,1230.5,4,95354.33145000004,100316.73145000004,0.0003906108130103879,1
2025-04-23,APSEc1_NS,SARSA,BUY,1240.6,5,94112.49085000005,100294.49085000005,-0.00022170379435732776,1
2025-04-24,APSEc1_NS,SARSA,BUY,1236.4,6,92874.85445000004,100049.05445000004,-0.002447157345532363,1
2025-04-25,APSEc1_NS,SARSA,BUY,1195.7,7,91677.95875000005,100178.75875000005,0.0012964070546497015,1
2025-04-28,APSEc1_NS,SARSA,BUY,1214.4,8,90462.34435000004,100219.94435000005,0.00041112108508728197,1
