Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,ASPN,Policy Iteration,BUY,2343.25,1,97654.40675,99990.35674999999,-9.643250000008265e-05,1
2025-01-03,ASPN,Policy Iteration,BUY,2335.95,2,95316.12079999999,99850.42079999999,-0.001399494456749192,1
2025-01-06,ASPN,Policy Iteration,SELL,2267.15,1,97581.00364999998,99873.60364999999,0.00023217578668429024,1
2025-01-07,ASPN,Policy Iteration,BUY,2292.6,2,95286.11104999998,99954.81104999997,0.0008131017309095042,1
2025-01-13,ASPN,Policy Iteration,SELL,2252.65,1,97536.50839999998,99776.45839999997,-0.00014983904769634527,1
2025-01-14,ASPN,Policy Iteration,SELL,2239.95,0,99774.21844999997,99774.21844999997,-2.2449684383694906e-05,0
2025-01-15,ASPN,Policy Iteration,BUY,2229.7,1,97542.28874999998,99757.88874999998,-0.0001636665288254884,1
2025-01-16,ASPN,Policy Iteration,BUY,2215.6,2,95324.47314999998,99846.47314999998,0.0008879939332115473,1
2025-01-17,ASPN,Policy Iteration,BUY,2261.0,3,93061.21214999998,99902.86214999997,0.0005647570537146768,1
2025-01-20,ASPN,Policy Iteration,SELL,2280.55,2,95339.48159999998,99860.18159999998,-0.0004272204928013671,1
2025-01-21,ASPN,Policy Iteration,SELL,2260.35,1,97597.57124999998,99859.67124999998,-5.110645622907956e-06,1
2025-01-22,ASPN,Policy Iteration,SELL,2262.1,0,99857.40914999998,99857.40914999998,-2.2652788374838505e-05,0
2025-01-30,ASPN,Policy Iteration,BUY,2249.85,1,97605.30929999998,99906.10929999998,0.00048769691117110485,1
2025-02-06,ASPN,Policy Iteration,SELL,2263.4,0,99866.44589999998,99866.44589999998,-2.2663755403076808e-05,0
2025-02-07,ASPN,Policy Iteration,BUY,2271.0,1,97593.17489999998,99863.32489999998,-3.125173797738191e-05,1
2025-02-11,ASPN,Policy Iteration,SELL,2240.85,0,99831.78404999999,99831.78404999999,-2.2445754363269753e-05,0
