Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-08,AXBK,Expected SARSA,BUY,1074.95,1,98923.97505,99985.72505,-0.00014274950000006355,1
2025-01-17,AXBK,Expected SARSA,SELL,991.05,0,99914.034,99914.034,-9.91892860459132e-06,0
2025-03-03,AXBK,Expected SARSA,BUY,1007.25,1,98905.77675,99907.57675000001,-6.462805815639674e-05,1
2025-03-05,AXBK,Expected SARSA,SELL,1014.45,0,99919.2123,99919.2123,-1.0152599058252218e-05,0
2025-03-12,AXBK,Expected SARSA,BUY,1011.2,1,98907.0011,99917.20109999999,-2.0128261159321634e-05,1
2025-03-17,AXBK,Expected SARSA,SELL,1034.15,0,99940.11695,99940.11695,-1.0347589442485655e-05,0
2025-04-07,AXBK,Expected SARSA,BUY,1047.95,1,98891.11899999999,99968.969,0.00028869337840014734,1
2025-04-08,AXBK,Expected SARSA,SELL,1077.85,0,99967.89115,99967.89115,-1.0781845714558585e-05,0
2025-06-03,AXBK,Expected SARSA,BUY,1181.5,1,98785.20964999999,99956.20964999999,-0.0001168525200004287,1
2025-06-09,AXBK,Expected SARSA,SELL,1219.9,0,100003.88974999999,100003.88974999999,-1.2198376705608807e-05,0
2025-06-30,AXBK,Expected SARSA,BUY,1199.2,1,98803.49054999999,99976.79054999999,-0.00027098145949864844,1
2025-07-08,AXBK,Expected SARSA,SELL,1165.4,0,99967.72514999998,99967.72514999998,-1.1657626623506071e-05,0
2025-07-11,AXBK,Expected SARSA,BUY,1173.8,1,98792.75134999998,99965.45134999997,-2.2745341024797163e-05,1
2025-07-16,AXBK,Expected SARSA,SELL,1168.4,0,99959.98294999998,99959.98294999998,-1.1688540840271321e-05,0
2025-08-07,AXBK,Expected SARSA,BUY,1076.2,1,98882.70674999998,99940.80674999999,-0.00019183876821566778,1
2025-08-08,AXBK,Expected SARSA,SELL,1058.1,0,99939.74864999998,99939.74864999998,-1.0587266947485293e-05,0
2025-08-11,AXBK,Expected SARSA,BUY,1073.3,1,98865.37534999997,99935.37534999997,-4.375936560859628e-05,1
2025-08-18,AXBK,Expected SARSA,SELL,1082.6,0,99946.89274999997,99946.89274999997,-1.0831635120348885e-05,0
2025-08-22,AXBK,Expected SARSA,BUY,1070.9,1,98874.92184999997,99944.92184999997,-1.971947246954565e-05,1
2025-09-10,AXBK,Expected SARSA,SELL,1070.1,0,99943.95174999996,99943.95174999996,-1.0706886448209176e-05,0
2025-11-10,AXBK,Expected SARSA,BUY,1217.0,1,98725.73474999996,99948.23474999996,4.2854018927621704e-05,1
2025-11-14,AXBK,Expected SARSA,SELL,1241.6,0,99966.09314999996,99966.09314999996,-1.2420057042767917e-05,0
2025-12-17,AXBK,Expected SARSA,BUY,1224.7,1,98740.16844999995,99969.96844999996,3.876614437842216e-05,1
2025-12-24,AXBK,Expected SARSA,SELL,1226.3,0,99965.24214999995,99965.24214999995,-1.2267113353341236e-05,0
2025-12-29,AXBK,Expected SARSA,BUY,1232.0,1,98732.01014999994,99978.01014999994,0.00012772439425333195,1
2025-12-31,AXBK,Expected SARSA,SELL,1269.4,0,100000.14074999995,100000.14074999995,-1.2693820997984485e-05,0
2026-01-23,AXBK,Expected SARSA,BUY,1258.0,1,98740.88274999995,100056.68274999995,0.0005654192041724832,1
2026-01-27,AXBK,Expected SARSA,SELL,1315.8,0,100055.36694999995,100055.36694999995,-1.3150545908905531e-05,0
2026-03-04,AXBK,Expected SARSA,BUY,1351.3,1,98702.71564999995,100051.81564999996,-3.5493348415448484e-05,1
2026-03-11,AXBK,Expected SARSA,SELL,1255.8,0,99957.25984999996,99957.25984999996,-1.2563211766730545e-05,0
2026-05-08,AXBK,Expected SARSA,BUY,1268.3,1,98687.69154999996,99959.99154999996,2.732868031900049e-05,1
2026-05-12,AXBK,Expected SARSA,SELL,1260.1,0,99946.53144999997,99946.53144999997,-1.2607582223256352e-05,0
2026-05-19,AXBK,Expected SARSA,BUY,1238.3,1,98706.99314999997,99956.79314999997,0.00010267189717470431,1
2026-05-22,AXBK,Expected SARSA,SELL,1285.4,0,99991.10774999997,99991.10774999997,-1.2854977858817134e-05,0
2026-06-02,AXBK,Expected SARSA,BUY,1251.1,1,98738.75664999997,99993.95664999996,2.8491533538363367e-05,1
2026-06-05,AXBK,Expected SARSA,SELL,1272.3,0,100009.78434999997,100009.78434999997,-1.2721593417910396e-05,0
2026-07-03,AXBK,Expected SARSA,BUY,1342.1,1,98666.34224999997,100005.94224999998,-3.841724112261212e-05,1
2026-07-15,AXBK,Expected SARSA,SELL,1312.3,0,99977.32994999997,99977.32994999997,-1.3125803376321133e-05,0
2026-07-17,AXBK,Expected SARSA,BUY,1328.5,1,98647.50144999997,99903.50144999997,-0.0007384524075300461,1
2026-07-20,AXBK,Expected SARSA,SELL,1256.0,0,99902.24544999997,99902.24544999997,-1.2572131924951133e-05,0
2026-07-29,AXBK,Expected SARSA,BUY,1235.4,1,98665.61004999997,99894.51004999997,-7.742969104609881e-05,1
2026-07-30,AXBK,Expected SARSA,SELL,1228.9,0,99893.28114999998,99893.28114999998,-1.2301977349628479e-05,0
