Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,BAJAc1_NS,Monte Carlo,BUY,9119.35,1,90871.53065,99865.48065,-0.0013451935000000231,1
2025-01-03,BAJAc1_NS,Monte Carlo,SELL,8993.95,0,99856.48670000001,99856.48670000001,-9.006064899953122e-05,0
2025-01-08,BAJAc1_NS,Monte Carlo,BUY,8687.0,1,91160.7997,100019.4497,0.0016319720970113883,1
2025-01-09,BAJAc1_NS,Monte Carlo,BUY,8858.65,2,82293.29105,99853.29105,-0.001661263389254556,1
2025-01-10,BAJAc1_NS,Monte Carlo,BUY,8780.0,3,73504.51105,99338.26105,-0.005157867052595247,1
2025-01-13,BAJAc1_NS,Monte Carlo,BUY,8611.25,4,64884.6498,99426.04980000001,0.000883735522165223,1
2025-01-14,BAJAc1_NS,Monte Carlo,BUY,8635.35,5,56240.66445,99305.41445,-0.0012133173372840904,1
2025-01-15,BAJAc1_NS,Monte Carlo,BUY,8612.95,6,47619.1015,99183.40149999999,-0.001228663619962405,1
2025-01-16,BAJAc1_NS,Monte Carlo,BUY,8594.05,7,39016.45745,99154.85745000001,-0.0002877905936708799,1
2025-01-17,BAJAc1_NS,Monte Carlo,BUY,8591.2,8,30416.666250000002,98828.26625000002,-0.0032937488732176605,1
2025-01-20,BAJAc1_NS,Monte Carlo,SELL,8551.45,7,38959.5648,98306.2648,-0.005281904355981865,1
2025-01-21,BAJAc1_NS,Monte Carlo,BUY,8478.1,8,30472.9867,98164.98670000001,-0.0014371220418904157,1
2025-01-28,BAJAc1_NS,Monte Carlo,SELL,8423.45,7,38888.01325,99188.81325,0.013572640373307632,1
2025-01-29,BAJAc1_NS,Monte Carlo,SELL,8614.4,6,47493.79885000001,99981.79885,0.007994708012095305,1
2025-01-30,BAJAc1_NS,Monte Carlo,SELL,8748.0,5,56233.05085000001,100726.80085,0.00745137623616574,1
2025-01-31,BAJAc1_NS,Monte Carlo,SELL,8898.75,4,65122.90210000001,101842.1021,0.01107253720547409,1
2025-02-01,BAJAc1_NS,Monte Carlo,BUY,9179.8,5,55933.922300000006,100752.4223,-0.010699698626900182,1
2025-02-03,BAJAc1_NS,Monte Carlo,SELL,8963.7,4,64888.65860000001,100729.05860000002,-0.00023189219143952182,1
2025-02-04,BAJAc1_NS,Monte Carlo,SELL,8960.1,3,73839.7985,100756.9985,0.00027737676087030385,1
