Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,BAJAc1_NS,SARSA,BUY,8778.3,1,91212.9217,100332.27170000001,0.0033227170000001208,1
2025-01-02,BAJAc1_NS,SARSA,BUY,9119.35,2,82084.45235,100072.35235,-0.002590585716798945,1
2025-01-03,BAJAc1_NS,SARSA,BUY,8993.95,3,73081.5084,99641.10840000001,-0.004309321604549942,1
2025-01-06,BAJAc1_NS,SARSA,SELL,8853.2,2,81925.8552,99589.0552,-0.0005224068743901024,1
2025-01-07,BAJAc1_NS,SARSA,SELL,8831.6,1,90748.6236,99435.6236,-0.0015406472095941346,1
2025-01-20,BAJAc1_NS,SARSA,SELL,8551.45,0,99291.52215,99291.52215,-8.611725741962614e-05,0
2025-01-21,BAJAc1_NS,SARSA,BUY,8478.1,1,90804.94405,99266.44405,-0.00025257040537774464,1
2025-01-22,BAJAc1_NS,SARSA,SELL,8461.5,0,99257.98255,99257.98255,-8.524028518381171e-05,0
2025-01-23,BAJAc1_NS,SARSA,BUY,8422.9,1,90826.65965,99222.00965,-0.000362418206332901,1
2025-01-24,BAJAc1_NS,SARSA,BUY,8395.35,2,82422.9143,99160.1143,-0.0006238066555831561,1
2025-01-27,BAJAc1_NS,SARSA,BUY,8368.6,3,74045.94570000001,99316.29570000002,0.0015750425572070548,1
2025-01-28,BAJAc1_NS,SARSA,SELL,8423.45,2,82460.97225,99689.77225000001,0.00376047603636099,1
2025-01-29,BAJAc1_NS,SARSA,SELL,8614.4,1,91066.75785000001,99814.75785000001,0.0012537454663509872,1
2025-01-30,BAJAc1_NS,SARSA,SELL,8748.0,0,99806.00985,99806.00985,-8.764235057458358e-05,0
2025-01-31,BAJAc1_NS,SARSA,BUY,8898.75,1,90898.36110000001,100078.16110000001,0.0027268022277318793,1
2025-02-01,BAJAc1_NS,SARSA,SELL,9179.8,0,100068.98130000001,100068.98130000001,-9.172630571044801e-05,0
2025-02-03,BAJAc1_NS,SARSA,BUY,8963.7,1,91096.31760000001,100056.41760000002,-0.0001255503937062542,1
2025-02-04,BAJAc1_NS,SARSA,SELL,8960.1,0,100047.4575,100047.4575,-8.955047776976527e-05,0
2025-02-05,BAJAc1_NS,SARSA,BUY,8972.4,1,91066.08510000001,99955.43510000002,-0.0009197874918509258,1
2025-02-06,BAJAc1_NS,SARSA,SELL,8889.35,0,99946.54575000002,99946.54575000002,-8.893313296174774e-05,0
