Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,BAJE,Q-Learning,BUY,293.9,1,99705.8061,100002.6061,2.606100000004517e-05,1
2025-01-06,BAJE,Q-Learning,BUY,282.15,2,99423.37395000001,99997.37395000001,9.418984413076277e-05,1
2025-01-13,BAJE,Q-Learning,BUY,259.6,3,99163.51435000001,99973.21435000001,0.00030658005681675625,1
2025-01-14,BAJE,Q-Learning,SELL,269.9,2,99433.14445,99968.84445,-4.3710708197361716e-05,1
2025-01-15,BAJE,Q-Learning,SELL,267.85,1,99700.72660000001,99976.8766,8.034653240406733e-05,1
2025-01-16,BAJE,Q-Learning,SELL,276.15,0,99976.60045000001,99976.60045000001,-2.762138700286158e-06,0
2025-01-17,BAJE,Q-Learning,BUY,282.15,1,99694.16830000002,99979.96830000002,3.3686382462003774e-05,1
2025-01-20,BAJE,Q-Learning,SELL,285.8,0,99979.68250000002,99979.68250000002,-2.8585726206700008e-06,0
2025-01-21,BAJE,Q-Learning,BUY,279.0,1,99700.40350000003,99970.75350000004,-8.930814518228913e-05,1
2025-01-22,BAJE,Q-Learning,SELL,270.35,0,99970.48315000003,99970.48315000003,-2.7042909105026064e-06,0
2025-01-23,BAJE,Q-Learning,BUY,273.95,1,99696.25920000003,99966.40920000002,-4.075152856761425e-05,1
2025-01-24,BAJE,Q-Learning,SELL,270.15,0,99966.13905000003,99966.13905000003,-2.7024077603524364e-06,0
2025-01-27,BAJE,Q-Learning,BUY,262.95,1,99702.92610000003,99961.17610000003,-4.9646310712457186e-05,1
2025-01-28,BAJE,Q-Learning,SELL,258.25,0,99960.91785000003,99960.91785000003,-2.5835030166171904e-06,0
2025-01-29,BAJE,Q-Learning,BUY,267.2,1,99693.45065000003,99972.20065000003,0.00011287211284846019,1
2025-01-30,BAJE,Q-Learning,SELL,278.75,0,99971.92190000003,99971.92190000003,-2.7882751223369377e-06,0
2025-01-31,BAJE,Q-Learning,BUY,292.65,1,99678.97925000003,99960.77925000004,-0.00011145779523114595,1
2025-02-01,BAJE,Q-Learning,SELL,281.8,0,99960.49745000004,99960.49745000004,-2.819105674358973e-06,0
2025-02-03,BAJE,Q-Learning,BUY,274.15,1,99686.07330000003,99970.57330000003,0.00010079831790586795,1
2025-02-04,BAJE,Q-Learning,SELL,284.5,0,99970.28880000004,99970.28880000004,-2.8458374359877314e-06,0
2025-02-05,BAJE,Q-Learning,BUY,288.95,1,99681.04985000004,99960.79985000004,-9.491770118802556e-05,1
2025-02-06,BAJE,Q-Learning,SELL,279.75,0,99960.52010000004,99960.52010000004,-2.798597054258298e-06,0
2025-02-07,BAJE,Q-Learning,BUY,277.05,1,99683.19305000003,99956.64305000003,-3.8785812600129284e-05,1
2025-02-10,BAJE,Q-Learning,SELL,273.45,0,99956.36960000003,99956.36960000003,-2.735686109992043e-06,0
2025-02-11,BAJE,Q-Learning,BUY,265.05,1,99691.05455000003,99950.20455000002,-6.167741010084186e-05,1
2025-02-12,BAJE,Q-Learning,SELL,259.15,0,99949.94540000003,99949.94540000003,-2.592791091972249e-06,0
2025-02-13,BAJE,Q-Learning,BUY,261.55,1,99688.13385000003,99938.48385000003,-0.00011467289906086042,1
2025-02-14,BAJE,Q-Learning,SELL,250.35,0,99938.23350000003,99938.23350000003,-2.505041004802797e-06,0
2025-02-17,BAJE,Q-Learning,BUY,248.5,1,99689.48500000003,99934.08500000004,-4.1510639669208194e-05,1
2025-02-18,BAJE,Q-Learning,SELL,244.6,0,99933.84040000003,99933.84040000003,-2.4476133443904367e-06,0
2025-02-19,BAJE,Q-Learning,BUY,253.4,1,99680.18700000003,99940.43700000003,6.600967173482506e-05,1
2025-02-20,BAJE,Q-Learning,SELL,260.25,0,99940.17675000003,99940.17675000003,-2.604051050993859e-06,0
2025-02-21,BAJE,Q-Learning,BUY,256.1,1,99683.82065000002,99940.17065000003,-6.103651401333095e-08,1
2025-02-24,BAJE,Q-Learning,SELL,256.35,0,99939.91430000002,99939.91430000002,-2.5650346436602812e-06,0
2025-02-25,BAJE,Q-Learning,BUY,256.65,1,99683.00765000001,99935.45765000001,-4.459329419304252e-05,1
2025-02-27,BAJE,Q-Learning,SELL,252.45,0,99935.20520000001,99935.20520000001,-2.5261304239392094e-06,0
2025-02-28,BAJE,Q-Learning,BUY,246.25,1,99688.70895000001,99946.09895000001,0.00010900813160088362,1
2025-03-03,BAJE,Q-Learning,SELL,257.39,0,99945.84156000002,99945.84156000002,-2.575288107318868e-06,0
2025-03-04,BAJE,Q-Learning,BUY,264.71,1,99680.86685000002,99955.78685000002,9.950679132590912e-05,1
2025-03-05,BAJE,Q-Learning,SELL,274.92,0,99955.51193000002,99955.51193000002,-2.7504160455338375e-06,0
2025-03-06,BAJE,Q-Learning,BUY,272.95,1,99682.28898000003,99959.27898000003,3.768726633752408e-05,1
2025-03-07,BAJE,Q-Learning,SELL,276.99,0,99959.00199000003,99959.00199000003,-2.771028391010081e-06,0
2025-03-10,BAJE,Q-Learning,BUY,272.33,1,99686.39966000004,99963.57966000003,4.579547523350338e-05,1
2025-03-11,BAJE,Q-Learning,SELL,277.18,0,99963.30248000004,99963.30248000004,-2.772809866681393e-06,0
2025-03-12,BAJE,Q-Learning,BUY,276.83,1,99686.19565000004,99966.26565000004,2.964257809105066e-05,1
2025-03-13,BAJE,Q-Learning,SELL,280.07,0,99965.98558000004,99965.98558000004,-2.8016451168492888e-06,0
2025-03-17,BAJE,Q-Learning,BUY,279.93,1,99685.77565000004,99971.08565000004,5.101805349499574e-05,1
2025-03-18,BAJE,Q-Learning,SELL,285.31,0,99970.80034000005,99970.80034000005,-2.853925193839516e-06,0
2025-03-19,BAJE,Q-Learning,BUY,290.0,1,99680.51034000005,99977.56034000005,6.761974473564878e-05,1
2025-03-20,BAJE,Q-Learning,SELL,297.05,0,99977.26329000005,99977.26329000005,-2.9711667197930737e-06,0
2025-03-21,BAJE,Q-Learning,BUY,295.74,1,99681.22755000004,99983.32755000005,6.065639126777093e-05,1
2025-03-24,BAJE,Q-Learning,BUY,302.1,2,99378.82545000003,99978.88545000003,-4.4428407304141175e-05,1
2025-03-25,BAJE,Q-Learning,BUY,300.03,3,99078.49542000004,99977.11542000003,-1.7704038127979332e-05,1
2025-03-26,BAJE,Q-Learning,BUY,299.54,4,98778.65588000003,99981.25588000004,4.141407743777875e-05,1
2025-03-27,BAJE,Q-Learning,BUY,300.65,5,98477.70523000004,99984.30523000004,3.0499216809809286e-05,1
2025-03-28,BAJE,Q-Learning,BUY,301.32,6,98176.08391000003,99928.08391000003,-0.0005623014519197,1
2025-04-01,BAJE,Q-Learning,BUY,292.0,7,97883.79191000003,99860.59191000003,-0.0006754057253893196,1
2025-04-03,BAJE,Q-Learning,SELL,287.5,6,98171.00441000002,99851.00441000002,-0.0004533451556020405,1
2025-04-15,BAJE,Q-Learning,SELL,293.7,5,98464.41071000003,99932.41071000003,-7.94230510950464e-06,1
2025-04-16,BAJE,Q-Learning,SELL,293.6,4,98757.71711000003,99938.31711000003,5.910394793884507e-05,1
2025-04-17,BAJE,Q-Learning,SELL,295.15,3,99052.57196000003,99952.42196000004,0.00014113555649009416,1
2025-04-21,BAJE,Q-Learning,SELL,299.95,2,99352.22201000003,99958.92201000002,6.503144068473977e-05,1
2025-04-22,BAJE,Q-Learning,SELL,303.35,1,99655.26866000003,99961.11866000004,2.1975527104952577e-05,1
2025-04-23,BAJE,Q-Learning,SELL,305.85,0,99960.81281000003,99960.81281000003,-3.0596896483779705e-06,0
2025-04-24,BAJE,Q-Learning,BUY,305.7,1,99654.80711000004,99952.40711000004,-8.408995248933716e-05,1
2025-04-25,BAJE,Q-Learning,SELL,297.6,0,99952.10951000004,99952.10951000004,-2.9774170388694673e-06,0
2025-04-28,BAJE,Q-Learning,BUY,305.05,1,99646.75446000004,99963.85446000005,0.00011750577409106567,1
2025-04-29,BAJE,Q-Learning,SELL,317.1,0,99963.53736000005,99963.53736000005,-3.1721465895164665e-06,0
2025-04-30,BAJE,Q-Learning,BUY,314.1,1,99649.12326000005,99960.47326000006,-3.0652176592689985e-05,1
2025-05-02,BAJE,Q-Learning,SELL,311.35,0,99960.16191000005,99960.16191000005,-3.1147311517198933e-06,0
2025-05-05,BAJE,Q-Learning,BUY,315.3,1,99644.54661000005,99955.04661000005,-5.1173386499819175e-05,1
2025-05-06,BAJE,Q-Learning,SELL,310.5,0,99954.73611000004,99954.73611000004,-3.106396430571064e-06,0
2025-05-07,BAJE,Q-Learning,BUY,309.95,1,99644.47616000003,99951.62616000003,-3.111358321821053e-05,1
2025-05-08,BAJE,Q-Learning,SELL,307.15,0,99951.31901000004,99951.31901000004,-3.072986521515851e-06,0
2025-05-09,BAJE,Q-Learning,BUY,315.85,1,99635.15316000003,99957.95316000003,6.637381142848454e-05,1
2025-05-12,BAJE,Q-Learning,SELL,322.8,0,99957.63036000002,99957.63036000002,-3.2293578430153847e-06,0
2025-05-13,BAJE,Q-Learning,BUY,335.75,1,99621.54461000003,99965.89461000003,8.267753017196924e-05,1
2025-05-14,BAJE,Q-Learning,BUY,344.35,2,99276.85026000002,99977.65026000002,0.00011759660678128822,1
2025-05-15,BAJE,Q-Learning,BUY,350.4,3,98926.09986000002,100017.79986000001,0.0004015857533716528,1
2025-05-16,BAJE,Q-Learning,BUY,363.9,4,98561.83596000001,100016.83596000001,-9.637284576862195e-06,1
2025-05-19,BAJE,Q-Learning,BUY,363.75,5,98197.72221,100016.72221,-1.137308523232697e-06,1
2025-05-20,BAJE,Q-Learning,BUY,363.8,6,97833.55841000001,100131.55841000001,0.0011481700006013944,1
2025-05-21,BAJE,Q-Learning,SELL,383.0,5,98216.17541000001,100133.17541000001,1.614875495473046e-05,1
2025-05-22,BAJE,Q-Learning,SELL,383.4,4,98599.19201000001,100134.39201000001,1.2149819428159726e-05,1
2025-05-23,BAJE,Q-Learning,SELL,383.8,3,98982.60821000002,100136.25821000001,1.8636953423731362e-05,1
2025-05-26,BAJE,Q-Learning,BUY,384.55,4,98597.67366000001,100139.27366000002,3.0113467927695192e-05,1
2025-05-27,BAJE,Q-Learning,BUY,385.4,5,98211.88826000002,100164.13826000002,0.00024830018324701307,1
2025-05-28,BAJE,Q-Learning,BUY,390.45,6,97821.04781000002,100141.84781000002,-0.0002225392279833748,1
2025-05-29,BAJE,Q-Learning,BUY,386.8,7,97433.86101000002,100126.06101000002,-0.0001576443848924588,1
2025-05-30,BAJE,Q-Learning,BUY,384.6,8,97048.87641000003,100148.87641000003,0.00022786674887498174,1
2025-06-02,BAJE,Q-Learning,BUY,387.5,9,96660.98891000003,100134.98891000003,-0.0001386685552331409,1
2025-06-03,BAJE,Q-Learning,BUY,386.0,10,96274.60291000003,100180.60291000003,0.0004555250916440271,1
2025-06-04,BAJE,Q-Learning,BUY,390.6,11,95883.61231000003,100212.11231000003,0.00031452595696896226,1
2025-06-05,BAJE,Q-Learning,BUY,393.5,12,95489.71881000002,100178.11881000001,-0.0003392154822049315,1
2025-06-06,BAJE,Q-Learning,BUY,390.7,13,95098.62811000002,100200.47811000003,0.00022319544692607097,1
2025-06-09,BAJE,Q-Learning,BUY,392.45,14,94705.78566000002,100269.38566000003,0.0006876968184159448,1
2025-06-10,BAJE,Q-Learning,BUY,397.4,15,94307.98826000003,100201.48826000003,-0.0006771498553928772,1
2025-06-11,BAJE,Q-Learning,SELL,392.9,14,94700.49536000003,100124.09536000004,-0.0007723727595659528,1
2025-06-12,BAJE,Q-Learning,SELL,387.4,13,95087.50796000003,100212.10796000004,0.0008790351581559778,1
2025-06-13,BAJE,Q-Learning,SELL,394.2,12,95481.31376000003,100327.51376000003,0.0011516153322117298,1
2025-06-16,BAJE,Q-Learning,SELL,403.85,11,95884.75991000004,100304.00991000004,-0.00023427122948764363,1
2025-06-17,BAJE,Q-Learning,SELL,401.75,10,96286.10816000003,100291.10816000003,-0.00012862646280623193,1
2025-06-18,BAJE,Q-Learning,SELL,400.5,9,96686.20766000003,100273.15766000003,-0.00017898396307845004,1
2025-06-19,BAJE,Q-Learning,SELL,398.55,8,97084.35911000003,100350.35911000003,0.0007699114279593909,1
2025-06-20,BAJE,Q-Learning,SELL,408.25,7,97492.20086000004,100438.50086000004,0.0008783401552493931,1
2025-06-23,BAJE,Q-Learning,BUY,420.9,8,97070.87996000003,100418.87996000003,-0.00019535237814190707,1
2025-06-24,BAJE,Q-Learning,BUY,418.5,9,96651.96146000004,100306.41146000003,-0.001119993571376243,1
2025-06-25,BAJE,Q-Learning,SELL,406.05,8,97057.60541000003,100338.40541000004,0.0003189621633783814,1
2025-06-26,BAJE,Q-Learning,SELL,410.1,7,97467.29531000003,100368.79531000003,0.0003028740578028552,1
2025-06-27,BAJE,Q-Learning,SELL,414.5,6,97881.38081000003,100410.38081000003,0.00041432698152408495,1
2025-06-30,BAJE,Q-Learning,SELL,421.5,5,98302.45931000003,100463.70931000003,0.0005311054451721807,1
2025-07-01,BAJE,Q-Learning,BUY,432.25,6,97869.77706000004,100431.47706000003,-0.0003208347593511817,1
2025-07-02,BAJE,Q-Learning,BUY,426.95,7,97442.40011000003,100426.15011000003,-5.3040641798188014e-05,1
2025-07-03,BAJE,Q-Learning,SELL,426.25,6,97868.22386000003,100433.52386000003,7.34246009821359e-05,1
2025-07-04,BAJE,Q-Learning,SELL,427.55,5,98295.34631000002,100380.84631000002,-0.0005245016601571984,1
2025-07-07,BAJE,Q-Learning,SELL,417.1,4,98712.02921000002,100400.02921000002,0.0001911011981385215,1
2025-07-08,BAJE,Q-Learning,SELL,422.0,3,99133.60721000002,100386.55721000001,-0.0001341832278935932,1
