Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-06,BAJE,Value Iteration,BUY,282.15,1,99717.56785,100004.56785,4.567850000006729e-05,1
2025-01-07,BAJE,Value Iteration,SELL,287.0,0,100004.28085000001,100004.28085000001,-2.869868908659295e-06,0
2025-01-13,BAJE,Value Iteration,BUY,259.6,1,99744.42125000001,100014.32125000001,0.00010039970203933568,1
2025-01-14,BAJE,Value Iteration,BUY,269.9,2,99474.25135000002,100009.95135000002,-4.3692742652998744e-05,1
2025-01-15,BAJE,Value Iteration,BUY,267.85,3,99206.13350000003,100034.58350000002,0.0002462969901245223,1
2025-01-16,BAJE,Value Iteration,BUY,276.15,4,98929.70735000003,100058.30735000003,0.00023715648298779993,1
2025-01-17,BAJE,Value Iteration,BUY,282.15,5,98647.27520000003,100076.27520000003,0.0001795737952786876,1
2025-01-20,BAJE,Value Iteration,BUY,285.8,6,98361.18940000003,100035.18940000003,-0.000410544856089935,1
2025-01-21,BAJE,Value Iteration,BUY,279.0,7,98081.91040000004,99974.36040000003,-0.0006080760216964,1
2025-01-22,BAJE,Value Iteration,BUY,270.35,8,97811.29005000004,100002.89005000005,0.0002853696676414176,1
2025-01-23,BAJE,Value Iteration,BUY,273.95,9,97537.06610000004,99968.41610000005,-0.00034472953714400766,1
2025-01-24,BAJE,Value Iteration,BUY,270.15,10,97266.64595000003,99896.14595000003,-0.0007229298294345104,1
2025-01-27,BAJE,Value Iteration,BUY,262.95,11,97003.43300000003,99844.18300000003,-0.0005201697173183185,1
2025-01-28,BAJE,Value Iteration,BUY,258.25,12,96744.92475000003,99951.32475000003,0.0010730895559533517,1
2025-01-29,BAJE,Value Iteration,BUY,267.2,13,96477.45755000004,100101.20755000004,0.0014995579135633882,1
2025-01-30,BAJE,Value Iteration,BUY,278.75,14,96198.42880000004,100295.52880000004,0.0019412478106514918,1
2025-01-31,BAJE,Value Iteration,BUY,292.65,15,95905.48615000004,100132.48615000004,-0.001625622317871492,1
2025-02-01,BAJE,Value Iteration,BUY,281.8,16,95623.40435000004,100009.80435000003,-0.0012251947865972936,1
2025-02-03,BAJE,Value Iteration,BUY,274.15,17,95348.98020000003,100185.48020000003,0.0017565862781332355,1
2025-02-04,BAJE,Value Iteration,BUY,284.5,18,95064.19570000004,100265.29570000005,0.0007966773213111924,1
2025-02-05,BAJE,Value Iteration,BUY,288.95,19,94774.95675000004,100090.20675000004,-0.001746256755915644,1
2025-02-06,BAJE,Value Iteration,BUY,279.75,20,94494.92700000004,100035.92700000004,-0.0005423083013064261,1
2025-02-07,BAJE,Value Iteration,BUY,277.05,21,94217.59995000003,99960.04995000003,-0.000758497994425643,1
2025-02-10,BAJE,Value Iteration,BUY,273.45,22,93943.87650000003,99774.97650000003,-0.0018514741648545583,1
2025-02-11,BAJE,Value Iteration,BUY,265.05,23,93678.56145000002,99639.01145000002,-0.001362716933338625,1
2025-02-12,BAJE,Value Iteration,BUY,259.15,24,93419.15230000002,99696.35230000001,0.0005754859383442148,1
2025-02-13,BAJE,Value Iteration,BUY,261.55,25,93157.34075000002,99416.09075000002,-0.002811151496863698,1
2025-02-14,BAJE,Value Iteration,BUY,250.35,26,92906.74040000002,99367.74040000002,-0.0004863433035360358,1
2025-02-17,BAJE,Value Iteration,BUY,248.5,27,92657.99190000002,99262.19190000002,-0.0010622008669526352,1
2025-02-18,BAJE,Value Iteration,BUY,244.6,28,92413.14730000003,99508.34730000002,0.0024798505381383104,1
2025-02-19,BAJE,Value Iteration,BUY,253.4,29,92159.49390000003,99706.74390000003,0.0019937684162503145,1
2025-02-20,BAJE,Value Iteration,BUY,260.25,30,91898.98365000002,99581.98365000002,-0.0012512719312660916,1
2025-02-21,BAJE,Value Iteration,BUY,256.1,31,91642.62755000002,99589.47755000003,7.525357223591822e-05,1
2025-02-24,BAJE,Value Iteration,BUY,256.35,32,91386.02120000002,99598.82120000002,9.382165897299907e-05,1
2025-02-25,BAJE,Value Iteration,BUY,256.65,33,91129.11455000001,99459.96455000002,-0.001394159572643632,1
2025-02-27,BAJE,Value Iteration,BUY,252.45,34,90876.41210000002,99248.91210000002,-0.0021219839656578966,1
2025-02-28,BAJE,Value Iteration,BUY,246.25,35,90629.91585000002,99638.56585000001,0.003926025401743397,1
2025-03-03,BAJE,Value Iteration,BUY,257.39,36,90372.26846000002,99901.82846000002,0.002642175825737311,1
2025-03-04,BAJE,Value Iteration,BUY,264.71,37,90107.29375000003,100279.33375000002,0.0037787625694073396,1
2025-03-05,BAJE,Value Iteration,BUY,274.92,38,89832.09883000003,100204.19883000004,-0.0007492562743515657,1
2025-03-06,BAJE,Value Iteration,BUY,272.95,39,89558.87588000004,100361.48588000004,0.0015696652619002726,1
2025-03-07,BAJE,Value Iteration,BUY,276.99,40,89281.60889000003,100174.80889000003,-0.0018600460960015346,1
2025-03-10,BAJE,Value Iteration,BUY,272.33,41,89009.00656000004,100373.38656000004,0.001982311443369635,1
2025-03-11,BAJE,Value Iteration,SELL,277.18,40,89285.90938000004,100359.10938000004,-0.0001422406923718783,1
2025-03-12,BAJE,Value Iteration,BUY,276.83,41,89008.80255000004,100491.67255000003,0.0013208882663362067,1
2025-03-13,BAJE,Value Iteration,BUY,280.07,42,88728.45248000004,100485.51248000003,-6.129930812857273e-05,1
2025-03-17,BAJE,Value Iteration,SELL,279.93,41,89008.10255000004,100705.81255000005,0.0021923565354145863,1
2025-03-18,BAJE,Value Iteration,SELL,285.31,40,89293.12724000005,100893.12724000005,0.0018600186549013566,1
2025-03-19,BAJE,Value Iteration,SELL,290.0,39,89582.83724000005,101167.78724000005,0.0027222865175608505,1
2025-03-20,BAJE,Value Iteration,SELL,297.05,38,89879.59019000005,101117.71019000004,-0.0004949900691334634,1
2025-04-02,BAJE,Value Iteration,SELL,282.4,37,90161.70779000004,100799.20779000004,0.0018727375030469443,1
2025-04-03,BAJE,Value Iteration,BUY,287.5,38,89873.92029000004,100513.92029000004,-0.0028302553785378884,1
2025-04-04,BAJE,Value Iteration,SELL,280.0,37,90153.64029000004,100221.34029000004,-0.0029108405995493746,1
2025-04-07,BAJE,Value Iteration,SELL,272.1,36,90425.46819000004,100557.66819000004,0.0033558511493341327,1
2025-04-08,BAJE,Value Iteration,SELL,281.45,35,90706.63674000005,100511.88674000005,-0.00045527557295275153,1
2025-04-09,BAJE,Value Iteration,SELL,280.15,34,90986.50659000005,100676.50659000005,0.0016378147435022739,1
2025-04-11,BAJE,Value Iteration,SELL,285.0,33,91271.22159000004,100963.32159000005,0.0028488771582832312,1
2025-04-15,BAJE,Value Iteration,BUY,293.7,34,90977.22789000004,100959.62789000003,-3.6584572910721685e-05,1
2025-04-16,BAJE,Value Iteration,BUY,293.6,35,90683.33429000004,101013.58429000004,0.0005344354087635694,1
2025-04-17,BAJE,Value Iteration,BUY,295.15,36,90387.88914000004,101186.08914000004,0.0017077391245196598,1
2025-04-21,BAJE,Value Iteration,BUY,299.95,37,90087.63919000005,101311.58919000004,0.0012402895602216801,1
2025-04-22,BAJE,Value Iteration,BUY,303.35,38,89783.98584000005,101406.28584000006,0.000934706984236702,1
2025-04-23,BAJE,Value Iteration,BUY,305.85,39,89477.82999000006,101400.12999000006,-6.07048167576941e-05,1
2025-04-24,BAJE,Value Iteration,BUY,305.7,40,89171.82429000006,101075.82429000006,-0.003198276965049056,1
2025-04-25,BAJE,Value Iteration,BUY,297.6,41,88873.92669000007,101380.97669000007,0.003019044387157143,1
2025-04-28,BAJE,Value Iteration,BUY,305.05,42,88568.57164000007,101886.77164000006,0.0049890518568054595,1
2025-04-29,BAJE,Value Iteration,SELL,317.1,41,88885.35454000007,101763.45454000008,-0.0012103347472398683,1
2025-04-30,BAJE,Value Iteration,SELL,314.1,40,89199.14044000008,101653.14044000008,-0.001084024716914874,1
2025-05-02,BAJE,Value Iteration,SELL,311.35,39,89510.17909000008,101806.87909000007,0.001512384657616577,1
2025-05-05,BAJE,Value Iteration,SELL,315.3,38,89825.16379000008,101624.16379000008,-0.0017947244983167676,1
2025-05-06,BAJE,Value Iteration,SELL,310.5,37,90135.35329000007,101603.50329000007,-0.00020330302586997232,1
2025-05-07,BAJE,Value Iteration,BUY,309.95,38,89825.09334000006,101496.79334000006,-0.0010502585692879996,1
2025-05-08,BAJE,Value Iteration,BUY,307.15,39,89517.63619000006,101835.78619000007,0.0033399365521276226,1
2025-05-09,BAJE,Value Iteration,BUY,315.85,40,89201.47034000006,102113.47034000006,0.0027267835835420107,1
