Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-08-08,BJFN,Q-Learning,BUY,877.15,1,99121.97285,99999.77285000001,-2.2714999999152495e-06,1
2025-08-11,BJFN,Q-Learning,SELL,877.8,0,99998.89505,99998.89505,-8.778019939292548e-06,0
2025-08-12,BJFN,Q-Learning,BUY,853.0,1,99145.04205,100005.04205,6.14706792202421e-05,1
2025-08-13,BJFN,Q-Learning,SELL,860.0,0,100004.18205,100004.18205,-8.59956640556787e-06,0
2025-08-14,BJFN,Q-Learning,BUY,861.45,1,99141.87060000001,100047.0706,0.00042886756454405006,1
2025-08-18,BJFN,Q-Learning,SELL,905.2,0,100046.16540000001,100046.16540000001,-9.047741173880841e-06,0
2025-11-13,BJFN,Q-Learning,BUY,1005.4,1,99039.76000000001,100058.26000000001,0.0001208901905599344,1
2025-11-27,BJFN,Q-Learning,SELL,1033.8,0,100072.52620000001,100072.52620000001,-1.0330400957102985e-05,0
2025-12-26,BJFN,Q-Learning,BUY,1000.0,1,99071.52620000001,100069.52620000001,-2.997825790871261e-05,1
2025-12-29,BJFN,Q-Learning,SELL,998.0,0,100068.5282,100068.5282,-9.973066106181568e-06,0
2026-01-01,BJFN,Q-Learning,BUY,973.1,1,99094.4551,100084.9051,0.00016365684890729643,1
2026-01-02,BJFN,Q-Learning,SELL,990.45,0,100083.91465,100083.91465,-9.89609770831974e-06,0
2026-01-09,BJFN,Q-Learning,BUY,959.6,1,99123.35505000001,100075.25505,-8.652339419658226e-05,1
2026-01-12,BJFN,Q-Learning,SELL,951.9,0,100074.30315,100074.30315,-9.511841858653582e-06,0
2026-01-13,BJFN,Q-Learning,BUY,949.0,1,99124.35415000001,100070.30415000001,-3.996030823219535e-05,1
2026-01-14,BJFN,Q-Learning,SELL,945.95,0,100069.35820000002,100069.35820000002,-9.452854251107018e-06,0
2026-01-16,BJFN,Q-Learning,BUY,950.25,1,99118.15795000002,100087.60795000002,0.000182371010749649,1
2026-01-19,BJFN,Q-Learning,SELL,969.45,0,100086.63850000002,100086.63850000002,-9.68601428149272e-06,0
2026-01-23,BJFN,Q-Learning,BUY,927.85,1,99157.86065000002,100072.56065000001,-0.00014065663719939488,1
2026-01-27,BJFN,Q-Learning,SELL,914.7,0,100071.64595000002,100071.64595000002,-9.140367689730938e-06,0
2026-03-06,BJFN,Q-Learning,BUY,950.2,1,99120.49575000002,100058.54575000002,-0.0001309082095696335,1
2026-03-09,BJFN,Q-Learning,SELL,938.05,0,100057.60770000002,100057.60770000002,-9.375011329274888e-06,0
2026-03-10,BJFN,Q-Learning,BUY,939.8,1,99116.86790000003,100010.51790000002,-0.0004706268826773234,1
2026-03-11,BJFN,Q-Learning,SELL,893.65,0,100009.62425000002,100009.62425000002,-8.935560166698832e-06,0
2026-03-12,BJFN,Q-Learning,BUY,863.1,1,99145.66115000003,100000.71115000003,-8.912242263514615e-05,1
2026-03-13,BJFN,Q-Learning,SELL,855.05,0,99999.85610000003,99999.85610000003,-8.550439193534676e-06,0
2026-03-16,BJFN,Q-Learning,BUY,878.15,1,99120.82795000004,99989.42795000004,-0.00010428165006121897,1
2026-03-17,BJFN,Q-Learning,SELL,868.6,0,99988.55935000004,99988.55935000004,-8.686918385371223e-06,0
2026-03-18,BJFN,Q-Learning,BUY,880.1,1,99107.57925000004,99939.77925000004,-0.0004878568139906255,1
2026-03-19,BJFN,Q-Learning,SELL,832.2,0,99938.94705000005,99938.94705000005,-8.327014590537281e-06,0
2026-03-20,BJFN,Q-Learning,BUY,830.55,1,99107.56650000004,99920.16650000005,-0.00018792023084453587,1
2026-03-23,BJFN,Q-Learning,SELL,812.6,0,99919.35390000005,99919.35390000005,-8.132492453410286e-06,0
