Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,BJFN,Value Iteration,BUY,737.92,1,99261.34208,100001.06208,1.0620800000033341e-05,1
2025-01-10,BJFN,Value Iteration,BUY,727.81,2,98532.80427000001,99961.04427000001,-0.0002811085944353053,1
2025-01-14,BJFN,Value Iteration,BUY,732.5,3,97799.57177000001,99949.85177000001,-0.00047953552930547175,1
2025-01-15,BJFN,Value Iteration,BUY,716.76,4,97082.09501,99982.05501000001,0.00032219397457544175,1
2025-01-16,BJFN,Value Iteration,BUY,724.99,5,96356.38002000001,99942.53002,-0.0003953208402853105,1
2025-01-17,BJFN,Value Iteration,BUY,717.23,6,95638.43279,100096.43279,0.0015399126875135375,1
2025-01-20,BJFN,Value Iteration,BUY,743.0,7,94894.68979,99991.87979,-0.001044522737581964,1
2025-01-21,BJFN,Value Iteration,BUY,728.17,8,94165.79162,100075.47162,0.0008359861838336012,1
2025-01-22,BJFN,Value Iteration,BUY,738.71,9,93426.34291,100116.13291,0.000406306254087915,1
2025-01-23,BJFN,Value Iteration,BUY,743.31,10,92682.2896,100110.7896,-5.337111856687437e-05,1
2025-01-24,BJFN,Value Iteration,BUY,742.85,11,91938.69675,99952.74675,-0.0015786794873107063,1
2025-01-27,BJFN,Value Iteration,BUY,728.55,12,91209.4182,100324.9782,0.0037240742461136216,1
2025-01-28,BJFN,Value Iteration,BUY,759.63,13,90449.02857,100522.85857,0.001972393849969448,1
2025-01-29,BJFN,Value Iteration,BUY,774.91,14,89673.34366,100720.60366,0.0019671654070829584,1
2025-01-31,BJFN,Value Iteration,BUY,787.44,15,88885.11622,100868.91622,0.0017022523277117456,1
2025-02-03,BJFN,Value Iteration,BUY,841.43,16,88042.84479,101584.92479,0.0007719556765439291,1
2025-02-04,BJFN,Value Iteration,BUY,846.38,17,87195.61841000001,101642.04841000002,0.0005623237908390544,1
2025-02-05,BJFN,Value Iteration,BUY,849.79,18,86344.97862000001,101637.23862,-4.7320868432445734e-05,1
2025-02-06,BJFN,Value Iteration,BUY,849.57,19,85494.55905000001,101573.68905000002,-0.0006252587227166473,1
2025-02-07,BJFN,Value Iteration,BUY,846.27,20,84647.44278000001,101198.44278000001,-0.003694325504071108,1
2025-02-10,BJFN,Value Iteration,BUY,827.55,21,83819.06523000001,100997.27523,-0.001987852228490712,1
2025-02-11,BJFN,Value Iteration,BUY,818.01,22,83000.23722000001,101046.61722000001,0.000488547734457681,1
2025-02-12,BJFN,Value Iteration,BUY,820.29,23,82179.12693000001,101493.60693000001,0.00442359895162846,1
2025-02-13,BJFN,Value Iteration,BUY,839.76,24,81338.52717000002,101452.68717000002,-0.0004031757392188462,1
2025-02-14,BJFN,Value Iteration,BUY,838.09,25,80499.59908000001,101537.34908000001,0.0008344964767481303,1
2025-02-17,BJFN,Value Iteration,BUY,841.51,26,79657.24757000002,101638.68757000002,0.0009980415179065376,1
2025-02-18,BJFN,Value Iteration,BUY,845.44,27,78810.96213000001,101566.56213,-0.0007096258494123526,1
2025-02-19,BJFN,Value Iteration,BUY,842.8,28,77967.31933000001,101453.71933,-0.0011110231323530034,1
2025-03-05,BJFN,Value Iteration,SELL,828.74,27,78795.23059,101473.61059000001,0.0029807767244499307,1
2025-03-06,BJFN,Value Iteration,SELL,839.94,26,79634.33065,101456.39065,-0.00016969870195696911,1
2025-03-07,BJFN,Value Iteration,SELL,839.31,25,80472.80134,101301.05134,-0.0015310943845408297,1
2025-03-10,BJFN,Value Iteration,SELL,833.13,24,81305.09821000001,101294.93821000001,-6.034616540632153e-05,1
2025-03-11,BJFN,Value Iteration,SELL,832.91,23,82137.17530000002,101624.84530000002,0.00325689610783966,1
2025-03-13,BJFN,Value Iteration,SELL,840.9,22,82977.23440000002,101828.37440000002,0.0034539459854063467,1
2025-03-26,BJFN,Value Iteration,BUY,885.4,23,82090.94900000002,102771.62900000002,0.003080292945634412,1
2025-03-27,BJFN,Value Iteration,BUY,899.16,24,81190.88984000002,102631.04984000002,-0.001367879067091501,1
2025-04-03,BJFN,Value Iteration,SELL,858.29,23,82048.32155000002,102074.42155000003,0.002795678650153497,1
2025-04-07,BJFN,Value Iteration,SELL,855.64,22,82903.10591000003,102285.76591000003,0.005482503658795811,1
2025-04-30,BJFN,Value Iteration,BUY,862.28,23,82039.96363000003,102396.11363000002,0.005132334919564674,1
2025-05-02,BJFN,Value Iteration,BUY,885.05,24,81154.02858000003,102561.78858000002,0.001617980840548826,1
2025-05-05,BJFN,Value Iteration,BUY,891.99,25,80261.14659000003,102224.89659000003,-0.003284771011351927,1
2025-05-06,BJFN,Value Iteration,BUY,878.55,26,79381.71804000004,102714.89804000003,0.00479336704017688,1
2025-05-07,BJFN,Value Iteration,BUY,897.43,27,78483.39061000003,102298.74061000004,-0.00405157808595525,1
2025-05-08,BJFN,Value Iteration,BUY,882.05,28,77600.45856000003,101795.25856000003,-0.0049216837567870216,1
2025-05-09,BJFN,Value Iteration,BUY,864.1,29,76735.49446000003,102889.14446000004,0.010745941564215896,1
2025-05-12,BJFN,Value Iteration,BUY,901.85,30,75832.74261000003,102958.74261000003,0.0006764382225672818,1
2025-05-13,BJFN,Value Iteration,BUY,904.2,31,74927.63841000003,103078.73841000003,0.0011654746062171651,1
2025-05-14,BJFN,Value Iteration,BUY,908.1,32,74018.63031000002,103421.83031000002,0.0033284448887540936,1
2025-05-15,BJFN,Value Iteration,BUY,918.85,33,73098.86146000003,103349.96146000004,-0.000694909863658014,1
2025-05-16,BJFN,Value Iteration,BUY,916.7,34,72181.24476000003,103649.94476000003,0.0029025971152983584,1
2025-05-19,BJFN,Value Iteration,BUY,925.55,35,71254.76921000003,103031.26921000003,-0.005968894160363851,1
2025-05-20,BJFN,Value Iteration,BUY,907.9,36,70345.96131000003,103456.96131000003,0.004131678695836965,1
2025-05-21,BJFN,Value Iteration,BUY,919.75,37,69425.29156000003,103239.59156000003,-0.002101064512697874,1
2025-05-22,BJFN,Value Iteration,BUY,913.9,38,68510.47766000003,103635.77766000004,0.0038375403661855224,1
2025-05-23,BJFN,Value Iteration,BUY,924.35,39,67585.20331000003,103736.25331000003,0.0009695073677125819,1
2025-05-26,BJFN,Value Iteration,BUY,926.95,40,66657.32636000002,103341.32636000002,-0.003807029243863561,1
2025-05-27,BJFN,Value Iteration,BUY,917.1,41,65739.30926000002,103736.05926000002,0.003819700345483379,1
2025-05-28,BJFN,Value Iteration,BUY,926.75,42,64811.632510000025,103468.43251000001,-0.0025798815947812425,1
2025-05-29,BJFN,Value Iteration,BUY,920.4,43,63890.31211000003,103366.46211000002,-0.0009855218401045732,1
2025-06-03,BJFN,Value Iteration,SELL,897.9,42,64787.314210000026,102532.71421000003,0.00031904484035489265,1
2025-06-04,BJFN,Value Iteration,SELL,898.7,41,65685.11551000003,102314.51551000003,-0.0021280885976851195,1
2025-06-05,BJFN,Value Iteration,SELL,893.4,40,66577.62211000003,104063.62211000003,0.017095390534582016,1
2025-06-17,BJFN,Value Iteration,SELL,923.0,39,67499.69911000003,103340.69911000003,-0.001516199085552065,1
2025-06-18,BJFN,Value Iteration,SELL,919.0,38,68417.78011000004,102636.78011000004,-0.006811633809934985,1
2025-06-19,BJFN,Value Iteration,SELL,900.5,37,69317.37961000003,102802.37961000003,0.0016134518232403321,1
2025-06-20,BJFN,Value Iteration,SELL,905.0,36,70221.47461000003,103179.47461000003,0.0036681543893301036,1
2025-06-23,BJFN,Value Iteration,SELL,915.5,35,71136.05911000003,103213.55911000003,0.00033034186429840357,1
2025-06-24,BJFN,Value Iteration,SELL,916.5,34,72051.64261000002,103603.64261000002,0.0037793823153047285,1
2025-07-02,BJFN,Value Iteration,SELL,923.0,33,72973.71961000003,103008.66961000003,-0.004108653521972275,1
2025-07-03,BJFN,Value Iteration,SELL,910.15,32,73882.95946000003,103492.55946000002,0.004697564310189057,1
2025-07-04,BJFN,Value Iteration,SELL,925.3,31,74807.33416000003,103471.48416000002,-0.00020364072654075594,1
2025-07-07,BJFN,Value Iteration,SELL,924.65,30,75731.05951000002,103560.55951000002,0.0008608685834858633,1
2025-07-14,BJFN,Value Iteration,SELL,918.85,29,76648.99066000002,103572.59066000002,0.0026722201717983935,1
2025-07-16,BJFN,Value Iteration,SELL,921.75,28,77569.81891000003,103422.21891000003,0.0004108953043295447,1
2025-07-17,BJFN,Value Iteration,SELL,923.3,27,78492.19561000002,103926.19561000002,0.0048730021973186375,1
2025-07-23,BJFN,Value Iteration,BUY,968.3,28,77522.92731000003,104373.52731000003,-0.0025112538480852285,1
2025-07-25,BJFN,Value Iteration,SELL,913.75,27,78435.76356000002,102209.26356000002,-0.008715758074528273,1
2025-07-28,BJFN,Value Iteration,SELL,880.5,26,79315.38306000002,102365.68306000002,0.0015303847670145915,1
2025-07-29,BJFN,Value Iteration,SELL,886.55,25,80201.04651000001,102322.29651000001,-0.0004238388169068323,1
2025-07-30,BJFN,Value Iteration,SELL,884.85,24,81085.01166000002,102233.81166000002,-0.0008647660677880289,1
2025-07-31,BJFN,Value Iteration,SELL,881.2,23,81965.33046000001,102104.13046000001,-0.0012684766213284543,1
2025-08-01,BJFN,Value Iteration,SELL,875.6,22,82840.05486000002,102316.65486000001,0.0020814476264821888,1
2025-08-04,BJFN,Value Iteration,SELL,885.3,21,83724.46956000001,102454.36956,0.0013459656220038856,1
2025-08-05,BJFN,Value Iteration,SELL,891.9,20,84615.47766000002,102148.47766000002,-0.0029856403520286106,1
2025-08-06,BJFN,Value Iteration,SELL,876.65,19,85491.25101000002,102194.15101000003,0.0004471270746886219,1
2025-08-07,BJFN,Value Iteration,SELL,879.1,18,86369.47191000002,102158.17191000002,-0.00035206613729283503,1
2025-08-08,BJFN,Value Iteration,SELL,877.15,17,87245.74476000002,102168.34476,9.95794052476805e-05,1
