Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,BRTI,Monte Carlo,BUY,1595.7,1,98402.7043,100012.4043,0.0001240429999999469,1
2025-01-02,BRTI,Monte Carlo,BUY,1609.7,2,96791.3946,99989.0946,-0.00023306808953494956,1
2025-01-07,BRTI,Monte Carlo,BUY,1590.85,3,95198.95375,99996.55375,0.0002346546347681998,1
2025-01-08,BRTI,Monte Carlo,BUY,1599.2,4,93598.15455,100026.35455,0.00029801827045461806,1
2025-01-09,BRTI,Monte Carlo,BUY,1607.05,5,91989.49750000001,100068.99750000001,0.0004263171460346754,1
2025-01-10,BRTI,Monte Carlo,BUY,1615.9,6,90371.98160000001,99955.18160000001,-0.001137374240208626,1
2025-01-13,BRTI,Monte Carlo,BUY,1597.2,7,88773.18440000001,99973.88440000001,0.00018711186054209633,1
2025-01-14,BRTI,Monte Carlo,BUY,1600.1,8,87171.48430000001,100031.08430000002,0.0005721484199928405,1
2025-01-15,BRTI,Monte Carlo,BUY,1607.45,9,85562.42685000002,100234.22685000002,0.002030794241825529,1
2025-01-16,BRTI,Monte Carlo,BUY,1630.2,10,83930.59665000002,100205.59665000002,-0.00028563297088971955,1
2025-01-17,BRTI,Monte Carlo,BUY,1627.5,11,82301.46915000002,100354.11915000001,0.0014821776923174663,1
2025-01-20,BRTI,Monte Carlo,BUY,1641.15,12,80658.67800000001,100172.47800000002,-0.0018100019365273438,1
2025-01-21,BRTI,Monte Carlo,BUY,1626.15,13,79030.90185000001,100243.65185000001,0.0007105130213509536,1
2025-01-22,BRTI,Monte Carlo,BUY,1631.75,14,77397.52010000001,100301.52010000001,0.0005772759564524936,1
2025-01-23,BRTI,Monte Carlo,BUY,1636.0,15,75759.88410000001,100431.88410000001,0.001299721079700779,1
2025-01-27,BRTI,Monte Carlo,BUY,1602.6,16,74155.6815,100049.28150000001,0.0025090200382310852,1
2025-01-28,BRTI,Monte Carlo,BUY,1618.35,17,72535.71315000001,99743.36315000002,-0.003057676631090975,1
2025-01-29,BRTI,Monte Carlo,BUY,1600.45,18,70933.66270000002,100467.16270000002,0.0072566186575391805,1
2025-01-30,BRTI,Monte Carlo,BUY,1640.75,19,69291.27195000001,100190.97195,-0.0027490648942155188,1
2025-01-31,BRTI,Monte Carlo,BUY,1626.3,20,67663.34565,100128.34565,-0.0006250692929823757,1
2025-02-01,BRTI,Monte Carlo,BUY,1623.25,21,66038.4724,100737.8224,0.006086955157837481,1
2025-02-03,BRTI,Monte Carlo,BUY,1652.35,22,64384.470049999996,100936.37005,0.001970934503741994,1
2025-02-04,BRTI,Monte Carlo,BUY,1661.45,23,62721.3586,100911.7086,-0.0002443266979759949,1
2025-02-05,BRTI,Monte Carlo,BUY,1660.45,24,61059.24815,99933.24815,-0.00969620337991184,1
2025-02-06,BRTI,Monte Carlo,BUY,1619.75,25,59437.8784,101356.6284,0.014243310173041764,1
2025-02-07,BRTI,Monte Carlo,BUY,1676.75,26,57759.45165,101778.75164999999,0.004164732555369705,1
2025-02-10,BRTI,Monte Carlo,BUY,1693.05,27,56064.708600000005,101876.95860000001,0.0009649062147837968,1
2025-02-11,BRTI,Monte Carlo,BUY,1696.75,28,54366.26185,102289.66185,0.004050996964096564,1
2025-02-12,BRTI,Monte Carlo,BUY,1711.55,29,52653.0003,102376.4003,0.0008479688800534423,1
2025-02-14,BRTI,Monte Carlo,BUY,1717.05,30,50934.23325,101200.73324999999,-0.012169332143935325,1
2025-02-17,BRTI,Monte Carlo,BUY,1675.55,31,49257.007699999995,100992.9077,-0.0020535972747015067,1
2025-02-18,BRTI,Monte Carlo,BUY,1668.9,32,47586.438799999996,100232.8388,-0.007525963132557658,1
2025-02-19,BRTI,Monte Carlo,BUY,1645.2,33,45939.59359999999,100175.0936,-0.0005761105910132603,1
2025-02-20,BRTI,Monte Carlo,BUY,1643.5,34,44294.450099999995,100028.95009999999,-0.0014588805934492844,1
2025-02-21,BRTI,Monte Carlo,BUY,1639.25,35,42653.560849999994,98699.06085,-0.013295043571590911,1
