Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,BRTI,SARSA,BUY,1595.7,1,98402.7043,100012.4043,0.0001240429999999469,1
2025-01-03,BRTI,SARSA,BUY,1598.85,2,96802.25545,99979.15544999999,-0.00022398501860097905,1
2025-01-06,BRTI,SARSA,BUY,1588.45,3,95212.217,99984.767,5.612719946231548e-05,1
2025-01-07,BRTI,SARSA,BUY,1590.85,4,93619.77615,100016.57615000001,0.00031813996226046066,1
2025-01-08,BRTI,SARSA,BUY,1599.2,5,92018.97695000001,100054.22695000001,0.00037644559981273734,1
2025-01-13,BRTI,SARSA,BUY,1597.2,6,90420.17975000001,100020.77975000002,0.0001580201354169197,1
2025-01-24,BRTI,SARSA,BUY,1644.8,7,88773.73495000001,99991.93495000001,-0.0029618887413200875,1
2025-01-27,BRTI,SARSA,BUY,1602.6,8,87169.53235000001,100116.33235000001,0.0012440743352171888,1
2025-01-29,BRTI,SARSA,BUY,1600.45,9,85567.48190000001,100334.23190000001,0.003611965950369654,1
2025-02-06,BRTI,SARSA,BUY,1619.75,10,83946.11215000002,100713.61215000002,0.0056755597767006805,1
2025-02-13,BRTI,SARSA,BUY,1714.6,11,82229.79755000002,101117.34755000002,0.0002496277846342834,1
2025-02-19,BRTI,SARSA,BUY,1645.2,12,80582.95235000002,100304.95235000002,-0.00021973347691389374,1
2025-02-20,BRTI,SARSA,BUY,1643.5,13,78937.80885000002,100248.05885000002,-0.0005672052941262932,1
2025-02-21,BRTI,SARSA,BUY,1639.25,14,77296.91960000002,99715.11960000002,-0.005316205182560457,1
2025-02-24,BRTI,SARSA,BUY,1601.3,15,75694.01830000003,100315.01830000003,0.006016125763138583,1
2025-02-25,BRTI,SARSA,BUY,1641.4,16,74050.97690000002,100457.37690000003,0.0014191155263937863,1
2025-02-27,BRTI,SARSA,BUY,1650.4,17,72398.92650000003,99092.32650000002,-0.013588354007678723,1
2025-02-28,BRTI,SARSA,BUY,1570.2,18,70827.15630000003,99551.55630000003,0.004634362883790006,1
