Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,COAL,Expected SARSA,BUY,392.95,1,99606.65705,100000.30704999999,3.0704999998852144e-06,1
2025-01-03,COAL,Expected SARSA,SELL,393.65,0,99999.91339999999,99999.91339999999,-3.93648791299547e-06,0
2025-01-07,COAL,Expected SARSA,BUY,379.8,1,99619.73359999999,100000.0836,1.7020014740108092e-06,1
2025-01-08,COAL,Expected SARSA,SELL,380.35,0,99999.70324999999,99999.70324999999,-3.803496820343946e-06,0
2025-01-09,COAL,Expected SARSA,BUY,372.2,1,99627.13105,99995.63105,-4.072212084284424e-05,1
2025-01-10,COAL,Expected SARSA,SELL,368.5,0,99995.26255,99995.26255,-3.6851610028102002e-06,0
2025-01-13,COAL,Expected SARSA,BUY,362.9,1,99631.99965,100001.24965,5.987383649305157e-05,1
2025-01-14,COAL,Expected SARSA,SELL,369.25,0,100000.8804,100000.8804,-3.692453857284133e-06,0
2025-01-15,COAL,Expected SARSA,BUY,374.6,1,99625.9058,100004.7558,3.8753658812832284e-05,1
2025-01-16,COAL,Expected SARSA,SELL,378.85,0,100004.37694999999,100004.37694999999,-3.7883198351677014e-06,0
2025-01-17,COAL,Expected SARSA,BUY,387.65,1,99616.33929999999,100003.3893,-9.87606772940835e-06,1
2025-01-22,COAL,Expected SARSA,SELL,379.2,0,99995.1601,99995.1601,-3.7921691572472224e-06,0
2025-01-23,COAL,Expected SARSA,BUY,385.8,1,99608.97429999999,99992.02429999999,-3.135951776933707e-05,1
2025-01-27,COAL,Expected SARSA,SELL,375.75,0,99984.34854999998,99984.34854999998,-3.758074072186238e-06,0
2025-01-28,COAL,Expected SARSA,BUY,370.65,1,99613.32789999997,99992.77789999997,8.430669522016151e-05,1
2025-01-31,COAL,Expected SARSA,SELL,395.9,0,100008.83199999998,100008.83199999998,-3.95863470103457e-06,0
2025-02-01,COAL,Expected SARSA,BUY,385.3,1,99623.14669999998,99997.14669999998,-0.00011684268045443598,1
2025-02-27,COAL,Expected SARSA,SELL,363.85,0,99986.63284999998,99986.63284999998,-3.6389731866886278e-06,0
2025-02-28,COAL,Expected SARSA,BUY,369.35,1,99616.91349999998,99977.26349999999,-9.370602582496683e-05,1
2025-03-03,COAL,Expected SARSA,SELL,360.35,0,99976.90314999998,99976.90314999998,-3.6043194961287807e-06,0
2025-03-04,COAL,Expected SARSA,BUY,363.85,1,99612.68929999998,99980.93929999998,4.0370824388751906e-05,1
2025-03-07,COAL,Expected SARSA,SELL,380.65,0,99992.95864999999,99992.95864999999,-3.8067535563528707e-06,0
2025-03-11,COAL,Expected SARSA,BUY,379.05,1,99613.52959999998,99994.22959999998,1.2710394983307053e-05,1
2025-03-19,COAL,Expected SARSA,SELL,395.85,0,100008.98374999998,100008.98374999998,-3.958128743364304e-06,0
2025-03-20,COAL,Expected SARSA,BUY,396.4,1,99612.18734999998,100017.58734999997,8.602827143504134e-05,1
2025-03-21,COAL,Expected SARSA,SELL,405.4,0,100017.18194999998,100017.18194999998,-4.053287134092533e-06,0
2025-03-24,COAL,Expected SARSA,BUY,406.0,1,99610.77594999998,100009.07594999998,-8.104607470396508e-05,1
2025-03-25,COAL,Expected SARSA,SELL,398.3,0,100008.67764999998,100008.67764999998,-3.982638537725087e-06,0
2025-03-26,COAL,Expected SARSA,BUY,394.8,1,99613.48284999999,100010.33284999999,1.6550563800083757e-05,1
2025-04-01,COAL,Expected SARSA,SELL,397.65,0,100010.73519999998,100010.73519999998,-3.976057351488901e-06,0
2025-04-02,COAL,Expected SARSA,BUY,397.5,1,99612.83769999997,100009.88769999998,-8.474090289494169e-06,1
