Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-17,COAL,Value Iteration,BUY,387.65,1,99611.96235,99999.01235,-9.87649999995483e-06,1
2025-01-20,COAL,Value Iteration,BUY,387.05,2,99224.52530000001,99987.62530000001,-0.00011387162465300355,1
2025-01-21,COAL,Value Iteration,BUY,381.55,3,98842.59375000001,99980.19375000002,-7.432469745827512e-05,1
2025-01-23,COAL,Value Iteration,BUY,385.8,4,98456.40795000001,99988.60795,-0.000113858007116162,1
2025-01-24,COAL,Value Iteration,BUY,383.05,5,98072.9749,99951.7249,-0.00036887252214219874,1
2025-01-29,COAL,Value Iteration,BUY,379.45,6,97693.14545,100003.44545,0.00033230444398048146,1
2025-01-30,COAL,Value Iteration,BUY,385.05,7,97307.7104,100079.0104,0.0007556234653713119,1
2025-01-31,COAL,Value Iteration,SELL,395.9,6,97703.2145,100015.0145,-0.0006394537650223851,1
2025-02-01,COAL,Value Iteration,BUY,385.3,7,97317.5292,99935.5292,-0.000794733674712413,1
2025-02-28,COAL,Value Iteration,BUY,369.35,8,96947.80985,99830.60985000001,-0.0007243963151000163,1
2025-03-05,COAL,Value Iteration,BUY,368.25,9,96579.1916,100022.5916,0.0012891864890664658,1
2025-03-07,COAL,Value Iteration,SELL,380.65,8,96959.46095000001,99960.66095,-0.00044378412617955874,1
2025-03-11,COAL,Value Iteration,BUY,379.05,9,96580.0319,100006.3319,0.00014472127893727966,1
2025-03-12,COAL,Value Iteration,BUY,380.7,10,96198.9512,99981.9512,-0.0002437915633620875,1
2025-03-13,COAL,Value Iteration,BUY,378.3,11,95820.2729,100063.5229,0.0008158642537074274,1
2025-03-17,COAL,Value Iteration,BUY,385.75,12,95434.13715,100105.73715,0.0004218745130749793,1
2025-03-18,COAL,Value Iteration,BUY,389.3,13,95044.44785,100190.49785,0.0008467117111678839,1
2025-03-19,COAL,Value Iteration,SELL,395.85,12,95439.902,100196.702,6.192353699343385e-05,1
2025-03-20,COAL,Value Iteration,SELL,396.4,11,95835.9056,100295.30559999999,0.000984100255116058,1
2025-03-21,COAL,Value Iteration,SELL,405.4,10,96240.9002,100300.9002,5.578127477195971e-05,1
2025-03-24,COAL,Value Iteration,SELL,406.0,9,96646.4942,100231.1942,-0.0006949688373784464,1
2025-03-25,COAL,Value Iteration,SELL,398.3,8,97044.3959,100202.7959,-0.0002833279621844588,1
