Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,EICH,Expected SARSA,BUY,4939.1,1,95055.9609,100085.51090000001,0.0008551090000000841,1
2025-01-14,EICH,Expected SARSA,SELL,5029.55,0,100080.48135,100080.48135,-5.025252861057799e-05,0
2025-01-21,EICH,Expected SARSA,BUY,4969.95,1,95105.5614,100115.2614,0.00034752081056014237,1
2025-01-23,EICH,Expected SARSA,SELL,5116.2,0,100216.6452,100216.6452,-5.104879348093385e-05,0
2025-02-11,EICH,Expected SARSA,BUY,4972.35,1,95239.32285,100088.77285,-0.0012759591956487194,1
2025-02-12,EICH,Expected SARSA,SELL,4849.45,0,100083.9234,100083.9234,-4.845148823297067e-05,0
2025-02-13,EICH,Expected SARSA,BUY,4820.4,1,95258.703,99962.053,-0.001217682079797441,1
2025-02-14,EICH,Expected SARSA,SELL,4703.35,0,99957.34964999999,99957.34964999999,-4.705135457762844e-05,0
2025-02-17,EICH,Expected SARSA,BUY,4745.2,1,95207.40444999999,99926.80444999998,-0.00030558233193418564,1
2025-02-18,EICH,Expected SARSA,SELL,4719.4,0,99922.08505,99922.08505,-4.7228569210863207e-05,0
2025-02-19,EICH,Expected SARSA,BUY,4810.6,1,95106.67444999999,99995.07444999999,0.0007304631399902047,1
2025-02-24,EICH,Expected SARSA,SELL,5010.8,0,100112.46364999999,100112.46364999999,-5.0049204971766605e-05,0
2025-02-25,EICH,Expected SARSA,BUY,4989.8,1,95117.67384999999,100053.17384999999,-0.0005922319543276833,1
2025-02-27,EICH,Expected SARSA,SELL,4935.5,0,100048.23835,100048.23835,-4.9328769993759846e-05,0
2025-02-28,EICH,Expected SARSA,BUY,4773.6,1,95269.86475,100176.46475,0.0012816457552348253,1
2025-03-03,EICH,Expected SARSA,SELL,4906.6,0,100171.55815,100171.55815,-4.897956832722101e-05,0
2025-03-04,EICH,Expected SARSA,BUY,4815.1,1,95351.64305,100339.94305,0.0016809651672569552,1
2025-03-05,EICH,Expected SARSA,SELL,4988.3,0,100334.95475,100334.95475,-4.971400070968301e-05,0
2025-05-02,EICH,Expected SARSA,BUY,5437.5,1,94892.01725,100352.51725,0.00017503869956148058,1
2025-05-05,EICH,Expected SARSA,SELL,5460.5,0,100347.05675,100347.05675,-5.4413184139643965e-05,0
2025-05-07,EICH,Expected SARSA,BUY,5489.0,1,94852.56775,100225.06775,-0.0012156709319728143,1
2025-05-08,EICH,Expected SARSA,SELL,5372.5,0,100219.69525,100219.69525,-5.36043538867817e-05,0
2025-05-09,EICH,Expected SARSA,BUY,5324.0,1,94890.37125000001,100410.37125000001,0.0019025801218449298,1
2025-05-12,EICH,Expected SARSA,SELL,5520.0,0,100404.85125,100404.85125,-5.4974400864034986e-05,0
2025-07-22,EICH,Expected SARSA,BUY,5439.5,1,94959.91175000001,100401.41175000001,-3.42563128889963e-05,1
2025-07-23,EICH,Expected SARSA,BUY,5441.5,2,89512.97025000001,100450.97025000001,0.0004936036170825973,1
2025-07-24,EICH,Expected SARSA,SELL,5469.0,1,94976.50125000002,100409.50125000002,-0.00041282826733072116,1
2025-07-25,EICH,Expected SARSA,BUY,5433.0,2,89538.06825000001,100310.06825000001,-0.0009902748122653834,1
2025-07-28,EICH,Expected SARSA,BUY,5386.0,3,84146.68225000001,100558.18225000001,0.002473470553141622,1
2025-07-29,EICH,Expected SARSA,SELL,5470.5,2,89611.71175000002,100573.71175000002,0.0001544329825035614,1
2025-07-30,EICH,Expected SARSA,SELL,5481.0,1,95087.23075000002,100555.73075000002,-0.00017878429350102776,1
2025-07-31,EICH,Expected SARSA,SELL,5468.5,0,100550.26225000001,100550.26225000001,-5.4382778178981874e-05,0
2026-01-23,EICH,Expected SARSA,BUY,6973.0,1,93570.28925000002,100734.78925000002,0.0018351717426773975,1
2026-01-27,EICH,Expected SARSA,SELL,7164.5,0,100727.62475000002,100727.62475000002,-7.112240024862068e-05,0
2026-01-28,EICH,Expected SARSA,BUY,7071.0,1,93649.55375000002,100706.05375000002,-0.00021415177865589718,1
2026-01-29,EICH,Expected SARSA,BUY,7056.5,2,86585.99725000001,100830.99725000001,0.0012406751664618169,1
2026-01-30,EICH,Expected SARSA,BUY,7122.5,3,79456.37475000002,100124.87475000002,-0.007003030013173826,1
2026-02-01,EICH,Expected SARSA,BUY,6889.5,4,72559.98525000001,100501.98525000001,0.0037664017152740075,1
2026-02-02,EICH,Expected SARSA,SELL,6985.5,3,79538.49975000002,101183.49975000002,0.006781104853846702,1
2026-02-03,EICH,Expected SARSA,SELL,7215.0,2,86746.28475000002,101301.28475000002,0.0011640731966281238,1
2026-02-04,EICH,Expected SARSA,SELL,7277.5,1,94016.50725000002,101226.00725000002,-0.0007431050868285902,1
2026-02-05,EICH,Expected SARSA,SELL,7209.5,0,101218.79775000003,101218.79775000003,-7.122181537983367e-05,0
2026-03-04,EICH,Expected SARSA,BUY,7626.5,1,93584.67125000003,101339.67125000003,0.0011941803566818347,1
