Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ETEA,SARSA,BUY,276.5,1,99723.2235,100007.8235,7.823499999998603e-05,1
2025-01-02,ETEA,SARSA,SELL,284.6,0,100007.5389,100007.5389,-2.8457773605986477e-06,0
2025-01-03,ETEA,SARSA,BUY,272.85,1,99734.41605,99999.26605,-8.272226365120483e-05,1
2025-01-06,ETEA,SARSA,SELL,264.85,0,99999.0012,99999.0012,-2.6485194388768736e-06,0
2025-01-07,ETEA,SARSA,BUY,252.45,1,99746.29875,99996.34875,-2.6524764929293442e-05,1
2025-01-08,ETEA,SARSA,SELL,250.05,0,99996.0987,99996.0987,-2.5005913028636943e-06,0
2025-01-09,ETEA,SARSA,BUY,245.35,1,99750.50335,99993.45335,-2.6454532070721142e-05,1
2025-01-10,ETEA,SARSA,SELL,242.95,0,99993.2104,99993.2104,-2.429659061273305e-06,0
2025-01-13,ETEA,SARSA,BUY,227.15,1,99765.83325,99999.43325,6.223272535317623e-05,1
2025-01-14,ETEA,SARSA,SELL,233.6,0,99999.19965,99999.19965,-2.3360132394234864e-06,0
2025-01-15,ETEA,SARSA,BUY,243.9,1,99755.05575,99996.95575,-2.2439179591986905e-05,1
2025-01-16,ETEA,SARSA,BUY,241.9,2,99512.91385,100010.51385,0.00013558512755033837,1
2025-01-17,ETEA,SARSA,BUY,248.8,3,99263.86505,99983.11505,-0.0002739591963411349,1
2025-01-20,ETEA,SARSA,BUY,239.75,4,99023.8753,99882.0753,-0.0010105681339240918,1
2025-01-21,ETEA,SARSA,BUY,214.55,5,98809.11074999999,99891.36074999999,9.296412766861846e-05,1
2025-01-22,ETEA,SARSA,BUY,216.45,6,98592.44429999999,99924.14429999999,0.0003281920453765851,1
2025-01-23,ETEA,SARSA,BUY,221.95,7,98370.27234999998,99879.47234999998,-0.0004470586194452262,1
2025-01-24,ETEA,SARSA,BUY,215.6,8,98154.45674999998,99804.05674999999,-0.0007550660633820719,1
2025-01-27,ETEA,SARSA,BUY,206.2,9,97948.05054999999,99821.85054999999,0.00017828734201227214,1
2025-01-28,ETEA,SARSA,BUY,208.2,10,97739.64234999998,99964.64234999998,0.001430466367966886,1
2025-01-29,ETEA,SARSA,BUY,222.5,11,97516.91984999998,99923.71984999998,-0.000409369743521126,1
2025-01-30,ETEA,SARSA,BUY,218.8,12,97297.90104999997,99942.10104999997,0.00018395231910483062,1
2025-01-31,ETEA,SARSA,BUY,220.35,13,97077.33069999998,100149.49069999998,0.002075097959930391,1
2025-02-10,ETEA,SARSA,BUY,227.25,14,96849.85344999998,99866.15344999998,-0.0016537502340997537,1
2025-02-11,ETEA,SARSA,BUY,215.45,15,96634.18799999998,99854.68799999998,-0.0001148081667703737,1
2025-02-12,ETEA,SARSA,BUY,214.7,16,96419.27329999999,99905.19329999998,0.000505787970615905,1
2025-02-13,ETEA,SARSA,BUY,217.87,17,96201.18542999998,99873.01542999998,-0.00032208405726591525,1
2025-02-14,ETEA,SARSA,BUY,215.99,18,95984.97943999998,99918.51943999997,0.0004556186654029983,1
2025-02-17,ETEA,SARSA,BUY,218.53,19,95766.23090999998,100009.12090999998,0.0009067535278524012,1
2025-02-24,ETEA,SARSA,BUY,222.69,20,95543.31821999999,100055.91821999999,0.0005857886766482005,1
2025-02-25,ETEA,SARSA,BUY,225.63,21,95317.46258999998,100127.30258999998,0.0007134447543925125,1
2025-02-28,ETEA,SARSA,BUY,222.1,22,95095.14048999998,99982.22048999998,6.580213220800988e-06,1
2025-03-03,ETEA,SARSA,SELL,222.14,21,95317.05834999998,100096.86834999998,0.0011466824745251997,1
2025-03-04,ETEA,SARSA,BUY,227.61,22,95089.22073999998,100083.66073999998,-0.00013194828387453405,1
2025-03-05,ETEA,SARSA,BUY,227.02,23,94861.97371999998,100046.86371999998,-0.00036766261073913395,1
2025-03-06,ETEA,SARSA,BUY,225.43,24,94636.31828999998,99840.23828999998,-0.002065286429950271,1
