Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,GRAS,Expected SARSA,BUY,2442.15,1,97555.40785,100099.35785,0.0009935785000000032,1
2025-01-02,GRAS,Expected SARSA,SELL,2543.95,0,100096.81390000001,100096.81390000001,-2.5414248948571424e-05,0
2025-01-23,GRAS,Expected SARSA,BUY,2461.15,1,97633.20275000001,100123.95275000001,0.0002711260123335754,1
2025-01-24,GRAS,Expected SARSA,SELL,2490.75,0,100121.46200000001,100121.46200000001,-2.4876664689980547e-05,0
2025-01-27,GRAS,Expected SARSA,BUY,2458.05,1,97660.95395000001,100072.25395000001,-0.0004914835342696163,1
2025-01-28,GRAS,Expected SARSA,SELL,2411.3,0,100069.84265,100069.84265,-2.4095589984530684e-05,0
2025-01-29,GRAS,Expected SARSA,BUY,2453.65,1,97613.739,100105.439,0.00035571505917614754,1
2025-01-30,GRAS,Expected SARSA,SELL,2491.7,0,100102.9473,100102.9473,-2.489075543636218e-05,0
2025-02-01,GRAS,Expected SARSA,BUY,2440.75,1,97659.75655,100133.40655,0.0003042792527248584,1
2025-02-03,GRAS,Expected SARSA,SELL,2473.65,0,100130.9329,100130.9329,-2.4703543854415157e-05,0
2025-02-04,GRAS,Expected SARSA,BUY,2484.7,1,97643.7482,100133.7482,2.8116186661455e-05,1
2025-02-05,GRAS,Expected SARSA,SELL,2490.0,0,100131.2582,100131.2582,-2.486674118132371e-05,0
2025-02-06,GRAS,Expected SARSA,BUY,2499.0,1,97629.7592,100117.3592,-0.00013880780337573284,1
2025-02-07,GRAS,Expected SARSA,SELL,2487.6,0,100114.8716,100114.8716,-2.4846839947488945e-05,0
2025-02-25,GRAS,Expected SARSA,BUY,2379.3,1,97733.1923,100073.14229999999,-0.0004168141988608048,1
2025-02-27,GRAS,Expected SARSA,SELL,2339.95,0,100070.80235,100070.80235,-2.3382397576558688e-05,0
2025-02-28,GRAS,Expected SARSA,BUY,2306.65,1,97761.8457,100139.2957,0.0006844488940984722,1
2025-03-03,GRAS,Expected SARSA,SELL,2377.45,0,100136.91825,100136.91825,-2.374142920999147e-05,0
2025-04-08,GRAS,Expected SARSA,BUY,2590.05,1,97544.2782,100102.0282,-0.0003484234447169218,1
2025-04-09,GRAS,Expected SARSA,SELL,2557.75,0,100099.47045,100099.47045,-2.5551430335626485e-05,0
2025-04-11,GRAS,Expected SARSA,BUY,2651.25,1,97445.5692,100164.1692,0.0006463445781396787,1
2025-04-16,GRAS,Expected SARSA,SELL,2702.8,0,100145.6664,100145.6664,-2.698795818233968e-05,0
2025-04-17,GRAS,Expected SARSA,BUY,2760.7,1,97382.2057,100139.1057,-6.551157165200926e-05,1
2025-04-21,GRAS,Expected SARSA,SELL,2756.9,0,100136.3488,100136.3488,-2.7530703222497807e-05,0
2025-04-22,GRAS,Expected SARSA,BUY,2749.4,1,97384.19940000001,100069.79940000002,-0.0006645878424517607,1
2025-04-23,GRAS,Expected SARSA,SELL,2685.6,0,100067.1138,100067.1138,-2.6837267748251505e-05,0
2025-04-24,GRAS,Expected SARSA,BUY,2729.2,1,97335.18460000001,100069.98460000001,2.8688745892501573e-05,1
2025-04-25,GRAS,Expected SARSA,SELL,2734.8,0,100067.2498,100067.2498,-2.7328873996905105e-05,0
2025-04-28,GRAS,Expected SARSA,BUY,2753.4,1,97311.09640000001,100056.7964,-0.00010446374833815518,1
2025-04-29,GRAS,Expected SARSA,SELL,2745.7,0,100054.0507,100054.0507,-2.7441414264583507e-05,0
2025-05-02,GRAS,Expected SARSA,BUY,2718.3,1,97333.03240000001,100088.13240000002,0.00034063288554103216,1
2025-05-06,GRAS,Expected SARSA,SELL,2728.7,0,100059.00370000002,100059.00370000002,-2.7270165472293845e-05,0
2025-05-07,GRAS,Expected SARSA,BUY,2699.9,1,97356.40380000001,100055.10380000001,-3.897600271632508e-05,1
2025-05-08,GRAS,Expected SARSA,SELL,2698.7,0,100052.40510000002,100052.40510000002,-2.6972137327326928e-05,0
2025-05-12,GRAS,Expected SARSA,BUY,2742.8,1,97306.86230000002,100015.56230000002,-0.0003682350260663402,1
2025-05-13,GRAS,Expected SARSA,SELL,2708.7,0,100012.85360000002,100012.85360000002,-2.7082785295732555e-05,0
2025-05-14,GRAS,Expected SARSA,BUY,2737.2,1,97272.91640000002,100097.71640000002,0.0008485189347702263,1
2025-05-15,GRAS,Expected SARSA,SELL,2824.8,0,100094.89160000002,100094.89160000002,-2.8220424017606675e-05,0
2025-05-16,GRAS,Expected SARSA,BUY,2804.2,1,97287.88740000002,100014.88740000002,-0.0007992835470536215,1
2025-05-19,GRAS,Expected SARSA,SELL,2727.0,0,100012.16040000002,100012.16040000002,-2.726594081031732e-05,0
2025-06-10,GRAS,Expected SARSA,BUY,2708.0,1,97301.45240000002,100023.65240000002,0.00011490602696748032,1
2025-06-11,GRAS,Expected SARSA,SELL,2722.2,0,100020.93020000002,100020.93020000002,-2.721556286624657e-05,0
2025-07-16,GRAS,Expected SARSA,BUY,2762.4,1,97255.76780000002,100022.06780000002,1.1373619478714258e-05,1
2025-07-17,GRAS,Expected SARSA,SELL,2766.3,0,100019.30150000002,100019.30150000002,-2.7656896731372677e-05,0
2025-07-18,GRAS,Expected SARSA,BUY,2728.5,1,97288.07300000002,100029.97300000001,0.00010669440637912013,1
2025-07-21,GRAS,Expected SARSA,SELL,2741.9,0,100027.23110000002,100027.23110000002,-2.7410784165598246e-05,0
2025-07-22,GRAS,Expected SARSA,BUY,2722.7,1,97301.80840000002,100010.90840000003,-0.00016318256359282253,1
2025-07-23,GRAS,Expected SARSA,SELL,2709.1,0,100008.19930000002,100008.19930000002,-2.7088045127758385e-05,0
2026-02-03,GRAS,Expected SARSA,BUY,2808.9,1,97196.49040000002,100041.39040000002,0.0003318837878525462,1
2026-02-04,GRAS,Expected SARSA,SELL,2844.9,0,100038.54550000002,100038.54550000002,-2.843722971683542e-05,0
2026-02-05,GRAS,Expected SARSA,BUY,2863.9,1,97171.78160000002,100008.68160000001,-0.00029852393245772646,1
2026-02-06,GRAS,Expected SARSA,SELL,2836.9,0,100005.84470000002,100005.84470000002,-2.8366537330642944e-05,0
2026-02-09,GRAS,Expected SARSA,BUY,2926.3,1,97076.61840000002,100030.51840000002,0.0002467225798053718,1
2026-02-10,GRAS,Expected SARSA,SELL,2953.9,0,100027.56450000002,100027.56450000002,-2.9529987920098136e-05,0
2026-02-11,GRAS,Expected SARSA,BUY,2932.6,1,97092.03190000002,100017.53190000002,-0.00010029835326047463,1
2026-02-12,GRAS,Expected SARSA,SELL,2925.5,0,100014.60640000002,100014.60640000002,-2.9249871941676604e-05,0
2026-02-13,GRAS,Expected SARSA,BUY,2888.0,1,97123.71840000001,100036.41840000001,0.00021808814517307144,1
2026-02-16,GRAS,Expected SARSA,SELL,2912.7,0,100033.50570000001,100033.50570000001,-2.9116396274346904e-05,0
2026-02-17,GRAS,Expected SARSA,BUY,2900.4,1,97130.20530000002,100064.00530000002,0.0003048938431836854,1
2026-02-18,GRAS,Expected SARSA,SELL,2933.8,0,100061.07150000002,100061.07150000002,-2.9319234136222226e-05,0
2026-02-19,GRAS,Expected SARSA,BUY,2864.3,1,97193.90720000002,100026.70720000002,-0.00034343326015653437,1
2026-02-20,GRAS,Expected SARSA,SELL,2832.8,0,100023.87440000002,100023.87440000002,-2.8320436404446305e-05,0
2026-03-02,GRAS,Expected SARSA,BUY,2777.3,1,97243.79710000001,99926.99710000001,-0.0009685417664645809,1
2026-03-04,GRAS,Expected SARSA,SELL,2683.2,0,99924.31390000001,99924.31390000001,-2.6851602448478736e-05,0
2026-04-08,GRAS,Expected SARSA,BUY,2756.2,1,97165.35770000001,99905.85770000001,-0.00018470179358419928,1
2026-04-09,GRAS,Expected SARSA,SELL,2740.5,0,99903.11720000001,99903.11720000001,-2.743082400862951e-05,0
2026-04-10,GRAS,Expected SARSA,BUY,2742.6,1,97157.7746,99870.7746,-0.00032373964803576304,1
2026-04-13,GRAS,Expected SARSA,SELL,2713.0,0,99868.0616,99868.0616,-2.7165104214615512e-05,0
2026-04-15,GRAS,Expected SARSA,BUY,2741.4,1,97123.92020000001,99841.22020000001,-0.0002687686090023224,1
2026-04-16,GRAS,Expected SARSA,SELL,2717.3,0,99838.5029,99838.5029,-2.7216213849957414e-05,0
2026-04-17,GRAS,Expected SARSA,BUY,2720.5,1,97115.28240000001,99875.38240000002,0.0003693915566517375,1
2026-04-20,GRAS,Expected SARSA,SELL,2760.1,0,99872.62230000002,99872.62230000002,-2.7635438620353263e-05,0
2026-04-21,GRAS,Expected SARSA,BUY,2777.7,1,97092.14460000001,99868.74460000002,-3.88264562469316e-05,1
2026-04-23,GRAS,Expected SARSA,SELL,2735.0,0,99824.40960000001,99824.40960000001,-2.7397357812441943e-05,0
2026-04-29,GRAS,Expected SARSA,BUY,2803.2,1,97018.4064,99812.9064,-0.00011523434043937958,1
2026-04-30,GRAS,Expected SARSA,SELL,2794.5,0,99810.1119,99810.1119,-2.7997381308632133e-05,0
2026-05-29,GRAS,Expected SARSA,BUY,3122.4,1,96684.5895,99787.18950000001,-0.00022966009719498,1
2026-06-01,GRAS,Expected SARSA,SELL,3102.6,0,99784.0869,99784.0869,-3.109216739702744e-05,0
2026-06-09,GRAS,Expected SARSA,BUY,3095.5,1,96685.4914,99756.6914,-0.00027454778463276917,1
2026-06-10,GRAS,Expected SARSA,SELL,3071.2,0,99753.6202,99753.6202,-3.078690719278629e-05,0
2026-06-11,GRAS,Expected SARSA,BUY,3089.5,1,96661.0307,99766.5307,0.00012942387428259108,1
2026-06-12,GRAS,Expected SARSA,SELL,3105.5,0,99763.4252,99763.4252,-3.1127673561621824e-05,0
2026-06-15,GRAS,Expected SARSA,BUY,3164.5,1,96595.7607,99736.0607,-0.0002742939102695929,1
2026-06-16,GRAS,Expected SARSA,SELL,3140.3,0,99732.9204,99732.9204,-3.148610420302188e-05,0
2026-06-17,GRAS,Expected SARSA,BUY,3150.4,1,96579.37000000001,99724.47000000002,-8.473029733908187e-05,1
2026-06-18,GRAS,Expected SARSA,SELL,3145.1,0,99721.3249,99721.3249,-3.153789636594533e-05,0
