Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-04-04,HALC,Double Q-Learning,BUY,599.95,1,99399.45005,99961.25005,-0.00038749949999997623,1
2025-04-07,HALC,Double Q-Learning,SELL,561.8,0,99960.68825,99960.68825,-5.620177816052187e-06,0
2025-04-08,HALC,Double Q-Learning,BUY,568.35,1,99391.76990000001,99955.76990000001,-4.9202842498362274e-05,1
2025-04-09,HALC,Double Q-Learning,SELL,564.0,0,99955.20590000002,99955.20590000002,-5.642495681467274e-06,0
2025-04-11,HALC,Double Q-Learning,BUY,600.3,1,99354.30560000002,99971.90560000003,0.0001670718383264512,1
2025-04-15,HALC,Double Q-Learning,SELL,617.6,0,99971.28800000002,99971.28800000002,-6.177735597872975e-06,0
2025-04-16,HALC,Double Q-Learning,BUY,609.9,1,99360.77810000001,99970.27810000001,-1.010190045770505e-05,1
2025-04-17,HALC,Double Q-Learning,SELL,609.5,0,99969.6686,99969.6686,-6.0968120884514885e-06,0
2026-02-17,HALC,Double Q-Learning,BUY,890.1,1,99078.67850000001,99977.92850000001,8.262406103449425e-05,1
2026-02-18,HALC,Double Q-Learning,SELL,899.25,0,99977.02925,99977.02925,-8.994485217826971e-06,0
2026-06-17,HALC,Double Q-Learning,BUY,1007.9,1,98968.12135,99976.62135,-4.0799371922286954e-06,1
2026-06-18,HALC,Double Q-Learning,SELL,1008.5,0,99975.61285,99975.61285,-1.008735828815118e-05,0
