Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,HALC,Monte Carlo,BUY,592.95,1,99406.45705,100005.45705,5.4570499999972524e-05,1
2025-01-02,HALC,Monte Carlo,BUY,599.0,2,98806.85805,99989.15805,-0.00016298110603954355,1
2025-01-03,HALC,Monte Carlo,BUY,591.15,3,98215.1169,99937.4169,-0.0005174676035788628,1
2025-01-06,HALC,Monte Carlo,BUY,574.1,4,97640.44279999999,99978.44279999999,0.0004105159135846473,1
2025-01-07,HALC,Monte Carlo,BUY,584.5,5,97055.35829999999,99988.60829999999,0.00010167691869674524,1
2025-01-08,HALC,Monte Carlo,BUY,586.65,6,96468.12164999999,100003.62164999999,0.0001501506047063744,1
2025-01-09,HALC,Monte Carlo,BUY,589.25,7,95878.28239999998,99899.43239999998,-0.0010418547676669106,1
2025-01-10,HALC,Monte Carlo,BUY,574.45,8,95303.25794999998,99813.25794999998,-0.000862612008193866,1
2025-01-13,HALC,Monte Carlo,BUY,563.75,9,94738.94419999998,100057.04419999999,0.002442423531772962,1
2025-01-14,HALC,Monte Carlo,BUY,590.9,10,94147.45329999998,100062.95329999998,5.905731122916631e-05,1
2025-01-15,HALC,Monte Carlo,BUY,591.55,11,93555.31174999998,100183.91174999998,0.0012088235057120342,1
2025-01-16,HALC,Monte Carlo,BUY,602.6,12,92952.10914999997,100356.10914999997,0.0017188129011142354,1
2025-01-17,HALC,Monte Carlo,BUY,617.0,13,92334.49214999998,100370.44214999997,0.0001428213999266902,1
2025-01-20,HALC,Monte Carlo,BUY,618.15,14,91715.72399999997,100325.02399999998,-0.0004525052298974824,1
2025-01-21,HALC,Monte Carlo,BUY,614.95,15,91100.15904999997,100301.90904999997,-0.0002304006426153745,1
2025-01-22,HALC,Monte Carlo,BUY,613.45,16,90486.09559999997,100218.09559999997,-0.0008356117126167649,1
2025-01-23,HALC,Monte Carlo,BUY,608.25,17,89877.23734999997,100194.53734999997,-0.00023506982305899923,1
2025-01-24,HALC,Monte Carlo,BUY,606.9,18,89269.73044999997,99833.93044999997,-0.0035990674695200735,1
2025-01-27,HALC,Monte Carlo,BUY,586.9,19,88682.24354999997,99585.39354999996,-0.002489503306939134,1
2025-01-28,HALC,Monte Carlo,BUY,573.85,20,88107.81969999996,99789.81969999996,0.0020527724268856835,1
2025-01-29,HALC,Monte Carlo,BUY,584.1,21,87523.13559999997,99867.98559999997,0.0007833053535420634,1
2025-01-30,HALC,Monte Carlo,BUY,587.85,22,86934.69774999996,100009.29774999997,0.0014149894898851146,1
2025-01-31,HALC,Monte Carlo,BUY,594.3,23,86339.80344999996,99828.15344999997,-0.001811274592216602,1
2025-02-01,HALC,Monte Carlo,BUY,586.45,24,85752.76699999996,99529.96699999996,-0.0029869975522421968,1
2025-02-03,HALC,Monte Carlo,BUY,574.05,25,85178.14294999996,99776.89294999996,0.00248092064573883,1
2025-02-04,HALC,Monte Carlo,BUY,583.95,26,84593.60899999997,100209.20899999997,0.004332827343267244,1
2025-02-05,HALC,Monte Carlo,BUY,600.6,27,83992.40839999997,100069.55839999998,-0.0013935904832857587,1
2025-02-06,HALC,Monte Carlo,BUY,595.45,28,83396.36294999997,100403.56294999996,0.003337723832705385,1
2025-02-07,HALC,Monte Carlo,BUY,607.4,29,82788.35554999996,100072.35554999996,-0.0032987614210955593,1
2025-02-10,HALC,Monte Carlo,BUY,596.0,30,82191.75954999996,100067.25954999996,-5.092315427169944e-05,1
2025-02-11,HALC,Monte Carlo,BUY,595.85,31,81595.31369999996,100161.21369999995,0.0009389099933634639,1
2025-02-12,HALC,Monte Carlo,BUY,598.9,32,80995.81479999995,100275.81479999995,0.001144166446936734,1
2025-02-13,HALC,Monte Carlo,BUY,602.5,33,80392.71229999996,100397.31229999996,0.0012116331364879847,1
2025-02-14,HALC,Monte Carlo,BUY,606.2,34,79785.90609999995,100554.80609999996,0.0015687053407304871,1
2025-02-17,HALC,Monte Carlo,BUY,610.85,35,79174.44524999995,100575.19524999995,0.00020276653887345278,1
2025-02-18,HALC,Monte Carlo,BUY,611.45,36,78562.38379999995,101109.18379999996,0.005309346391748709,1
2025-02-19,HALC,Monte Carlo,BUY,626.3,37,77935.45749999995,101571.05749999994,0.004568068721765135,1
2025-02-20,HALC,Monte Carlo,SELL,638.8,36,78573.61869999995,102101.41869999995,0.005221578007101228,1
2025-02-21,HALC,Monte Carlo,SELL,653.55,35,79226.51514999995,101693.01514999995,-0.00399997918931956,1
2025-02-24,HALC,Monte Carlo,SELL,641.9,34,79867.77324999995,100929.07324999996,-0.0075122357113038265,1
2025-02-25,HALC,Monte Carlo,BUY,619.45,35,79247.70379999996,101365.95379999996,0.004328589730709747,1
2025-02-27,HALC,Monte Carlo,BUY,631.95,36,78615.12184999995,101451.72184999996,0.0008461228527403133,1
2025-02-28,HALC,Monte Carlo,BUY,634.35,37,77980.13749999995,101532.48749999996,0.0007960993517627638,1
2025-03-03,HALC,Monte Carlo,BUY,636.55,38,77342.95094999995,101725.65094999995,0.0019024792434046572,1
2025-03-04,HALC,Monte Carlo,SELL,641.65,37,77983.95929999996,102305.90929999996,0.005704149785044988,1
2025-03-05,HALC,Monte Carlo,SELL,657.35,36,78640.65194999996,103190.85194999995,0.008649966126638958,1
2025-03-06,HALC,Monte Carlo,SELL,681.95,35,79321.91999999995,103519.16999999995,0.003181658488090444,1
2025-03-07,HALC,Monte Carlo,SELL,691.35,34,80012.57864999995,103443.67864999996,-0.0007292499543803977,1
2025-03-10,HALC,Monte Carlo,SELL,689.15,33,80701.03949999996,103652.53949999996,0.002019077943918397,1
2025-03-11,HALC,Monte Carlo,SELL,695.5,32,81395.84399999995,103471.04399999995,-0.0017509990674179732,1
2025-03-12,HALC,Monte Carlo,SELL,689.85,31,82085.00414999995,103082.85414999996,-0.0037516761694218084,1
2025-03-13,HALC,Monte Carlo,BUY,677.35,32,81406.97679999995,103190.97679999995,0.001048890728642968,1
2025-03-17,HALC,Monte Carlo,BUY,680.75,33,80725.54604999995,103754.59604999995,0.005461904397827191,1
2025-03-18,HALC,Monte Carlo,BUY,697.85,34,80026.99819999994,103777.69819999994,0.00022266146155933624,1
2025-03-19,HALC,Monte Carlo,SELL,698.55,33,80724.84964999995,104021.19964999995,0.002346375514426382,1
2025-03-20,HALC,Monte Carlo,SELL,705.95,32,81430.09369999994,103681.29369999994,-0.0032676603533096727,1
2025-03-21,HALC,Monte Carlo,SELL,695.35,31,82124.74834999994,103871.24834999994,0.0018321014642200572,1
2025-03-24,HALC,Monte Carlo,SELL,701.5,30,82825.54684999994,103629.04684999994,-0.0023317472721987916,1
2025-03-25,HALC,Monte Carlo,BUY,693.45,31,82131.40339999994,103561.70339999994,-0.0006498510991563784,1
