Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,HALC,Value Iteration,BUY,592.95,1,99406.45705,100005.45705,5.4570499999972524e-05,1
2025-01-02,HALC,Value Iteration,BUY,599.0,2,98806.85805,99989.15805,-0.00016298110603954355,1
2025-01-03,HALC,Value Iteration,BUY,591.15,3,98215.1169,99937.4169,-0.0005174676035788628,1
2025-01-06,HALC,Value Iteration,BUY,574.1,4,97640.44279999999,99978.44279999999,0.0004105159135846473,1
2025-01-07,HALC,Value Iteration,BUY,584.5,5,97055.35829999999,99988.60829999999,0.00010167691869674524,1
2025-01-08,HALC,Value Iteration,BUY,586.65,6,96468.12164999999,100003.62164999999,0.0001501506047063744,1
2025-01-09,HALC,Value Iteration,SELL,589.25,5,97056.78239999998,99929.03239999998,-0.0007458654873626224,1
2025-01-10,HALC,Value Iteration,BUY,574.45,6,96481.75794999998,99864.25794999998,-0.0006482045151874919,1
2025-01-13,HALC,Value Iteration,BUY,563.75,7,95917.44419999998,100053.74419999999,0.0018974381214034923,1
2025-01-14,HALC,Value Iteration,SELL,590.9,6,96507.75329999998,100057.05329999999,3.307322505976323e-05,1
2025-01-15,HALC,Value Iteration,SELL,591.55,5,97098.71174999999,100111.71174999999,0.0005462728333216129,1
2025-01-16,HALC,Value Iteration,BUY,602.6,6,96495.50914999998,100197.50914999998,0.0008570166117451872,1
2025-01-17,HALC,Value Iteration,BUY,617.0,7,95877.89214999999,100204.94214999999,7.418348083760265e-05,1
2025-01-20,HALC,Value Iteration,BUY,618.15,8,95259.12399999998,100178.72399999999,-0.0002616452785407911,1
2025-01-21,HALC,Value Iteration,BUY,614.95,9,94643.55904999998,100164.60904999998,-0.00014089768202680308,1
2025-01-22,HALC,Value Iteration,BUY,613.45,10,94029.49559999998,100111.99559999998,-0.0005252698582763987,1
2025-01-23,HALC,Value Iteration,BUY,608.25,11,93420.63734999998,100096.53734999997,-0.00015440956807787973,1
2025-01-24,HALC,Value Iteration,BUY,606.9,12,92813.13044999998,99855.93044999999,-0.002403748484911845,1
2025-01-27,HALC,Value Iteration,SELL,586.9,11,93399.44354999998,99711.79354999999,-0.0014434485698590546,1
2025-01-28,HALC,Value Iteration,SELL,573.85,10,93972.71969999999,99813.71969999999,0.0010222075681437718,1
2025-01-29,HALC,Value Iteration,SELL,584.1,9,94556.23559999999,99846.88559999998,0.00033227796839628944,1
2025-01-30,HALC,Value Iteration,SELL,587.85,8,95143.49774999998,99897.89774999997,0.0005109037672377337,1
2025-01-31,HALC,Value Iteration,BUY,594.3,9,94548.60344999998,99826.65344999998,-0.0007131711638045078,1
2025-02-01,HALC,Value Iteration,SELL,586.45,8,95134.46699999998,99726.86699999997,-0.000999597267377034,1
2025-02-03,HALC,Value Iteration,SELL,574.05,7,95707.94294999997,99795.59294999996,0.0006891417736004156,1
2025-02-04,HALC,Value Iteration,SELL,583.95,6,96291.30899999996,99894.90899999997,0.000995194748226691,1
2025-02-05,HALC,Value Iteration,BUY,600.6,7,95690.10839999997,99858.25839999996,-0.000366891570019931,1
2025-02-06,HALC,Value Iteration,BUY,595.45,8,95094.06294999996,99953.26294999996,0.0009513940211078012,1
2025-02-07,HALC,Value Iteration,BUY,607.4,9,94486.05554999996,99850.05554999996,-0.001032556586488099,1
2025-02-10,HALC,Value Iteration,SELL,596.0,8,95081.45954999996,99848.25954999996,-1.7986970463954803e-05,1
2025-02-11,HALC,Value Iteration,SELL,595.85,7,95676.71369999995,99869.01369999995,0.0002078569029999021,1
2025-02-12,HALC,Value Iteration,BUY,598.9,8,95077.21479999994,99897.21479999994,0.00028238088026688043,1
2025-02-13,HALC,Value Iteration,BUY,602.5,9,94474.11229999995,99929.91229999995,0.0003273114277056835,1
2025-02-14,HALC,Value Iteration,BUY,606.2,10,93867.30609999994,99975.80609999994,0.0004592598846901095,1
2025-02-17,HALC,Value Iteration,BUY,610.85,11,93255.84524999994,99981.79524999994,5.9905993596124386e-05,1
2025-02-18,HALC,Value Iteration,BUY,611.45,12,92643.78379999995,100159.38379999995,0.0017762088543815686,1
2025-02-19,HALC,Value Iteration,BUY,626.3,13,92016.85749999994,100321.25749999993,0.0016161611010228878,1
2025-02-25,HALC,Value Iteration,BUY,619.45,14,91396.78804999994,100244.08804999995,0.0017425907835295889,1
2025-02-27,HALC,Value Iteration,BUY,631.95,15,90764.20609999994,100279.45609999994,0.00035281931022554755,1
2025-02-28,HALC,Value Iteration,BUY,634.35,16,90129.22174999994,100314.02174999994,0.0003446932337320896,1
2025-03-03,HALC,Value Iteration,BUY,636.55,17,89492.03519999994,100400.08519999994,0.0008579403806028893,1
2025-03-13,HALC,Value Iteration,BUY,677.35,18,88814.00784999994,101067.50784999994,0.0005991927180101502,1
2025-03-17,HALC,Value Iteration,BUY,680.75,19,88132.57709999994,101391.72709999993,0.0032079474095788227,1
2025-03-18,HALC,Value Iteration,BUY,697.85,20,87434.02924999993,101405.02924999993,0.0001311956150710759,1
2025-03-25,HALC,Value Iteration,BUY,693.45,21,86739.88579999993,101257.18579999993,-0.0004525378000974273,1
2025-03-26,HALC,Value Iteration,BUY,691.3,22,86047.89449999994,101301.59449999993,0.00043857331851701516,1
2025-03-27,HALC,Value Iteration,BUY,693.35,23,85353.85114999994,101050.20114999995,-0.0024816327051987723,1
2025-03-28,HALC,Value Iteration,BUY,682.45,24,84670.71869999994,100600.71869999994,-0.004448110393494359,1
2025-04-01,HALC,Value Iteration,SELL,663.75,23,85333.80494999993,100541.40494999994,-0.0005895956884451283,1
2025-04-02,HALC,Value Iteration,SELL,661.2,22,85994.34374999993,100352.64374999993,-0.001877447406805988,1
2025-04-03,HALC,Value Iteration,SELL,652.65,21,86646.34109999993,99245.29109999993,-0.011034613624715806,1
2025-04-04,HALC,Value Iteration,SELL,599.95,20,87245.69114999993,98481.69114999993,-0.007694067310766385,1
2025-04-07,HALC,Value Iteration,SELL,561.8,19,87806.92934999993,98605.57934999993,0.00125798205283969,1
2025-04-08,HALC,Value Iteration,SELL,568.35,18,88374.71099999994,98526.71099999994,-0.0007998365865287093,1
2025-04-09,HALC,Value Iteration,SELL,564.0,17,88938.14699999994,99143.24699999994,0.006257551822672815,1
2025-04-11,HALC,Value Iteration,SELL,600.3,16,89537.84669999994,99419.44669999994,0.0027858649818075613,1
2025-04-15,HALC,Value Iteration,BUY,617.6,17,88919.62909999993,99287.92909999994,-0.0013228558834858873,1
2025-04-16,HALC,Value Iteration,SELL,609.9,16,89528.91919999993,99280.91919999993,-7.060173440564355e-05,1
2025-04-17,HALC,Value Iteration,SELL,609.5,15,90137.80969999993,99467.80969999993,0.0018824412737709038,1
2025-04-21,HALC,Value Iteration,BUY,622.0,16,89515.18769999992,99436.78769999993,-0.0003118797940113607,1
2025-04-22,HALC,Value Iteration,BUY,620.1,17,88894.46759999992,99589.16759999991,0.0015324298333099257,1
2025-04-23,HALC,Value Iteration,BUY,629.1,18,88264.73849999992,99575.03849999992,-0.0001418738637995306,1
2025-04-24,HALC,Value Iteration,BUY,628.35,19,87635.76014999991,99455.66014999991,-0.00119887827108411,1
2025-04-25,HALC,Value Iteration,BUY,622.1,20,87013.03804999992,99586.03804999992,0.001310914831829276,1
2025-04-28,HALC,Value Iteration,BUY,628.65,21,86383.75939999992,99457.30939999993,-0.001292637527515235,1
2025-04-29,HALC,Value Iteration,BUY,622.55,22,85760.58684999992,99502.88684999992,0.0004582614417678695,1
2025-05-06,HALC,Value Iteration,BUY,630.05,23,85129.90679999992,99764.80679999992,0.001436634477144548,1
2025-05-07,HALC,Value Iteration,BUY,636.3,24,84492.97049999992,99377.77049999993,-0.0038794872903015814,1
2025-05-08,HALC,Value Iteration,BUY,620.2,25,83872.15029999992,99550.90029999992,0.0017421380971712913,1
2025-05-09,HALC,Value Iteration,BUY,627.15,26,83244.37314999993,100195.07314999992,0.0064707887930572855,1
2025-05-12,HALC,Value Iteration,BUY,651.95,27,82591.77119999993,99730.02119999993,-0.0046414652475354175,1
2025-05-13,HALC,Value Iteration,BUY,634.75,28,81956.38644999993,100171.78644999993,0.004429611512004742,1
2025-05-14,HALC,Value Iteration,BUY,650.55,29,81305.18589999994,100484.33589999995,0.003120134531653056,1
2025-05-15,HALC,Value Iteration,BUY,661.35,30,80643.17454999994,100369.67454999994,-0.0011410868069439016,1
2025-05-16,HALC,Value Iteration,BUY,657.55,31,79984.96699999993,100393.81699999994,0.00024053530220398016,1
2025-05-19,HALC,Value Iteration,BUY,658.35,32,79325.95864999993,100533.95864999993,0.001395919133147319,1
2025-05-20,HALC,Value Iteration,BUY,662.75,33,78662.54589999992,100541.54589999992,7.546952394873056e-05,1
2025-05-21,HALC,Value Iteration,BUY,663.0,34,77998.88289999992,100083.58289999992,-0.004554962785787081,1
2025-05-22,HALC,Value Iteration,BUY,649.55,35,77348.68334999992,100102.18334999992,0.00018584916188085535,1
2025-05-23,HALC,Value Iteration,BUY,650.1,36,76697.93324999991,100510.13324999991,0.0040753346864935555,1
2025-05-26,HALC,Value Iteration,BUY,661.45,37,76035.82179999992,100435.47179999991,-0.0007428251021645091,1
2025-05-27,HALC,Value Iteration,BUY,659.45,38,75375.71234999991,100073.81234999992,-0.003600913537003888,1
2025-05-28,HALC,Value Iteration,BUY,649.95,39,74725.11239999991,100075.11239999991,1.2990911103135709e-05,1
2025-05-29,HALC,Value Iteration,BUY,650.0,40,74074.46239999992,99414.46239999992,-0.006601541423799538,1
2025-05-30,HALC,Value Iteration,SELL,633.5,39,74707.32889999992,99320.22889999993,-0.0009478852243935449,1
2025-06-02,HALC,Value Iteration,SELL,631.1,38,75337.79779999993,99353.79779999993,0.0003379865347853464,1
2025-06-03,HALC,Value Iteration,SELL,632.0,37,75969.16579999993,99495.61579999993,0.0014274039155048727,1
2025-06-04,HALC,Value Iteration,SELL,635.85,36,76604.37994999993,99545.37994999993,0.0005001642494482932,1
2025-06-05,HALC,Value Iteration,SELL,637.25,35,77240.99269999993,99996.24269999993,0.004529218234200939,1
2025-06-06,HALC,Value Iteration,BUY,650.15,36,76590.19254999993,100018.99254999994,0.00022750704812239352,1
2025-06-09,HALC,Value Iteration,BUY,650.8,37,75938.74174999993,100297.69174999993,0.0027864627796632246,1
2025-06-10,HALC,Value Iteration,BUY,658.35,38,75279.73339999992,100177.33339999993,-0.001200011165760403,1
2025-06-11,HALC,Value Iteration,BUY,655.2,39,74623.87819999992,100014.82819999992,-0.00162217534131343,1
2025-06-12,HALC,Value Iteration,BUY,651.05,40,73972.17714999992,99644.17714999992,-0.0037059609726950537,1
2025-06-13,HALC,Value Iteration,SELL,641.8,39,74613.33534999992,99947.73534999992,0.0030464218651034317,1
2025-06-16,HALC,Value Iteration,BUY,649.6,40,73963.08574999993,99631.08574999993,-0.003168151823461901,1
2025-06-17,HALC,Value Iteration,SELL,641.7,39,74604.14404999993,99772.79404999994,0.0014223301787114478,1
2025-06-18,HALC,Value Iteration,SELL,645.35,38,75248.84869999993,99620.14869999993,-0.0015299295910617655,1
2025-06-19,HALC,Value Iteration,SELL,641.35,37,75889.55734999993,99908.10734999993,0.0028905663538725543,1
2025-06-20,HALC,Value Iteration,BUY,649.15,38,75239.75819999992,100372.95819999992,0.004652784066577439,1
2025-06-23,HALC,Value Iteration,BUY,661.4,39,74577.69679999992,100684.29679999992,0.0031018175172205197,1
2025-06-24,HALC,Value Iteration,BUY,669.4,40,73907.62739999992,100813.62739999992,0.0012845160974496793,1
2025-06-25,HALC,Value Iteration,BUY,672.65,41,73234.30474999992,101548.90474999993,0.007293432137727092,1
2025-06-30,HALC,Value Iteration,BUY,692.85,42,72540.76189999992,101701.36189999993,0.0005923501179034179,1
2025-07-01,HALC,Value Iteration,BUY,694.3,43,71845.76759999992,101874.81759999992,0.0017055395990718926,1
2025-07-09,HALC,Value Iteration,BUY,673.95,44,71171.14364999993,100873.34364999992,0.0004733524191177136,1
2025-07-10,HALC,Value Iteration,BUY,675.05,45,70495.41859999993,100688.16859999993,-0.0018357183701820405,1
2025-07-11,HALC,Value Iteration,SELL,670.95,44,71165.69764999993,100491.69764999993,-0.0019512813941478598,1
2025-07-14,HALC,Value Iteration,SELL,666.5,43,71831.53114999992,100678.08114999993,0.001854715407925009,1
2025-07-15,HALC,Value Iteration,SELL,670.85,42,72501.71029999992,100505.21029999992,-0.0017170654031680136,1
2025-07-16,HALC,Value Iteration,SELL,666.75,41,73167.79354999991,100824.34354999992,0.0031752906048095617,1
2025-07-17,HALC,Value Iteration,SELL,674.55,40,73841.66899999992,100877.66899999992,0.0005288945915483122,1
2025-07-18,HALC,Value Iteration,SELL,675.9,39,74516.89309999993,101142.19309999993,0.002622226530630975,1
2025-07-21,HALC,Value Iteration,BUY,682.7,40,73833.51039999993,101435.51039999993,0.002900048842227402,1
2025-07-22,HALC,Value Iteration,BUY,690.05,41,73142.77034999993,101654.17034999993,0.0021556548504339293,1
2025-07-23,HALC,Value Iteration,BUY,695.4,42,72446.67494999993,101661.87494999992,7.579226679505633e-05,1
2025-07-24,HALC,Value Iteration,BUY,695.6,43,71750.37934999993,101568.72934999994,-0.0009162294129023339,1
2025-07-25,HALC,Value Iteration,BUY,693.45,44,71056.23589999993,101387.63589999994,-0.0017829646108494948,1
2025-07-28,HALC,Value Iteration,BUY,689.35,45,70366.19654999992,101537.69654999992,0.0014800685376271307,1
2025-07-29,HALC,Value Iteration,BUY,692.7,46,69672.80384999992,101357.60384999993,-0.0017736535899385037,1
2025-07-30,HALC,Value Iteration,BUY,688.8,47,68983.31504999992,101086.66504999992,-0.0026730979197275464,1
2025-07-31,HALC,Value Iteration,SELL,683.05,46,69665.68199999991,100598.38199999991,-0.004830340873927298,1
2025-08-01,HALC,Value Iteration,SELL,672.45,45,70337.45954999991,101283.95954999991,0.006814995791880653,1
2025-08-04,HALC,Value Iteration,BUY,687.7,46,69649.0718499999,101255.67184999991,-0.0002792910163236286,1
2025-08-05,HALC,Value Iteration,BUY,687.1,47,68961.2847499999,101149.2347499999,-0.001051171732460439,1
2025-08-06,HALC,Value Iteration,BUY,684.85,48,68275.74989999991,101242.1498999999,0.0009185946906039328,1
2025-08-07,HALC,Value Iteration,BUY,686.8,49,67588.26309999991,100553.01309999991,-0.006806817127853125,1
2025-08-08,HALC,Value Iteration,SELL,672.75,48,68260.34034999991,100557.14034999991,4.104551293654878e-05,1
2025-08-11,HALC,Value Iteration,SELL,672.85,47,68932.51749999991,100283.8674999999,-0.002717587722252771,1
2025-08-12,HALC,Value Iteration,BUY,667.05,48,68264.80044999991,101888.80044999991,0.01600389963021723,1
2025-08-13,HALC,Value Iteration,BUY,700.5,49,67563.5999499999,101630.8499499999,-0.002531686494106787,1
2025-08-14,HALC,Value Iteration,BUY,695.25,50,66867.6546999999,102575.1546999999,0.009291516802866181,1
2025-08-18,HALC,Value Iteration,BUY,714.15,51,66152.7905499999,102194.4905499999,-0.003711075563213333,1
2025-08-19,HALC,Value Iteration,BUY,706.7,52,65445.383849999904,101889.58384999991,-0.0029835923478752796,1
2025-08-20,HALC,Value Iteration,BUY,700.85,53,64743.832999999904,102230.73299999989,0.0033482240000333773,1
2025-08-21,HALC,Value Iteration,BUY,707.3,54,64035.82569999991,102062.62569999992,-0.001644391026717713,1
2025-08-22,HALC,Value Iteration,BUY,704.2,55,63330.92149999991,102702.67149999991,0.006271108504315044,1
2025-08-25,HALC,Value Iteration,BUY,715.85,56,62614.35564999991,102133.55564999991,-0.0055413928546153,1
2025-08-26,HALC,Value Iteration,BUY,705.7,57,61907.94994999991,101887.74994999991,-0.0024067085340918255,1
2025-08-28,HALC,Value Iteration,BUY,701.4,58,61205.84854999991,102034.94854999991,0.0014447134230782322,1
2025-08-29,HALC,Value Iteration,BUY,703.95,59,60501.19459999991,102957.59459999991,0.009042451269016654,1
2025-09-01,HALC,Value Iteration,BUY,719.6,60,59780.874999999905,103037.87499999991,0.0007797423814328637,1
2025-09-02,HALC,Value Iteration,BUY,720.95,61,59059.204049999906,104379.15404999991,0.013017339982991677,1
2025-09-04,HALC,Value Iteration,BUY,739.05,62,58319.414999999906,104435.0149999999,0.0028207932838887925,1
2025-09-08,HALC,Value Iteration,BUY,738.75,63,57579.92624999991,104382.62624999991,0.0025039037170994003,1
2025-09-09,HALC,Value Iteration,BUY,742.9,64,56836.28334999991,104397.8833499999,0.00014616512870108017,1
2025-09-11,HALC,Value Iteration,BUY,742.65,65,56092.89069999991,105366.1406999999,0.009584141080333229,1
2025-09-19,HALC,Value Iteration,BUY,743.3,66,55348.84739999991,104565.04739999992,0.0015100147503257306,1
2025-09-22,HALC,Value Iteration,BUY,745.7,67,54602.401699999915,104577.70169999992,0.00012101845037747002,1
2025-09-23,HALC,Value Iteration,BUY,745.9,68,53855.75579999991,104247.1557999999,-0.0031607684489781836,1
