Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,HCLT,Policy Iteration,BUY,1972.2,1,98025.8278,99972.4778,-0.00027522200000006705,1
2025-01-03,HCLT,Policy Iteration,BUY,1946.65,2,96077.23114999999,99983.33115,0.00010856337903035216,1
2025-01-06,HCLT,Policy Iteration,BUY,1953.05,3,94122.2281,99869.92809999999,-0.0011342195613574342,1
2025-01-08,HCLT,Policy Iteration,BUY,1932.25,4,92188.04585,99927.24584999999,8.274454119941675e-05,1
2025-01-09,HCLT,Policy Iteration,BUY,1934.8,5,90251.31104999999,100193.41105,0.002663589872171015,1
2025-01-10,HCLT,Policy Iteration,BUY,1988.42,6,88260.90263,100157.34263,-0.0003599879435384885,1
2025-01-13,HCLT,Policy Iteration,BUY,1982.74,7,86276.17989,98928.53989,-0.012268723467828284,1
2025-01-27,HCLT,Policy Iteration,BUY,1711.95,8,84562.51794,98108.51794,-0.0015399166696032271,1
2025-01-28,HCLT,Policy Iteration,BUY,1693.25,9,82867.57469000001,98338.57469000001,0.0023449212650495715,1
2025-01-29,HCLT,Policy Iteration,BUY,1719.0,10,81146.85569000001,98277.85569000001,-0.0006174484447370357,1
2025-01-30,HCLT,Policy Iteration,BUY,1713.1,11,79432.04259000001,98411.99259000001,0.001364874101680735,1
2025-01-31,HCLT,Policy Iteration,BUY,1725.45,12,77704.86714000002,98032.86714000002,-0.0038524313960341104,1
2025-02-03,HCLT,Policy Iteration,BUY,1692.0,13,76011.17514000002,98534.32514000002,0.0053613312278103595,1
2025-02-18,HCLT,Policy Iteration,BUY,1725.5,14,74283.94964000002,98256.14964000002,-0.0018947626091503158,1
2025-02-24,HCLT,Policy Iteration,BUY,1644.05,15,72638.25559000002,97179.75559000002,-0.0012424793713844168,1
2025-02-27,HCLT,Policy Iteration,BUY,1629.2,16,71007.42639000002,96208.22639000003,-0.008941725190412135,1
2025-02-28,HCLT,Policy Iteration,BUY,1575.05,17,69430.80134000002,96161.60134000002,-0.0004846264373588809,1
2025-03-03,HCLT,Policy Iteration,BUY,1572.4,18,67856.82894000002,95495.82894000002,-0.006923474554526397,1
2025-03-04,HCLT,Policy Iteration,BUY,1535.5,19,66319.79344000002,96205.84344000003,0.00743503153887597,1
2025-03-05,HCLT,Policy Iteration,BUY,1572.95,20,64745.270490000024,96454.27049000002,0.0025822449148313227,1
2025-03-06,HCLT,Policy Iteration,BUY,1585.45,21,63158.23504000002,95875.18504000003,-0.006003730545658275,1
2025-03-07,HCLT,Policy Iteration,BUY,1557.95,22,61598.72709000002,95683.32709000002,-0.0020011220830495413,1
2025-03-10,HCLT,Policy Iteration,BUY,1549.3,23,60047.87779000002,96108.42779000002,0.004442787609174004,1
2025-03-11,HCLT,Policy Iteration,BUY,1567.85,24,58478.45994000002,95452.85994000002,-0.00682112760633676,1
2025-03-12,HCLT,Policy Iteration,BUY,1540.6,25,56936.319340000024,95305.06934000002,-0.0015483098158913845,1
2025-03-13,HCLT,Policy Iteration,BUY,1534.75,26,55400.034590000025,95573.93459000002,0.0028211012474145323,1
2025-03-17,HCLT,Policy Iteration,BUY,1545.15,27,53853.339440000025,95924.73944000003,0.003670507565738745,1
2025-04-07,HCLT,Policy Iteration,BUY,1374.1,28,52477.865340000026,91771.66534000002,0.008989440216554267,1
2025-04-09,HCLT,Policy Iteration,BUY,1380.0,29,51096.48534000003,91422.43534000003,0.003342593670994432,1
2025-04-11,HCLT,Policy Iteration,BUY,1390.55,30,49704.54479000003,92499.54479000003,0.011781675318473345,1
2025-04-16,HCLT,Policy Iteration,BUY,1431.7,31,48271.41309000003,92849.41309000003,0.002092355081818324,1
2025-04-17,HCLT,Policy Iteration,BUY,1438.0,32,46831.97509000003,94255.97509000002,0.015148851814890781,1
2025-06-09,HCLT,Policy Iteration,BUY,1648.3,33,45182.02679000003,100229.32679000002,0.006545165409088626,1
2025-06-10,HCLT,Policy Iteration,BUY,1668.1,34,43512.25869000003,102056.85869000004,0.018233504688992392,1
2025-06-11,HCLT,Policy Iteration,BUY,1721.9,35,41788.63679000003,101330.63679000003,-0.007115855899562019,1
2025-06-12,HCLT,Policy Iteration,BUY,1701.2,36,40085.73559000003,101116.53559000003,-0.002112897014983858,1
2025-06-13,HCLT,Policy Iteration,BUY,1695.3,37,38388.74029000003,102139.74029000003,0.01011906404852336,1
2025-06-16,HCLT,Policy Iteration,BUY,1723.0,38,36664.01729000003,102388.81729000004,0.0024385904966354277,1
2025-06-17,HCLT,Policy Iteration,BUY,1729.6,39,34932.687690000035,101852.78769000004,-0.005235235782456358,1
2025-06-18,HCLT,Policy Iteration,BUY,1715.9,40,33215.07179000004,101771.07179000005,-0.000802294191973486,1
2025-06-19,HCLT,Policy Iteration,BUY,1713.9,41,31499.457890000038,102835.35789000004,0.010457648536866185,1
2025-06-20,HCLT,Policy Iteration,BUY,1739.9,42,29757.81799000004,101292.21799000005,-0.01500592725753574,1
2025-06-23,HCLT,Policy Iteration,BUY,1703.2,43,28052.91479000004,100800.31479000003,-0.0048562782981865175,1
2025-06-24,HCLT,Policy Iteration,BUY,1691.8,44,26359.42299000004,101911.82299000003,0.011026832627612632,1
2025-06-25,HCLT,Policy Iteration,BUY,1717.1,45,24640.60589000004,102225.10589000004,0.003074058443942722,1
2025-06-26,HCLT,Policy Iteration,BUY,1724.1,46,22914.781790000037,102186.58179000004,-0.00037685556463447627,1
2025-06-27,HCLT,Policy Iteration,BUY,1723.3,47,21189.758490000037,102433.95849000003,0.0024208334956185183,1
