Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-30,HDBKc1_NS,Q-Learning,BUY,1691.5,1,98306.8085,100014.0085,0.00014008499999996276,1
2025-01-31,HDBKc1_NS,Q-Learning,BUY,1707.2,2,96597.9013,99990.2013,-0.00023803865435506114,1
2025-02-04,HDBKc1_NS,Q-Learning,BUY,1725.3,3,94870.876,100094.626,0.0004610233976588343,1
2025-02-20,HDBKc1_NS,Q-Learning,SELL,1690.5,2,96559.6855,99941.8855,-4.907828086855605e-06,1
2025-02-21,HDBKc1_NS,Q-Learning,SELL,1691.1,1,98249.0944,99930.6444,-0.00011247636507717555,1
2025-02-24,HDBKc1_NS,Q-Learning,SELL,1681.55,0,99928.96285,99928.96285,-1.6827170585206676e-05,0
2025-03-04,HDBKc1_NS,Q-Learning,BUY,1715.2,1,98212.04765,99911.24764999999,-0.00017727793319137814,1
2025-03-05,HDBKc1_NS,Q-Learning,SELL,1699.2,0,99909.54844999999,99909.54844999999,-1.7007094195792955e-05,0
2025-04-01,HDBKc1_NS,Q-Learning,BUY,1778.75,1,98129.01969999999,99931.8197,0.00022291412928515984,1
2025-04-03,HDBKc1_NS,Q-Learning,BUY,1798.65,2,96328.57104999998,99966.77104999998,0.0003912965259510819,1
2025-04-07,HDBKc1_NS,Q-Learning,SELL,1764.8,1,98091.60624999998,99867.90624999999,9.749026942543357e-05,1
2025-04-08,HDBKc1_NS,Q-Learning,BUY,1776.3,2,96313.52994999998,99856.62994999999,-0.00011291214989297645,1
2025-04-09,HDBKc1_NS,Q-Learning,SELL,1771.55,1,98083.30839999998,99895.55839999998,0.00038984341870423953,1
2025-04-11,HDBKc1_NS,Q-Learning,BUY,1812.25,2,96269.24614999998,99997.64614999997,0.0010219448355372677,1
2025-04-15,HDBKc1_NS,Q-Learning,BUY,1864.2,3,94403.18194999998,100032.68194999998,0.00035036624709603126,1
2025-04-16,HDBKc1_NS,Q-Learning,BUY,1876.5,4,92524.80544999999,100138.80544999999,0.0010608882810224556,1
2025-04-17,HDBKc1_NS,Q-Learning,BUY,1903.5,5,90619.40194999998,100238.90194999998,0.0009995775319087319,1
2025-04-21,HDBKc1_NS,Q-Learning,BUY,1923.9,6,88693.57804999998,100438.57804999998,0.0019920020682149637,1
2025-04-22,HDBKc1_NS,Q-Learning,BUY,1957.5,7,86734.12054999998,100200.02054999997,-0.0023751580780171145,1
