Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-16,HDFLc1_NS,Policy Iteration,BUY,643.75,1,99355.60625,99999.45625,-5.437499999970896e-06,1
2025-01-22,HDFLc1_NS,Policy Iteration,BUY,618.85,2,98736.13739999999,99980.13739999999,5.6826015495227356e-05,1
2025-01-27,HDFLc1_NS,Policy Iteration,BUY,609.5,3,98126.02789999999,99959.02789999999,3.892246162821105e-05,1
2025-01-28,HDFLc1_NS,Policy Iteration,BUY,611.0,4,97514.41689999998,100021.61689999998,0.0006261465453886499,1
2025-02-11,HDFLc1_NS,Policy Iteration,BUY,620.35,5,96893.44654999998,100050.19654999998,0.0005438192485030101,1
2025-02-14,HDFLc1_NS,Policy Iteration,SELL,626.3,4,97519.12024999998,100014.72024999998,-0.00010223749527207131,1
2025-02-17,HDFLc1_NS,Policy Iteration,SELL,623.9,3,98142.39634999998,99998.94634999998,-0.00015771578384233037,1
2025-02-18,HDFLc1_NS,Policy Iteration,SELL,618.85,2,98760.62749999999,100006.42749999999,7.481228825974417e-05,1
2025-02-19,HDFLc1_NS,Policy Iteration,SELL,622.9,1,99382.9046,100003.1546,-3.2726896478691816e-05,1
2025-02-20,HDFLc1_NS,Policy Iteration,SELL,620.25,0,100002.53434999999,100002.53434999999,-6.2023043421794e-06,0
2025-03-19,HDFLc1_NS,Policy Iteration,BUY,664.65,1,99337.21969999999,100011.01969999999,8.485134956984873e-05,1
2025-03-20,HDFLc1_NS,Policy Iteration,BUY,673.8,2,98662.74589999998,100021.44589999998,0.00010425051190621096,1
2025-03-21,HDFLc1_NS,Policy Iteration,BUY,679.35,3,97982.71654999998,100022.86654999998,1.4203453941471402e-05,1
2025-03-24,HDFLc1_NS,Policy Iteration,BUY,680.05,4,97301.98649999998,99996.58649999999,-0.0002627404203302816,1
2025-03-25,HDFLc1_NS,Policy Iteration,BUY,673.65,5,96627.66284999998,99969.91284999998,-0.0002667456053613545,1
2025-03-26,HDFLc1_NS,Policy Iteration,BUY,668.45,6,95958.54439999998,100049.94439999998,0.0008005563645942472,1
2025-03-27,HDFLc1_NS,Policy Iteration,BUY,681.9,7,95275.96249999998,100086.36249999997,0.00036399920278211895,1
