Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,HDFLc1_NS,Q-Learning,BUY,619.85,1,99379.53015,100003.78015,3.7801500000059605e-05,1
2025-01-02,HDFLc1_NS,Q-Learning,BUY,624.25,2,98754.65590000001,100007.65590000001,3.87560349638095e-05,1
2025-01-03,HDFLc1_NS,Q-Learning,BUY,626.5,3,98127.52940000001,99955.12940000002,-0.0005252247893152815,1
2025-01-06,HDFLc1_NS,Q-Learning,BUY,609.2,4,97517.72020000001,100009.72020000001,0.000546153062155816,1
2025-01-07,HDFLc1_NS,Q-Learning,BUY,623.0,5,96894.0972,99996.8472,-0.00012871748840276095,1
2025-01-08,HDFLc1_NS,Q-Learning,BUY,620.55,6,96272.92665000001,99957.82665,-0.0003902178027868972,1
2025-01-09,HDFLc1_NS,Q-Learning,BUY,614.15,7,95658.1625,99934.8125,-0.00023023859933035768,1
2025-01-10,HDFLc1_NS,Q-Learning,BUY,610.95,8,95046.60155,99853.40155000001,-0.0008146405438043965,1
2025-01-13,HDFLc1_NS,Q-Learning,BUY,600.85,9,94445.15070000001,99874.85070000001,0.00021480640285709296,1
2025-01-14,HDFLc1_NS,Q-Learning,BUY,603.3,10,93841.24740000001,99791.24740000001,-0.0008370806005120014,1
2025-01-15,HDFLc1_NS,Q-Learning,BUY,595.0,11,93245.6524,100326.9024,0.005367755328810519,1
2025-02-14,HDFLc1_NS,Q-Learning,BUY,626.3,12,92618.7261,100105.5261,-0.0002938664202131927,1
2025-02-17,HDFLc1_NS,Q-Learning,BUY,623.9,13,91994.2022,100039.2522,-0.0006620403746122477,1
2025-02-18,HDFLc1_NS,Q-Learning,BUY,618.85,14,91374.73335,100095.33335,0.0005605914555206778,1
2025-02-19,HDFLc1_NS,Q-Learning,BUY,622.9,15,90751.21045,100054.96045,-0.00040334447819691607,1
2025-02-20,HDFLc1_NS,Q-Learning,BUY,620.25,16,90130.3402,100087.14020000001,0.00032162073579641544,1
2025-02-21,HDFLc1_NS,Q-Learning,BUY,622.3,17,89507.4179,99998.1179,-0.0008894479332921478,1
2025-02-24,HDFLc1_NS,Q-Learning,BUY,617.1,18,88889.7008,100065.00080000001,0.0006688415882676471,1
2025-02-25,HDFLc1_NS,Q-Learning,BUY,620.85,19,88268.22995000001,100017.82995000001,-0.00047140208487356515,1
2025-02-27,HDFLc1_NS,Q-Learning,BUY,618.4,20,87649.21155,99887.21155,-0.0013059511495630749,1
2025-02-28,HDFLc1_NS,Q-Learning,BUY,611.9,21,87036.69965000001,100053.54965000002,0.001665259220062872,1
2025-03-03,HDFLc1_NS,Q-Learning,BUY,619.85,22,86416.22980000002,100018.8298,-0.0003470126759266715,1
2025-03-04,HDFLc1_NS,Q-Learning,BUY,618.3,23,85797.31150000001,100129.76150000001,0.0011091081571522345,1
2025-03-05,HDFLc1_NS,Q-Learning,BUY,623.15,24,85173.53835000002,100048.73835000001,-0.0008091814939556568,1
2025-03-06,HDFLc1_NS,Q-Learning,BUY,619.8,25,84553.11855000001,100200.61855000001,0.0015180621215699676,1
2025-03-13,HDFLc1_NS,Q-Learning,BUY,622.25,26,83930.24630000001,100340.14630000001,0.0023052562746385817,1
2025-04-30,HDFLc1_NS,Q-Learning,SELL,745.15,25,84674.65115000002,102953.40115000002,-0.0033952669138894755,1
2025-05-02,HDFLc1_NS,Q-Learning,SELL,731.15,24,85405.07000000002,103172.27000000002,0.0021259020834203776,1
2025-05-05,HDFLc1_NS,Q-Learning,SELL,740.3,23,86144.62970000002,102796.62970000002,-0.003640903704066985,1
2025-05-26,HDFLc1_NS,Q-Learning,SELL,780.45,22,86924.29925000003,104019.39925000002,-0.0007260719990323275,1
2025-05-27,HDFLc1_NS,Q-Learning,SELL,777.05,21,87700.57220000002,104198.17220000003,0.0017186500911272394,1
2025-05-28,HDFLc1_NS,Q-Learning,SELL,785.6,20,88485.38660000003,104103.38660000003,-0.0009096666284900808,1
2025-06-06,HDFLc1_NS,Q-Learning,BUY,754.75,21,87729.88185000003,103720.33185000003,0.0013510786606776796,1
2025-06-09,HDFLc1_NS,Q-Learning,BUY,761.45,22,86967.67040000003,103737.17040000003,0.00016234570117218912,1
2025-06-10,HDFLc1_NS,Q-Learning,BUY,762.25,23,86204.65815000003,103784.70815000003,0.0004582518475942846,1
2025-06-11,HDFLc1_NS,Q-Learning,BUY,764.35,24,85439.54380000003,103548.74380000003,-0.002273594580609795,1
2025-06-12,HDFLc1_NS,Q-Learning,BUY,754.55,25,84684.23925000003,103460.48925000003,-0.0008522995717887001,1
