Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-02-07,ICBK,Q-Learning,BUY,1256.9,1,98741.8431,100004.4431,4.443100000004051e-05,1
2025-02-10,ICBK,Q-Learning,SELL,1262.6,0,100003.1805,100003.1805,-1.2625439039136445e-05,0
2025-02-11,ICBK,Q-Learning,BUY,1252.75,1,98749.17775,100000.97775,-2.202679943761129e-05,1
2025-02-12,ICBK,Q-Learning,SELL,1251.8,0,99999.72595000001,99999.72595000001,-1.2517877606433541e-05,0
2025-03-18,ICBK,Q-Learning,BUY,1309.85,1,98688.56610000001,100001.66610000002,1.940155317005099e-05,1
2025-03-19,ICBK,Q-Learning,SELL,1313.1,0,100000.35300000002,100000.35300000002,-1.3130781228047903e-05,0
2025-03-20,ICBK,Q-Learning,BUY,1321.7,1,98677.33130000002,100020.43130000003,0.00020078229123859502,1
2025-03-21,ICBK,Q-Learning,SELL,1343.1,0,100019.08820000001,100019.08820000001,-1.3428256432771272e-05,0
2025-03-24,ICBK,Q-Learning,BUY,1358.15,1,98659.58005000002,100003.28005000002,-0.0001580513308458366,1
2025-03-25,ICBK,Q-Learning,SELL,1343.7,0,100001.93635000002,100001.93635000002,-1.3436559274113779e-05,0
2025-03-26,ICBK,Q-Learning,BUY,1335.9,1,98664.70045000002,100001.35045000001,-5.858886551505207e-06,1
2025-03-27,ICBK,Q-Learning,SELL,1336.65,0,100000.01380000002,100000.01380000002,-1.3366319494513006e-05,0
2025-03-28,ICBK,Q-Learning,BUY,1348.35,1,98650.31545000001,99968.76545,-0.0003124834568773723,1
2025-04-01,ICBK,Q-Learning,SELL,1318.45,0,99967.44700000001,99967.44700000001,-1.318861940583834e-05,0
2025-04-02,ICBK,Q-Learning,BUY,1331.25,1,98634.86575000001,99964.41575000001,-3.032237084137999e-05,1
2025-04-03,ICBK,Q-Learning,SELL,1329.55,0,99963.0862,99963.0862,-1.3300232788180689e-05,0
2025-04-04,ICBK,Q-Learning,BUY,1335.3,1,98626.45090000001,99914.00090000001,-0.0004910342594043634,1
2025-04-15,ICBK,Q-Learning,SELL,1350.2,0,99975.3007,99975.3007,-1.350515333176427e-05,0
2025-04-17,ICBK,Q-Learning,BUY,1406.7,1,98567.194,99976.994,1.6937183365721035e-05,1
2025-04-21,ICBK,Q-Learning,SELL,1409.8,0,99975.5842,99975.5842,-1.4101244132310528e-05,0
2025-04-24,ICBK,Q-Learning,BUY,1402.7,1,98571.4815,99976.2815,6.9747029295160026e-06,1
2025-04-28,ICBK,Q-Learning,SELL,1428.8,0,99998.85269999999,99998.85269999999,-1.4287959779480998e-05,0
2025-04-29,ICBK,Q-Learning,BUY,1429.8,1,98567.62289999999,99994.62289999999,-4.229848529053152e-05,1
2025-04-30,ICBK,Q-Learning,SELL,1427.0,0,99993.19589999999,99993.19589999999,-1.427076735339178e-05,0
2025-05-02,ICBK,Q-Learning,BUY,1432.4,1,98559.36349999999,99988.76349999999,-4.432701605455083e-05,1
2025-05-05,ICBK,Q-Learning,SELL,1429.4,0,99987.3341,99987.3341,-1.4295606325740998e-05,0
2025-05-06,ICBK,Q-Learning,BUY,1431.6,1,98554.30249999999,99989.70249999998,2.3687000171675817e-05,1
2025-05-07,ICBK,Q-Learning,SELL,1435.4,0,99988.2671,99988.2671,-1.4355478255249004e-05,0
2025-05-08,ICBK,Q-Learning,BUY,1435.5,1,98551.33159999999,99940.23159999998,-0.0004804113661853101,1
2025-05-19,ICBK,Q-Learning,SELL,1449.0,0,99998.8826,99998.8826,-1.448995195125181e-05,0
2025-07-23,ICBK,Q-Learning,BUY,1488.6,1,98508.794,99992.19399999999,-6.688674739260128e-05,1
2025-07-24,ICBK,Q-Learning,SELL,1483.4,0,99990.71059999999,99990.71059999999,-1.483515803240947e-05,0
2025-07-29,ICBK,Q-Learning,BUY,1486.2,1,98503.0244,99985.42439999999,-5.2866911018855005e-05,1
2025-07-30,ICBK,Q-Learning,SELL,1482.4,0,99983.942,99983.942,-1.4826161001858028e-05,0
2025-07-31,ICBK,Q-Learning,BUY,1481.4,1,98501.0606,99972.6606,-0.00011283211858152755,1
2025-08-01,ICBK,Q-Learning,SELL,1471.6,0,99971.189,99971.189,-1.4720024366385628e-05,0
2025-10-17,ICBK,Q-Learning,BUY,1436.6,1,98533.15239999999,99923.4524,-0.000477503573554615,1
2025-10-20,ICBK,Q-Learning,SELL,1390.3,0,99922.0621,99922.0621,-1.3913650565571485e-05,0
2026-01-07,ICBK,Q-Learning,BUY,1427.7,1,98492.9344,99927.9344,5.876880317107391e-05,1
