Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,INFY,Double Q-Learning,BUY,1957.85,1,98040.19215,99978.94215,-0.00021057849999997415,1
2025-01-03,INFY,Double Q-Learning,SELL,1938.75,0,99977.0034,99977.0034,-1.9391583450567287e-05,0
2025-01-10,INFY,Double Q-Learning,BUY,1966.95,1,98008.08645,99970.28645,-6.718495025428834e-05,1
2025-01-13,INFY,Double Q-Learning,SELL,1962.2,0,99968.32425,99968.32425,-1.962783212565739e-05,0
2025-01-14,INFY,Double Q-Learning,BUY,1940.05,1,98026.33420000001,99975.9842,7.662377115420255e-05,1
2025-01-15,INFY,Double Q-Learning,SELL,1949.65,0,99974.03455000001,99974.03455000001,-1.950118336514478e-05,0
2025-01-16,INFY,Double Q-Learning,BUY,1928.45,1,98043.65610000001,99859.1061,-0.0011495829943976858,1
2025-01-17,INFY,Double Q-Learning,SELL,1815.45,0,99857.29065000001,99857.29065000001,-1.8180114672532587e-05,0
2025-06-09,INFY,Double Q-Learning,BUY,1572.9,1,98282.81775000002,99878.81775000002,0.00021557865089149211,1
2025-06-10,INFY,Double Q-Learning,SELL,1596.0,0,99877.22175000001,99877.22175000001,-1.5979364153066436e-05,0
2025-06-12,INFY,Double Q-Learning,BUY,1608.6,1,98267.01315000001,99869.01315000001,-8.218690764691913e-05,1
2025-06-13,INFY,Double Q-Learning,SELL,1602.0,0,99867.41115000001,99867.41115000001,-1.6041011615813208e-05,0
2025-06-16,INFY,Double Q-Learning,BUY,1623.8,1,98241.98735000001,99881.88735,0.0001449541930975554,1
2025-06-17,INFY,Double Q-Learning,SELL,1639.9,0,99880.24745000001,99880.24745000001,-1.6418392198059203e-05,0
2025-06-18,INFY,Double Q-Learning,BUY,1632.9,1,98245.71455,99864.11455,-0.0001615224272255388,1
2025-06-19,INFY,Double Q-Learning,SELL,1618.4,0,99862.49615,99862.49615,-1.6206021625333753e-05,0
2025-06-20,INFY,Double Q-Learning,BUY,1622.9,1,98237.97325000001,99821.97325000001,-0.000405786972710238,1
2025-06-23,INFY,Double Q-Learning,SELL,1584.0,0,99820.38925000001,99820.38925000001,-1.5868249729300567e-05,0
2025-06-25,INFY,Double Q-Learning,BUY,1614.9,1,98203.87435000001,99819.87435000001,-5.1582647980374226e-06,1
2025-06-26,INFY,Double Q-Learning,SELL,1616.0,0,99818.25835000002,99818.25835000002,-1.6189160831121885e-05,0
2025-06-27,INFY,Double Q-Learning,BUY,1608.0,1,98208.65035000003,99810.45035000003,-7.822216224823549e-05,1
2025-06-30,INFY,Double Q-Learning,SELL,1601.8,0,99808.84855000002,99808.84855000002,-1.6048419723456386e-05,0
2025-07-01,INFY,Double Q-Learning,BUY,1606.8,1,98200.44175000003,99810.94175000003,2.097208845119955e-05,1
2025-07-02,INFY,Double Q-Learning,SELL,1610.5,0,99809.33125000003,99809.33125000003,-1.6135505504287325e-05,0
2025-07-03,INFY,Double Q-Learning,BUY,1618.7,1,98189.01255000003,99829.71255000003,0.00020420235006828218,1
2025-07-04,INFY,Double Q-Learning,SELL,1640.7,0,99828.07185000002,99828.07185000002,-1.6434986719828652e-05,0
2025-07-07,INFY,Double Q-Learning,BUY,1627.0,1,98199.44485000003,99838.14485000003,0.00010090348148904928,1
2025-07-08,INFY,Double Q-Learning,SELL,1638.7,0,99836.50615000003,99836.50615000003,-1.6413566202155633e-05,0
2025-07-09,INFY,Double Q-Learning,BUY,1633.7,1,98201.17245000003,99816.97245000003,-0.00019565688697730882,1
2025-07-10,INFY,Double Q-Learning,SELL,1615.8,0,99815.35665000003,99815.35665000003,-1.6187627818595298e-05,0
2025-08-22,INFY,Double Q-Learning,BUY,1487.5,1,98326.36915000003,99858.46915000003,0.0004319225162033511,1
2025-08-25,INFY,Double Q-Learning,SELL,1532.1,0,99856.93705000002,99856.93705000002,-1.5342714674604727e-05,0
2025-10-08,INFY,Double Q-Learning,BUY,1495.0,1,98360.44205000003,99869.74205000003,0.00012823345456306045,1
2025-10-09,INFY,Double Q-Learning,SELL,1509.3,0,99868.23275000002,99868.23275000002,-1.5112685474340508e-05,0
