Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,INGL,Q-Learning,BUY,4595.7,1,95399.7043,99937.4543,-0.000625457000000024,1
2025-01-02,INGL,Q-Learning,SELL,4537.75,0,99932.91655,99932.91655,-4.540589943767602e-05,0
2025-01-03,INGL,Q-Learning,BUY,4466.2,1,95462.25034999999,99729.20034999998,-0.0020385295159286517,1
2025-01-06,INGL,Q-Learning,BUY,4266.95,2,91191.03339999999,99848.23339999998,0.0011935626635153121,1
2025-01-07,INGL,Q-Learning,BUY,4328.6,3,86858.10479999999,99644.55479999998,-0.002039881859341933,1
2025-01-08,INGL,Q-Learning,BUY,4262.15,4,82591.69264999998,99633.89264999998,-0.00010700183287891764,1
2025-01-09,INGL,Q-Learning,BUY,4260.55,5,78326.88209999999,99470.88209999999,-0.001636095365385604,1
2025-01-10,INGL,Q-Learning,BUY,4228.8,6,74093.85329999999,98102.25329999998,-0.013759089807046217,1
2025-01-13,INGL,Q-Learning,SELL,4001.4,5,78091.25189999999,98066.25189999999,-0.00036697831893728523,1
2025-01-14,INGL,Q-Learning,BUY,3995.0,6,74092.2569,98488.2569,0.004303264291474412,1
2025-01-15,INGL,Q-Learning,BUY,4066.0,7,70022.19089999999,98804.44089999999,0.0032103725860539,1
2025-01-16,INGL,Q-Learning,BUY,4111.75,8,65906.32914999999,98627.92914999998,-0.001786475874891623,1
2025-01-17,INGL,Q-Learning,BUY,4090.2,9,61812.03894999999,98840.73895,0.0021577032168683358,1
2025-01-20,INGL,Q-Learning,BUY,4114.3,10,57693.62464999999,97791.62464999998,-0.010614189160713631,1
2025-01-21,INGL,Q-Learning,BUY,4009.8,11,53679.81484999999,97806.31485,0.00015021940838582672,1
2025-01-23,INGL,Q-Learning,SELL,4134.8,10,57810.48004999999,99428.48004999998,0.002681103159715642,1
2025-01-24,INGL,Q-Learning,SELL,4161.8,9,61968.11824999999,99549.86825,0.0012208594553489386,1
2025-01-27,INGL,Q-Learning,SELL,4175.75,8,66139.69249999999,100399.69249999999,0.008536668756465086,1
2025-01-28,INGL,Q-Learning,BUY,4282.5,9,61852.90999999999,100498.00999999998,0.000979260967357944,1
2025-01-29,INGL,Q-Learning,BUY,4293.9,10,57554.71609999999,99832.21609999999,-0.006624946105897916,1
2025-01-30,INGL,Q-Learning,BUY,4227.75,11,53322.73834999999,100890.58835,0.010601510127150379,1
2025-01-31,INGL,Q-Learning,SELL,4324.35,10,57642.763999999996,102566.764,0.016613795968610685,1
2025-02-01,INGL,Q-Learning,SELL,4492.4,9,62130.671599999994,101673.97159999999,-0.008704500026928857,1
2025-02-03,INGL,Q-Learning,BUY,4393.7,10,57732.5779,101184.5779,-0.004813362675801936,1
2025-02-04,INGL,Q-Learning,BUY,4345.2,11,53383.032699999996,101952.43269999999,0.007588654476167819,1
2025-02-05,INGL,Q-Learning,BUY,4415.4,12,48963.2173,101701.4173,-0.002462083477091855,1
2025-02-06,INGL,Q-Learning,BUY,4394.85,13,44563.972449999994,101303.12245,-0.003916315628376259,1
2025-02-10,INGL,Q-Learning,SELL,4325.15,12,48884.79729999999,100686.99729999999,-0.00103109632766334,1
2025-02-11,INGL,Q-Learning,SELL,4316.85,11,53197.330449999994,100909.83045,0.002213127374690375,1
2025-02-12,INGL,Q-Learning,SELL,4337.5,10,57530.49294999999,101178.99294999999,0.0026673565776464078,1
2025-02-13,INGL,Q-Learning,SELL,4364.85,9,61890.97809999999,99900.67809999999,-0.012634192263918905,1
2025-02-14,INGL,Q-Learning,BUY,4223.3,10,57663.45479999999,100693.45479999999,0.00793564883720246,1
2025-02-17,INGL,Q-Learning,SELL,4303.0,9,61962.15179999999,101072.1018,0.0037603933716654223,1
2025-02-18,INGL,Q-Learning,SELL,4345.55,8,66303.35625,101502.55625,0.004258884918132672,1
2025-02-19,INGL,Q-Learning,SELL,4399.9,7,70698.85635,102209.00635,0.006959924223583304,1
2025-02-20,INGL,Q-Learning,SELL,4501.45,6,75195.8049,102260.3049,0.0005018985296104172,1
2025-02-21,INGL,Q-Learning,SELL,4510.75,5,79702.04415,102382.04415,0.0011904839333214106,1
2025-02-24,INGL,Q-Learning,SELL,4536.0,4,84233.50815000001,101943.30815000001,-0.004285282674735401,1
2025-02-25,INGL,Q-Learning,SELL,4427.45,3,88656.5307,101986.7307,0.0004259480174617857,1
2025-02-27,INGL,Q-Learning,SELL,4443.4,2,93095.48730000001,102050.08730000001,0.0006212239530099351,1
2025-02-28,INGL,Q-Learning,SELL,4477.3,1,97568.31000000001,102033.01000000001,-0.00016734233602173966,1
2025-03-03,INGL,Q-Learning,SELL,4464.7,0,102028.54530000001,102028.54530000001,-4.375740752915953e-05,0
2025-03-04,INGL,Q-Learning,BUY,4598.7,1,97425.24660000001,102123.34660000002,0.0009291644776592383,1
2025-03-10,INGL,Q-Learning,SELL,4627.55,0,102048.16905000001,102048.16905000001,-4.5344666233327924e-05,0
2025-03-11,INGL,Q-Learning,BUY,4651.45,1,97392.06760000001,102121.2676,0.0007163141747715183,1
2025-03-12,INGL,Q-Learning,SELL,4729.2,0,102116.5384,102116.5384,-4.6309648432150707e-05,0
2025-03-13,INGL,Q-Learning,BUY,4700.85,1,97410.98755,102191.43755,0.0007334673812248757,1
2025-03-17,INGL,Q-Learning,SELL,4780.45,0,102186.65710000001,102186.65710000001,-4.6779359549102514e-05,0
2025-03-18,INGL,Q-Learning,BUY,4806.25,1,97375.60085000002,102356.15085000002,0.0016586681158787873,1
2025-03-26,INGL,Q-Learning,SELL,5025.15,0,102395.72570000001,102395.72570000001,-4.907337063731406e-05,0
2025-03-27,INGL,Q-Learning,BUY,5127.8,1,97262.7979,102378.14790000001,-0.00017166536864535463,1
2025-04-03,INGL,Q-Learning,SELL,5003.6,0,102261.3943,102261.3943,-4.892711685126165e-05,0
2025-04-04,INGL,Q-Learning,BUY,5098.9,1,97157.39540000001,102146.0954,-0.0011274919610595835,1
2025-04-07,INGL,Q-Learning,SELL,4988.7,0,102141.1067,102141.1067,-4.883887123111413e-05,0
2025-04-08,INGL,Q-Learning,BUY,5157.05,1,96978.89965,102172.64965,0.0003088173901683674,1
2025-04-09,INGL,Q-Learning,SELL,5193.75,0,102167.4559,102167.4559,-5.0833075366033834e-05,0
2025-04-11,INGL,Q-Learning,BUY,5151.1,1,97011.2048,102267.2048,0.0009763275313191582,1
2025-04-15,INGL,Q-Learning,SELL,5256.0,0,102261.94880000001,102261.94880000001,-5.139477518988517e-05,0
2025-04-16,INGL,Q-Learning,BUY,5244.5,1,97012.20430000001,102378.20430000001,0.0011368402554831742,1
2025-04-17,INGL,Q-Learning,SELL,5366.0,0,102372.83830000002,102372.83830000002,-5.2413499891739434e-05,0
2025-04-21,INGL,Q-Learning,BUY,5496.5,1,96870.84180000002,102404.84180000002,0.0003126171016790707,1
2025-04-22,INGL,Q-Learning,SELL,5534.0,0,102399.30780000002,102399.30780000002,-5.404041354614591e-05,0
2025-04-23,INGL,Q-Learning,BUY,5558.5,1,96835.24930000002,102355.74930000002,-0.00042537885202383345,1
2025-04-25,INGL,Q-Learning,SELL,5313.5,0,102143.43580000002,102143.43580000002,-5.201727907992937e-05,0
2025-04-28,INGL,Q-Learning,BUY,5341.0,1,96797.09480000002,102061.09480000002,-0.0008061310974620684,1
2025-04-29,INGL,Q-Learning,SELL,5264.0,0,102055.83080000003,102055.83080000003,-5.1576950162164784e-05,0
2025-04-30,INGL,Q-Learning,BUY,5249.5,1,96801.08130000002,102145.58130000002,0.0008794254997137765,1
2025-05-02,INGL,Q-Learning,SELL,5344.5,0,102140.23680000001,102140.23680000001,-5.2322380782285665e-05,0
2025-05-05,INGL,Q-Learning,BUY,5531.5,1,96603.20530000002,101925.20530000002,-0.0021052575041611544,1
2025-05-06,INGL,Q-Learning,BUY,5322.0,2,91275.88330000002,101868.88330000002,-0.00055258166843251,1
2025-05-07,INGL,Q-Learning,SELL,5296.5,1,96567.08680000002,101713.08680000002,-0.0015293826235552414,1
2025-05-08,INGL,Q-Learning,SELL,5146.0,0,101707.94080000003,101707.94080000003,-5.059329297627179e-05,0
2025-05-09,INGL,Q-Learning,BUY,5101.0,1,96601.83980000003,102078.33980000003,0.0036417903763125326,1
2025-05-12,INGL,Q-Learning,BUY,5476.5,2,91119.86330000003,102161.86330000003,0.0008182294124653824,1
2025-05-13,INGL,Q-Learning,BUY,5521.0,3,85593.34230000003,101947.84230000003,-0.0020949206786833666,1
2025-05-14,INGL,Q-Learning,BUY,5451.5,4,80136.39080000004,102492.39080000004,0.0053414421307473245,1
2025-05-15,INGL,Q-Learning,BUY,5589.0,5,74541.80180000004,102354.30180000004,-0.0013473097751173994,1
2025-05-16,INGL,Q-Learning,BUY,5562.5,6,68973.73930000004,102420.73930000004,0.000649093382804942,1
2025-05-19,INGL,Q-Learning,BUY,5574.5,7,63393.66480000004,101487.66480000004,-0.009110210552834801,1
2025-05-20,INGL,Q-Learning,BUY,5442.0,8,57946.22280000005,101638.22280000005,0.0014835103388841052,1
2025-05-21,INGL,Q-Learning,BUY,5461.5,9,52479.26130000005,102006.26130000004,0.0036210639054975184,1
2025-05-22,INGL,Q-Learning,BUY,5503.0,10,46970.75830000005,102180.75830000004,0.001710649893213986,1
2025-05-23,INGL,Q-Learning,BUY,5521.0,11,41444.23730000005,101064.23730000005,-0.01092692027907952,1
2025-05-26,INGL,Q-Learning,BUY,5420.0,12,36018.81730000005,99780.81730000005,-0.012699051952376408,1
2025-05-27,INGL,Q-Learning,SELL,5313.5,11,41327.00380000005,99962.50380000005,0.0018208560013468246,1
2025-05-28,INGL,Q-Learning,SELL,5330.5,10,46652.17330000005,99872.17330000005,-0.0009036438320985348,1
2025-05-29,INGL,Q-Learning,SELL,5322.0,9,51968.85130000005,99938.85130000005,0.0006676334137609064,1
2025-05-30,INGL,Q-Learning,SELL,5330.0,8,57293.52130000005,99957.52130000005,0.00018681423447577933,1
2025-06-02,INGL,Q-Learning,SELL,5333.0,7,62621.18830000005,100305.68830000005,0.003483149596667731,1
2025-06-03,INGL,Q-Learning,SELL,5383.5,6,67999.30480000006,100495.30480000006,0.001890386310224877,1
2025-06-04,INGL,Q-Learning,BUY,5416.0,7,62577.88880000006,100951.88880000006,0.004543336635563917,1
2025-06-05,INGL,Q-Learning,BUY,5482.0,8,57090.40680000006,100934.40680000006,-0.00017317159894489857,1
2025-06-06,INGL,Q-Learning,BUY,5480.5,9,51604.426300000065,102859.42630000006,0.019071985074568334,1
2025-06-09,INGL,Q-Learning,SELL,5695.0,8,57293.731300000065,102085.73130000007,-0.007521867735713708,1
2025-06-10,INGL,Q-Learning,SELL,5599.0,7,62887.13230000006,102304.13230000006,0.0021393881125087587,1
2025-06-11,INGL,Q-Learning,SELL,5631.0,6,68512.50130000006,101371.50130000006,-0.009116259324355693,1
2025-06-12,INGL,Q-Learning,SELL,5476.5,5,73983.52480000006,100293.52480000006,-0.010633920640179014,1
2025-06-13,INGL,Q-Learning,BUY,5262.0,6,68716.26280000005,101011.26280000005,0.007156374266746253,1
2025-06-16,INGL,Q-Learning,BUY,5382.5,7,63328.380300000055,100501.88030000005,-0.00504282874879579,1
2025-06-17,INGL,Q-Learning,BUY,5310.5,8,58012.569800000056,100196.56980000006,-0.0030378585862138557,1
2025-06-18,INGL,Q-Learning,BUY,5273.0,9,52734.296800000055,100173.29680000005,-0.00023227342060168045,1
2025-06-19,INGL,Q-Learning,BUY,5271.0,10,47458.025800000054,101358.02580000006,0.011826794543513576,1
2025-06-20,INGL,Q-Learning,BUY,5390.0,11,42062.635800000055,102199.63580000005,0.008303338520628383,1
2025-06-23,INGL,Q-Learning,SELL,5467.0,10,47524.16880000006,103589.16880000006,0.013596261758889847,1
2025-06-24,INGL,Q-Learning,SELL,5606.5,9,53125.062300000056,103876.06230000005,0.0027695318277328514,1
2025-06-25,INGL,Q-Learning,SELL,5639.0,8,58758.42330000005,104290.42330000005,0.003988994103408599,1
2025-06-26,INGL,Q-Learning,SELL,5691.5,7,64444.23180000005,105156.23180000005,0.008301898416016869,1
2025-06-27,INGL,Q-Learning,SELL,5816.0,6,70254.41580000005,106113.41580000005,0.009102494294589142,1
2025-06-30,INGL,Q-Learning,SELL,5976.5,5,76224.93930000004,106049.93930000004,-0.0005981948608613566,1
2025-07-01,INGL,Q-Learning,SELL,5965.0,4,82183.97430000005,106007.97430000005,-0.000395709797450082,1
2025-07-03,INGL,Q-Learning,SELL,5766.0,3,87944.20830000004,105203.20830000004,-0.0004253383525691595,1
2025-07-04,INGL,Q-Learning,BUY,5753.0,4,82185.45530000005,105177.45530000005,-0.00024479291474228704,1
2025-07-15,INGL,Q-Learning,SELL,5930.5,3,88110.02480000004,105960.02480000004,0.0004963720434136214,1
2025-07-16,INGL,Q-Learning,SELL,5950.0,2,94054.07480000005,105647.07480000005,-0.002953472317420569,1
2025-07-17,INGL,Q-Learning,SELL,5796.5,1,99844.77830000005,105705.77830000005,0.0005556566531646481,1
2025-07-18,INGL,Q-Learning,SELL,5861.0,0,105699.91730000004,105699.91730000004,-5.544635396724023e-05,0
2025-07-21,INGL,Q-Learning,BUY,5878.0,1,99816.03930000005,105764.03930000005,0.000606641912670664,1
2025-07-22,INGL,Q-Learning,SELL,5948.0,0,105758.09130000004,105758.09130000004,-5.623839671187705e-05,0
2025-07-23,INGL,Q-Learning,BUY,5897.0,1,99855.19430000005,105699.19430000005,-0.0005569030158924321,1
2025-07-24,INGL,Q-Learning,BUY,5844.0,2,94005.35030000005,105611.35030000005,-0.0008310753982729013,1
2025-07-25,INGL,Q-Learning,BUY,5803.0,3,88196.54730000005,105482.54730000005,-0.0012195942920351036,1
2025-07-28,INGL,Q-Learning,BUY,5762.0,4,82428.78530000005,105452.78530000005,-0.0002821509411917893,1
2025-07-29,INGL,Q-Learning,BUY,5756.0,5,76667.02930000005,105367.02930000005,-0.0008132170217792617,1
2025-07-30,INGL,Q-Learning,BUY,5740.0,6,70921.28930000005,106384.28930000005,0.009654443204464475,1
2025-07-31,INGL,Q-Learning,SELL,5910.5,5,76825.87880000005,105768.37880000005,-0.005789487376873399,1
2025-08-01,INGL,Q-Learning,BUY,5788.5,6,71031.59030000005,105714.59030000005,-0.000508549914542087,1
2025-08-04,INGL,Q-Learning,BUY,5780.5,7,65245.309800000054,105715.80980000005,1.153577757366541e-05,1
2025-08-05,INGL,Q-Learning,BUY,5781.5,8,59458.028300000056,106606.02830000006,0.008420864406981223,1
2025-08-06,INGL,Q-Learning,SELL,5893.5,7,65345.63480000006,106358.63480000006,-0.0023206333070003833,1
2025-08-07,INGL,Q-Learning,SELL,5859.0,6,71198.77580000006,105815.77580000006,-0.005104042572761534,1
2025-08-08,INGL,Q-Learning,BUY,5769.5,7,65423.50630000006,106573.00630000007,0.007156121044098651,1
2025-08-11,INGL,Q-Learning,SELL,5878.5,6,71296.12780000006,106861.12780000006,0.0027035129251110714,1
2025-08-12,INGL,Q-Learning,SELL,5927.5,5,77217.70030000005,107065.20030000005,0.001909698168092838,1
2025-08-13,INGL,Q-Learning,SELL,5969.5,4,83181.23080000005,107191.23080000005,0.0011771378528863913,1
2025-08-14,INGL,Q-Learning,SELL,6002.5,3,89177.72830000005,107467.22830000005,0.0025748141703397396,1
2025-08-18,INGL,Q-Learning,SELL,6096.5,2,95268.13180000005,107379.13180000005,-0.0008197522295268837,1
2025-08-19,INGL,Q-Learning,SELL,6055.5,1,101317.57630000004,107473.07630000004,0.0008748860083444794,1
2025-08-21,INGL,Q-Learning,SELL,6099.0,0,107410.47730000004,107410.47730000004,-5.6778946137403345e-05,0
2025-08-22,INGL,Q-Learning,BUY,6086.5,1,101317.89080000004,107433.89080000004,0.00021798152832521768,1
2025-08-26,INGL,Q-Learning,SELL,6050.0,0,107361.84080000003,107361.84080000003,-5.634831749906098e-05,0
2025-08-28,INGL,Q-Learning,BUY,5727.0,1,101629.11380000004,107275.11380000004,-0.000807800978017498,1
2025-08-29,INGL,Q-Learning,BUY,5646.0,2,95977.46780000004,107317.46780000004,0.0003948166401293216,1
2025-09-01,INGL,Q-Learning,BUY,5670.0,3,90301.79780000004,107298.29780000004,-0.00017862888859550828,1
2025-09-02,INGL,Q-Learning,BUY,5665.5,4,84630.63230000004,107590.63230000004,0.0027245026807871417,1
2025-09-03,INGL,Q-Learning,BUY,5740.0,5,78884.89230000004,107359.89230000004,-0.002144610502488934,1
2025-09-04,INGL,Q-Learning,BUY,5695.0,6,73184.19730000003,107204.19730000003,-0.0014502156872972843,1
2025-09-05,INGL,Q-Learning,BUY,5670.0,7,67508.52730000003,107384.02730000003,0.00167745297786024,1
2025-09-17,INGL,Q-Learning,BUY,5746.5,8,61756.28080000003,107480.28080000004,-0.0023553050633984213,1
2025-09-18,INGL,Q-Learning,BUY,5715.5,9,56035.06530000003,107146.06530000003,-0.0031095517941743746,1
