Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,INGL,SARSA,BUY,4595.7,1,95399.7043,99937.4543,-0.000625457000000024,1
2025-01-02,INGL,SARSA,SELL,4537.75,0,99932.91655,99932.91655,-4.540589943767602e-05,0
2025-01-14,INGL,SARSA,BUY,3995.0,1,95933.92155,99999.92155,0.0006704997943943693,1
2025-01-23,INGL,SARSA,SELL,4134.8,0,100064.58675,100064.58675,-4.13196045273131e-05,0
2025-02-07,INGL,SARSA,BUY,4364.55,1,95695.6722,100020.8222,-0.0004373630214388223,1
2025-02-10,INGL,SARSA,SELL,4325.15,0,100016.49705,100016.49705,-4.3242495960902654e-05,0
2025-02-11,INGL,SARSA,BUY,4316.85,1,95695.33020000001,100032.83020000001,0.0001633045595652147,1
2025-02-12,INGL,SARSA,SELL,4337.5,0,100028.49270000002,100028.49270000002,-4.336076457421055e-05,0
2025-02-13,INGL,SARSA,BUY,4364.85,1,95659.27785000001,99882.57785000002,-0.0014587328676202375,1
2025-02-14,INGL,SARSA,SELL,4223.3,0,99878.35455000002,99878.35455000002,-4.228264919574094e-05,0
2025-02-17,INGL,SARSA,BUY,4303.0,1,95571.05155000002,99916.60155000002,0.0003829358240063539,1
2025-02-18,INGL,SARSA,SELL,4345.55,0,99912.25600000002,99912.25600000002,-4.349177146325973e-05,0
2025-02-19,INGL,SARSA,BUY,4399.9,1,95507.95610000002,100009.40610000002,0.0009723541824538413,1
2025-02-20,INGL,SARSA,SELL,4501.45,0,100004.90465000003,100004.90465000003,-4.501026628930367e-05,0
2025-02-21,INGL,SARSA,BUY,4510.75,1,95489.64390000002,100025.64390000002,0.00020738232862260636,1
2025-02-24,INGL,SARSA,SELL,4536.0,0,100021.10790000003,100021.10790000003,-4.534837090904027e-05,0
2025-02-25,INGL,SARSA,BUY,4427.45,1,95589.23045000003,100032.63045000003,0.00011520118344934092,1
2025-02-27,INGL,SARSA,SELL,4443.4,0,100028.18705000004,100028.18705000004,-4.441950571528928e-05,0
2025-02-28,INGL,SARSA,BUY,4477.3,1,95546.40975000004,100011.10975000003,-0.00017072487769340675,1
2025-03-03,INGL,SARSA,SELL,4464.7,0,100006.64505000004,100006.64505000004,-4.464204038088687e-05,0
2025-03-04,INGL,SARSA,BUY,4598.7,1,95403.34635000004,100101.44635000004,0.0009479500082480411,1
2025-03-05,INGL,SARSA,SELL,4698.1,0,100096.74825000003,100096.74825000003,-4.69333877912415e-05,0
2025-03-06,INGL,SARSA,BUY,4762.4,1,95329.58585000003,99987.13585000004,-0.0010950645442170807,1
2025-03-07,INGL,SARSA,SELL,4657.55,0,99982.47830000003,99982.47830000003,-4.6581492313078765e-05,0
2025-03-10,INGL,SARSA,BUY,4627.55,1,95350.30075000004,100001.75075000004,0.00019275827452662795,1
2025-03-11,INGL,SARSA,SELL,4651.45,0,99997.09930000003,99997.09930000003,-4.651368566169669e-05,0
2025-03-12,INGL,SARSA,BUY,4729.2,1,95263.17010000003,99964.02010000004,-0.0003308015955618109,1
2025-03-13,INGL,SARSA,SELL,4700.85,0,99959.31925000003,99959.31925000003,-4.702541969906587e-05,0
2025-03-17,INGL,SARSA,BUY,4780.45,1,95174.08880000003,99980.33880000003,0.00021028104390574115,1
2025-03-18,INGL,SARSA,SELL,4806.25,0,99975.53255000003,99975.53255000003,-4.8071951522474515e-05,0
2025-03-19,INGL,SARSA,BUY,4980.55,1,94990.00200000004,100076.75200000004,0.0010124422187937033,1
2025-03-20,INGL,SARSA,SELL,5086.75,0,100071.66525000003,100071.66525000003,-5.082848811882114e-05,0
2025-03-21,INGL,SARSA,BUY,5044.05,1,95022.57120000003,99992.92120000004,-0.0007868765829295905,1
2025-03-24,INGL,SARSA,SELL,4970.35,0,99987.95085000004,99987.95085000004,-4.970701866046928e-05,0
2025-03-25,INGL,SARSA,BUY,5006.7,1,94976.24415000004,100001.39415000004,0.00013444919998577002,1
2025-03-26,INGL,SARSA,SELL,5025.15,0,99996.36900000004,99996.36900000004,-5.0250799428492786e-05,0
2025-03-27,INGL,SARSA,BUY,5127.8,1,94863.44120000003,99978.79120000004,-0.00017578438273092804,1
2025-03-28,INGL,SARSA,SELL,5115.35,0,99973.67585000003,99973.67585000003,-5.116435134502115e-05,0
2025-04-01,INGL,SARSA,BUY,5028.0,1,94940.64785000002,100008.89785000002,0.00035231274333496744,1
2025-04-02,INGL,SARSA,SELL,5068.25,0,100003.82960000003,100003.82960000003,-5.067799074836643e-05,0
2025-04-03,INGL,SARSA,BUY,5003.6,1,94995.22600000002,100094.12600000002,0.0009029294214147972,1
2025-04-04,INGL,SARSA,SELL,5098.9,0,100089.02710000002,100089.02710000002,-5.094105122609521e-05,0
2025-04-07,INGL,SARSA,BUY,4988.7,1,95095.33840000002,100252.38840000003,0.0016321599353422438,1
2025-04-08,INGL,SARSA,SELL,5157.05,0,100247.23135000002,100247.23135000002,-5.1440669716841305e-05,0
2025-04-09,INGL,SARSA,BUY,5193.75,1,95048.28760000001,100199.38760000002,-0.0004772575696675337,1
2025-04-11,INGL,SARSA,SELL,5151.1,0,100194.23650000001,100194.23650000001,-5.140849783000839e-05,0
2025-04-15,INGL,SARSA,BUY,5256.0,1,94932.98050000002,100177.48050000002,-0.00016723516826233756,1
2025-04-16,INGL,SARSA,SELL,5244.5,0,100172.23600000002,100172.23600000002,-5.235208525733184e-05,0
2025-04-17,INGL,SARSA,BUY,5366.0,1,94800.87000000002,100297.37000000002,0.0012491884477851274,1
2025-04-21,INGL,SARSA,SELL,5496.5,0,100291.87350000003,100291.87350000003,-5.4802035187900026e-05,0
2025-04-22,INGL,SARSA,BUY,5534.0,1,94752.33950000003,100310.83950000003,0.00018910804373397554,1
2025-04-23,INGL,SARSA,SELL,5558.5,0,100305.28100000003,100305.28100000003,-5.541275526857876e-05,0
2025-04-24,INGL,SARSA,BUY,5520.5,1,94779.26050000003,100092.76050000003,-0.0021187368988079365,1
2025-04-25,INGL,SARSA,SELL,5313.5,0,100087.44700000003,100087.44700000003,-5.3085757386058307e-05,0
2025-04-28,INGL,SARSA,BUY,5341.0,1,94741.10600000003,100005.10600000003,-0.0008226905817669655,1
2025-04-29,INGL,SARSA,SELL,5264.0,0,99999.84200000003,99999.84200000003,-5.263731233878773e-05,0
2025-04-30,INGL,SARSA,BUY,5249.5,1,94745.09250000003,100089.59250000003,0.0008975064180600867,1
2025-05-02,INGL,SARSA,SELL,5344.5,0,100084.24800000002,100084.24800000002,-5.3397160149358365e-05,0
2025-05-05,INGL,SARSA,BUY,5531.5,1,94547.21650000002,99869.21650000002,-0.0021485049275685947,1
2025-05-06,INGL,SARSA,BUY,5322.0,2,89219.89450000002,99812.89450000002,-0.0005639575634399825,1
2025-05-07,INGL,SARSA,SELL,5296.5,1,94511.09800000003,99657.09800000003,-0.0015608855026240794,1
2025-05-08,INGL,SARSA,SELL,5146.0,0,99651.95200000003,99651.95200000003,-5.163706452693779e-05,0
2025-06-09,INGL,SARSA,BUY,5695.0,1,93951.25700000004,99550.25700000004,-0.0010205018362308888,1
2025-06-10,INGL,SARSA,SELL,5599.0,0,99544.65800000004,99544.65800000004,-5.624294872490361e-05,0
2025-06-11,INGL,SARSA,BUY,5631.0,1,93908.02700000005,99384.52700000005,-0.001608634789824622,1
2025-06-12,INGL,SARSA,SELL,5476.5,0,99379.05050000004,99379.05050000004,-5.510415117238828e-05,0
2025-06-23,INGL,SARSA,BUY,5467.0,1,93906.58350000004,99513.08350000004,0.0013487047755602751,1
2025-06-24,INGL,SARSA,SELL,5606.5,0,99507.47700000004,99507.47700000004,-5.633932547165429e-05,0
2025-06-25,INGL,SARSA,BUY,5639.0,1,93862.83800000005,99554.33800000005,0.00047092943578505564,1
2025-06-26,INGL,SARSA,SELL,5691.5,0,99548.64650000005,99548.64650000005,-5.716978400279064e-05,0
2025-06-27,INGL,SARSA,BUY,5816.0,1,93726.83050000004,99703.33050000004,0.0015538533715774203,1
2025-06-30,INGL,SARSA,SELL,5976.5,0,99697.35400000004,99697.35400000004,-5.9942832100320914e-05,0
