Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ITC,SARSA,BUY,457.82,1,99541.72218,100004.37217999999,4.3721799999912036e-05,1
2025-01-02,ITC,SARSA,SELL,462.65,0,100003.90952999999,100003.90952999999,-4.626297729948949e-06,0
2025-01-03,ITC,SARSA,BUY,455.6,1,99547.85392999998,99990.50392999998,-0.00013405075924547991,1
2025-01-06,ITC,SARSA,SELL,442.65,0,99990.06127999998,99990.06127999998,-4.426920383430749e-06,0
2025-01-07,ITC,SARSA,BUY,441.1,1,99548.52017999998,99998.07017999998,8.009696061265103e-05,1
2025-01-10,ITC,SARSA,SELL,444.9,0,99992.97527999998,99992.97527999998,-4.4492927553314076e-06,0
2025-01-13,ITC,SARSA,BUY,439.05,1,99553.48622999998,99990.08622999999,-2.889252961928619e-05,1
2025-01-14,ITC,SARSA,SELL,436.6,0,99989.64962999999,99989.64962999999,-4.366432878121822e-06,0
2025-01-15,ITC,SARSA,BUY,437.35,1,99551.86227999999,99984.71227999999,-4.9378610868854545e-05,1
2025-01-16,ITC,SARSA,SELL,432.85,0,99984.27942999998,99984.27942999998,-4.329161830258632e-06,0
2025-01-17,ITC,SARSA,BUY,440.2,1,99543.63922999999,99981.33922999998,-2.940662288870862e-05,1
2025-01-20,ITC,SARSA,SELL,437.7,0,99980.90152999999,99980.90152999999,-4.377816934298607e-06,0
2025-01-21,ITC,SARSA,BUY,437.55,1,99542.91397999998,99979.91397999998,-9.87738642973692e-06,1
2025-01-23,ITC,SARSA,SELL,440.2,0,99982.67377999998,99982.67377999998,-4.402743448111957e-06,0
2025-01-24,ITC,SARSA,BUY,441.6,1,99540.63217999999,99980.73217999999,-1.9419364641750563e-05,1
2025-01-27,ITC,SARSA,SELL,440.1,0,99980.29207999998,99980.29207999998,-4.401848140247117e-06,0
2025-01-28,ITC,SARSA,BUY,435.45,1,99544.40662999998,99977.75662999999,-2.5359497829502267e-05,1
2025-01-29,ITC,SARSA,SELL,433.35,0,99977.32327999998,99977.32327999998,-4.334464130960291e-06,0
2025-01-30,ITC,SARSA,BUY,436.2,1,99540.68707999999,99988.18707999999,0.00010866264112293657,1
2025-02-01,ITC,SARSA,SELL,462.55,0,100002.77453,100002.77453,-4.625350273676902e-06,0
2025-02-03,ITC,SARSA,BUY,454.35,1,99547.97017999999,100003.12017999998,3.4564041009151167e-06,1
2025-02-06,ITC,SARSA,SELL,441.1,0,99988.62907999998,99988.62907999998,-4.411482167169402e-06,0
2025-02-07,ITC,SARSA,BUY,430.85,1,99557.34822999999,99984.54822999999,-4.081314082957786e-05,1
2025-02-10,ITC,SARSA,BUY,427.2,2,99129.72102999999,99966.32102999999,-0.00018230016860270112,1
2025-02-11,ITC,SARSA,BUY,418.3,3,98711.00273,99940.70272999999,-0.00025626930886367053,1
2025-02-12,ITC,SARSA,BUY,409.9,4,98300.69283,99939.49283,-1.2106178633301885e-05,1
2025-02-13,ITC,SARSA,BUY,409.7,5,97890.58313,99941.83313,2.3417169066258155e-05,1
2025-02-14,ITC,SARSA,BUY,410.25,6,97479.92288,99931.52288,-0.00010316250640093692,1
2025-02-17,ITC,SARSA,BUY,408.6,7,97070.91428,99907.66428,-0.0002387494887739956,1
2025-02-18,ITC,SARSA,BUY,405.25,8,96665.25903,99916.45903,8.802878200968519e-05,1
2025-03-05,ITC,SARSA,SELL,405.05,7,97069.90398,99909.80398,4.1488640786174495e-05,1
2025-03-06,ITC,SARSA,SELL,405.7,6,97475.19828,99898.59827999999,-0.00011215816219846707,1
2025-03-07,ITC,SARSA,SELL,403.9,5,97878.69438,99903.69438,5.1012727783488936e-05,1
2025-03-10,ITC,SARSA,SELL,405.0,4,98283.28938,99908.08938,4.399236712195021e-05,1
2025-03-19,ITC,SARSA,SELL,403.05,3,98685.93633,99897.78633,2.299353068151076e-05,1
2025-03-20,ITC,SARSA,SELL,403.95,2,99089.48238,99900.58238,2.7989108695242398e-05,1
2025-04-07,ITC,SARSA,SELL,406.05,1,99495.12633,99907.67633,6.0999534289808586e-05,1
2025-04-11,ITC,SARSA,SELL,421.55,0,99916.25478,99916.25478,-4.219015438492371e-06,0
2025-04-15,ITC,SARSA,BUY,420.4,1,99495.43438,99919.88438,3.632642164172408e-05,1
2025-04-17,ITC,SARSA,SELL,427.25,0,99922.25713000001,99922.25713000001,-4.275805865748743e-06,0
2025-04-21,ITC,SARSA,BUY,422.85,1,99498.98428000002,99932.58428000002,0.00010335184869349135,1
