Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-13,JIOF,Value Iteration,BUY,266.15,1,99733.58385,100006.43385,6.433850000001258e-05,1
2025-01-14,JIOF,Value Iteration,BUY,272.85,2,99460.461,100005.261,-1.172774545447562e-05,1
2025-01-15,JIOF,Value Iteration,BUY,272.4,3,99187.7886,100018.1886,0.00012926919914738722,1
2025-01-16,JIOF,Value Iteration,BUY,276.8,4,98910.7118,100026.7118,8.521650031172978e-05,1
2025-01-17,JIOF,Value Iteration,BUY,279.0,5,98631.43280000001,100009.93280000001,-0.00016774519223968924,1
2025-01-20,JIOF,Value Iteration,BUY,275.7,6,98355.45710000001,99916.05710000002,-0.000938663764405505,1
2025-01-21,JIOF,Value Iteration,BUY,260.1,7,98095.09700000001,99934.69700000001,0.00018655560018085085,1
2025-01-22,JIOF,Value Iteration,BUY,262.8,8,97832.03420000001,99878.83420000001,-0.0005589930392244307,1
2025-01-23,JIOF,Value Iteration,BUY,255.85,9,97575.92835,99775.97835,-0.0010298062730092136,1
2025-01-24,JIOF,Value Iteration,BUY,244.45,10,97331.2339,99664.2339,-0.0011199534381714064,1
2025-01-27,JIOF,Value Iteration,BUY,233.3,11,97097.70060000001,99665.1006,8.696198887840675e-06,1
2025-01-28,JIOF,Value Iteration,BUY,233.4,12,96864.0672,99723.66720000001,0.0005876339826822546,1
2025-01-29,JIOF,Value Iteration,BUY,238.3,13,96625.5289,99677.9289,-0.0004586504014967853,1
2025-01-30,JIOF,Value Iteration,BUY,234.8,14,96390.49410000001,99773.59410000002,0.0009597430550146357,1
2025-01-31,JIOF,Value Iteration,BUY,241.65,15,96148.60245,99771.25245,-2.346963664223328e-05,1
2025-02-01,JIOF,Value Iteration,BUY,241.51,16,95906.85094,99650.37094000001,-0.0012115865746054587,1
2025-02-03,JIOF,Value Iteration,BUY,233.97,17,95672.64697,99839.34697,0.0018963906327430946,1
2025-02-04,JIOF,Value Iteration,BUY,245.1,18,95427.30187,99924.06186999999,0.0008485121604956724,1
2025-02-05,JIOF,Value Iteration,BUY,249.82,19,95177.23204999999,99936.35204999999,0.00012299520025502668,1
2025-02-06,JIOF,Value Iteration,BUY,250.48,20,94926.50157,99915.50157,-0.00020863759355116163,1
2025-02-07,JIOF,Value Iteration,BUY,249.45,21,94676.80212,99778.96212,-0.0013665492126298153,1
2025-02-10,JIOF,Value Iteration,BUY,242.96,22,94433.59916,99624.27916,-0.0015502562535573406,1
2025-02-11,JIOF,Value Iteration,BUY,235.94,23,94197.42322,99432.68321999999,-0.001923185207616952,1
2025-02-12,JIOF,Value Iteration,BUY,227.62,24,93969.5756,99443.0156,0.00010391331768796963,1
2025-02-13,JIOF,Value Iteration,BUY,228.06,25,93741.28753999999,99298.53753999999,-0.001452872875267155,1
2025-02-14,JIOF,Value Iteration,BUY,222.29,26,93518.77524999999,99302.47524999999,3.96552668100688e-05,1
2025-02-17,JIOF,Value Iteration,BUY,222.45,27,93296.1028,99263.64279999999,-0.0003910521857812573,1
2025-02-18,JIOF,Value Iteration,BUY,221.02,28,93074.86177999999,99484.62177999999,0.0022261824547909893,1
2025-02-19,JIOF,Value Iteration,BUY,228.92,29,92845.71285999999,99668.54285999999,0.00184873879710497,1
2025-02-20,JIOF,Value Iteration,BUY,235.27,30,92610.20758999999,99620.30759,-0.000483956809399171,1
2025-02-21,JIOF,Value Iteration,BUY,233.67,31,92376.30391999999,99458.25391999999,-0.0016267132065779283,1
2025-02-24,JIOF,Value Iteration,BUY,228.45,32,92147.62546999998,99389.86546999999,-0.0006876095980430879,1
2025-02-25,JIOF,Value Iteration,BUY,226.32,33,91921.07914999999,99237.17915,-0.0015362363081785288,1
2025-02-27,JIOF,Value Iteration,BUY,221.7,34,91699.15744999998,98757.89744999999,-0.004829658643113566,1
2025-02-28,JIOF,Value Iteration,BUY,207.61,35,91491.33983999999,98523.53983999998,-0.0023730518373850456,1
2025-03-03,JIOF,Value Iteration,BUY,200.92,36,91290.21891999998,98719.89891999998,0.001993016900518165,1
2025-03-04,JIOF,Value Iteration,BUY,206.38,37,91083.63253999999,99116.33253999999,0.004015741753557407,1
2025-03-05,JIOF,Value Iteration,BUY,217.1,38,90866.31543999999,99224.03543999999,0.0010866312063810334,1
2025-03-06,JIOF,Value Iteration,BUY,219.94,39,90646.1555,99296.74549999999,0.0007327867656014135,1
2025-03-07,JIOF,Value Iteration,BUY,221.81,40,90424.12369,99084.12369,-0.00214127672492546,1
2025-03-10,JIOF,Value Iteration,BUY,216.5,41,90207.40719,99127.36719,0.00043643217893620765,1
2025-03-11,JIOF,Value Iteration,BUY,217.56,42,89989.62963,99461.88962999999,0.0033746729029814565,1
2025-03-12,JIOF,Value Iteration,BUY,225.53,43,89763.8741,99335.6741,-0.0012689838336021042,1
2025-03-13,JIOF,Value Iteration,BUY,222.6,44,89541.0515,99199.9315,-0.0013665040402639978,1
2025-03-17,JIOF,Value Iteration,BUY,219.52,45,89321.31198,99454.41198,0.0025653291907766925,1
2025-03-18,JIOF,Value Iteration,BUY,225.18,46,89095.9068,99622.5468,0.001690571756975482,1
2025-03-19,JIOF,Value Iteration,BUY,228.84,47,88866.83795999999,99756.26796,0.0013422780715339128,1
2025-03-20,JIOF,Value Iteration,BUY,231.69,48,88634.91626999999,99632.67626999998,-0.0012389365854140928,1
2025-03-21,JIOF,Value Iteration,BUY,229.12,49,88405.56714999999,99806.88715,0.0017485315713883845,1
2025-03-24,JIOF,Value Iteration,SELL,232.68,48,88638.01447,99559.45447,-0.0024791142882567905,1
2025-03-25,JIOF,Value Iteration,BUY,227.53,49,88410.25693999999,99321.08694,-0.0023942229421499077,1
2025-03-26,JIOF,Value Iteration,BUY,222.67,50,88187.36426999999,99476.36426999999,0.0015633873408352893,1
2025-03-27,JIOF,Value Iteration,BUY,225.78,51,87961.35848999998,99564.36848999998,0.0008846746726802945,1
2025-03-28,JIOF,Value Iteration,BUY,227.51,52,87733.62097999998,99715.46097999997,0.0015175357639632982,1
2025-04-01,JIOF,Value Iteration,BUY,230.42,53,87502.97055999997,99681.31055999997,-0.00034247868549547176,1
2025-04-02,JIOF,Value Iteration,BUY,229.78,54,87272.96077999998,99715.10077999998,0.00033898250143562196,1
2025-04-03,JIOF,Value Iteration,BUY,230.41,55,87042.32036999997,99269.92036999998,-0.004464523492607164,1
2025-04-07,JIOF,Value Iteration,BUY,213.52,56,86828.58684999998,99417.94684999998,0.006397940897172011,1
2025-04-08,JIOF,Value Iteration,BUY,224.81,57,86603.55203999998,99195.99203999998,-0.0022325426850232292,1
2025-04-09,JIOF,Value Iteration,BUY,220.92,58,86382.41111999998,99723.57111999998,0.005318552384528338,1
2025-04-11,JIOF,Value Iteration,BUY,230.02,59,86152.16109999997,100227.79109999997,0.005056176532158614,1
2025-04-15,JIOF,Value Iteration,BUY,238.57,60,85913.35252999997,100450.15252999998,0.0022185606163678544,1
2025-04-16,JIOF,Value Iteration,BUY,242.28,61,85670.83024999997,100705.50024999997,0.002542034168875251,1
2025-04-17,JIOF,Value Iteration,BUY,246.47,62,85424.11377999997,100699.67377999997,-5.785652209199938e-05,1
2025-04-21,JIOF,Value Iteration,BUY,246.38,63,85177.48739999997,100962.76739999997,0.002612656130096152,1
2025-04-22,JIOF,Value Iteration,BUY,250.56,64,84926.67683999997,101447.63683999996,0.004802457900931062,1
2025-04-23,JIOF,Value Iteration,SELL,258.14,63,85184.55869999997,101487.69869999996,0.0003949018552614087,1
2025-04-24,JIOF,Value Iteration,BUY,258.78,64,84925.51991999996,101120.71991999996,-0.003615992723263958,1
2025-04-25,JIOF,Value Iteration,BUY,253.05,65,84672.21686999996,101435.71686999996,0.0031150584197700082,1
2025-04-28,JIOF,Value Iteration,BUY,257.9,66,84414.05896999995,101417.63896999996,-0.0001782202616379446,1
2025-04-29,JIOF,Value Iteration,SELL,257.63,65,84671.43133999995,101598.73133999995,0.001785610194037024,1
2025-04-30,JIOF,Value Iteration,SELL,260.42,64,84931.59091999996,101494.79091999996,-0.0010230484045333458,1
2025-05-02,JIOF,Value Iteration,SELL,258.8,63,85190.13211999997,101607.93211999997,0.0011147488356244087,1
2025-05-05,JIOF,Value Iteration,SELL,260.6,62,85450.47151999996,101024.87151999996,-0.005738337429320098,1
2025-05-06,JIOF,Value Iteration,BUY,251.2,63,85199.02031999997,101333.32031999997,0.0030531966570128133,1
