Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-07,JSTL,Q-Learning,BUY,911.8,1,99087.2882,99989.5882,-0.00010411800000001676,1
2025-01-08,JSTL,Q-Learning,SELL,902.3,0,99988.6859,99988.6859,-9.023939554554141e-06,0
2025-01-09,JSTL,Q-Learning,BUY,890.95,1,99096.84495,99996.94495,8.259984542919017e-05,1
2025-01-10,JSTL,Q-Learning,SELL,900.1,0,99996.04485,99996.04485,-9.001274993440976e-06,0
2025-01-14,JSTL,Q-Learning,BUY,906.05,1,99089.08880000001,99993.13880000002,-2.9061649431732504e-05,1
2025-01-15,JSTL,Q-Learning,SELL,904.05,0,99992.23475000002,99992.23475000002,-9.041120329321724e-06,0
2025-01-16,JSTL,Q-Learning,BUY,906.8,1,99084.52795000002,99993.12795000002,8.932693646052255e-06,1
2025-01-17,JSTL,Q-Learning,SELL,908.6,0,99992.21935000001,99992.21935000001,-9.08662443747221e-06,0
2025-01-20,JSTL,Q-Learning,BUY,919.2,1,99072.10015000001,99998.95015000002,6.731323740745453e-05,1
2025-01-21,JSTL,Q-Learning,SELL,926.85,0,99998.02330000002,99998.02330000002,-9.268597306403511e-06,0
2025-01-22,JSTL,Q-Learning,BUY,919.4,1,99077.70390000002,100007.60390000002,9.580789383464882e-05,1
2025-01-23,JSTL,Q-Learning,SELL,929.9,0,100006.67400000003,100006.67400000003,-9.298292966983736e-06,0
2025-01-24,JSTL,Q-Learning,BUY,932.45,1,99073.29155000002,99992.64155000003,-0.00014031513536785342,1
2025-01-27,JSTL,Q-Learning,SELL,919.35,0,99991.72220000002,99991.72220000002,-9.194176548994628e-06,0
2025-01-28,JSTL,Q-Learning,BUY,916.15,1,99074.65605000002,100012.25605000003,0.00020535549891756015,1
2025-01-29,JSTL,Q-Learning,SELL,937.6,0,100011.31845000002,100011.31845000002,-9.37485101361984e-06,0
2025-01-30,JSTL,Q-Learning,BUY,950.85,1,99059.51760000002,100004.51760000002,-6.800080336306802e-05,1
2025-01-31,JSTL,Q-Learning,BUY,945.0,2,98113.57260000001,99982.07260000001,-0.0002244398607049226,1
2025-02-01,JSTL,Q-Learning,SELL,934.25,1,99046.88835000001,99980.83835,-1.2344713086179957e-05,1
2025-02-03,JSTL,Q-Learning,SELL,933.95,0,99979.90440000001,99979.90440000001,-9.341289945199336e-06,0
2025-02-04,JSTL,Q-Learning,BUY,944.25,1,99034.71015000001,99984.61015000001,4.7066958387626875e-05,1
2025-02-05,JSTL,Q-Learning,SELL,949.9,0,99983.66025000002,99983.66025000002,-9.50046210679094e-06,0
2025-02-06,JSTL,Q-Learning,BUY,948.4,1,99034.31185000001,100015.06185000001,0.0003140673178145367,1
2025-02-07,JSTL,Q-Learning,SELL,980.75,0,100014.08110000001,100014.08110000001,-9.80602303154447e-06,0
2025-02-10,JSTL,Q-Learning,BUY,959.15,1,99053.97195,100008.47195,-5.6083602811843104e-05,1
2025-02-11,JSTL,Q-Learning,SELL,954.5,0,100007.51745,100007.51745,-9.544191420945926e-06,0
2025-02-12,JSTL,Q-Learning,BUY,956.4,1,99050.16105,100019.96105,0.0001244266462890655,1
2025-02-13,JSTL,Q-Learning,SELL,969.8,0,100018.99124999999,100018.99124999999,-9.69606456376656e-06,0
