Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-31,KTKMc1_NS,Q-Learning,BUY,1911.15,1,98086.93885,99998.83885,-1.1611499999999069e-05,1
2025-02-01,KTKMc1_NS,Q-Learning,SELL,1911.9,0,99996.92695000001,99996.92695000001,-1.9119222002765026e-05,0
2025-02-05,KTKMc1_NS,Q-Learning,BUY,1919.8,1,98075.20715,99999.85715,2.9302900492663212e-05,1
2025-02-06,KTKMc1_NS,Q-Learning,SELL,1924.65,0,99997.9325,99997.9325,-1.9246527493672906e-05,0
2025-03-24,KTKMc1_NS,Q-Learning,BUY,2172.9,1,97822.8596,99992.5596,-5.373011087006343e-05,1
2025-03-25,KTKMc1_NS,Q-Learning,BUY,2169.7,2,95650.9899,99931.4899,-0.0006107424416805582,1
2025-03-26,KTKMc1_NS,Q-Learning,BUY,2140.25,3,93508.59965,99894.54965,-0.00036965575152502205,1
2025-03-27,KTKMc1_NS,Q-Learning,BUY,2128.65,4,91377.82100000001,100087.62100000001,0.0019327515933199155,1
2025-03-28,KTKMc1_NS,Q-Learning,BUY,2177.45,5,89198.19355000001,99990.69355000001,-0.0009684259554935655,1
2025-04-01,KTKMc1_NS,Q-Learning,BUY,2158.5,6,87037.53505,99998.43505,7.742220525871303e-05,1
2025-04-02,KTKMc1_NS,Q-Learning,BUY,2160.15,7,84875.2249,99871.3249,-0.0012711213924141622,1
2025-04-03,KTKMc1_NS,Q-Learning,BUY,2142.3,8,82730.7826,99814.7826,-0.000566151496003644,1
2025-04-04,KTKMc1_NS,Q-Learning,BUY,2135.5,9,80593.1471,99012.99710000001,-0.008032733019247172,1
2025-04-11,KTKMc1_NS,Q-Learning,SELL,2117.35,8,82708.37975000001,99684.37975000001,0.00035206118879900456,1
2025-04-15,KTKMc1_NS,Q-Learning,SELL,2122.0,7,84828.25775,99696.25775,0.00011915608071982784,1
2025-04-16,KTKMc1_NS,Q-Learning,SELL,2124.0,6,86950.13375000001,100063.73375000001,0.0036859558050965024,1
2025-04-17,KTKMc1_NS,Q-Learning,SELL,2185.6,5,89133.54815,100320.54815,0.0025665082680366037,1
2025-04-21,KTKMc1_NS,Q-Learning,SELL,2237.4,4,91368.71075,100429.11074999999,0.0010821571652266755,1
2025-04-22,KTKMc1_NS,Q-Learning,SELL,2265.1,3,93631.54565,100310.44565,-0.0011815807101527916,1
2025-04-23,KTKMc1_NS,Q-Learning,SELL,2226.3,2,95855.61935,100301.61935,-8.79898393712363e-05,1
2025-04-24,KTKMc1_NS,Q-Learning,SELL,2223.0,1,98076.39635,100288.89635,-0.00012684740368549332,1
2025-04-25,KTKMc1_NS,Q-Learning,SELL,2212.5,0,100286.68385,100286.68385,-2.206126580825794e-05,0
2025-04-30,KTKMc1_NS,Q-Learning,BUY,2215.5,1,98068.96835,100257.46835,-0.00029131983308675036,1
2025-05-02,KTKMc1_NS,Q-Learning,SELL,2188.5,0,100255.27984999999,100255.27984999999,-2.1828797754634723e-05,0
2025-05-13,KTKMc1_NS,Q-Learning,BUY,2120.1,1,98133.05974999999,100230.65974999999,-0.00024557409880892266,1
2025-05-21,KTKMc1_NS,Q-Learning,BUY,2073.6,2,96057.38614999999,100205.18615,-1.470560942430308e-05,1
2025-05-22,KTKMc1_NS,Q-Learning,SELL,2073.9,1,98129.21225,100233.81225,0.00028567483480503063,1
2025-05-28,KTKMc1_NS,Q-Learning,SELL,2073.1,0,100200.23915,100200.23915,-2.0689143328713035e-05,0
2025-06-05,KTKMc1_NS,Q-Learning,BUY,2050.3,1,98147.88884999999,100226.08884999999,0.00025798042219534535,1
2025-06-06,KTKMc1_NS,Q-Learning,SELL,2078.2,0,100224.01064999998,100224.01064999998,-2.0735120205217532e-05,0
2025-07-28,KTKMc1_NS,Q-Learning,BUY,1967.9,1,98254.14274999998,100227.64274999998,3.623981894604552e-05,1
2025-08-19,KTKMc1_NS,Q-Learning,SELL,2031.2,0,100283.31154999998,100283.31154999998,-2.0254206091324602e-05,0
2025-10-13,KTKMc1_NS,Q-Learning,BUY,2160.6,1,98120.55094999999,100280.05094999999,-3.251388441005423e-05,1
2025-10-14,KTKMc1_NS,Q-Learning,SELL,2159.5,0,100277.89145,100277.89145,-2.1534691890723416e-05,0
2025-10-16,KTKMc1_NS,Q-Learning,BUY,2208.0,1,98067.68345,100273.68345,-4.1963387334454364e-05,1
2025-10-17,KTKMc1_NS,Q-Learning,BUY,2206.0,2,95859.47744999999,100282.27745,8.570543839932434e-05,1
2025-10-20,KTKMc1_NS,Q-Learning,SELL,2211.4,1,98068.66604999999,100267.76604999999,-0.00014470552892297773,1
2025-10-21,KTKMc1_NS,Q-Learning,SELL,2199.1,0,100265.56694999998,100265.56694999998,-2.1932272819521443e-05,0
2025-11-07,KTKMc1_NS,Q-Learning,BUY,2097.8,1,98165.66914999997,100268.46914999998,2.8945131297607557e-05,1
2025-11-10,KTKMc1_NS,Q-Learning,BUY,2102.8,2,96060.76634999998,100253.16634999997,-0.00015261826703579366,1
2025-11-11,KTKMc1_NS,Q-Learning,BUY,2096.2,3,93962.47014999998,100245.07014999999,-8.075754906054799e-05,1
2025-11-12,KTKMc1_NS,Q-Learning,BUY,2094.2,4,91866.17594999998,100197.37594999997,-0.0004757760150064861,1
2025-11-13,KTKMc1_NS,Q-Learning,BUY,2082.8,5,89781.29314999997,100199.29314999997,1.913423362457057e-05,1
2025-11-14,KTKMc1_NS,Q-Learning,BUY,2083.6,6,87695.60954999996,100319.00954999996,0.00119478287956356,1
2025-11-17,KTKMc1_NS,Q-Learning,SELL,2103.9,5,89797.40564999997,100273.40564999997,-0.00045458881825640346,1
2025-11-18,KTKMc1_NS,Q-Learning,BUY,2095.2,6,87700.11044999998,100330.71044999998,0.0005714855262823382,1
2025-11-19,KTKMc1_NS,Q-Learning,SELL,2105.1,5,89803.10534999998,100288.60534999998,-0.00041966313017372523,1
2025-11-20,KTKMc1_NS,Q-Learning,SELL,2097.1,4,91898.10824999999,100246.50824999998,-0.00041975955147729104,1
2025-11-21,KTKMc1_NS,Q-Learning,SELL,2087.1,3,93983.12114999999,100244.72115,-1.7827054838958163e-05,1
2025-11-24,KTKMc1_NS,Q-Learning,SELL,2087.2,2,96068.23395,100208.03395,-0.00036597637839805893,1
2025-11-25,KTKMc1_NS,Q-Learning,SELL,2069.9,1,98136.06405,100250.06405,0.0004194284464354925,1
2025-11-26,KTKMc1_NS,Q-Learning,SELL,2114.0,0,100247.95005,100247.95005,-2.108726832281158e-05,0
2026-01-14,KTKMc1_NS,Q-Learning,BUY,421.3,1,99826.22875,100245.72875,-2.2158059081475484e-05,1
2026-02-11,KTKMc1_NS,Q-Learning,SELL,429.9,0,100255.69885,100255.69885,-4.288017155143399e-06,0
2026-03-09,KTKMc1_NS,Q-Learning,BUY,388.0,1,99867.31085,100261.01084999999,5.2984519193651836e-05,1
2026-04-08,KTKMc1_NS,Q-Learning,SELL,380.95,0,100247.8799,100247.8799,-3.8000659239523513e-06,0
2026-07-07,KTKMc1_NS,Q-Learning,BUY,382.6,1,99864.8973,100235.8473,-0.00012002847353987697,1
2026-07-17,KTKMc1_NS,Q-Learning,SELL,390.9,0,100255.40639999999,100255.40639999999,-3.899026395738512e-06,0
