Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,LART,Value Iteration,BUY,3667.5,1,96328.8325,100042.3325,0.00042332500000004077,1
2025-01-20,LART,Value Iteration,BUY,3593.0,2,92732.23950000001,99814.43950000001,-0.001074770120934245,1
2025-02-01,LART,Value Iteration,BUY,3447.5,3,89281.29200000002,99148.89200000002,-0.004801372620587253,1
2025-02-03,LART,Value Iteration,BUY,3289.2,4,85988.80280000002,99745.40280000003,0.0060163133240057134,1
2025-02-04,LART,Value Iteration,BUY,3439.15,5,82546.21365000002,99462.21365000002,-0.002839119819565314,1
2025-02-05,LART,Value Iteration,BUY,3383.2,6,79159.63045000003,99276.13045000003,-0.001870893409378624,1
2025-02-06,LART,Value Iteration,BUY,3352.75,7,75803.52770000002,99161.82770000002,-0.0011513618578996754,1
2025-02-07,LART,Value Iteration,BUY,3336.9,8,72463.29080000002,99092.49080000001,-0.0006992297500786113,1
2025-02-10,LART,Value Iteration,BUY,3328.65,9,69131.31215000001,98288.16215000002,-0.008116948554894896,1
2025-02-11,LART,Value Iteration,BUY,3239.65,10,65888.42250000002,98784.92250000002,0.005054121871175885,1
2025-02-12,LART,Value Iteration,BUY,3289.65,11,62595.482850000015,98495.63285000002,-0.0029284797991312034,1
2025-02-13,LART,Value Iteration,BUY,3263.65,12,59328.56920000001,98180.36920000002,-0.0032007881047896427,1
2025-02-14,LART,Value Iteration,BUY,3237.65,13,56087.681550000016,97971.73155000001,-0.002125044463572909,1
2025-02-17,LART,Value Iteration,BUY,3221.85,14,52862.609700000015,97944.7097,-0.00027581272243018377,1
2025-02-18,LART,Value Iteration,BUY,3220.15,15,49639.23955000001,98777.73955000001,0.008505103058159416,1
2025-02-19,LART,Value Iteration,BUY,3275.9,16,46360.06365000001,98772.86365000001,-4.936233631395234e-05,1
2025-02-20,LART,Value Iteration,BUY,3275.8,17,43080.98785000001,99437.68785000002,0.006730838566711968,1
2025-02-21,LART,Value Iteration,BUY,3315.1,18,39762.572750000014,98401.17275000001,-0.01042376509763148,1
2025-02-24,LART,Value Iteration,BUY,3257.7,19,36501.615050000015,97793.71505000001,-0.006173277035460931,1
2025-02-25,LART,Value Iteration,BUY,3225.9,20,33272.489150000016,97462.48915000001,-0.00338698555250361,1
2025-02-27,LART,Value Iteration,BUY,3209.5,21,30059.779650000015,96500.62965,-0.009869022517161987,1
2025-02-28,LART,Value Iteration,BUY,3163.85,22,26892.765800000016,97233.36580000003,0.00759307118158297,1
2025-03-03,LART,Value Iteration,BUY,3197.3,23,23692.268500000017,97591.26850000002,0.003680863015028853,1
2025-03-04,LART,Value Iteration,BUY,3213.0,24,20476.055500000017,98227.65550000002,0.0065209419836570965,1
2025-03-06,LART,Value Iteration,BUY,3259.9,25,17212.895600000018,98330.39560000002,-0.0038825418637242594,1
2025-03-18,LART,Value Iteration,BUY,3270.7,26,13938.924900000018,100247.22490000002,0.012798790026254425,1
2025-03-19,LART,Value Iteration,BUY,3319.55,27,10616.055350000019,101094.40535000003,0.00845091174189715,1
2025-03-20,LART,Value Iteration,BUY,3351.05,28,7261.654300000018,102908.25430000002,0.017942129870789972,1
2025-04-04,LART,Value Iteration,BUY,3260.15,29,3998.2441500000186,92984.74415000001,-0.05643170064841588,1
2025-04-07,LART,Value Iteration,BUY,3068.5,30,926.6756500000188,95759.67565000002,0.029842868584158015,1
