Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,MAHM,Value Iteration,BUY,3082.0,1,96914.918,100126.01800000001,0.0012601800000001094,1
2025-01-02,MAHM,Value Iteration,BUY,3211.1,2,93700.6069,100081.7069,-0.00044255330317846317,1
2025-01-03,MAHM,Value Iteration,BUY,3190.55,3,90506.86635,99823.96635,-0.0025753013011412004,1
2025-01-06,MAHM,Value Iteration,BUY,3105.7,4,87398.06065,99833.46065,9.511042635495518e-05,1
2025-01-07,MAHM,Value Iteration,BUY,3108.85,5,84286.1018,99716.6018,-0.0011705379062204194,1
2025-01-08,MAHM,Value Iteration,BUY,3086.1,6,81196.9157,99955.9157,0.002399940387860206,1
2025-01-09,MAHM,Value Iteration,BUY,3126.5,7,78067.2892,99717.2392,-0.002387817652697482,1
2025-01-10,MAHM,Value Iteration,BUY,3092.85,8,74971.34635,98968.54635,-0.007508158629405699,1
2025-01-13,MAHM,Value Iteration,BUY,2999.65,9,71968.6967,99414.1967,0.004502949335276321,1
2025-01-14,MAHM,Value Iteration,BUY,3049.5,10,68916.1472,98518.6472,-0.009008265717847859,1
2025-01-15,MAHM,Value Iteration,BUY,2960.25,11,65952.93695,98739.53695000001,0.00224211107519148,1
2025-01-16,MAHM,Value Iteration,BUY,2980.6,12,62969.35635,97977.55635,-0.007717076902901253,1
2025-01-17,MAHM,Value Iteration,BUY,2917.35,13,60049.089,97594.389,-0.003910766549751813,1
2025-01-20,MAHM,Value Iteration,BUY,2888.1,14,57158.1009,96656.3009,-0.009612110999537009,1
2025-01-21,MAHM,Value Iteration,BUY,2821.3,15,54333.9796,96730.72959999999,0.0007700346413731779,1
2025-01-22,MAHM,Value Iteration,BUY,2826.45,16,51504.70315,97687.90315,0.00989523757298329,1
2025-01-23,MAHM,Value Iteration,BUY,2886.45,17,48615.3667,96239.1667,-0.014830254343523563,1
2025-01-24,MAHM,Value Iteration,BUY,2801.4,18,45811.1653,96779.9653,0.005619319228789567,1
2025-01-27,MAHM,Value Iteration,BUY,2831.6,19,42976.733700000004,97518.1337,0.007627285231109807,1
2025-01-28,MAHM,Value Iteration,BUY,2870.6,20,40103.263100000004,98590.26310000001,0.010994154208265014,1
2025-01-29,MAHM,Value Iteration,BUY,2924.35,21,37175.988750000004,99576.43875,0.010002769228840714,1
2025-01-30,MAHM,Value Iteration,BUY,2971.45,22,34201.5673,99978.2673,0.004035377796637717,1
2025-01-31,MAHM,Value Iteration,BUY,2989.85,23,31208.727450000002,101973.97745,0.019961439659796933,1
2025-02-01,MAHM,Value Iteration,BUY,3076.75,24,28128.900700000002,104288.10070000001,0.022693272419766774,1
2025-02-03,MAHM,Value Iteration,BUY,3173.3,25,24952.4274,104678.6774,0.0037451703250742058,1
2025-02-04,MAHM,Value Iteration,BUY,3189.05,26,21760.18835,104407.68835,-0.002588770289526067,1
2025-02-06,MAHM,Value Iteration,BUY,3139.95,27,18617.098400000003,104975.2484,0.015245425508484232,1
2025-02-11,MAHM,Value Iteration,BUY,3085.95,28,15528.062450000003,99169.66244999999,-0.027154670310532463,1
2025-02-12,MAHM,Value Iteration,BUY,2987.2,29,12537.875250000005,98899.87525000001,-0.0027204610092930394,1
2025-02-13,MAHM,Value Iteration,BUY,2978.0,30,9556.897250000005,97834.89725000001,-0.010768244118690156,1
2025-02-14,MAHM,Value Iteration,BUY,2942.6,31,6611.354650000006,94401.80465,-0.03509067517316786,1
2025-02-17,MAHM,Value Iteration,BUY,2831.95,32,3776.572700000006,93058.17270000001,-0.014233117205561762,1
2025-02-18,MAHM,Value Iteration,BUY,2790.05,33,983.7326500000063,91977.93265,-0.011608223315135087,1
