Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-02,MAXE,Double Q-Learning,BUY,1159.35,1,98839.49065,100017.84065000001,0.00017840650000012828,1
2025-01-03,MAXE,Double Q-Learning,SELL,1178.35,0,100016.66230000001,100016.66230000001,-1.1781398122015501e-05,0
2025-01-07,MAXE,Double Q-Learning,BUY,1198.35,1,98817.11395000001,100020.31395000001,3.651041652486528e-05,1
2025-01-08,MAXE,Double Q-Learning,SELL,1203.2,0,100019.11075,100019.11075,-1.2029556321979153e-05,0
2025-01-09,MAXE,Double Q-Learning,BUY,1208.6,1,98809.30215,99959.20215,-0.0005989715320480366,1
2025-01-13,MAXE,Double Q-Learning,BUY,1082.45,2,97725.7697,99895.56970000001,3.821686893903414e-05,1
2025-01-14,MAXE,Double Q-Learning,BUY,1084.9,3,96639.78480000001,99756.9348,-0.0013877982819092381,1
2025-01-15,MAXE,Double Q-Learning,BUY,1039.05,4,95599.69575000001,99799.49575000002,0.0004266465292397265,1
2025-01-16,MAXE,Double Q-Learning,BUY,1049.95,5,94548.69580000002,99681.94580000002,-0.0011778611616882896,1
2025-01-17,MAXE,Double Q-Learning,BUY,1026.65,6,93521.01915000002,99910.41915000002,0.0022920233766143055,1
2025-01-20,MAXE,Double Q-Learning,BUY,1064.9,7,92455.05425000002,100002.45425000001,0.0009211761974676259,1
2025-01-21,MAXE,Double Q-Learning,BUY,1078.2,8,91375.77605000001,99906.97605000001,-0.0009547585678378261,1
2025-01-22,MAXE,Double Q-Learning,BUY,1066.4,9,90308.30965000001,100053.95965,0.0014712045726059414,1
2025-01-23,MAXE,Double Q-Learning,BUY,1082.85,10,89224.37680000001,99781.87680000001,-0.0027193611422453245,1
2025-01-24,MAXE,Double Q-Learning,BUY,1055.75,11,88167.57105000001,99497.02105000001,-0.002854784447189336,1
2025-01-27,MAXE,Double Q-Learning,SELL,1029.95,10,89196.49110000001,99412.99110000001,-0.00084454739562272,1
2025-01-28,MAXE,Double Q-Learning,SELL,1021.65,9,90217.11945000001,99442.11945000001,0.0002930034563661674,1
2025-01-29,MAXE,Double Q-Learning,SELL,1025.0,8,91241.09445000002,99591.89445000002,0.0015061525320296128,1
2025-01-30,MAXE,Double Q-Learning,BUY,1043.85,9,90196.20060000003,99747.45060000003,0.0015619358468785904,1
2025-01-31,MAXE,Double Q-Learning,BUY,1061.25,10,89133.88935000003,100216.38935000003,0.0047012605051983255,1
2025-02-01,MAXE,Double Q-Learning,SELL,1108.25,9,90241.03110000002,100546.03110000002,0.003289299805531211,1
2025-02-03,MAXE,Double Q-Learning,SELL,1145.0,8,91384.88610000002,100779.28610000001,0.0023198827188713376,1
2025-02-04,MAXE,Double Q-Learning,SELL,1174.3,7,92558.01180000002,100745.91180000002,-0.0003311622982413233,1
2025-02-05,MAXE,Double Q-Learning,BUY,1169.7,8,91387.14210000003,100393.14210000003,-0.0035015783141682756,1
2025-02-06,MAXE,Double Q-Learning,SELL,1125.75,7,92511.76635000002,100514.16635000001,0.0012055031595628047,1
2025-02-07,MAXE,Double Q-Learning,SELL,1143.2,6,93653.82315000003,100084.92315000003,-0.00427047465633169,1
2025-02-10,MAXE,Double Q-Learning,BUY,1071.85,7,92580.90130000003,99720.55130000002,-0.0036406267650714616,1
2025-02-11,MAXE,Double Q-Learning,BUY,1019.95,8,91559.93135000003,99598.33135000002,-0.0012256244917089498,1
2025-02-12,MAXE,Double Q-Learning,BUY,1004.8,9,90554.12655000003,99568.97655000004,-0.00029473184542450087,1
2025-02-13,MAXE,Double Q-Learning,BUY,1001.65,10,89551.47490000003,99587.97490000003,0.00019080591825159602,1
2025-02-14,MAXE,Double Q-Learning,BUY,1003.65,11,88546.82125000004,99707.97125000003,0.0012049281062346537,1
2025-02-17,MAXE,Double Q-Learning,BUY,1014.65,12,87531.15660000003,99989.55660000004,0.0028241006859319523,1
