Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,MAXE,Expected SARSA,BUY,1139.6,1,98859.2604,100018.6104,0.00018610400000005029,1
2025-01-02,MAXE,Expected SARSA,SELL,1159.35,0,100017.45105,100017.45105,-1.1591342804755893e-05,0
2025-01-06,MAXE,Expected SARSA,BUY,1153.2,1,98863.09785,100061.44785000001,0.00043989123436082684,1
2025-01-07,MAXE,Expected SARSA,SELL,1198.35,0,100060.2495,100060.2495,-1.1976140918952636e-05,0
2025-01-10,MAXE,Expected SARSA,BUY,1149.9,1,98909.1996,99991.6496,-0.0006855859379003554,1
2025-01-13,MAXE,Expected SARSA,SELL,1082.45,0,99990.56715,99990.56715,-1.0825403964549653e-05,0
2025-01-27,MAXE,Expected SARSA,BUY,1029.95,1,98959.58720000001,99981.2372,-9.330830163212422e-05,1
2025-01-28,MAXE,Expected SARSA,SELL,1021.65,0,99980.21555000001,99980.21555000001,-1.0218417261145213e-05,0
2025-01-29,MAXE,Expected SARSA,BUY,1025.0,1,98954.19055000001,99998.04055000002,0.00017828527276076312,1
2025-01-30,MAXE,Expected SARSA,SELL,1043.85,0,99996.99670000002,99996.99670000002,-1.0438704541214524e-05,0
2025-02-21,MAXE,Expected SARSA,BUY,1010.25,1,98985.73645000001,99973.68645000001,-0.00023310950097773828,1
2025-02-24,MAXE,Expected SARSA,SELL,987.95,0,99972.69850000001,99972.69850000001,-9.882100331363546e-06,0
2025-02-25,MAXE,Expected SARSA,BUY,1022.9,1,98948.77560000001,99964.87560000001,-7.82503635229893e-05,1
2025-02-27,MAXE,Expected SARSA,SELL,1016.1,0,99963.8595,99963.8595,-1.0164570244391013e-05,0
2025-02-28,MAXE,Expected SARSA,BUY,978.1,1,98984.7814,99958.58140000001,-5.280008221367145e-05,1
2025-03-03,MAXE,Expected SARSA,SELL,973.8,0,99957.6076,99957.6076,-9.742035014584865e-06,0
2025-03-12,MAXE,Expected SARSA,BUY,989.75,1,98966.86785000001,99957.56785,-3.9766858121837153e-07,1
2025-03-18,MAXE,Expected SARSA,SELL,1016.95,0,99982.80090000002,99982.80090000002,-1.0171145909989618e-05,0
2025-05-28,MAXE,Expected SARSA,BUY,1149.0,1,98832.65190000001,99967.85190000001,-0.00014951571535747803,1
2025-06-06,MAXE,Expected SARSA,SELL,1168.2,0,99999.68370000001,99999.68370000001,-1.1681900481890492e-05,0
