Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,MRTI,Policy Iteration,BUY,11208.3,1,88780.4917,100621.7917,0.0062179170000000155,1
2025-01-14,MRTI,Policy Iteration,SELL,11741.15,0,100509.90054999999,100509.90054999999,-0.00011680221096112136,0
2025-01-21,MRTI,Policy Iteration,BUY,11883.7,1,88614.31684999999,100634.66685,0.0012413334339927667,1
2025-01-31,MRTI,Policy Iteration,BUY,12310.65,2,76291.3562,102124.3562,0.011883970710464617,1
2025-02-01,MRTI,Policy Iteration,SELL,12916.5,1,89194.93969999999,102334.88969999999,0.002061540535811872,1
2025-02-03,MRTI,Policy Iteration,SELL,13139.95,0,102321.74974999999,102321.74974999999,-0.0001284014673638432,0
2025-02-11,MRTI,Policy Iteration,BUY,12724.35,1,89584.6754,102240.2254,-0.0007967450732535232,1
2025-02-17,MRTI,Policy Iteration,SELL,12762.9,0,102334.8125,102334.8125,-0.00012470153738480244,0
2025-02-18,MRTI,Policy Iteration,BUY,12786.2,1,89535.8263,102221.9763,-0.0011026179385436915,1
2025-03-03,MRTI,Policy Iteration,BUY,11775.6,2,77748.4507,100980.9507,-0.003261977568269663,1
2025-03-04,MRTI,Policy Iteration,BUY,11616.25,3,66120.58445,100972.63445,-8.235464156709996e-05,1
2025-03-05,MRTI,Policy Iteration,BUY,11617.35,4,54491.617099999996,101157.2171,0.0018280462920020075,1
2025-03-06,MRTI,Policy Iteration,BUY,11666.4,5,42813.5507,101134.30069999999,-0.00022654241246423026,1
2025-03-07,MRTI,Policy Iteration,BUY,11664.15,6,31137.73655,100654.03654999999,-0.004748776099462393,1
2025-03-10,MRTI,Policy Iteration,BUY,11586.05,7,19540.100500000004,101068.75050000001,0.0041201919387903515,1
2025-03-11,MRTI,Policy Iteration,BUY,11646.95,8,7881.503550000005,101002.30355000001,-0.0006574430738608739,1
2025-04-30,MRTI,Policy Iteration,SELL,12257.0,7,20126.246550000003,106968.24655000001,0.009729727107582025,1
2025-05-02,MRTI,Policy Iteration,BUY,12406.0,8,7707.840550000004,107371.84055000001,0.0037730262299040863,1
2025-05-12,MRTI,Policy Iteration,SELL,12616.0,7,20311.224550000006,107685.22455000001,-0.00875048230111931,1
2025-05-15,MRTI,Policy Iteration,SELL,12952.0,6,33250.27255000001,111220.27255000001,0.0022081324997868202,1
2025-05-16,MRTI,Policy Iteration,BUY,12995.0,7,20242.27755000001,111165.27755000001,-0.0004944692072685929,1
2025-05-19,MRTI,Policy Iteration,BUY,12989.0,8,7240.288550000012,108344.28855000001,-0.02537652999364999,1
2025-08-18,MRTI,Policy Iteration,SELL,14068.0,7,21294.220550000013,121044.22055000001,0.010518341055004751,1
2025-08-19,MRTI,Policy Iteration,SELL,14250.0,6,35529.97055000001,120855.97055000001,-0.001555216755865177,1
2025-08-20,MRTI,Policy Iteration,SELL,14221.0,5,49736.749550000015,121136.74955000001,0.0023232530318709602,1
2025-08-21,MRTI,Policy Iteration,SELL,14280.0,4,64002.469550000016,121398.46955000001,0.002160533454729809,1
2025-08-22,MRTI,Policy Iteration,SELL,14349.0,3,78337.12055000002,121693.12055000002,0.0024271393296161413,1
2025-08-25,MRTI,Policy Iteration,SELL,14452.0,2,92774.66855000002,122202.66855000002,0.004187155343679739,1
2025-08-26,MRTI,Policy Iteration,SELL,14714.0,1,107473.95455000002,122225.95455000002,0.00019055230361421867,1
2025-08-28,MRTI,Policy Iteration,SELL,14752.0,0,122211.20255000002,122211.20255000002,-0.00012069449614298537,0
2025-09-15,MRTI,Policy Iteration,BUY,15265.0,1,106930.93755000002,122503.93755000002,0.0023953205098381594,1
2025-09-16,MRTI,Policy Iteration,BUY,15573.0,2,91342.36455000001,122944.36455000001,0.0035952068872907505,1
2025-09-17,MRTI,Policy Iteration,BUY,15801.0,3,75525.56355000002,122976.56355000002,0.00026189895012969746,1
2025-09-18,MRTI,Policy Iteration,BUY,15817.0,4,59692.746550000025,123148.74655000003,0.001400128569457042,1
2025-09-19,MRTI,Policy Iteration,BUY,15864.0,5,43812.882550000024,122892.88255000002,-0.0020776825356977322,1
2025-09-22,MRTI,Policy Iteration,BUY,15816.0,6,27981.066550000025,124563.06655000002,0.013590567373342107,1
2025-09-23,MRTI,Policy Iteration,BUY,16097.0,7,11867.969550000027,125610.96955000002,0.008412630075861002,1
2026-04-21,MRTI,Policy Iteration,SELL,13461.0,6,25315.508550000028,105337.50855000003,-0.007139461967073024,1
2026-04-22,MRTI,Policy Iteration,SELL,13337.0,5,38639.17155000003,104439.17155000003,-0.0085281777817404,1
2026-07-01,MRTI,Policy Iteration,SELL,14395.0,4,53019.776550000024,110411.77655000002,-0.0018297384246874471,1
