Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,MRTI,Q-Learning,BUY,11208.3,1,88780.4917,100621.7917,0.0062179170000000155,1
2025-01-02,MRTI,Q-Learning,BUY,11841.3,2,76927.3504,100795.8504,0.0017298310540816392,1
2025-01-03,MRTI,Q-Learning,BUY,11934.25,3,64981.16615,100248.11614999999,-0.005434095231364888,1
2025-01-06,MRTI,Q-Learning,BUY,11755.65,4,53213.7605,100098.96049999999,-0.0014878648669748656,1
2025-01-07,MRTI,Q-Learning,BUY,11721.3,5,41480.739199999996,100590.7392,0.004912925144712266,1
2025-01-08,MRTI,Q-Learning,BUY,11822.0,6,29646.917199999996,100090.21719999998,-0.004975825846202866,1
2025-01-09,MRTI,Q-Learning,BUY,11740.55,7,17894.62665,99312.32665,-0.007771893914922806,1
2025-01-10,MRTI,Q-Learning,BUY,11631.1,8,6251.895549999999,98233.49555,-0.010863013045722413,1
2025-01-14,MRTI,Q-Learning,SELL,11741.15,7,17981.3044,101613.10440000001,0.014294202335662249,1
2025-01-15,MRTI,Q-Learning,SELL,11947.4,6,29916.757,102470.55699999999,0.008438405706262184,1
2025-01-16,MRTI,Q-Learning,SELL,12092.3,5,41996.9647,102678.7147,0.00203139034366731,1
2025-01-17,MRTI,Q-Learning,SELL,12136.35,4,54121.178349999995,102201.37834999998,-0.004648834487212493,1
2025-01-20,MRTI,Q-Learning,SELL,12020.05,3,66129.2083,101780.3083,-0.004120003632025187,1
2025-01-21,MRTI,Q-Learning,BUY,11883.7,4,54233.624599999996,102315.0246,0.0052536321507684015,1
2025-01-22,MRTI,Q-Learning,BUY,12020.35,5,42201.25425,102430.00425,0.0011237807003370828,1
2025-01-23,MRTI,Q-Learning,BUY,12045.75,6,30143.4585,101950.8585,-0.004677787075265069,1
2025-01-24,MRTI,Q-Learning,BUY,11967.9,7,18163.590600000003,102120.54060000001,0.0016643518504555353,1
2025-01-27,MRTI,Q-Learning,BUY,11993.85,8,6157.746750000004,103147.74675,0.010058761381057536,1
2025-01-31,MRTI,Q-Learning,SELL,12310.65,7,18456.086100000004,108871.5861,0.04041017078869673,1
2025-02-01,MRTI,Q-Learning,SELL,12916.5,6,31359.669600000005,110199.36960000002,0.01219586806405514,1
2025-02-03,MRTI,Q-Learning,SELL,13139.95,5,44486.47965000001,110036.22965000001,-0.001480407289008771,1
2025-02-04,MRTI,Q-Learning,SELL,13109.95,4,57583.31970000001,109930.5197,-0.0009606831344207551,1
2025-02-05,MRTI,Q-Learning,SELL,13086.8,3,70657.0329,109879.0329,-0.00046835765118282037,1
2025-02-06,MRTI,Q-Learning,SELL,13074.0,2,83717.9589,109816.9589,-0.0005649303453234871,1
2025-02-07,MRTI,Q-Learning,SELL,13049.5,1,96754.4094,109655.1594,-0.0014733562249463613,1
2025-02-10,MRTI,Q-Learning,SELL,12900.75,0,109642.25865,109642.25865,-0.00011764836301902907,0
2025-02-11,MRTI,Q-Learning,BUY,12724.35,1,96905.18430000001,109560.73430000001,-0.0007435486189703044,1
2025-02-12,MRTI,Q-Learning,BUY,12655.55,2,84236.97875000001,109579.57875000002,0.00017200003377491186,1
2025-02-13,MRTI,Q-Learning,BUY,12671.3,3,71553.00745,109593.75745,0.0001293918096941897,1
2025-02-14,MRTI,Q-Learning,BUY,12680.25,4,58860.07720000001,109911.6772,0.0029008928738030134,1
2025-02-17,MRTI,Q-Learning,SELL,12762.9,3,71610.2143,109968.81430000001,0.0005198455837957788,1
2025-02-18,MRTI,Q-Learning,SELL,12786.2,2,84383.6281,109755.9281,-0.0019358779246200172,1
2025-02-19,MRTI,Q-Learning,BUY,12686.15,3,71684.79195,109006.74195,-0.006825928794638006,1
2025-02-20,MRTI,Q-Learning,BUY,12440.65,4,59231.7013,108525.5013,-0.004414778768644708,1
2025-02-21,MRTI,Q-Learning,BUY,12323.45,5,46895.92785,108621.92785000001,0.0008885151309593975,1
2025-02-24,MRTI,Q-Learning,BUY,12345.2,6,34538.38265,109396.48265,0.0071307406831299215,1
2025-02-25,MRTI,Q-Learning,BUY,12476.35,7,22049.5563,108713.7563,-0.0062408437041281024,1
2025-02-27,MRTI,Q-Learning,BUY,12380.6,8,9656.575700000001,105223.3757,-0.0321061539844888,1
2025-04-30,MRTI,Q-Learning,SELL,12257.0,7,21901.318700000003,108743.3187,0.009569384013903979,1
2025-05-02,MRTI,Q-Learning,SELL,12406.0,6,34294.9127,109042.9127,0.002755056619400354,1
2025-05-05,MRTI,Q-Learning,SELL,12458.0,5,46740.4547,109645.4547,0.005525732806291786,1
2025-05-06,MRTI,Q-Learning,SELL,12581.0,4,59308.873700000004,109840.8737,0.0017822809028853834,1
2025-05-07,MRTI,Q-Learning,SELL,12633.0,3,71929.24070000001,109105.24070000001,-0.006697261003305249,1
2025-05-08,MRTI,Q-Learning,SELL,12392.0,2,84308.8487,108808.8487,-0.002716569782518312,1
2025-05-09,MRTI,Q-Learning,BUY,12250.0,3,72046.5987,109894.5987,0.009978508301227894,1
2025-05-12,MRTI,Q-Learning,SELL,12616.0,2,84649.98270000001,109613.98270000001,-0.002553501294144992,1
2025-05-13,MRTI,Q-Learning,BUY,12482.0,3,72155.5007,110165.5007,0.005031456630030799,1
2025-05-14,MRTI,Q-Learning,BUY,12670.0,4,59472.830700000006,111280.8307,0.010124131356124284,1
2025-05-15,MRTI,Q-Learning,SELL,12952.0,3,72411.8787,111396.8787,0.0010428390880083108,1
2025-05-16,MRTI,Q-Learning,SELL,12995.0,2,85393.8837,111371.8837,-0.0002243779205637235,1
2025-05-19,MRTI,Q-Learning,SELL,12989.0,1,98369.8947,111007.8947,-0.003268230615372104,1
2025-05-20,MRTI,Q-Learning,BUY,12638.0,2,85719.2567,110949.2567,-0.0005282327005522994,1
2025-05-21,MRTI,Q-Learning,BUY,12615.0,3,73091.64170000001,110426.64170000001,-0.004710396586189935,1
