Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,MRTI,SARSA,BUY,11208.3,1,88780.4917,100621.7917,0.0062179170000000155,1
2025-01-02,MRTI,SARSA,SELL,11841.3,0,100609.9504,100609.9504,-0.00011768126764532703,0
2025-01-03,MRTI,SARSA,BUY,11934.25,1,88663.76615000001,100419.41615,-0.0018937913123153371,1
2025-01-06,MRTI,SARSA,SELL,11755.65,0,100407.66050000001,100407.66050000001,-0.00011706550835181165,0
2025-01-07,MRTI,SARSA,BUY,11721.3,1,88674.63920000002,100496.63920000002,0.0008861744169410951,1
2025-01-08,MRTI,SARSA,SELL,11822.0,0,100484.81720000002,100484.81720000002,-0.00011763577462996508,0
2025-01-09,MRTI,SARSA,BUY,11740.55,1,88732.52665000001,100363.62665000002,-0.0012060583218138085,1
2025-01-10,MRTI,SARSA,SELL,11631.1,0,100351.99555000002,100351.99555000002,-0.00011588959454962755,0
2025-01-13,MRTI,SARSA,BUY,11497.7,1,88842.79785000002,100583.94785000001,0.0023113870205443052,1
2025-01-14,MRTI,SARSA,SELL,11741.15,0,100572.20670000001,100572.20670000001,-0.00011672985850099193,0
2025-01-21,MRTI,SARSA,BUY,11883.7,1,88676.623,100696.97300000001,0.0012405644073433953,1
2025-01-22,MRTI,SARSA,SELL,12020.35,0,100684.95265,100684.95265,-0.00011937151278624975,0
2025-01-23,MRTI,SARSA,BUY,12045.75,1,88627.1569,100595.0569,-0.0008928419553665112,1
2025-01-24,MRTI,SARSA,SELL,11967.9,0,100583.089,100583.089,-0.00011897105453089844,0
2025-01-27,MRTI,SARSA,BUY,11993.85,1,88577.24515,100700.99515,0.0011722263769409114,1
2025-01-28,MRTI,SARSA,SELL,12123.75,0,100688.8714,100688.8714,-0.00012039354707408605,0
2025-01-29,MRTI,SARSA,BUY,11977.9,1,88698.99350000001,100698.99350000001,0.00010052848799741117,1
2025-01-30,MRTI,SARSA,BUY,12000.0,2,76686.99350000001,101308.29350000001,0.006050705958644987,1
2025-02-01,MRTI,SARSA,SELL,12916.5,1,89590.57700000002,102730.52700000002,0.0020535847966085268,1
2025-02-03,MRTI,SARSA,SELL,13139.95,0,102717.38705000002,102717.38705000002,-0.0001279069657648796,0
2025-02-11,MRTI,SARSA,BUY,12724.35,1,89980.31270000002,102635.86270000003,-0.0007936762445126119,1
2025-02-12,MRTI,SARSA,SELL,12655.55,0,102623.20715000003,102623.20715000003,-0.00012330534052203035,0
2025-02-13,MRTI,SARSA,BUY,12671.3,1,89939.23585000003,102619.48585000003,-3.626177843541213e-05,1
2025-02-14,MRTI,SARSA,SELL,12680.25,0,102606.80560000002,102606.80560000002,-0.00012356571361641535,0
2025-02-18,MRTI,SARSA,BUY,12786.2,1,89807.81940000002,102493.96940000002,-0.0010996950868920254,1
2025-02-19,MRTI,SARSA,SELL,12686.15,0,102481.28325000002,102481.28325000002,-0.00012377459936676122,0
2025-02-20,MRTI,SARSA,BUY,12440.65,1,90028.19260000002,102351.64260000002,-0.0012650178246084868,1
2025-03-03,MRTI,SARSA,BUY,11775.6,2,78240.81700000002,101473.31700000002,-0.003246201261857558,1
2025-03-04,MRTI,SARSA,BUY,11616.25,3,66612.95075000002,101465.00075000002,-8.195504242759198e-05,1
2025-03-05,MRTI,SARSA,BUY,11617.35,4,54983.98340000002,101649.58340000002,0.001819175564338589,1
2025-03-06,MRTI,SARSA,BUY,11666.4,5,43305.91700000002,101626.66700000002,-0.00022544509513456484,1
2025-03-07,MRTI,SARSA,BUY,11664.15,6,31630.102850000025,101146.40285000001,-0.00472576897557806,1
2025-03-10,MRTI,SARSA,BUY,11586.05,7,20032.466800000027,101561.11680000003,0.004100135430570276,1
