Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-24,ONGC,Double Q-Learning,BUY,256.51,1,99743.23349,99994.01349,-5.986510000002454e-05,1
2025-01-27,ONGC,Double Q-Learning,SELL,250.78,0,99993.76271,99993.76271,-2.507950138707083e-06,0
2025-01-29,ONGC,Double Q-Learning,BUY,251.4,1,99742.11131,99998.83131,5.06891616299964e-05,1
2025-01-30,ONGC,Double Q-Learning,SELL,256.72,0,99998.57458999999,99998.57458999999,-2.5672300030089373e-06,0
2025-02-01,ONGC,Double Q-Learning,BUY,257.55,1,99740.76703999999,99989.76703999999,-8.807675545485712e-05,1
2025-02-03,ONGC,Double Q-Learning,SELL,249.0,0,99989.51804,99989.51804,-2.4902548267419017e-06,0
2025-02-04,ONGC,Double Q-Learning,BUY,254.1,1,99735.16394,99996.81394,7.296664833486527e-05,1
2025-02-05,ONGC,Double Q-Learning,SELL,261.65,0,99996.55228999999,99996.55228999999,-2.6165833659197136e-06,0
2025-02-06,ONGC,Double Q-Learning,BUY,256.15,1,99740.14614,99989.04613999999,-7.506408799207883e-05,1
2025-02-07,ONGC,Double Q-Learning,SELL,248.9,0,99988.79724,99988.79724,-2.4892726713575247e-06,0
2025-02-10,ONGC,Double Q-Learning,BUY,242.45,1,99746.10479,99985.05479,-3.742869304670508e-05,1
2025-02-11,ONGC,Double Q-Learning,SELL,238.95,0,99984.81584,99984.81584,-2.389857169162853e-06,0
2025-02-12,ONGC,Double Q-Learning,BUY,237.4,1,99747.17843999999,99982.12843999999,-2.6878081210954024e-05,1
2025-02-13,ONGC,Double Q-Learning,SELL,234.95,0,99981.89348999999,99981.89348999999,-2.3499199673389875e-06,0
2025-02-14,ONGC,Double Q-Learning,BUY,230.5,1,99751.16298999998,99984.81298999998,2.9200287152803924e-05,1
2025-02-17,ONGC,Double Q-Learning,SELL,233.65,0,99984.57933999998,99984.57933999998,-2.3368548983337777e-06,0
2025-02-18,ONGC,Double Q-Learning,BUY,236.6,1,99747.74273999999,99986.04273999999,1.4636257007508088e-05,1
2025-02-19,ONGC,Double Q-Learning,SELL,238.3,0,99985.80443999999,99985.80443999999,-2.3833326479068594e-06,0
2025-02-20,ONGC,Double Q-Learning,BUY,241.9,1,99743.66253999999,99983.56253999998,-2.2422182954516344e-05,1
2025-02-21,ONGC,Double Q-Learning,SELL,239.9,0,99983.32263999998,99983.32263999998,-2.39939439949955e-06,0
2025-02-24,ONGC,Double Q-Learning,BUY,234.35,1,99748.73828999998,99981.73828999998,-1.5846142718313584e-05,1
2025-02-25,ONGC,Double Q-Learning,SELL,233.0,0,99981.50528999999,99981.50528999999,-2.330425575489349e-06,0
2025-04-04,ONGC,Double Q-Learning,BUY,226.01,1,99755.26928,99975.10927999999,-6.397193142316562e-05,1
2025-04-07,ONGC,Double Q-Learning,SELL,219.84,0,99974.88944,99974.88944,-2.1989473337303282e-06,0
2025-04-08,ONGC,Double Q-Learning,BUY,226.66,1,99748.00278,99969.94278,-4.9479024460138774e-05,1
2025-04-09,ONGC,Double Q-Learning,SELL,221.94,0,99969.72084,99969.72084,-2.220067290540539e-06,0
2025-04-11,ONGC,Double Q-Learning,BUY,230.37,1,99739.12047,99971.81047,2.0902629140543838e-05,1
2025-04-15,ONGC,Double Q-Learning,SELL,232.69,0,99971.57777999999,99971.57777999999,-2.3275561271764164e-06,0
2025-05-05,ONGC,Double Q-Learning,BUY,239.2,1,99732.13858,99969.13858,-2.4398934718837788e-05,1
2025-05-06,ONGC,Double Q-Learning,SELL,237.0,0,99968.90158,99968.90158,-2.3707316413860568e-06,0
2025-05-07,ONGC,Double Q-Learning,BUY,238.67,1,99729.99291,99963.21291,-5.69043963682129e-05,1
2025-05-08,ONGC,Double Q-Learning,SELL,233.22,0,99962.97969000001,99962.97969000001,-2.3330582641895693e-06,0
2025-05-09,ONGC,Double Q-Learning,BUY,234.96,1,99727.78473000001,99971.80473000002,8.828308267098866e-05,1
2025-05-12,ONGC,Double Q-Learning,SELL,244.02,0,99971.56071000002,99971.56071000002,-2.4408882150053426e-06,0
2025-05-13,ONGC,Double Q-Learning,BUY,241.16,1,99730.15955000003,99976.16955000002,4.6101510942399106e-05,1
2025-05-14,ONGC,Double Q-Learning,SELL,246.01,0,99975.92354000003,99975.92354000003,-2.460686392520611e-06,0
2026-03-09,ONGC,Double Q-Learning,BUY,270.8,1,99704.85274000003,99974.05274000003,-1.8712505308898063e-05,1
2026-03-10,ONGC,Double Q-Learning,SELL,269.2,0,99973.78354000003,99973.78354000003,-2.6926986814797034e-06,0
2026-03-13,ONGC,Double Q-Learning,BUY,264.1,1,99709.41944000003,99969.86944000002,-3.915126407557643e-05,1
2026-03-16,ONGC,Double Q-Learning,SELL,260.45,0,99969.60899000002,99969.60899000002,-2.6052849869720023e-06,0
2026-05-22,ONGC,Double Q-Learning,BUY,290.0,1,99679.31899000003,99964.26899000003,-5.341623373290045e-05,1
2026-05-25,ONGC,Double Q-Learning,SELL,284.95,0,99963.98404000002,99963.98404000002,-2.850518519068275e-06,0
2026-05-26,ONGC,Double Q-Learning,BUY,287.5,1,99676.19654000002,99950.24654000002,-0.00013742449475108882,1
2026-05-27,ONGC,Double Q-Learning,SELL,274.05,0,99949.97249000001,99949.97249000001,-2.7418641723668953e-06,0
2026-05-29,ONGC,Double Q-Learning,BUY,265.4,1,99684.30709000002,99948.60709000002,-1.3660834175134385e-05,1
2026-06-01,ONGC,Double Q-Learning,SELL,264.3,0,99948.34279000001,99948.34279000001,-2.644359013145957e-06,0
