Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ONGC,Expected SARSA,BUY,236.95,1,99762.81305,100008.88305,8.883050000004004e-05,1
2025-01-03,ONGC,Expected SARSA,SELL,258.89,0,100021.44416,100021.44416,-2.588338251628444e-06,0
2025-01-06,ONGC,Expected SARSA,BUY,254.36,1,99766.82979999999,100030.3198,8.873737101616334e-05,1
2025-01-07,ONGC,Expected SARSA,SELL,263.49,0,100030.05630999999,100030.05630999999,-2.6341013458611166e-06,0
2025-01-08,ONGC,Expected SARSA,BUY,271.33,1,99758.45497999998,100021.63497999997,-8.418799619500034e-05,1
2025-01-09,ONGC,Expected SARSA,SELL,263.18,0,100021.37179999998,100021.37179999998,-2.6312307337016434e-06,0
2025-01-10,ONGC,Expected SARSA,BUY,263.02,1,99758.08877999998,100013.81877999997,-7.551406128591666e-05,1
2025-01-13,ONGC,Expected SARSA,SELL,255.73,0,100013.56304999998,100013.56304999998,-2.5569466610647233e-06,0
2025-01-14,ONGC,Expected SARSA,BUY,260.37,1,99752.93267999998,100011.11267999998,-2.4500377001676404e-05,1
2025-01-15,ONGC,Expected SARSA,SELL,258.18,0,100010.85449999999,100010.85449999999,-2.581513124605372e-06,0
2025-01-16,ONGC,Expected SARSA,BUY,263.18,1,99747.41131999998,100013.98131999999,3.126480636164302e-05,1
2025-01-20,ONGC,Expected SARSA,SELL,269.36,0,100016.50195999998,100016.50195999998,-2.69314832353349e-06,0
2025-01-21,ONGC,Expected SARSA,BUY,265.8,1,99750.43615999998,100014.48615999999,-2.0154674083682187e-05,1
2025-01-22,ONGC,Expected SARSA,SELL,264.05,0,100014.22210999999,100014.22210999999,-2.6401175483272724e-06,0
2025-01-23,ONGC,Expected SARSA,BUY,263.05,1,99750.90905999999,100007.41905999999,-6.802082600332549e-05,1
2025-01-24,ONGC,Expected SARSA,SELL,256.51,0,100007.16255,100007.16255,-2.5649097077296045e-06,0
2025-01-27,ONGC,Expected SARSA,BUY,250.78,1,99756.13176999999,100004.81176999999,-2.3506116362741903e-05,1
2025-01-29,ONGC,Expected SARSA,SELL,251.4,0,100007.28037,100007.28037,-2.513810665499808e-06,0
2025-01-30,ONGC,Expected SARSA,BUY,256.72,1,99750.30364999999,100012.91364999999,5.632869906223765e-05,1
2025-01-31,ONGC,Expected SARSA,SELL,262.61,0,100012.65103999998,100012.65103999998,-2.6257609184773986e-06,0
2025-02-01,ONGC,Expected SARSA,BUY,257.55,1,99754.84348999998,100003.84348999998,-8.806435894270161e-05,1
2025-02-03,ONGC,Expected SARSA,SELL,249.0,0,100003.59448999999,100003.59448999999,-2.489904300738775e-06,0
2025-02-04,ONGC,Expected SARSA,BUY,254.1,1,99749.24038999999,100010.89038999999,7.295637759027662e-05,1
2025-02-05,ONGC,Expected SARSA,SELL,261.65,0,100010.62873999999,100010.62873999999,-2.6162150839778417e-06,0
2025-02-06,ONGC,Expected SARSA,BUY,256.15,1,99754.22258999999,100003.12258999998,-7.505352275621612e-05,1
2025-02-07,ONGC,Expected SARSA,SELL,248.9,0,100002.87369,100002.87369,-2.488922281075829e-06,0
2025-02-10,ONGC,Expected SARSA,BUY,242.45,1,99760.18123999999,99999.13123999999,-3.742342456684249e-05,1
2025-02-11,ONGC,Expected SARSA,SELL,238.95,0,99998.89228999999,99998.89228999999,-2.389520759190769e-06,0
2025-02-12,ONGC,Expected SARSA,BUY,237.4,1,99761.25488999998,99996.20488999998,-2.687429768938096e-05,1
2025-02-13,ONGC,Expected SARSA,SELL,234.95,0,99995.96993999998,99995.96993999998,-2.349589169475602e-06,0
2025-02-14,ONGC,Expected SARSA,BUY,230.5,1,99765.23943999998,99998.88943999997,2.91961766233262e-05,1
2025-02-17,ONGC,Expected SARSA,SELL,233.65,0,99998.65578999998,99998.65578999998,-2.336525948469256e-06,0
2025-02-18,ONGC,Expected SARSA,BUY,236.6,1,99761.81918999998,100000.11918999998,1.463419671441389e-05,1
2025-02-19,ONGC,Expected SARSA,SELL,238.3,0,99999.88088999999,99999.88088999999,-2.382997159678212e-06,0
2025-02-20,ONGC,Expected SARSA,BUY,241.9,1,99757.73898999998,99997.63898999998,-2.2419026703384434e-05,1
2025-02-21,ONGC,Expected SARSA,SELL,239.9,0,99997.39908999998,99997.39908999998,-2.399056641972113e-06,0
2025-02-24,ONGC,Expected SARSA,BUY,234.35,1,99762.81473999997,99995.81473999997,-1.584391208594017e-05,1
2025-03-21,ONGC,Expected SARSA,SELL,242.42,0,100004.99231999998,100004.99231999998,-2.424073106025851e-06,0
2025-03-24,ONGC,Expected SARSA,BUY,243.83,1,99760.91848999998,100003.16848999998,-1.823738953109401e-05,1
2025-04-01,ONGC,Expected SARSA,SELL,248.07,0,100008.74041999999,100008.74041999999,-2.480477042583697e-06,0
2025-04-02,ONGC,Expected SARSA,BUY,250.64,1,99757.84977999999,100001.15977999999,-7.579977478132637e-05,1
2025-04-03,ONGC,Expected SARSA,SELL,243.31,0,100000.91647,100000.91647,-2.433071781627518e-06,0
2025-04-04,ONGC,Expected SARSA,BUY,226.01,1,99774.68046,99994.52046,-6.39595138302111e-05,1
2025-04-07,ONGC,Expected SARSA,SELL,219.84,0,99994.30062000001,99994.30062000001,-2.1985204687150334e-06,0
2025-04-08,ONGC,Expected SARSA,BUY,226.66,1,99767.41396,99989.35396000001,-4.946941945021255e-05,1
2025-04-09,ONGC,Expected SARSA,SELL,221.94,0,99989.13202,99989.13202,-2.2196363033995878e-06,0
2025-04-11,ONGC,Expected SARSA,BUY,230.37,1,99758.53165,99991.22165,2.0898571252566178e-05,1
2025-04-15,ONGC,Expected SARSA,SELL,232.69,0,99990.98896,99990.98896,-2.3271042814023655e-06,0
2025-04-16,ONGC,Expected SARSA,BUY,241.22,1,99749.52774,99993.01774000001,2.0289628306600837e-05,1
2025-04-17,ONGC,Expected SARSA,SELL,243.49,0,99992.77425,99992.77425,-2.435070023000421e-06,0
2025-04-21,ONGC,Expected SARSA,BUY,249.78,1,99742.74447,99990.52447,-2.249942575223911e-05,1
2025-04-22,ONGC,Expected SARSA,SELL,247.78,0,99990.27669,99990.27669,-2.4780348069830483e-06,0
2025-04-23,ONGC,Expected SARSA,BUY,252.17,1,99737.85452,99987.22451999999,-3.052466800819628e-05,1
2025-04-24,ONGC,Expected SARSA,SELL,249.37,0,99986.97515,99986.97515,-2.4940186227548395e-06,0
2025-04-25,ONGC,Expected SARSA,BUY,246.33,1,99740.39882,99990.99882000001,4.024194145260717e-05,1
2025-04-28,ONGC,Expected SARSA,SELL,250.6,0,99990.74822000001,99990.74822000001,-2.5062255898704964e-06,0
2025-04-29,ONGC,Expected SARSA,BUY,245.68,1,99744.82254000001,99989.27254,-1.4758165393026142e-05,1
2025-04-30,ONGC,Expected SARSA,SELL,244.45,0,99989.02809,99989.02809,-2.444762260876867e-06,0
2025-05-02,ONGC,Expected SARSA,BUY,243.42,1,99745.36467000001,99984.56467,-4.463909776163163e-05,1
2025-05-05,ONGC,Expected SARSA,SELL,239.2,0,99984.32547000001,99984.32547000001,-2.392369270055097e-06,0
2025-05-06,ONGC,Expected SARSA,BUY,237.0,1,99747.08847000002,99985.75847000002,1.4332246512324648e-05,1
2025-05-07,ONGC,Expected SARSA,SELL,238.67,0,99985.51980000002,99985.51980000002,-2.3870399509261586e-06,0
2025-05-08,ONGC,Expected SARSA,BUY,233.22,1,99752.06658000003,99987.02658000003,1.5069982163663476e-05,1
2025-05-09,ONGC,Expected SARSA,SELL,234.96,0,99986.79162000003,99986.79162000003,-2.349904863043408e-06,0
2025-05-12,ONGC,Expected SARSA,BUY,244.02,1,99742.52760000003,99983.68760000003,-3.10443004491602e-05,1
2025-05-13,ONGC,Expected SARSA,SELL,241.16,0,99983.44644000003,99983.44644000003,-2.4119934540705855e-06,0
2025-05-14,ONGC,Expected SARSA,BUY,246.01,1,99737.19043000003,99984.80043000003,1.3542141706585184e-05,1
2025-05-15,ONGC,Expected SARSA,SELL,247.61,0,99984.55282000003,99984.55282000003,-2.4764764138241197e-06,0
2025-05-16,ONGC,Expected SARSA,BUY,247.27,1,99737.03555000003,99983.61555000003,-9.374148041470393e-06,1
2025-06-16,ONGC,Expected SARSA,SELL,256.79,0,99993.56876000002,99993.56876000002,-2.5680585634865245e-06,0
2025-06-17,ONGC,Expected SARSA,BUY,252.31,1,99741.00645000003,99991.36645000003,-2.2024516449444734e-05,1
