Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ONGC,Monte Carlo,BUY,236.95,1,99762.81305,100008.88305,8.883050000004004e-05,1
2025-01-02,ONGC,Monte Carlo,BUY,246.07,2,99516.49698,100034.27698,0.00025391674444854315,1
2025-01-03,ONGC,Monte Carlo,BUY,258.89,3,99257.34809,100020.42809,-0.00013844144645302602,1
2025-01-06,ONGC,Monte Carlo,BUY,254.36,4,99002.73372999999,100056.69373,0.0003625823313550047,1
2025-01-07,ONGC,Monte Carlo,BUY,263.49,5,98738.98023999999,100095.63023999998,0.000389144479479344,1
2025-01-08,ONGC,Monte Carlo,BUY,271.33,6,98467.37890999998,100046.45890999999,-0.0004912435226402887,1
2025-01-09,ONGC,Monte Carlo,BUY,263.18,7,98203.93572999998,100045.07572999998,-1.382537688064145e-05,1
2025-01-10,ONGC,Monte Carlo,BUY,263.02,8,97940.65270999998,99986.49270999998,-0.0005855662517374507,1
2025-01-13,ONGC,Monte Carlo,BUY,255.73,9,97684.66697999998,100027.99697999998,0.0004150987685945097,1
2025-01-14,ONGC,Monte Carlo,BUY,260.37,10,97424.03660999998,100005.83660999998,-0.00022154167502153044,1
2025-01-15,ONGC,Monte Carlo,BUY,258.18,11,97165.59842999998,100060.57842999998,0.0005473862511992804,1
2025-01-16,ONGC,Monte Carlo,BUY,263.18,12,96902.15524999998,100100.99524999998,0.000403923509479542,1
2025-01-17,ONGC,Monte Carlo,BUY,266.57,13,96635.31867999998,100136.99867999999,0.00035967104932467276,1
2025-01-20,ONGC,Monte Carlo,BUY,269.36,14,96365.68931999998,100086.88931999997,-0.0005004080475803687,1
2025-01-21,ONGC,Monte Carlo,BUY,265.8,15,96099.62351999998,100060.37351999998,-0.0002649278060307866,1
2025-01-22,ONGC,Monte Carlo,BUY,264.05,16,95835.30946999998,100044.10946999998,-0.00016254236745125787,1
2025-01-23,ONGC,Monte Carlo,BUY,263.05,17,95571.99641999998,99932.66641999998,-0.0011139391473460002,1
2025-01-31,ONGC,Monte Carlo,BUY,262.61,18,95309.12380999998,99945.02380999997,-0.0009130940403863481,1
2025-02-05,ONGC,Monte Carlo,BUY,261.65,19,95047.21215999998,99914.06215999999,-0.001047419335774189,1
2025-03-04,ONGC,Monte Carlo,BUY,226.76,20,94820.22539999998,99399.02539999998,0.00043654527001799124,1
2025-03-05,ONGC,Monte Carlo,BUY,228.94,21,94591.05645999998,99475.65645999998,0.0007709437762756949,1
2025-03-06,ONGC,Monte Carlo,BUY,232.6,22,94358.22385999998,99481.80385999999,6.179803399913803e-05,1
2025-03-07,ONGC,Monte Carlo,BUY,232.89,23,94125.10096999998,99258.47096999998,-0.002244962207503795,1
2025-03-10,ONGC,Monte Carlo,BUY,223.19,24,93901.68777999998,99342.96777999998,0.0008512805927217571,1
2025-03-11,ONGC,Monte Carlo,BUY,226.72,25,93674.74105999997,99284.74105999997,-0.0005861181853249244,1
2025-03-12,ONGC,Monte Carlo,BUY,224.4,26,93450.11665999997,99311.29665999996,0.0002674690966252737,1
2025-03-13,ONGC,Monte Carlo,BUY,225.43,27,93224.46122999997,99427.44122999997,0.001169500086154691,1
2025-03-17,ONGC,Monte Carlo,BUY,229.74,28,92994.49148999997,99493.85148999997,0.0006679268738937075,1
2025-03-21,ONGC,Monte Carlo,BUY,242.42,29,92751.82906999998,99822.89906999998,0.00040736282648515476,1
2025-03-24,ONGC,Monte Carlo,BUY,243.83,30,92507.75523999998,99775.25523999998,-0.00047728357364767624,1
2025-04-01,ONGC,Monte Carlo,BUY,248.07,31,92259.43716999999,100029.27716999999,0.0007946177591682203,1
2025-04-02,ONGC,Monte Carlo,BUY,250.64,32,92008.54652999999,99794.46652999999,-0.0023474191421071137,1
2025-04-03,ONGC,Monte Carlo,BUY,243.31,33,91764.99321999999,99223.32321999999,-0.005723196183711285,1
2025-04-16,ONGC,Monte Carlo,BUY,241.22,34,91523.53199999999,99802.192,0.0007715074919918196,1
2025-04-17,ONGC,Monte Carlo,BUY,243.49,35,91279.79851,100022.09851,0.002203423648250138,1
2025-04-21,ONGC,Monte Carlo,BUY,249.78,36,91029.76873,99949.84873,-0.0007223381740263618,1
2025-04-22,ONGC,Monte Carlo,BUY,247.78,37,90781.74094999999,100112.03094999999,0.0016226359725475881,1
2025-04-23,ONGC,Monte Carlo,BUY,252.17,38,90529.31877999999,100005.37877999998,-0.0010653282026939163,1
2025-04-24,ONGC,Monte Carlo,BUY,249.37,39,90279.69940999999,99886.56940999998,-0.0011880297984908316,1
2025-04-25,ONGC,Monte Carlo,BUY,246.33,40,90033.12307999999,100057.12307999999,0.0017074734972621227,1
2025-04-28,ONGC,Monte Carlo,BUY,250.6,41,89782.27247999999,99855.15247999999,-0.002018552940389025,1
2025-04-29,ONGC,Monte Carlo,BUY,245.68,42,89536.34679999998,99803.24679999998,-0.0005198097315049112,1
2025-04-30,ONGC,Monte Carlo,BUY,244.45,43,89291.65234999999,99758.71234999999,-0.00044622245696311283,1
2025-05-02,ONGC,Monte Carlo,BUY,243.42,44,89047.98892999999,99572.78893,-0.0018637311531015557,1
2025-05-12,ONGC,Monte Carlo,BUY,244.02,45,88803.72490999999,99655.92490999999,-0.0012922201670722776,1
2025-05-14,ONGC,Monte Carlo,BUY,246.01,46,88557.46889999999,99947.52889999999,0.0007344640400394299,1
2025-05-15,ONGC,Monte Carlo,BUY,247.61,47,88309.61128999999,99931.30128999999,-0.00016236129275630078,1
2025-05-22,ONGC,Monte Carlo,BUY,241.67,48,88067.69961999998,99791.21961999999,0.0012352831889690101,1
2025-05-28,ONGC,Monte Carlo,BUY,242.67,49,87824.78694999998,99733.74694999997,0.00017938299953637,1
2025-05-30,ONGC,Monte Carlo,BUY,239.4,50,87585.14754999998,99500.64754999998,-0.0005498386544115165,1
2025-06-02,ONGC,Monte Carlo,BUY,238.31,51,87346.59923999998,99447.36923999999,-0.0005354569172348492,1
2025-06-03,ONGC,Monte Carlo,BUY,237.27,52,87109.09196999998,99487.69196999999,0.0004054680411171817,1
2025-06-04,ONGC,Monte Carlo,BUY,238.05,53,86870.80391999998,99472.61391999997,-0.0001515569383653779,1
2025-06-05,ONGC,Monte Carlo,BUY,237.77,54,86632.79614999998,99596.03614999999,0.001240765926783349,1
2025-06-06,ONGC,Monte Carlo,BUY,240.06,55,86392.49608999999,99746.49608999999,0.0015107020903261186,1
