Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-17,ONGC,Policy Iteration,BUY,266.57,1,99733.16343,100002.52343,2.523430000001099e-05,1
2025-01-20,ONGC,Policy Iteration,SELL,269.36,0,100002.25407,100002.25407,-2.6935320306615823e-06,0
2025-01-24,ONGC,Policy Iteration,BUY,256.51,1,99745.48756,99996.26756,-5.986375062918073e-05,1
2025-01-27,ONGC,Policy Iteration,BUY,250.78,2,99494.45678,99991.81678,-4.450946128892907e-05,1
2025-01-28,ONGC,Policy Iteration,BUY,248.68,3,99245.5281,99999.7281,7.911967453702316e-05,1
2025-01-29,ONGC,Policy Iteration,BUY,251.4,4,98993.8767,100020.7567,0.00021028657176923963,1
2025-01-30,ONGC,Policy Iteration,BUY,256.72,5,98736.89997999999,100049.94997999999,0.00029187221695946465,1
2025-01-31,ONGC,Policy Iteration,SELL,262.61,4,98999.24736999998,100029.44736999998,-0.0002049237406326434,1
2025-02-01,ONGC,Policy Iteration,BUY,257.55,5,98741.43981999999,99986.43981999999,-0.00042994889135909877,1
2025-02-03,ONGC,Policy Iteration,BUY,249.0,6,98492.19081999999,100016.79082,0.00030355116208406735,1
2025-02-04,ONGC,Policy Iteration,BUY,254.1,7,98237.83671999999,100069.38672,0.0005258707019969975,1
2025-02-05,ONGC,Policy Iteration,SELL,261.65,6,98499.22506999999,100036.12506999998,-0.0003323858683483588,1
2025-02-06,ONGC,Policy Iteration,BUY,256.15,7,98242.81891999999,99985.11892,-0.0005098773064659903,1
2025-02-07,ONGC,Policy Iteration,BUY,248.9,8,97993.67001999999,99933.27002,-0.000518566168246322,1
2025-02-10,ONGC,Policy Iteration,BUY,242.45,9,97750.97756999999,99901.52756999999,-0.0003176364587454455,1
2025-02-11,ONGC,Policy Iteration,BUY,238.95,10,97511.78861999999,99885.78861999999,-0.00015754463803339643,1
2025-02-12,ONGC,Policy Iteration,BUY,237.4,11,97274.15121999999,99858.60121999998,-0.00027218486609181266,1
2025-02-13,ONGC,Policy Iteration,BUY,234.95,12,97038.96626999999,99804.96626999999,-0.0005371089655244461,1
2025-02-14,ONGC,Policy Iteration,BUY,230.5,13,96808.23576999998,99845.68576999998,0.00040799071951825,1
2025-02-17,ONGC,Policy Iteration,BUY,233.65,14,96574.35211999998,99886.75211999998,0.0004112981916373661,1
2025-02-18,ONGC,Policy Iteration,BUY,236.6,15,96337.51551999999,99912.01551999999,0.0002529204270217965,1
2025-02-19,ONGC,Policy Iteration,BUY,238.3,16,96098.97721999999,99969.37721999998,0.0005741221383779569,1
2025-02-20,ONGC,Policy Iteration,BUY,241.9,17,95856.83531999998,99935.13531999999,-0.00034252389033732173,1
2025-02-21,ONGC,Policy Iteration,BUY,239.9,18,95616.69541999999,99834.99541999999,-0.0010020489758615827,1
2025-02-24,ONGC,Policy Iteration,BUY,234.35,19,95382.11106999998,99809.11106999998,-0.0002592713095354349,1
2025-02-25,ONGC,Policy Iteration,BUY,233.0,20,95148.87806999999,99768.87806999999,-0.0004030994722693797,1
2025-02-27,ONGC,Policy Iteration,BUY,231.0,21,94917.64706999999,99647.89706999999,-0.0012126126136761495,1
2025-02-28,ONGC,Policy Iteration,BUY,225.25,22,94692.17181999999,99645.03181999999,-2.8753742770806284e-05,1
2025-03-03,ONGC,Policy Iteration,BUY,225.13,23,94466.81668999999,99682.29668999999,0.00037397619649833403,1
2025-03-04,ONGC,Policy Iteration,SELL,226.76,22,94693.34993,99730.02992999999,0.00047885373416351,1
2025-03-05,ONGC,Policy Iteration,SELL,228.94,21,94922.06099,99806.66099,0.0007683850095482897,1
2025-03-06,ONGC,Policy Iteration,SELL,232.6,20,95154.42839,99812.22839,5.578184807282276e-05,1
2025-03-07,ONGC,Policy Iteration,SELL,232.89,19,95387.0855,99627.6955,-0.0018488004223186968,1
2025-03-10,ONGC,Policy Iteration,SELL,223.19,18,95610.05231,99691.01231,0.0006355342225094818,1
2025-03-11,ONGC,Policy Iteration,SELL,226.72,17,95836.54559,99651.34559,-0.0003978966516726743,1
2025-03-12,ONGC,Policy Iteration,SELL,224.4,16,96060.72119,99667.60119,0.000163124741605449,1
