Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,ONGC,SARSA,BUY,236.95,1,99762.81305,100008.88305,8.883050000004004e-05,1
2025-01-02,ONGC,SARSA,SELL,246.07,0,100008.63698,100008.63698,-2.4604814342872583e-06,0
2025-01-03,ONGC,SARSA,BUY,258.89,1,99749.48809,100003.84809,-4.788476420245451e-05,1
2025-01-06,ONGC,SARSA,BUY,254.36,2,99494.87372999999,100021.85372999999,0.00018004947153417574,1
2025-01-07,ONGC,SARSA,BUY,263.49,3,99231.12023999999,100045.11024,0.0002325142869555826,1
2025-01-08,ONGC,SARSA,BUY,271.33,4,98959.51890999998,100012.23890999999,-0.00032856508350236627,1
2025-01-09,ONGC,SARSA,BUY,263.18,5,98696.07572999998,100011.17572999999,-1.063049894277558e-05,1
2025-01-10,ONGC,SARSA,BUY,263.02,6,98432.79270999998,99967.17270999998,-0.0004399810289081955,1
2025-01-13,ONGC,SARSA,BUY,255.73,7,98176.80697999998,99999.39697999998,0.00032234851828282266,1
2025-01-14,ONGC,SARSA,BUY,260.37,8,97916.17660999998,99981.61660999998,-0.00017780477219826862,1
2025-01-15,ONGC,SARSA,BUY,258.18,9,97657.73842999998,100026.35842999998,0.0004475004657558282,1
2025-01-16,ONGC,SARSA,BUY,263.18,10,97394.29524999998,100059.99524999998,0.00033627956198704656,1
2025-01-20,ONGC,SARSA,BUY,269.36,11,97124.66588999997,100048.46588999998,-0.00039394733900160805,1
2025-01-21,ONGC,SARSA,BUY,265.8,12,96858.60008999998,100027.20008999998,-0.00021255498333552474,1
2025-01-22,ONGC,SARSA,BUY,264.05,13,96594.28603999998,100013.93603999997,-0.00013260443147541974,1
2025-01-23,ONGC,SARSA,BUY,263.05,14,96330.97298999998,99922.11298999998,-0.0009181025528609103,1
2025-01-28,ONGC,SARSA,BUY,248.68,15,96082.04430999998,99853.04430999998,0.0004062749940937897,1
2025-01-31,ONGC,SARSA,BUY,262.61,16,95819.17169999998,99939.97169999998,-0.000812053990759802,1
2025-02-05,ONGC,SARSA,BUY,261.65,17,95557.26004999998,99911.81004999999,-0.0009375642617318876,1
2025-02-25,ONGC,SARSA,BUY,233.0,18,95324.02704999999,99482.02704999999,-0.0003640839377797472,1
2025-02-27,ONGC,SARSA,BUY,231.0,19,95092.79604999999,99372.54604999999,-0.0011005103459037306,1
2025-02-28,ONGC,SARSA,BUY,225.25,20,94867.32079999999,99369.92079999999,-2.641826243111865e-05,1
2025-03-03,ONGC,SARSA,BUY,225.13,21,94641.96566999999,99403.92567,0.0003422048616547182,1
2025-03-04,ONGC,SARSA,SELL,226.76,20,94868.49891,99447.29891,0.00043633327061941984,1
2025-03-05,ONGC,SARSA,SELL,228.94,19,95097.20997,99516.60996999999,0.0006969627205533191,1
2025-03-06,ONGC,SARSA,SELL,232.6,18,95329.57737,99521.59737,5.0116256989825124e-05,1
2025-03-07,ONGC,SARSA,SELL,232.89,17,95562.23448,99356.46448,-0.0016592668763753791,1
2025-03-10,ONGC,SARSA,SELL,223.19,16,95785.20129,99412.72129,0.0005662118745311279,1
2025-03-11,ONGC,SARSA,SELL,226.72,15,96011.69456999999,99377.69456999999,-0.0003523363966451676,1
2025-03-12,ONGC,SARSA,SELL,224.4,14,96235.87017,99391.89017,0.0001428449317669292,1
2025-03-13,ONGC,SARSA,SELL,225.43,13,96461.07474,99447.69473999999,0.0005614599934113816,1
2025-03-17,ONGC,SARSA,SELL,229.74,12,96690.58499999999,99476.025,0.00028487598504993217,1
2025-03-18,ONGC,SARSA,BUY,232.12,13,96458.23288,99481.64288,5.6474713379482584e-05,1
2025-03-19,ONGC,SARSA,BUY,232.57,14,96225.43031,99523.69030999999,0.0004226652152368579,1
2025-03-20,ONGC,SARSA,BUY,235.59,15,95989.60472,99625.90472,0.0010270359718538764,1
2025-03-21,ONGC,SARSA,BUY,242.42,16,95746.94230000001,99648.22230000001,0.00022401382514644665,1
2025-03-24,ONGC,SARSA,BUY,243.83,17,95502.86847000002,99621.11847000002,-0.0002719951181707407,1
2025-03-25,ONGC,SARSA,BUY,242.25,18,95260.37622000002,99575.33622000003,-0.0004595637019852994,1
2025-03-26,ONGC,SARSA,BUY,239.72,19,95020.41650000002,99621.64650000002,0.00046507781703767953,1
2025-03-27,ONGC,SARSA,BUY,242.17,20,94778.00433000003,99705.60433000003,0.0008427669382076908,1
2025-03-28,ONGC,SARSA,BUY,246.38,21,94531.37795000002,99740.84795000002,0.00035347682045380784,1
2025-04-01,ONGC,SARSA,BUY,248.07,22,94283.05988000003,99797.13988000003,0.0005643819072826187,1
2025-04-02,ONGC,SARSA,BUY,250.64,23,94032.16924000003,99628.29924000004,-0.0016918384655413518,1
2025-04-03,ONGC,SARSA,BUY,243.31,24,93788.61593000003,99212.85593000003,-0.004169932771804308,1
2025-04-16,ONGC,SARSA,BUY,241.22,25,93547.15471000003,99634.40471000003,0.0005674831695552953,1
2025-04-17,ONGC,SARSA,BUY,243.49,26,93303.42122000003,99797.70122000003,0.001638957049779116,1
2025-04-21,ONGC,SARSA,BUY,249.78,27,93053.39144000004,99743.45144000003,-0.0005435974910925736,1
