Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,PGRDc1_NS,Q-Learning,BUY,312.25,1,99687.43775,100004.28775,4.287750000003143e-05,1
2025-01-02,PGRDc1_NS,Q-Learning,SELL,316.85,0,100003.9709,100003.9709,-3.1683641484950937e-06,0
2025-01-03,PGRDc1_NS,Q-Learning,BUY,317.05,1,99686.60385,99994.20385,-9.766662175606593e-05,1
2025-01-06,PGRDc1_NS,Q-Learning,SELL,307.6,0,99993.89625,99993.89625,-3.0761782999094614e-06,0
2025-01-07,PGRDc1_NS,Q-Learning,BUY,306.3,1,99687.28995,99995.08995000001,1.193772864914688e-05,1
2025-01-08,PGRDc1_NS,Q-Learning,SELL,307.8,0,99994.78215,99994.78215,-3.078151138855919e-06,0
2025-01-09,PGRDc1_NS,Q-Learning,BUY,306.85,1,99687.6253,99988.5753,-6.207173881024657e-05,1
2025-01-10,PGRDc1_NS,Q-Learning,SELL,300.95,0,99988.27434999999,99988.27434999999,-3.0098438656758943e-06,0
2025-01-13,PGRDc1_NS,Q-Learning,BUY,288.85,1,99699.13549999999,99991.03549999998,2.7614738007438927e-05,1
2025-01-14,PGRDc1_NS,Q-Learning,BUY,291.9,2,99406.94359999998,100006.84359999998,0.00015809517244168094,1
2025-01-15,PGRDc1_NS,Q-Learning,SELL,299.95,1,99706.59364999998,100005.14364999998,-1.6998336701776627e-05,1
2025-01-16,PGRDc1_NS,Q-Learning,SELL,298.55,0,100004.84509999998,100004.84509999998,-2.985346444295605e-06,0
2025-02-06,PGRDc1_NS,Q-Learning,BUY,279.2,1,99725.36589999998,100004.61589999998,-2.29188895570404e-06,1
2025-02-07,PGRDc1_NS,Q-Learning,SELL,279.25,0,100004.33664999997,100004.33664999997,-2.7923711070107574e-06,0
2025-02-10,PGRDc1_NS,Q-Learning,BUY,270.0,1,99734.06664999996,99996.66664999997,-7.669667393367242e-05,1
2025-02-11,PGRDc1_NS,Q-Learning,BUY,262.6,2,99471.20404999997,99987.50404999997,-9.162905431704229e-05,1
2025-02-12,PGRDc1_NS,Q-Learning,BUY,258.15,3,99212.79589999997,99992.94589999996,5.442530095827846e-05,1
2025-02-13,PGRDc1_NS,Q-Learning,BUY,260.05,4,98952.48584999997,99983.68584999997,-9.260703259265751e-05,1
2025-02-14,PGRDc1_NS,Q-Learning,SELL,257.8,3,99210.02804999996,100000.67804999996,0.0001699497258531335,1
2025-02-17,PGRDc1_NS,Q-Learning,SELL,263.55,2,99473.31449999996,100006.91449999997,6.236407714048743e-05,1
2025-02-18,PGRDc1_NS,Q-Learning,BUY,266.8,3,99206.24769999996,99997.49769999996,-9.416148920389236e-05,1
2025-02-19,PGRDc1_NS,Q-Learning,BUY,263.75,4,98942.23394999997,100004.83394999997,7.336433579585031e-05,1
2025-02-20,PGRDc1_NS,Q-Learning,SELL,265.65,3,99207.61829999996,99994.21829999996,-0.00010615136869598304,1
2025-02-21,PGRDc1_NS,Q-Learning,SELL,262.2,2,99469.55609999996,99988.35609999996,-5.862538954417943e-05,1
2025-02-24,PGRDc1_NS,Q-Learning,BUY,259.4,3,99209.89669999995,99978.64669999995,-9.710530684489383e-05,1
2025-02-25,PGRDc1_NS,Q-Learning,BUY,256.25,4,98953.39044999995,99978.39044999995,-2.5630472952363027e-06,1
2025-02-27,PGRDc1_NS,Q-Learning,BUY,256.25,5,98696.88419999994,99959.13419999994,-0.00019260412088386276,1
2025-02-28,PGRDc1_NS,Q-Learning,BUY,252.45,6,98444.18174999995,99964.58174999994,5.44977709500523e-05,1
2025-03-03,PGRDc1_NS,Q-Learning,SELL,253.4,5,98697.32834999994,99974.32834999994,9.750053298250893e-05,1
2025-03-04,PGRDc1_NS,Q-Learning,SELL,255.4,4,98952.47294999994,100013.27294999994,0.0003895460028864756,1
2025-03-05,PGRDc1_NS,Q-Learning,SELL,265.2,3,99217.40774999994,100019.45774999994,6.183979203535033e-05,1
2025-03-06,PGRDc1_NS,Q-Learning,SELL,267.35,2,99484.49039999994,100013.39039999993,-6.066169659885091e-05,1
2025-03-07,PGRDc1_NS,Q-Learning,SELL,264.45,1,99748.67594999993,100020.22594999993,6.83463481506315e-05,1
2025-03-10,PGRDc1_NS,Q-Learning,SELL,271.55,0,100019.95439999993,100019.95439999993,-2.7149508754427704e-06,0
2025-03-19,PGRDc1_NS,Q-Learning,BUY,277.25,1,99742.42714999993,100022.72714999993,2.7721968247605273e-05,1
2025-03-20,PGRDc1_NS,Q-Learning,SELL,280.3,0,100022.44684999993,100022.44684999993,-2.802363102719434e-06,0
