Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,REDY,Value Iteration,BUY,1369.0,1,98629.631,100004.681,4.6809999999968566e-05,1
2025-01-17,REDY,Value Iteration,BUY,1309.4,2,97318.92159999999,99923.62159999998,-0.00015418800688595929,1
2025-01-20,REDY,Value Iteration,BUY,1302.35,3,96015.26924999998,99879.71924999998,-0.00043935907543210924,1
2025-01-21,REDY,Value Iteration,BUY,1288.15,4,94725.83109999998,99910.83109999998,0.0003114931663166559,1
2025-01-22,REDY,Value Iteration,BUY,1296.25,5,93428.28484999998,99875.28484999998,-0.00035577974488493094,1
2025-01-23,REDY,Value Iteration,BUY,1289.4,6,92137.59544999998,99483.99544999997,-0.003917780065285178,1
2025-02-20,REDY,Value Iteration,SELL,1170.95,5,93307.37449999998,99066.37449999998,-0.0009773873443815622,1
2025-02-21,REDY,Value Iteration,SELL,1151.8,4,94458.02269999997,99116.22269999997,0.0005031798150642234,1
2025-02-24,REDY,Value Iteration,SELL,1164.55,3,95621.40814999997,99005.85814999997,-0.001113486238615492,1
2025-02-25,REDY,Value Iteration,BUY,1128.15,4,94492.12999999998,98994.32999999997,-0.00011643906951983003,1
2025-02-27,REDY,Value Iteration,BUY,1125.55,5,93365.45444999998,98947.95444999998,-0.00046846672935709583,1
2025-02-28,REDY,Value Iteration,BUY,1116.5,6,92247.83794999997,98965.43794999998,0.00017669390031541072,1
2025-03-03,REDY,Value Iteration,BUY,1119.6,7,91127.11834999998,98968.16834999998,2.7589429770217806e-05,1
2025-03-04,REDY,Value Iteration,BUY,1120.15,8,90005.84819999998,99017.04819999998,0.000493894661434315,1
2025-03-05,REDY,Value Iteration,BUY,1126.4,9,88878.32179999998,99139.22179999997,0.0012338642912604484,1
2025-03-06,REDY,Value Iteration,BUY,1140.1,10,87737.08169999998,99069.58169999998,-0.0007024475150761133,1
2025-03-07,REDY,Value Iteration,BUY,1133.25,11,86602.69844999998,98924.89844999998,-0.0014604205197729415,1
2025-03-10,REDY,Value Iteration,BUY,1120.2,12,85481.37824999998,98881.17824999998,-0.0004419534483737054,1
2025-03-11,REDY,Value Iteration,BUY,1116.65,13,84363.61159999997,98730.56159999997,-0.001523208487860134,1
2025-03-12,REDY,Value Iteration,BUY,1105.15,14,83257.35644999998,98768.65644999998,0.0003858465847115024,1
2025-03-13,REDY,Value Iteration,BUY,1107.95,15,82148.29849999998,99408.79849999998,0.006481226666519012,1
2025-03-28,REDY,Value Iteration,SELL,1144.2,14,83291.35429999998,99422.15429999998,0.0011162456001922564,1
2025-04-02,REDY,Value Iteration,SELL,1150.0,13,84440.20429999998,99409.05429999999,0.0001780838999998579,1
2025-04-03,REDY,Value Iteration,SELL,1151.45,12,85590.50284999999,98909.90284999998,-0.005021186988598129,1
2025-05-23,REDY,Value Iteration,BUY,1230.1,13,84359.17274999998,100490.87274999998,0.0013868215092275689,1
2025-05-26,REDY,Value Iteration,BUY,1240.9,14,83117.03184999998,100521.83184999999,0.00030807872548810475,1
2025-05-27,REDY,Value Iteration,BUY,1243.2,15,81872.58864999999,100511.58864999999,-0.00010190025202965062,1
2025-05-28,REDY,Value Iteration,BUY,1242.6,16,80628.74604999999,100599.94604999998,0.0008790767431571534,1
