Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2026-01-19,RELI,Q-Learning,BUY,1413.6,1,98584.9864,99978.9864,-0.00021013600000005682,1
2026-01-20,RELI,Q-Learning,SELL,1394.0,0,99977.5924,99977.5924,-1.3942929911522217e-05,0
2026-01-21,RELI,Q-Learning,BUY,1404.6,1,98571.5878,99974.0878,-3.505385472755403e-05,1
2026-01-22,RELI,Q-Learning,SELL,1402.5,0,99972.6853,99972.6853,-1.4028635127956702e-05,0
2026-01-23,RELI,Q-Learning,BUY,1386.1,1,98585.1992,99965.6992,-6.988008753621648e-05,1
2026-01-27,RELI,Q-Learning,SELL,1380.5,0,99964.3187,99964.3187,-1.3809736850210531e-05,0
2026-01-28,RELI,Q-Learning,BUY,1396.7,1,98566.22200000001,99957.22200000001,-7.099233098654228e-05,1
2026-01-29,RELI,Q-Learning,SELL,1391.0,0,99955.831,99955.831,-1.3915952966392558e-05,0
2026-01-30,RELI,Q-Learning,BUY,1395.4,1,98559.0356,99906.0356,-0.0004981740384910881,1
2026-02-01,RELI,Q-Learning,SELL,1347.0,0,99904.68860000001,99904.68860000001,-1.3482668908887179e-05,0
2026-03-02,RELI,Q-Learning,BUY,1358.0,1,98545.33060000002,99890.33060000002,-0.00014371697866433165,1
2026-03-05,RELI,Q-Learning,BUY,1389.4,2,97154.54120000002,99964.14120000003,0.0002942980865955067,1
2026-03-06,RELI,Q-Learning,BUY,1404.8,3,95748.33640000001,100020.33640000001,0.0005621535815283667,1
2026-03-09,RELI,Q-Learning,SELL,1424.0,2,97170.91240000002,99988.51240000002,-0.0003181752945993215,1
2026-03-10,RELI,Q-Learning,BUY,1408.8,3,95760.70360000002,99931.30360000003,-0.0005721537267314425,1
2026-03-11,RELI,Q-Learning,BUY,1390.2,4,94369.11340000002,99937.91340000002,6.614343816076348e-05,1
2026-03-12,RELI,Q-Learning,BUY,1392.2,5,92975.52120000002,99879.02120000002,-0.000589287868801972,1
2026-03-13,RELI,Q-Learning,BUY,1380.7,6,91593.44050000001,99964.0405,0.0008512227991275646,1
2026-03-16,RELI,Q-Learning,BUY,1395.1,7,90196.94540000001,99980.14540000001,0.0001611069332477185,1
2026-03-17,RELI,Q-Learning,BUY,1397.6,8,88797.94780000001,100062.74780000001,0.0008261880363298951,1
2026-03-18,RELI,Q-Learning,SELL,1408.1,7,90204.63970000001,99898.23970000002,-0.0016440493951735333,1
2026-03-19,RELI,Q-Learning,BUY,1384.8,8,88818.45490000001,100133.65490000001,0.0023565500323824875,1
2026-03-20,RELI,Q-Learning,SELL,1414.4,7,90231.44050000001,100086.04050000002,-0.0004755084596436846,1
2026-03-23,RELI,Q-Learning,SELL,1407.8,6,91637.83270000001,100108.63270000002,0.00022572778268712844,1
2026-03-24,RELI,Q-Learning,SELL,1411.8,5,93048.22090000001,100113.72090000001,5.08267854905816e-05,1
2026-03-25,RELI,Q-Learning,SELL,1413.1,4,94459.90780000002,99852.30780000001,-0.0026111615635695065,1
2026-03-27,RELI,Q-Learning,BUY,1348.1,5,93110.45970000002,99829.95970000002,-0.00022381155220518932,1
2026-03-30,RELI,Q-Learning,BUY,1343.9,6,91765.21580000002,99980.41580000002,0.0015071237176908902,1
2026-04-01,RELI,Q-Learning,BUY,1369.2,7,90394.64660000002,99848.14660000002,-0.0013229510893871994,1
2026-04-02,RELI,Q-Learning,BUY,1350.5,8,89042.79610000002,99480.39610000003,-0.0036830979094006995,1
2026-04-06,RELI,Q-Learning,BUY,1304.7,9,87736.79140000002,99478.19140000001,-2.216215542407355e-05,1
2026-04-07,RELI,Q-Learning,BUY,1304.6,10,86430.88680000002,99908.88680000002,0.004329545943072014,1
2026-04-08,RELI,Q-Learning,BUY,1347.8,11,85081.73900000002,99711.73900000002,-0.001973275914830892,1
2026-04-09,RELI,Q-Learning,BUY,1330.0,12,83750.40900000001,99952.80900000001,0.0024176691974050557,1
2026-04-10,RELI,Q-Learning,BUY,1350.2,13,82398.85880000002,99495.15880000002,-0.00457866271672254,1
2026-04-13,RELI,Q-Learning,BUY,1315.1,14,81082.44370000002,99899.84370000001,0.004067382824258509,1
2026-04-15,RELI,Q-Learning,BUY,1344.1,15,79736.99960000002,99886.49960000002,-0.00013357478356082272,1
2026-04-16,RELI,Q-Learning,BUY,1343.3,16,78392.35630000003,100232.35630000003,0.0034624969478858764,1
2026-04-17,RELI,Q-Learning,SELL,1365.0,15,79755.99130000002,100205.49130000002,-0.00026802722186433555,1
2026-04-20,RELI,Q-Learning,SELL,1363.3,14,81117.92800000003,100064.12800000003,-0.0014107340642318393,1
2026-04-21,RELI,Q-Learning,BUY,1353.3,15,79763.27470000002,100194.77470000002,0.0013056297257694333,1
2026-04-22,RELI,Q-Learning,SELL,1362.1,14,81124.01260000002,99931.61260000002,-0.0026265052323132905,1
2026-04-23,RELI,Q-Learning,BUY,1343.4,15,79779.26920000001,99696.26920000001,-0.002355044553739268,1
2026-04-24,RELI,Q-Learning,BUY,1327.8,16,78450.14140000001,100302.94140000001,0.006085204640736956,1
2026-04-27,RELI,Q-Learning,SELL,1365.8,15,79814.57560000001,100648.07560000001,0.003440918034732732,1
2026-04-28,RELI,Q-Learning,SELL,1388.9,14,81202.08670000001,101157.68670000002,0.005063297007538703,1
2026-04-29,RELI,Q-Learning,SELL,1425.4,13,82626.06130000002,101226.46130000001,0.0006798751755163428,1
2026-04-30,RELI,Q-Learning,SELL,1430.8,12,84055.43050000002,101612.63050000001,0.0038149036826994553,1
2026-05-04,RELI,Q-Learning,SELL,1463.1,11,85517.06740000001,101616.6674,3.972832885171567e-05,1
2026-05-05,RELI,Q-Learning,SELL,1463.6,10,86979.20380000002,101358.20380000002,-0.002543515809100311,1
2026-05-06,RELI,Q-Learning,SELL,1437.9,9,88415.66590000002,101341.46590000002,-0.00016513611501068058,1
2026-05-07,RELI,Q-Learning,SELL,1436.2,8,89850.42970000002,101332.02970000003,-9.311292190412709e-05,1
2026-05-08,RELI,Q-Learning,SELL,1435.2,7,91284.19450000003,101001.59450000002,-0.003260915635246642,1
2026-05-11,RELI,Q-Learning,SELL,1388.2,6,92671.00630000002,100855.00630000002,-0.0014513454042549626,1
2026-05-12,RELI,Q-Learning,BUY,1364.0,7,91305.64230000002,100817.24230000003,-0.0003744385270044405,1
2026-05-13,RELI,Q-Learning,BUY,1358.8,8,89945.48350000002,100839.88350000001,0.00022457666450160032,1
2026-05-14,RELI,Q-Learning,BUY,1361.8,9,88582.32170000001,100609.92170000002,-0.0022804647528176687,1
2026-05-15,RELI,Q-Learning,BUY,1336.4,10,87244.58530000002,100603.58530000002,-6.297987209347105e-05,1
