Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,RELI,SARSA,BUY,1221.25,1,98777.52875,100019.32875,0.00019328750000000583,1
2025-01-02,RELI,SARSA,SELL,1241.8,0,100018.08695,100018.08695,-1.241560021970676e-05,0
2025-01-03,RELI,SARSA,BUY,1251.15,1,98765.68579999999,99983.68579999999,-0.00034394929006393226,1
2025-01-06,RELI,SARSA,SELL,1218.0,0,99982.4678,99982.4678,-1.2181987393722195e-05,0
2025-01-07,RELI,SARSA,BUY,1240.85,1,98740.37695,100005.87695,0.00023413254858675107,1
2025-01-08,RELI,SARSA,SELL,1265.5,0,100004.61145000001,100004.61145000001,-1.2654256315624086e-05,0
2025-01-09,RELI,SARSA,BUY,1254.75,1,98748.60670000002,99990.50670000001,-0.00014104099596497758,1
2025-01-10,RELI,SARSA,SELL,1241.9,0,99989.26480000002,99989.26480000002,-1.242017908479726e-05,0
2025-01-13,RELI,SARSA,BUY,1239.85,1,98748.17495000002,99986.92495000002,-2.3401012145495186e-05,1
2025-01-14,RELI,SARSA,SELL,1238.75,0,99985.68620000001,99985.68620000001,-1.2389119883660092e-05,0
2025-01-15,RELI,SARSA,BUY,1252.2,1,98732.23400000001,99998.68400000001,0.00012999660745437148,1
2025-01-16,RELI,SARSA,SELL,1266.45,0,99997.41755000001,99997.41755000001,-1.2664666666968633e-05,0
2025-01-17,RELI,SARSA,BUY,1302.35,1,98693.76520000001,99999.2152,1.7976964246044717e-05,1
2025-01-20,RELI,SARSA,BUY,1305.45,2,97387.00975000001,99934.40975,-0.0006480595859716291,1
2025-01-21,RELI,SARSA,SELL,1273.7,1,98659.43605000002,99936.53605000002,2.127695560855695e-05,1
2025-01-22,RELI,SARSA,SELL,1277.1,0,99935.25895000002,99935.25895000002,-1.277911012812828e-05,0
2025-01-23,RELI,SARSA,BUY,1263.65,1,98670.34530000002,99916.64530000002,-0.0001862570847923872,1
2025-01-24,RELI,SARSA,BUY,1246.3,2,97422.79900000001,99881.49900000001,-0.0003517562053297601,1
2025-01-27,RELI,SARSA,BUY,1229.35,3,96192.21965000001,99895.41965000001,0.0001393716568070331,1
2025-01-28,RELI,SARSA,BUY,1234.4,4,94956.58525000002,99898.58525000002,3.16891406142418e-05,1
2025-01-29,RELI,SARSA,BUY,1235.5,5,93719.84975000002,99985.09975000002,0.0008660232753396752,1
2025-01-30,RELI,SARSA,BUY,1253.05,6,92465.54670000002,100056.14670000003,0.0007105753775077225,1
2025-01-31,RELI,SARSA,BUY,1265.1,7,91199.18160000003,100051.38160000002,-4.762426054934381e-05,1
2025-02-01,RELI,SARSA,SELL,1264.6,6,92462.51700000002,99937.91700000002,-0.0011340633001314456,1
2025-02-03,RELI,SARSA,SELL,1245.9,5,93707.17110000002,100133.17110000002,0.001953753949064253,1
2025-02-04,RELI,SARSA,SELL,1285.2,4,94991.08590000002,100103.88590000002,-0.00029246252443910104,1
2025-02-05,RELI,SARSA,SELL,1278.2,3,96268.00770000002,100112.65770000001,8.762696793559445e-05,1
2025-02-06,RELI,SARSA,SELL,1281.55,2,97548.27615000002,100081.67615000001,-0.00030946686175125667,1
2025-02-07,RELI,SARSA,SELL,1266.7,1,98813.70945000002,100067.35945000002,-0.00014305016213495702,1
2025-02-10,RELI,SARSA,SELL,1253.65,0,100066.10580000002,100066.10580000002,-1.2528061166889744e-05,0
2025-02-11,RELI,SARSA,BUY,1234.85,1,98830.02095000002,100046.57095000002,-0.00019521944862169668,1
2025-02-12,RELI,SARSA,BUY,1216.55,2,97612.25440000002,100044.45440000002,-2.115564761398851e-05,1
2025-02-13,RELI,SARSA,SELL,1216.1,1,98827.13830000002,100044.38830000002,-6.607062869480533e-07,1
2025-02-14,RELI,SARSA,SELL,1217.25,0,100043.17105000002,100043.17105000002,-1.2167099231506952e-05,0
2025-02-17,RELI,SARSA,BUY,1224.9,1,98817.04615000002,100042.44615000002,-7.24587188103801e-06,1
2025-02-18,RELI,SARSA,SELL,1225.4,0,100041.22075000002,100041.22075000002,-1.22488008555728e-05,0
2025-02-19,RELI,SARSA,BUY,1227.45,1,98812.54330000002,100045.54330000002,4.3207689466315666e-05,1
2025-02-20,RELI,SARSA,SELL,1233.0,0,100044.31030000003,100044.31030000003,-1.2324387067353739e-05,0
2025-02-21,RELI,SARSA,BUY,1228.15,1,98814.93215000002,100029.48215000003,-0.00014821582512325224,1
2025-02-24,RELI,SARSA,BUY,1214.55,2,97599.16760000002,100007.16760000002,-0.00022307973129909932,1
2025-02-25,RELI,SARSA,BUY,1204.0,3,96393.96360000002,100015.26360000002,8.09541975269881e-05,1
2025-02-27,RELI,SARSA,BUY,1207.1,4,95185.65650000001,99986.0565,-0.00029202642625454395,1
2025-02-28,RELI,SARSA,BUY,1200.1,5,93984.35640000002,99840.60640000002,-0.0014547038366293332,1
2025-03-03,RELI,SARSA,BUY,1171.25,6,92811.93515000002,99783.33515000001,-0.0005736268244461026,1
2025-03-04,RELI,SARSA,BUY,1161.9,7,91648.87325000002,99878.07325000002,0.0009494380986322673,1
2025-03-05,RELI,SARSA,SELL,1175.6,6,92823.29765000002,100080.89765000003,0.0020307199908866105,1
2025-03-06,RELI,SARSA,SELL,1209.6,5,94031.68805000003,100280.68805000003,0.0019962890490720733,1
2025-03-07,RELI,SARSA,SELL,1249.8,4,95280.23825000002,100233.83825000003,-0.00046718666286610415,1
2025-03-10,RELI,SARSA,SELL,1238.4,3,96517.39985000003,100259.29985000002,0.0002540219994019343,1
2025-03-11,RELI,SARSA,SELL,1247.3,2,97763.45255000003,100277.55255000004,0.00018205493183495259,1
2025-03-12,RELI,SARSA,SELL,1257.05,1,99019.24550000003,100267.14550000003,-0.00010378244916597628,1
2025-03-13,RELI,SARSA,SELL,1247.9,0,100265.89760000004,100265.89760000004,-1.244575173417664e-05,0
2025-03-17,RELI,SARSA,BUY,1238.85,1,99025.80875000004,100264.60875000004,-1.2854320669814481e-05,1
2025-03-18,RELI,SARSA,SELL,1238.8,0,100263.36995000004,100263.36995000004,-1.2355306777242562e-05,0
2025-03-19,RELI,SARSA,BUY,1247.15,1,99014.97280000003,100284.12280000003,0.00020698336800706988,1
2025-03-20,RELI,SARSA,SELL,1269.15,0,100282.85365000003,100282.85365000003,-1.26555427176036e-05,0
2025-03-21,RELI,SARSA,BUY,1276.35,1,99005.22730000003,100307.32730000003,0.00024404620639751707,1
2025-03-24,RELI,SARSA,BUY,1302.1,2,97701.82520000002,100272.72520000002,-0.00034496084116098505,1
2025-03-27,RELI,SARSA,SELL,1278.2,1,98978.74700000002,100253.84700000002,-4.366923503042342e-05,1
2025-03-28,RELI,SARSA,SELL,1275.1,0,100252.57190000002,100252.57190000002,-1.2718713926248922e-05,0
2025-04-01,RELI,SARSA,BUY,1252.6,1,98998.71930000003,100249.86930000002,-2.6957911889781323e-05,1
2025-04-02,RELI,SARSA,SELL,1251.15,0,100248.61815000002,100248.61815000002,-1.2480315522929208e-05,0
2025-04-03,RELI,SARSA,BUY,1248.7,1,98998.66945000003,100203.36945000003,-0.00045136482512199547,1
2025-04-04,RELI,SARSA,BUY,1204.7,2,97792.76475000003,100124.16475000003,-0.0007904394875615834,1
2025-04-07,RELI,SARSA,BUY,1165.7,3,96625.89905000004,100172.49905000004,0.00048274360261284276,1
2025-04-08,RELI,SARSA,BUY,1182.2,4,95442.51685000004,100183.91685000004,0.0001139813831967649,1
2025-04-09,RELI,SARSA,BUY,1185.35,5,94255.98150000004,100350.73150000004,0.0016650841297187733,1
2025-04-11,RELI,SARSA,BUY,1218.95,6,93035.81255000003,100476.41255000004,0.0012524178759972385,1
2025-04-15,RELI,SARSA,BUY,1240.1,7,91794.47245000003,100469.57245000004,-6.807667418059358e-05,1
2025-04-16,RELI,SARSA,BUY,1239.3,8,90553.93315000003,100749.93315000003,0.0027905035640468684,1
2025-04-17,RELI,SARSA,BUY,1274.5,9,89278.15865000003,100937.65865000003,0.001863281633353624,1
2025-04-21,RELI,SARSA,BUY,1295.5,10,87981.36315000003,100893.36315000003,-0.00043884017711949265,1
2025-04-22,RELI,SARSA,BUY,1291.2,11,86688.87195000003,100988.87195000003,0.0009466311461736217,1
2025-04-23,RELI,SARSA,BUY,1300.0,12,85387.57195000003,101006.77195000002,0.0001772472516462659,1
2025-04-24,RELI,SARSA,BUY,1301.6,13,84084.67035000003,100989.87035000003,-0.00016733135485573166,1
2025-04-25,RELI,SARSA,BUY,1300.4,14,82782.96995000003,101946.16995000002,0.009469262577382823,1
2025-05-19,RELI,SARSA,BUY,1440.8,15,81340.72915000003,102709.72915000003,-0.0023742680856803566,1
2025-05-20,RELI,SARSA,BUY,1424.6,16,79914.70455000002,102781.90455000002,0.0007027123973288444,1
2025-05-21,RELI,SARSA,BUY,1429.2,17,78484.07535000003,102443.87535000003,-0.0032888007035863968,1
2025-05-22,RELI,SARSA,BUY,1409.4,18,77073.26595000003,102755.66595000002,0.0030435260178781677,1
2025-05-23,RELI,SARSA,BUY,1426.8,19,75645.03915000003,102906.23915000002,0.001465351799415776,1
2025-05-26,RELI,SARSA,BUY,1434.8,20,74208.80435000002,102650.80435000002,-0.0024822090682730257,1
2025-05-27,RELI,SARSA,BUY,1422.1,21,72785.28225000002,102456.18225000001,-0.0018959627372857283,1
2025-05-28,RELI,SARSA,BUY,1412.9,22,71370.96935000001,102562.56935,0.001038366818513703,1
2025-05-29,RELI,SARSA,BUY,1417.8,23,69951.75155000002,102632.45155000001,0.0006813616355644398,1
2025-05-30,RELI,SARSA,SELL,1420.9,22,71371.23065000001,102472.63065,-0.0015572160421613358,1
2025-06-02,RELI,SARSA,SELL,1413.7,21,72783.51695000002,102299.01695000002,-0.0016942445890061391,1
