Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2026-02-11,SBIc1_NS,Double Q-Learning,BUY,1180.1,1,98818.7199,100008.3199,8.319900000002235e-05,1
2026-02-12,SBIc1_NS,Double Q-Learning,SELL,1189.6,0,100007.13029999999,100007.13029999999,-1.1895010347158459e-05,0
2026-02-13,SBIc1_NS,Double Q-Learning,BUY,1194.2,1,98811.7361,100016.7361,9.605115126480958e-05,1
2026-02-16,SBIc1_NS,Double Q-Learning,SELL,1205.0,0,100015.5311,100015.5311,-1.204798363742792e-05,0
2026-02-17,SBIc1_NS,Double Q-Learning,BUY,1208.8,1,98805.5223,100020.1223,4.590487046876112e-05,1
2026-02-18,SBIc1_NS,Double Q-Learning,SELL,1214.6,0,100018.9077,100018.9077,-1.2143556437209159e-05,0
2026-02-19,SBIc1_NS,Double Q-Learning,BUY,1204.0,1,98813.7037,100027.7037,8.794337193108635e-05,1
2026-02-20,SBIc1_NS,Double Q-Learning,SELL,1214.0,0,100026.4897,100026.4897,-1.2136637702227547e-05,0
2026-02-23,SBIc1_NS,Double Q-Learning,BUY,1227.2,1,98798.0625,100021.3625,-5.1258421797867314e-05,1
2026-02-24,SBIc1_NS,Double Q-Learning,SELL,1223.3,0,100020.1392,100020.1392,-1.2230387283494909e-05,0
2026-02-25,SBIc1_NS,Double Q-Learning,BUY,1207.5,1,98811.4317,100028.6317,8.49079002280874e-05,1
2026-02-26,SBIc1_NS,Double Q-Learning,SELL,1217.2,0,100027.4145,100027.4145,-1.2168515947010985e-05,0
2026-02-27,SBIc1_NS,Double Q-Learning,BUY,1208.3,1,98817.9062,100013.9062,-0.0001350459778204237,1
2026-03-02,SBIc1_NS,Double Q-Learning,SELL,1196.0,0,100012.7102,100012.7102,-1.1958337049695943e-05,0
2026-04-22,SBIc1_NS,Double Q-Learning,BUY,1105.5,1,98906.1047,100000.2047,-0.0001250391072793796,1
2026-04-23,SBIc1_NS,Double Q-Learning,SELL,1094.1,0,99999.1106,99999.1106,-1.0940977603839567e-05,0
2026-04-24,SBIc1_NS,Double Q-Learning,BUY,1103.0,1,98895.0076,100007.2576,8.147072460059666e-05,1
2026-04-27,SBIc1_NS,Double Q-Learning,SELL,1112.25,0,100006.14534999999,100006.14534999999,-1.1121692832076899e-05,0
