Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SBIc1_NS,Expected SARSA,BUY,798.9,1,99200.3011,100006.0011,6.0010999999940395e-05,1
2025-01-16,SBIc1_NS,Expected SARSA,SELL,767.8,0,99967.3333,99967.3333,-7.68044997907281e-06,0
2025-01-17,SBIc1_NS,Expected SARSA,BUY,765.9,1,99200.6674,99980.5674,0.0001323842455643607,1
2025-01-20,SBIc1_NS,Expected SARSA,SELL,779.9,0,99979.7875,99979.7875,-7.800515842982565e-06,0
2025-01-21,SBIc1_NS,Expected SARSA,BUY,761.2,1,99217.8263,99972.9763,-6.812576992135547e-05,1
2025-01-22,SBIc1_NS,Expected SARSA,SELL,755.15,0,99972.22115,99972.22115,-7.55354124629807e-06,0
2025-01-23,SBIc1_NS,Expected SARSA,BUY,747.75,1,99223.7234,99967.2234,-4.999138703236658e-05,1
2025-01-24,SBIc1_NS,Expected SARSA,SELL,743.5,0,99966.4799,99966.4799,-7.43743773918659e-06,0
2025-01-27,SBIc1_NS,Expected SARSA,BUY,748.05,1,99217.68185000001,99969.48185000001,3.0029565940585933e-05,1
2025-01-28,SBIc1_NS,Expected SARSA,SELL,751.8,0,99968.73005000001,99968.73005000001,-7.5202950549071374e-06,0
2025-01-29,SBIc1_NS,Expected SARSA,BUY,757.35,1,99210.6227,99973.22270000001,4.4940552888419326e-05,1
2025-01-30,SBIc1_NS,Expected SARSA,SELL,762.6,0,99972.46010000001,99972.46010000001,-7.628042583865202e-06,0
2025-02-06,SBIc1_NS,Expected SARSA,BUY,756.0,1,99215.70410000002,99955.45410000002,-0.00017010684725556679,1
2025-02-07,SBIc1_NS,Expected SARSA,SELL,739.75,0,99954.71435000002,99954.71435000002,-7.400796751453748e-06,0
2025-02-10,SBIc1_NS,Expected SARSA,BUY,739.95,1,99214.02440000002,99947.27440000002,-7.443320756185976e-05,1
2025-02-11,SBIc1_NS,Expected SARSA,SELL,733.25,0,99946.54115000002,99946.54115000002,-7.336368144169951e-06,0
2025-02-12,SBIc1_NS,Expected SARSA,BUY,734.05,1,99211.75710000002,99941.90710000001,-4.636528634895982e-05,1
2025-02-13,SBIc1_NS,Expected SARSA,SELL,730.15,0,99941.17695000002,99941.17695000002,-7.305744118510003e-06,0
2025-02-14,SBIc1_NS,Expected SARSA,BUY,724.35,1,99216.10260000003,99944.65260000003,3.477695686680213e-05,1
2025-02-17,SBIc1_NS,Expected SARSA,SELL,728.55,0,99943.92405000003,99943.92405000003,-7.289534567853543e-06,0
2025-02-18,SBIc1_NS,Expected SARSA,BUY,725.9,1,99217.29815000003,99944.44815000003,5.243940589453843e-06,1
2025-03-04,SBIc1_NS,Expected SARSA,SELL,718.0,0,99934.58015000004,99934.58015000004,-7.1846486004953244e-06,0
2025-03-20,SBIc1_NS,Expected SARSA,BUY,749.8,1,99184.03035000004,99936.98035000004,2.4017712351430516e-05,1
2025-03-21,SBIc1_NS,Expected SARSA,SELL,752.95,0,99936.22740000005,99936.22740000005,-7.534248056701445e-06,0
2025-03-24,SBIc1_NS,Expected SARSA,BUY,780.2,1,99155.24720000004,99929.34720000005,-6.884590482349548e-05,1
2025-03-25,SBIc1_NS,Expected SARSA,SELL,774.1,0,99928.57310000004,99928.57310000004,-7.746473100242957e-06,0
2025-03-28,SBIc1_NS,Expected SARSA,BUY,775.55,1,99152.24755000004,99928.24755000004,-3.257826964749377e-06,1
2025-04-01,SBIc1_NS,Expected SARSA,SELL,776.0,0,99927.47155000005,99927.47155000005,-7.765571988138209e-06,0
2025-04-02,SBIc1_NS,Expected SARSA,BUY,778.25,1,99148.44330000004,99931.39330000004,3.924596448967252e-05,1
