Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SBIc1_NS,Policy Iteration,BUY,798.9,1,99200.3011,100006.0011,6.0010999999940395e-05,1
2025-01-02,SBIc1_NS,Policy Iteration,BUY,805.7,2,98393.7954,99989.4954,-0.00016504709535870293,1
2025-01-03,SBIc1_NS,Policy Iteration,BUY,797.85,3,97595.14755000001,99934.69755000001,-0.0005480360689967849,1
2025-01-06,SBIc1_NS,Policy Iteration,BUY,779.85,4,96814.51770000001,99945.11770000002,0.00010426959059731879,1
2025-01-07,SBIc1_NS,Policy Iteration,BUY,782.65,5,96031.08505000001,99907.08505000001,-0.00038053534655058276,1
2025-01-08,SBIc1_NS,Policy Iteration,BUY,775.2,6,95255.10985000001,99841.20985000001,-0.0006593646483332659,1
2025-01-09,SBIc1_NS,Policy Iteration,BUY,764.35,7,94489.9955,99714.4455,-0.0012696595943745186,1
2025-01-10,SBIc1_NS,Policy Iteration,BUY,746.35,8,93742.89915,99588.09915,-0.0012670817088383354,1
2025-01-13,SBIc1_NS,Policy Iteration,BUY,730.65,9,93011.51849999999,99766.46849999999,0.0017910709364111163,1
2025-01-14,SBIc1_NS,Policy Iteration,BUY,750.55,10,92260.21794999999,99808.21794999999,0.00041847176338614196,1
2025-01-15,SBIc1_NS,Policy Iteration,BUY,754.8,11,91504.66315,99950.46315,0.001425185249487814,1
2025-02-19,SBIc1_NS,Policy Iteration,BUY,727.15,12,90776.786,99548.786,0.0004569983507127629,1
2025-02-20,SBIc1_NS,Policy Iteration,BUY,731.0,13,90045.055,99431.70499999999,-0.0011761168036745883,1
2025-02-21,SBIc1_NS,Policy Iteration,BUY,722.05,14,89322.28295,99349.08295,-0.0008309427058501196,1
2025-02-24,SBIc1_NS,Policy Iteration,BUY,716.2,15,88605.36674999999,99285.36674999999,-0.0006413365690760999,1
2025-02-25,SBIc1_NS,Policy Iteration,BUY,712.0,16,87892.65474999999,99155.05474999998,-0.0013124995582494072,1
2025-02-27,SBIc1_NS,Policy Iteration,BUY,703.9,17,87188.05084999999,98967.35084999999,-0.0018930341017233234,1
2025-02-28,SBIc1_NS,Policy Iteration,BUY,692.9,18,86494.45794999998,99050.35794999998,0.0008387321605263317,1
2025-03-03,SBIc1_NS,Policy Iteration,BUY,697.55,19,85796.21039999998,99438.21039999998,0.003915709726115189,1
2025-03-20,SBIc1_NS,Policy Iteration,BUY,749.8,20,85045.66059999999,100104.66059999999,0.000622238106330248,1
2025-03-21,SBIc1_NS,Policy Iteration,BUY,752.95,21,84291.95764999998,100676.15764999998,0.005708995431127718,1
2025-03-24,SBIc1_NS,Policy Iteration,BUY,780.2,22,83510.97744999998,100541.17744999997,-0.0013407365075379935,1
2025-03-25,SBIc1_NS,Policy Iteration,BUY,774.1,23,82736.10334999998,100310.40334999998,-0.0022953192498144466,1
2025-03-28,SBIc1_NS,Policy Iteration,BUY,775.55,24,81959.77779999998,100583.77779999998,9.967262497528848e-05,1
2025-04-01,SBIc1_NS,Policy Iteration,BUY,776.0,25,81183.00179999998,100639.25179999998,0.0005515203466537721,1
2025-04-02,SBIc1_NS,Policy Iteration,BUY,778.25,26,80403.97354999998,100760.67354999998,0.0012065048957368549,1
2025-04-03,SBIc1_NS,Policy Iteration,BUY,782.95,27,79620.24059999998,100425.09059999997,-0.0033304953031450925,1
2025-04-04,SBIc1_NS,Policy Iteration,BUY,770.55,28,78848.92004999997,99847.52004999998,-0.005751257445218472,1
2025-04-17,SBIc1_NS,Policy Iteration,BUY,795.85,29,78052.27419999997,101729.32419999997,0.005899219853921049,1
2025-04-21,SBIc1_NS,Policy Iteration,BUY,816.45,30,77235.00774999998,101902.50774999998,0.001702395561573991,1
2025-04-22,SBIc1_NS,Policy Iteration,BUY,822.25,31,76411.93549999998,101650.58549999997,-0.0024721889143106326,1
2025-04-23,SBIc1_NS,Policy Iteration,BUY,814.15,32,75596.97134999998,101625.77134999998,-0.0002441122191075925,1
2025-04-24,SBIc1_NS,Policy Iteration,BUY,813.4,33,74782.75794999998,100993.00794999998,-0.006226406861117481,1
2025-04-25,SBIc1_NS,Policy Iteration,BUY,794.25,34,73987.71369999998,101731.71369999998,0.007314424681416709,1
2025-04-28,SBIc1_NS,Policy Iteration,BUY,816.0,35,73170.89769999997,101461.39769999997,-0.002657145841434953,1
2025-04-29,SBIc1_NS,Policy Iteration,BUY,808.3,36,72361.78939999998,100612.78939999998,-0.008363853832460981,1
2025-05-02,SBIc1_NS,Policy Iteration,BUY,794.4,37,71566.59499999999,100367.39499999999,-0.005871565847121761,1
