Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SBIc1_NS,SARSA,BUY,798.9,1,99200.3011,100006.0011,6.0010999999940395e-05,1
2025-01-02,SBIc1_NS,SARSA,BUY,805.7,2,98393.7954,99989.4954,-0.00016504709535870293,1
2025-01-03,SBIc1_NS,SARSA,BUY,797.85,3,97595.14755000001,99934.69755000001,-0.0005480360689967849,1
2025-01-06,SBIc1_NS,SARSA,BUY,779.85,4,96814.51770000001,99945.11770000002,0.00010426959059731879,1
2025-01-07,SBIc1_NS,SARSA,BUY,782.65,5,96031.08505000001,99907.08505000001,-0.00038053534655058276,1
2025-01-08,SBIc1_NS,SARSA,BUY,775.2,6,95255.10985000001,99841.20985000001,-0.0006593646483332659,1
2025-01-09,SBIc1_NS,SARSA,BUY,764.35,7,94489.9955,99714.4455,-0.0012696595943745186,1
2025-01-10,SBIc1_NS,SARSA,BUY,746.35,8,93742.89915,99588.09915,-0.0012670817088383354,1
2025-01-13,SBIc1_NS,SARSA,BUY,730.65,9,93011.51849999999,99766.46849999999,0.0017910709364111163,1
2025-01-14,SBIc1_NS,SARSA,BUY,750.55,10,92260.21794999999,99808.21794999999,0.00041847176338614196,1
2025-01-15,SBIc1_NS,SARSA,BUY,754.8,11,91504.66315,99950.46315,0.001425185249487814,1
2025-01-16,SBIc1_NS,SARSA,SELL,767.8,10,92271.69535,99930.69535,-0.00019777597198659348,1
2025-01-17,SBIc1_NS,SARSA,SELL,765.9,9,93036.82944999999,100055.92945,0.001253209532480267,1
2025-01-20,SBIc1_NS,SARSA,SELL,779.9,8,93815.94954999999,99905.54955,-0.0015029584036311194,1
2025-01-21,SBIc1_NS,SARSA,SELL,761.2,7,94576.38835,99862.43835,-0.0004315195721777537,1
2025-01-22,SBIc1_NS,SARSA,SELL,755.15,6,95330.78319999999,99817.28319999999,-0.0004521735173513912,1
2025-01-23,SBIc1_NS,SARSA,SELL,747.75,5,96077.78545,99795.28545,-0.00022038017159732711,1
2025-01-24,SBIc1_NS,SARSA,SELL,743.5,4,96820.54195,99812.74195,0.0001749230930227299,1
2025-01-27,SBIc1_NS,SARSA,SELL,748.05,3,97567.84389999999,99823.24389999999,0.00010521652641555106,1
2025-01-28,SBIc1_NS,SARSA,SELL,751.8,2,98318.8921,99833.5921,0.0001036652346258569,1
2025-01-29,SBIc1_NS,SARSA,SELL,757.35,1,99075.48475,99838.08475000001,4.5001385861329655e-05,1
2025-01-30,SBIc1_NS,SARSA,BUY,762.6,2,98312.12215000001,99863.72215000002,0.0002567897818172728,1
2025-01-31,SBIc1_NS,SARSA,BUY,775.8,3,97535.54635,99846.44635,-0.00017299375216626273,1
2025-02-01,SBIc1_NS,SARSA,BUY,770.3,4,96764.47605,99824.87604999999,-0.00021603472921203953,1
2025-02-03,SBIc1_NS,SARSA,BUY,765.1,5,95998.61095,99904.36095,0.0007962434129164179,1
