Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SHMF,Expected SARSA,BUY,583.73,1,99415.68627,100027.69627,0.00027696270000000366,1
2025-01-06,SHMF,Expected SARSA,BUY,593.91,2,98821.18236,100004.54236,-5.053425059689385e-05,1
2025-01-07,SHMF,Expected SARSA,BUY,591.68,3,98228.91068,99968.16068,-0.0003638002748818926,1
2025-01-08,SHMF,Expected SARSA,BUY,579.75,4,97648.58093,99896.46093,-0.0007172258598366338,1
2025-01-09,SHMF,Expected SARSA,BUY,561.97,5,97086.04896,99746.04896,-0.0015056786656876516,1
2025-01-10,SHMF,Expected SARSA,SELL,532.0,4,97617.51696,99701.91695999999,-0.0004424435900985921,1
2025-01-13,SHMF,Expected SARSA,SELL,521.1,3,98138.09585999999,99770.39585999999,0.0006868363426500149,1
2025-01-14,SHMF,Expected SARSA,SELL,544.1,2,98681.65176,99748.05175999999,-0.00022395521043492504,1
2025-01-15,SHMF,Expected SARSA,SELL,533.2,1,99214.31856,99761.11856,0.0001309980472746936,1
2025-01-16,SHMF,Expected SARSA,SELL,546.8,0,99760.57176,99760.57176,-5.481093314602042e-06,0
2025-01-17,SHMF,Expected SARSA,BUY,526.5,1,99233.54526000001,99750.24526000001,-0.000103512838968472,1
2025-01-20,SHMF,Expected SARSA,SELL,516.7,0,99749.72856000002,99749.72856000002,-5.179937138460847e-06,0
2025-01-21,SHMF,Expected SARSA,BUY,520.3,1,99228.90826000001,99747.55826,-2.175745269028031e-05,1
2025-01-24,SHMF,Expected SARSA,SELL,527.45,0,99755.83081000001,99755.83081000001,-5.287382270104661e-06,0
2025-01-28,SHMF,Expected SARSA,BUY,530.1,1,99225.20071000002,99778.70071000002,0.00022925877930448307,1
2025-01-29,SHMF,Expected SARSA,SELL,553.5,0,99778.14721000002,99778.14721000002,-5.547276082530263e-06,0
2025-01-30,SHMF,Expected SARSA,BUY,538.3,1,99239.30891000002,99783.05891000002,4.922620971964353e-05,1
2025-01-31,SHMF,Expected SARSA,SELL,543.75,0,99782.51516000002,99782.51516000002,-5.449321818120734e-06,0
2025-02-01,SHMF,Expected SARSA,BUY,531.8,1,99250.18336000002,99796.33336000002,0.0001384831799222232,1
2025-02-03,SHMF,Expected SARSA,SELL,546.15,0,99795.78721000002,99795.78721000002,-5.472645954080452e-06,0
2025-02-04,SHMF,Expected SARSA,BUY,576.75,1,99218.46046000003,99789.76046000003,-6.0390825790149975e-05,1
2025-02-05,SHMF,Expected SARSA,SELL,571.3,0,99789.18916000004,99789.18916000004,-5.72503628992048e-06,0
2025-02-06,SHMF,Expected SARSA,BUY,566.35,1,99222.27281000004,99781.82281000004,-7.381911870418687e-05,1
2025-02-07,SHMF,Expected SARSA,SELL,559.55,0,99781.26326000004,99781.26326000004,-5.607734798259509e-06,0
2025-02-10,SHMF,Expected SARSA,BUY,560.8,1,99219.90246000004,99758.45246000004,-0.00022860804979542014,1
2025-02-11,SHMF,Expected SARSA,SELL,538.55,0,99757.91391000005,99757.91391000005,-5.39854004063893e-06,0
2025-02-12,SHMF,Expected SARSA,BUY,547.15,1,99210.21676000004,99758.86676000003,9.551623150886895e-06,1
2025-02-13,SHMF,Expected SARSA,SELL,548.65,0,99758.31811000004,99758.31811000004,-5.49976175367889e-06,0
2025-02-14,SHMF,Expected SARSA,BUY,539.15,1,99218.62896000003,99768.97896000004,0.00010686677764800386,1
2025-02-17,SHMF,Expected SARSA,SELL,550.35,0,99768.42861000003,99768.42861000003,-5.516243683576557e-06,0
2025-02-18,SHMF,Expected SARSA,BUY,553.35,1,99214.52526000004,99772.32526000004,3.905694470985298e-05,1
2025-02-19,SHMF,Expected SARSA,SELL,557.8,0,99771.76746000003,99771.76746000003,-5.5907286770755615e-06,0
2025-02-20,SHMF,Expected SARSA,BUY,580.85,1,99190.33661000003,99775.43661000003,3.677543350600212e-05,1
2025-02-21,SHMF,Expected SARSA,SELL,585.1,0,99774.85151000002,99774.85151000002,-5.86416877631093e-06,0
2025-02-24,SHMF,Expected SARSA,BUY,577.2,1,99197.07431000003,99771.32431000003,-3.535159357910238e-05,1
2025-02-25,SHMF,Expected SARSA,SELL,574.25,0,99770.75006000002,99770.75006000002,-5.755661799385031e-06,0
2025-02-27,SHMF,Expected SARSA,BUY,606.8,1,99163.34326000002,99780.64326000003,9.915932268782513e-05,1
2025-04-01,SHMF,Expected SARSA,BUY,637.45,2,98525.25581000002,99804.05581000002,3.26906219222116e-05,1
2025-04-02,SHMF,Expected SARSA,BUY,639.4,3,97885.21641000002,99847.66641000002,0.00043696220204740766,1
2025-04-07,SHMF,Expected SARSA,SELL,614.0,2,98498.60241000002,99781.50241000002,0.0005443448835151616,1
2025-04-08,SHMF,Expected SARSA,SELL,641.45,1,99139.41096000002,99763.96096000003,-0.00017579861573853914,1
2025-04-09,SHMF,Expected SARSA,SELL,624.55,0,99763.33641000002,99763.33641000002,-6.260276697094463e-06,0
2025-04-11,SHMF,Expected SARSA,BUY,638.8,1,99123.89761000001,99795.89761000001,0.0003263844331165794,1
2025-04-15,SHMF,Expected SARSA,SELL,672.0,0,99795.22561000001,99795.22561000001,-6.733743731952761e-06,0
2025-04-16,SHMF,Expected SARSA,BUY,676.05,1,99118.49956000001,99810.24956000001,0.00015054778330494636,1
2025-04-17,SHMF,Expected SARSA,SELL,691.75,0,99809.55781000001,99809.55781000001,-6.930650940636094e-06,0
2025-04-21,SHMF,Expected SARSA,BUY,703.0,1,99105.85481000002,99809.35481000002,-2.033873352895709e-06,1
2025-04-22,SHMF,Expected SARSA,SELL,703.5,0,99808.65131000002,99808.65131000002,-7.048437507110056e-06,0
2025-04-23,SHMF,Expected SARSA,BUY,703.9,1,99104.04741000001,99800.69741000001,-7.969148861959214e-05,1
2025-04-24,SHMF,Expected SARSA,SELL,696.65,0,99800.00076000001,99800.00076000001,-6.9804121421724656e-06,0
2025-04-25,SHMF,Expected SARSA,BUY,655.2,1,99144.14556,99766.14556,-0.0003392304583385799,1
2025-04-28,SHMF,Expected SARSA,SELL,622.0,0,99765.52356,99765.52356,-6.234579841805675e-06,0
2025-04-29,SHMF,Expected SARSA,BUY,614.7,1,99150.20886,99761.90886,-3.623195539921789e-05,1
2025-04-30,SHMF,Expected SARSA,SELL,611.7,0,99761.29716,99761.29716,-6.1315987934076135e-06,0
2025-05-02,SHMF,Expected SARSA,BUY,604.2,1,99156.49296,99785.34296000001,0.00024103335346012804,1
2025-05-05,SHMF,Expected SARSA,SELL,628.85,0,99784.71411,99784.71411,-6.302027746302613e-06,0
2025-05-06,SHMF,Expected SARSA,BUY,623.45,1,99160.64066,99797.29066,0.00012603683953169319,1
2025-05-07,SHMF,Expected SARSA,SELL,636.65,0,99796.65401,99796.65401,-6.379431703906465e-06,0
2025-05-08,SHMF,Expected SARSA,BUY,615.8,1,99180.23821,99781.68821,-0.0001499629436324165,1
2025-05-12,SHMF,Expected SARSA,SELL,645.95,0,99825.54226,99825.54226,-6.470746920959585e-06,0
2025-05-13,SHMF,Expected SARSA,BUY,633.6,1,99191.30866,99843.25865999999,0.0001774736164602753,1
2025-05-14,SHMF,Expected SARSA,SELL,651.95,0,99842.60671,99842.60671,-6.529734793809141e-06,0
2025-05-15,SHMF,Expected SARSA,BUY,674.8,1,99167.13191,99832.63191,-9.99052441506144e-05,1
2025-05-16,SHMF,Expected SARSA,SELL,665.5,0,99831.96641,99831.96641,-6.666157019708226e-06,0
2025-05-19,SHMF,Expected SARSA,BUY,677.8,1,99153.48861,99811.83861,-0.00020161678391993797,1
2025-05-20,SHMF,Expected SARSA,SELL,658.35,0,99811.18026,99811.18026,-6.595910957865814e-06,0
2025-05-21,SHMF,Expected SARSA,BUY,658.0,1,99152.52226,99802.27226,-8.924851882115005e-05,1
