Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SHMF,Monte Carlo,BUY,583.73,1,99415.68627,100027.69627,0.00027696270000000366,1
2025-01-10,SHMF,Monte Carlo,BUY,532.0,2,98883.15427,99925.35427,-0.0002234368881704922,1
2025-01-13,SHMF,Monte Carlo,BUY,521.1,3,98361.53317,99993.83317,0.0006853005475964662,1
2025-01-14,SHMF,Monte Carlo,BUY,544.1,4,97816.88906999999,99949.68907,-0.0004414682245949646,1
2025-01-15,SHMF,Monte Carlo,BUY,533.2,5,97283.15586999999,100017.15586999999,0.000675007602602387,1
2025-01-16,SHMF,Monte Carlo,BUY,546.8,6,96735.80906999999,99894.80906999999,-0.0012232581394238298,1
2025-01-17,SHMF,Monte Carlo,BUY,526.5,7,96208.78256999998,99825.68256999998,-0.0006919929137816715,1
2025-01-20,SHMF,Monte Carlo,BUY,516.7,8,95691.56586999998,99853.96586999997,0.00028332688814987697,1
2025-01-21,SHMF,Monte Carlo,BUY,520.3,9,95170.74556999997,99838.59556999998,-0.00015392778710467703,1
2025-01-24,SHMF,Monte Carlo,BUY,527.45,10,94642.76811999996,99759.26811999996,-0.001586578738008168,1
2025-01-28,SHMF,Monte Carlo,BUY,530.1,11,94112.13801999997,100200.63801999997,0.002570144240425155,1
2025-01-29,SHMF,Monte Carlo,BUY,553.5,12,93558.08451999997,100017.68451999998,-0.0018258716073591402,1
2025-01-30,SHMF,Monte Carlo,BUY,538.3,13,93019.24621999997,100087.99621999997,0.0007029926791189739,1
2025-01-31,SHMF,Monte Carlo,BUY,543.75,14,92474.95246999997,99920.15246999997,-0.001676961836972622,1
2025-02-01,SHMF,Monte Carlo,BUY,531.8,15,91942.62066999997,100134.87066999997,0.00214889784184897,1
2025-02-03,SHMF,Monte Carlo,BUY,546.15,16,91395.92451999997,100623.92451999997,0.004883951481913835,1
2025-02-04,SHMF,Monte Carlo,BUY,576.75,17,90818.59776999998,100530.69776999997,-0.0009264869209257677,1
2025-02-05,SHMF,Monte Carlo,BUY,571.3,18,90246.72646999998,100441.02646999998,-0.0008919792858211579,1
2025-02-06,SHMF,Monte Carlo,BUY,566.35,19,89679.81011999998,100311.26011999998,-0.0012919655897658943,1
2025-02-07,SHMF,Monte Carlo,BUY,559.55,20,89119.70056999999,100335.70056999999,0.00024364612677352094,1
2025-02-10,SHMF,Monte Carlo,BUY,560.8,21,88558.33976999999,99867.88977,-0.004662456108268463,1
2025-02-11,SHMF,Monte Carlo,BUY,538.55,22,88019.25121999999,100056.55122,0.0018891102078405278,1
2025-02-12,SHMF,Monte Carlo,BUY,547.15,23,87471.55406999998,100090.50406999998,0.00033933660101209055,1
2025-02-13,SHMF,Monte Carlo,BUY,548.65,24,86922.35541999998,99861.95541999998,-0.0022834199120443798,1
2025-02-14,SHMF,Monte Carlo,BUY,539.15,25,86382.66626999997,100141.41626999997,0.0027984716384195614,1
2025-02-17,SHMF,Monte Carlo,BUY,550.35,26,85831.76591999998,100218.86591999998,0.0007734027826328204,1
2025-02-18,SHMF,Monte Carlo,BUY,553.35,27,85277.86256999998,100338.46256999997,0.0011933546533589854,1
2025-02-19,SHMF,Monte Carlo,BUY,557.8,28,84719.50476999999,100983.30476999999,0.006426670127122457,1
2025-02-20,SHMF,Monte Carlo,BUY,580.85,29,84138.07391999998,101105.97391999999,0.0012147468364141314,1
2025-02-21,SHMF,Monte Carlo,BUY,585.1,30,83552.38881999998,100868.38881999998,-0.0023498621376022762,1
2025-02-24,SHMF,Monte Carlo,BUY,577.2,31,82974.61161999998,100776.36161999998,-0.0009123492610179359,1
2025-02-25,SHMF,Monte Carlo,BUY,574.25,32,82399.78736999998,101817.38736999998,0.01033005888747426,1
2025-02-27,SHMF,Monte Carlo,BUY,606.8,33,81792.38056999998,102163.28056999997,0.0033971918641266096,1
2025-04-07,SHMF,Monte Carlo,BUY,614.0,34,81177.76656999998,102987.06656999998,0.009139107942164855,1
2025-04-08,SHMF,Monte Carlo,BUY,641.45,35,80535.67511999997,102394.92511999997,-0.005749668086696434,1
2025-04-09,SHMF,Monte Carlo,BUY,624.55,36,79910.50056999997,102907.30056999998,0.005003914494781233,1
2025-04-11,SHMF,Monte Carlo,BUY,638.8,37,79271.06176999997,104135.06176999997,0.011930749258793756,1
2025-04-15,SHMF,Monte Carlo,BUY,672.0,38,78598.38976999997,104288.28976999996,0.001471435243764664,1
2025-04-16,SHMF,Monte Carlo,BUY,676.05,39,77921.66371999997,104899.91371999997,0.0058647423536132325,1
2025-04-17,SHMF,Monte Carlo,BUY,691.75,40,77229.22196999997,105349.22196999997,0.0042832089566756035,1
2025-04-21,SHMF,Monte Carlo,BUY,703.0,41,76525.51896999998,105369.01896999998,0.00018791785672269586,1
2025-04-22,SHMF,Monte Carlo,BUY,703.5,42,75821.31546999997,105385.11546999998,0.00015276311915348237,1
2025-04-23,SHMF,Monte Carlo,BUY,703.9,43,75116.71156999997,105072.66156999997,-0.002964876952561238,1
2025-04-24,SHMF,Monte Carlo,BUY,696.65,44,74419.36491999996,103248.16491999997,-0.017364142325304203,1
2025-04-25,SHMF,Monte Carlo,BUY,655.2,45,73763.50971999996,101753.50971999996,-0.014476336709307286,1
2025-04-28,SHMF,Monte Carlo,BUY,622.0,46,73140.88771999996,101417.08771999995,-0.0033062446782008265,1
2025-04-29,SHMF,Monte Carlo,BUY,614.7,47,72525.57301999995,101275.47301999995,-0.0013963593629407526,1
2025-04-30,SHMF,Monte Carlo,BUY,611.7,48,71913.26131999995,100914.86131999995,-0.0035607012166586492,1
2025-05-02,SHMF,Monte Carlo,BUY,604.2,49,71308.45711999995,102122.10711999994,0.01196301302116272,1
2025-05-05,SHMF,Monte Carlo,BUY,628.85,50,70678.97826999995,101851.47826999995,-0.0026500515670126908,1
2025-05-06,SHMF,Monte Carlo,BUY,623.45,51,70054.90481999995,102524.05481999995,0.006603503075498349,1
2025-05-07,SHMF,Monte Carlo,BUY,636.65,52,69417.61816999996,101439.21816999995,-0.010581288965839578,1
2025-05-08,SHMF,Monte Carlo,BUY,615.8,53,68801.20236999996,100678.05236999996,-0.00750366390565398,1
2025-05-12,SHMF,Monte Carlo,BUY,645.95,54,68154.60641999995,102369.00641999996,-0.0064787294862396995,1
2025-05-13,SHMF,Monte Carlo,BUY,633.6,55,67520.37281999995,103377.62281999995,0.009852751680150427,1
2025-05-14,SHMF,Monte Carlo,BUY,651.95,56,66867.77086999995,104656.57086999994,0.012371614040950458,1
2025-05-15,SHMF,Monte Carlo,BUY,674.8,57,66192.29606999995,104125.79606999995,-0.005071586003513254,1
2025-05-16,SHMF,Monte Carlo,BUY,665.5,58,65526.13056999995,104838.53056999994,0.006844936863876134,1
2025-05-19,SHMF,Monte Carlo,BUY,677.8,59,64847.65276999995,103690.30276999995,-0.010952345418780261,1
2025-05-20,SHMF,Monte Carlo,BUY,658.35,60,64188.64441999995,103668.64441999995,-0.00020887536656189756,1
2025-05-21,SHMF,Monte Carlo,BUY,658.0,61,63529.98641999995,103164.73641999994,-0.004860756141061255,1
2025-05-22,SHMF,Monte Carlo,BUY,649.75,62,62879.58666999995,103790.28666999996,0.00606360537241428,1
2025-05-23,SHMF,Monte Carlo,BUY,659.85,63,62219.07681999995,104082.57681999996,0.002816160927749761,1
2025-05-26,SHMF,Monte Carlo,BUY,664.5,64,61553.91231999995,103915.51231999995,-0.0016051149491516572,1
2025-05-27,SHMF,Monte Carlo,BUY,661.9,65,60891.35041999995,103511.85041999994,-0.003884520135520866,1
2025-05-28,SHMF,Monte Carlo,BUY,655.7,66,60234.99471999995,103283.49471999996,-0.0022060826762677985,1
2025-05-29,SHMF,Monte Carlo,BUY,652.25,67,59582.09246999995,102418.54246999996,-0.008374544764823024,1
2025-05-30,SHMF,Monte Carlo,BUY,639.35,68,58942.10311999995,102635.50311999995,0.002118372755241512,1
2025-06-02,SHMF,Monte Carlo,BUY,642.55,69,58298.91056999995,103028.16056999995,0.003825746823113532,1
2025-06-03,SHMF,Monte Carlo,BUY,648.25,70,57650.01231999995,102534.01231999995,-0.004796244514763141,1
2025-06-04,SHMF,Monte Carlo,BUY,641.2,71,57008.17111999995,103261.12111999995,0.007091391271520292,1
2025-06-05,SHMF,Monte Carlo,BUY,651.45,72,56356.069669999946,105910.06966999994,0.02565291293827459,1
2025-06-06,SHMF,Monte Carlo,BUY,688.25,73,55667.13141999995,106621.13141999995,0.006713825722290344,1
2025-07-02,SHMF,Monte Carlo,BUY,676.9,74,54989.55451999995,104969.15451999995,-0.0010627713779083777,1
2026-02-12,SHMF,Monte Carlo,BUY,1082.8,75,53905.67171999995,133840.67171999995,-0.009444297300754943,1
2026-02-13,SHMF,Monte Carlo,BUY,1065.8,76,52838.80591999995,135329.20591999995,0.011121688055437048,1
2026-02-16,SHMF,Monte Carlo,BUY,1085.4,77,51752.32051999995,134527.32051999995,-0.005925442291252599,1
2026-02-19,SHMF,Monte Carlo,BUY,1054.7,78,50696.56581999995,133321.96581999995,0.002690538090629951,1
2026-02-23,SHMF,Monte Carlo,BUY,1064.7,79,49630.80111999995,133505.10111999995,-0.0017800139434445551,1
2026-02-27,SHMF,Monte Carlo,BUY,1079.4,80,48550.321719999956,132750.32171999995,-0.01596015654256781,1
2026-03-04,SHMF,Monte Carlo,BUY,1010.0,81,47539.311719999954,131738.81171999994,0.01846528070622252,1
2026-03-05,SHMF,Monte Carlo,BUY,1039.5,82,46498.772219999955,129113.77221999996,-0.019926090616175368,1
2026-03-06,SHMF,Monte Carlo,BUY,1007.5,83,45490.264719999956,127427.86471999995,-0.013057534227466798,1
2026-03-09,SHMF,Monte Carlo,BUY,987.2,84,44502.077519999955,133785.67751999997,0.04989342648070087,1
2026-03-10,SHMF,Monte Carlo,BUY,1062.9,85,43438.11461999996,131132.61461999995,-0.019830694504674506,1
2026-03-11,SHMF,Monte Carlo,BUY,1031.7,86,42405.38291999996,131131.58291999996,-7.867607940114375e-06,1
2026-03-12,SHMF,Monte Carlo,BUY,1031.7,87,41372.65121999996,128685.85121999995,-0.01865097366735886,1
2026-03-13,SHMF,Monte Carlo,BUY,1003.6,88,40368.04761999996,127664.04761999997,-0.00794029483671146,1
2026-03-16,SHMF,Monte Carlo,BUY,992.0,89,39375.05561999996,128784.45561999996,0.008776221817241456,1
2026-03-17,SHMF,Monte Carlo,BUY,1004.6,90,38369.451019999964,130313.45101999996,0.011872515146638162,1
2026-03-18,SHMF,Monte Carlo,BUY,1021.6,91,37346.829419999965,123778.62941999997,-0.050146946066197406,1
2026-03-19,SHMF,Monte Carlo,BUY,949.8,92,36396.07961999997,122747.27961999996,-0.008332212150293587,1
2026-03-20,SHMF,Monte Carlo,BUY,938.6,93,35456.54101999997,117082.64101999998,-0.046148791382884566,1
2026-03-23,SHMF,Monte Carlo,BUY,877.7,94,34577.963319999966,119516.36331999997,0.020786363194389056,1
