Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-03-06,SUN,Double Q-Learning,BUY,1614.0,1,98384.386,99993.686,-6.313999999998487e-05,1
2025-03-07,SUN,Double Q-Learning,SELL,1609.3,0,99992.0767,99992.0767,-1.609401617614574e-05,0
2025-04-30,SUN,Double Q-Learning,BUY,1832.3,1,98157.94440000001,99987.3444,-4.732674984040316e-05,1
2025-05-02,SUN,Double Q-Learning,SELL,1829.4,0,99985.51500000001,99985.51500000001,-1.8296315508383477e-05,0
2025-05-05,SUN,Double Q-Learning,BUY,1836.6,1,98147.07840000001,99966.17840000002,-0.00019339401312275166,1
2025-05-06,SUN,Double Q-Learning,SELL,1819.1,0,99964.35930000001,99964.35930000001,-1.8197154568908605e-05,0
2026-02-09,SUN,Double Q-Learning,BUY,1704.6,1,98258.05470000001,99965.85470000001,1.4959331610499206e-05,1
2026-02-10,SUN,Double Q-Learning,SELL,1707.8,0,99964.1469,99964.1469,-1.708383332617844e-05,0
2026-05-04,SUN,Double Q-Learning,BUY,1823.5,1,98138.82340000001,99959.62340000001,-4.525122396653687e-05,1
2026-05-05,SUN,Double Q-Learning,SELL,1820.8,0,99957.80260000001,99957.80260000001,-1.82153547409356e-05,0
2026-05-06,SUN,Double Q-Learning,BUY,1850.2,1,98105.75240000001,99940.1524,-0.00017657651069656144,1
2026-05-07,SUN,Double Q-Learning,SELL,1834.4,0,99938.31800000001,99938.31800000001,-1.8354985017938157e-05,0
2026-05-08,SUN,Double Q-Learning,BUY,1847.9,1,98088.57010000001,99961.27010000001,0.00022966266052221299,1
2026-05-11,SUN,Double Q-Learning,SELL,1872.7,0,99959.39740000002,99959.39740000002,-1.873425575844718e-05,0
2026-05-12,SUN,Double Q-Learning,BUY,1845.7,1,98111.85170000001,99936.65170000002,-0.0002275493909690124,1
2026-05-13,SUN,Double Q-Learning,SELL,1824.8,0,99934.82690000001,99934.82690000001,-1.8259567125382706e-05,0
2026-05-14,SUN,Double Q-Learning,BUY,1863.2,1,98069.76370000001,99947.96370000001,0.00013145367243331808,1
2026-05-15,SUN,Double Q-Learning,SELL,1878.2,0,99946.08550000002,99946.08550000002,-1.879177854617883e-05,0
2026-05-18,SUN,Double Q-Learning,BUY,1905.8,1,98038.37970000002,99920.67970000002,-0.0002541950479890798,1
2026-05-19,SUN,Double Q-Learning,SELL,1882.3,0,99918.79740000002,99918.79740000002,-1.883794231233082e-05,0
