Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SUN,Expected SARSA,BUY,1889.95,1,98108.16005,99986.16005,-0.00013839949999994134,1
2025-01-09,SUN,Expected SARSA,SELL,1826.35,0,99932.68370000001,99932.68370000001,-1.8275468595275345e-05,0
2025-01-23,SUN,Expected SARSA,BUY,1833.6,1,98097.2501,99919.4501,-0.00013242514370708172,1
2025-01-27,SUN,Expected SARSA,SELL,1786.85,0,99882.31325,99882.31325,-1.7889233603898196e-05,0
2025-03-11,SUN,Expected SARSA,BUY,1655.3,1,98225.35795,99902.20795000001,0.00019918141012822784,1
2025-03-12,SUN,Expected SARSA,BUY,1676.85,2,96546.83110000001,99913.7311,0.00011534429755307144,1
2025-03-13,SUN,Expected SARSA,BUY,1683.45,3,94861.69765000002,99974.59765000001,0.0006091910424112477,1
2025-04-04,SUN,Expected SARSA,SELL,1709.35,2,96569.33830000002,99902.03830000001,-0.0008771834319156282,1
2025-04-07,SUN,Expected SARSA,SELL,1666.35,1,98234.02195000002,99922.37195000003,0.00020353588721537665,1
2025-04-08,SUN,Expected SARSA,SELL,1688.35,0,99920.68360000002,99920.68360000002,-1.6896616514028504e-05,0
2025-04-17,SUN,Expected SARSA,BUY,1751.5,1,98167.43210000002,99912.33210000001,-8.358129367325811e-05,1
2025-04-21,SUN,Expected SARSA,BUY,1744.9,2,96420.78720000002,99915.58720000002,3.2579561817768896e-05,1
2025-04-22,SUN,Expected SARSA,BUY,1747.4,3,94671.63980000002,100038.03980000001,0.001225560529958929,1
2025-04-23,SUN,Expected SARSA,BUY,1788.8,4,92881.05100000002,100096.65100000003,0.0005858891289472659,1
2025-04-24,SUN,Expected SARSA,BUY,1803.9,5,91075.34710000003,100012.34710000003,-0.0008422249811334742,1
2025-04-25,SUN,Expected SARSA,BUY,1787.4,6,89286.15970000003,100335.75970000002,0.0032337267285270613,1
2025-04-28,SUN,Expected SARSA,BUY,1841.6,7,87442.71810000003,100081.21810000003,-0.002536898118488027,1
2025-04-29,SUN,Expected SARSA,BUY,1805.5,8,85635.41260000003,100293.81260000002,0.0021242197490798915,1
2025-04-30,SUN,Expected SARSA,SELL,1832.3,7,87465.88030000002,100271.68030000002,-0.00022067463013164464,1
2025-05-02,SUN,Expected SARSA,BUY,1829.4,8,85634.65090000002,100327.45090000003,0.000556194927951192,1
2025-05-05,SUN,Expected SARSA,SELL,1836.6,7,87469.41430000002,100203.11430000002,-0.0012393078752089535,1
2025-05-06,SUN,Expected SARSA,SELL,1819.1,6,89286.69520000002,99974.49520000002,-0.002281556831811925,1
2025-05-07,SUN,Expected SARSA,BUY,1781.3,7,87503.61390000001,99874.0139,-0.0010050693409254044,1
2025-05-08,SUN,Expected SARSA,BUY,1767.2,8,85734.64670000001,99693.0467,-0.001811954811200385,1
2025-05-09,SUN,Expected SARSA,SELL,1744.8,7,87477.70190000001,99281.10190000001,-0.004132131714658465,1
2025-05-12,SUN,Expected SARSA,SELL,1686.2,6,89162.21570000002,99362.21570000002,0.0008170114800066139,1
2025-05-13,SUN,Expected SARSA,SELL,1700.0,5,90860.51570000002,99401.51570000002,0.0003955225809241179,1
2025-05-14,SUN,Expected SARSA,SELL,1708.2,4,92567.00750000002,99527.40750000002,0.0012664977904355797,1
2025-05-15,SUN,Expected SARSA,SELL,1740.1,3,94305.36740000002,99510.06740000001,-0.00017422437131200524,1
2025-05-16,SUN,Expected SARSA,SELL,1734.9,2,96038.53250000002,99498.93250000001,-0.0001118972209640425,1
2025-05-19,SUN,Expected SARSA,SELL,1730.2,1,97767.00230000002,99474.80230000002,-0.00024251717474441296,1
