Date,Company,Algorithm,Action,Price,Shares,Cash,Portfolio_Value,Reward,Position
2025-01-01,SUN,Monte Carlo,BUY,1889.95,1,98108.16005,99986.16005,-0.00013839949999994134,1
2025-01-03,SUN,Monte Carlo,SELL,1849.65,0,99955.96040000001,99955.96040000001,-1.8504306957745285e-05,0
2025-01-06,SUN,Monte Carlo,BUY,1847.4,1,98106.71300000002,99960.11300000001,4.154429594176814e-05,1
2025-01-07,SUN,Monte Carlo,SELL,1853.4,0,99958.25960000002,99958.25960000002,-1.854139560639241e-05,0
2025-01-08,SUN,Monte Carlo,BUY,1837.75,1,98118.67185000001,99945.02185000002,-0.00013243277797125863,1
2025-01-09,SUN,Monte Carlo,BUY,1826.35,2,96290.49550000002,99860.09550000002,-0.0008497306662002021,1
2025-01-10,SUN,Monte Carlo,BUY,1784.8,3,94503.91070000002,99744.61070000002,-0.001156465947902139,1
2025-01-13,SUN,Monte Carlo,BUY,1746.9,4,92755.26380000002,99838.66380000001,0.0009429391657346963,1
2025-01-14,SUN,Monte Carlo,BUY,1770.85,5,90982.64295000001,99766.89295000001,-0.0007188682947898266,1
2025-01-15,SUN,Monte Carlo,BUY,1756.85,6,89224.03610000001,99803.83610000001,0.0003702946830119402,1
2025-01-22,SUN,Monte Carlo,BUY,1798.95,7,87423.28715000002,100258.48715000002,0.002407083577249717,1
2025-01-23,SUN,Monte Carlo,SELL,1833.6,6,89255.05355000001,100188.25355000001,-0.0007005252322920857,1
2025-01-24,SUN,Monte Carlo,SELL,1822.2,5,91075.43135000001,100009.68135000001,-0.0017823666315420572,1
2025-01-27,SUN,Monte Carlo,BUY,1786.85,6,89286.79450000002,99519.79450000002,-0.004898394269306361,1
2025-01-28,SUN,Monte Carlo,BUY,1705.5,7,87579.58900000002,99727.03900000002,0.002082445015498908,1
2025-02-07,SUN,Monte Carlo,BUY,1749.8,8,85828.03920000003,99684.83920000003,-0.0014359651460770894,1
2025-02-10,SUN,Monte Carlo,BUY,1732.1,9,84094.20710000003,99391.95710000003,-0.002938080678571255,1
2025-02-27,SUN,Monte Carlo,BUY,1647.5,10,82445.05960000002,98377.55960000002,-0.005500789623959151,1
2025-03-04,SUN,Monte Carlo,BUY,1566.5,11,80876.99310000002,98283.94310000002,0.0017723309995828016,1
2025-03-05,SUN,Monte Carlo,BUY,1582.45,12,79292.96065000002,98660.96065000002,0.003836003502793978,1
2025-03-06,SUN,Monte Carlo,BUY,1614.0,13,77677.34665000002,98598.24665000002,-0.0006356516253929989,1
2025-03-10,SUN,Monte Carlo,BUY,1611.5,14,76064.23515000002,99238.43515000002,0.006201034715936524,1
2025-03-11,SUN,Monte Carlo,BUY,1655.3,15,74407.27985000002,99560.02985000002,0.003240626472131563,1
2025-03-12,SUN,Monte Carlo,BUY,1676.85,16,72728.75300000003,99663.95300000002,0.0010438240140805094,1
2025-03-13,SUN,Monte Carlo,BUY,1683.45,17,71043.61955000003,100016.71955000004,0.0035395600854806024,1
2025-03-17,SUN,Monte Carlo,SELL,1704.3,16,72746.21525000004,100711.01525000004,0.006941796362886231,1
2025-03-18,SUN,Monte Carlo,SELL,1747.8,15,74492.26745000004,100477.51745000004,-0.002318493160061727,1
2025-03-19,SUN,Monte Carlo,SELL,1732.35,14,76222.88510000004,100726.38510000004,0.002476849113273947,1
2025-03-20,SUN,Monte Carlo,SELL,1750.25,13,77971.38485000005,101169.88485000005,0.004403014657576572,1
2025-04-01,SUN,Monte Carlo,SELL,1698.35,12,79668.03650000005,100231.83650000005,0.0018181086301826783,1
2025-04-02,SUN,Monte Carlo,SELL,1713.65,11,81379.97285000005,100849.97285000005,0.006167065990055968,1
2025-04-03,SUN,Monte Carlo,SELL,1770.0,10,83148.20285000005,100241.70285000005,-0.0060314344447540795,1
2025-04-17,SUN,Monte Carlo,BUY,1751.5,11,81394.95135000005,100588.85135000004,-0.0007386164744906512,1
2025-04-21,SUN,Monte Carlo,BUY,1744.9,12,79648.30645000005,100617.10645000005,0.00028089693460854294,1
2025-04-22,SUN,Monte Carlo,BUY,1747.4,13,77899.15905000005,101153.55905000004,0.005331624203152478,1
2025-04-23,SUN,Monte Carlo,BUY,1788.8,14,76108.57025000005,101363.17025000005,0.0020722078587111646,1
2025-04-24,SUN,Monte Carlo,BUY,1803.9,15,74302.86635000005,101113.86635000005,-0.002459511668637839,1
2025-04-25,SUN,Monte Carlo,BUY,1787.4,16,72513.67895000006,101979.27895000007,0.008558792490482291,1
2025-04-28,SUN,Monte Carlo,BUY,1841.6,17,70670.23735000005,101363.73735000005,-0.006035947756620326,1
2025-04-29,SUN,Monte Carlo,BUY,1805.5,18,68862.93185000005,101844.33185000005,0.004741286307750685,1
2025-05-02,SUN,Monte Carlo,BUY,1829.4,19,67031.70245000006,101927.10245000006,0.0013259433469660698,1
2025-05-07,SUN,Monte Carlo,BUY,1781.3,20,65248.62115000006,100592.62115000005,-0.0028131584107656906,1
2025-05-08,SUN,Monte Carlo,BUY,1767.2,21,63479.65395000006,100120.45395000005,-0.004693855221208698,1
2025-05-19,SUN,Monte Carlo,BUY,1730.2,22,61747.723750000056,99319.32375000005,-0.004954524651935935,1
2025-05-20,SUN,Monte Carlo,BUY,1707.8,23,60038.215950000056,99869.61595000006,0.0055406357919348045,1
2025-05-22,SUN,Monte Carlo,BUY,1718.7,24,58317.797250000054,98724.19725000006,-0.008477784242367628,1
2025-05-27,SUN,Monte Carlo,BUY,1683.4,25,56632.71385000005,98292.71385000006,-0.004322184007257081,1
2025-05-28,SUN,Monte Carlo,BUY,1666.4,26,54964.64745000005,99159.44745000004,0.008817882486413587,1
2025-05-29,SUN,Monte Carlo,BUY,1699.8,27,53263.14765000005,98558.34765000004,-0.006061951891201226,1
2025-05-30,SUN,Monte Carlo,BUY,1677.6,28,51583.87005000005,98472.67005000004,-0.0008693084050501064,1
2025-06-02,SUN,Monte Carlo,BUY,1674.6,29,49907.59545000005,98265.09545000005,-0.002107941217543868,1
2025-06-03,SUN,Monte Carlo,BUY,1667.5,30,48238.42795000005,98185.42795000004,-0.0008107405751266732,1
2025-06-04,SUN,Monte Carlo,BUY,1664.9,31,46571.86305000005,98747.96305000005,0.005729313521823968,1
2025-06-05,SUN,Monte Carlo,BUY,1683.1,32,44887.07995000005,98621.47995000005,-0.0012808679398880784,1
2025-06-06,SUN,Monte Carlo,BUY,1679.2,33,43206.20075000005,99121.40075000006,0.005069086371989765,1
2025-06-09,SUN,Monte Carlo,BUY,1694.4,34,41510.106350000045,98929.30635000004,-0.001937970998659603,1
2025-06-10,SUN,Monte Carlo,BUY,1688.8,35,39819.617550000046,98990.61755000005,0.000619747598179849,1
2025-06-11,SUN,Monte Carlo,BUY,1690.6,36,38127.326950000046,98873.72695000004,-0.001180825040726431,1
2025-06-12,SUN,Monte Carlo,BUY,1687.4,37,36438.23955000005,98886.83955000005,0.00013261965948384487,1
2025-06-13,SUN,Monte Carlo,BUY,1687.8,38,34748.75175000005,98790.15175000005,-0.0009777620605531795,1
2025-06-16,SUN,Monte Carlo,BUY,1685.3,39,33061.76645000005,97419.56645000004,-0.013873703762176936,1
2025-06-17,SUN,Monte Carlo,BUY,1650.2,40,31409.916250000046,97329.91625000004,-0.0009202483984161032,1
2025-06-19,SUN,Monte Carlo,BUY,1647.6,41,29760.668650000047,98029.76865000004,0.007356115420953507,1
2025-06-20,SUN,Monte Carlo,BUY,1665.1,42,28093.903550000046,97918.90355000005,-0.0011309329964433756,1
2025-06-23,SUN,Monte Carlo,BUY,1662.5,43,26429.741050000048,97882.84105000005,-0.00036828945885393325,1
2025-06-24,SUN,Monte Carlo,BUY,1661.7,44,24766.379350000047,98228.77935000004,0.0035342077966789274,1
2025-06-25,SUN,Monte Carlo,BUY,1669.6,45,23095.109750000047,98236.10975000005,7.462578735593532e-05,1
2025-06-26,SUN,Monte Carlo,BUY,1669.8,46,21423.639950000048,99053.23995000005,0.008318022793039188,1
2025-06-27,SUN,Monte Carlo,SELL,1687.6,45,23109.55235000005,98516.05235000004,-0.005423220888798444,1
2025-06-30,SUN,Monte Carlo,SELL,1675.7,44,24783.57665000005,98140.37665000005,-0.0038133450441692647,1
2025-07-01,SUN,Monte Carlo,BUY,1667.2,45,23114.70945000005,98602.20945000005,0.0047058388785998564,1
2025-07-02,SUN,Monte Carlo,SELL,1677.5,44,24790.531950000048,98697.33195000005,0.000964709619901906,1
2025-07-03,SUN,Monte Carlo,SELL,1679.7,43,26468.552250000048,98549.45225000005,-0.0014983150717277813,1
2025-07-04,SUN,Monte Carlo,SELL,1676.3,42,28143.175950000048,98698.97595000005,0.001517245368555614,1
2025-07-07,SUN,Monte Carlo,SELL,1679.9,41,29821.396050000047,98393.89605000004,-0.003091013833360967,1
2025-07-08,SUN,Monte Carlo,SELL,1672.5,40,31492.223550000046,98268.22355000005,-0.0012772387825371204,1
2025-07-09,SUN,Monte Carlo,BUY,1669.4,41,29821.154150000046,97983.65415000005,-0.002895843536392161,1
2025-07-10,SUN,Monte Carlo,BUY,1662.5,42,28156.991650000047,98380.99165000004,0.0040551406604179396,1
2025-07-11,SUN,Monte Carlo,SELL,1672.0,41,29827.31965000005,98813.91965000004,0.0044005248650083074,1
2025-07-14,SUN,Monte Carlo,SELL,1682.6,40,31508.237050000047,100608.23705000005,0.01815854898131261,1
2025-07-16,SUN,Monte Carlo,SELL,1701.0,39,33207.536050000046,99640.13605000006,0.0009231604970949593,1
2025-07-17,SUN,Monte Carlo,SELL,1703.4,38,34909.23265000005,99266.03265000004,-0.0037545452548588885,1
2025-07-18,SUN,Monte Carlo,SELL,1693.6,37,36601.13905000005,99216.23905000005,-0.0005016177102146929,1
2025-07-21,SUN,Monte Carlo,SELL,1692.3,36,38291.74675000005,98699.74675000005,-0.005205723427388853,1
2025-07-22,SUN,Monte Carlo,BUY,1678.0,37,36612.06875000005,98864.56875000005,0.0016699333628229398,1
2025-07-23,SUN,Monte Carlo,BUY,1682.5,38,34927.88625000005,99223.88625000004,0.003634441585524945,1
2025-07-24,SUN,Monte Carlo,SELL,1692.0,37,36618.194250000044,99481.19425000004,0.0025932062301178456,1
2025-07-25,SUN,Monte Carlo,SELL,1699.0,36,38315.49525000004,99594.69525000005,0.001140929206325886,1
2025-07-28,SUN,Monte Carlo,SELL,1702.2,35,40015.99305000004,99883.49305000005,0.0028997307464525843,1
2025-07-29,SUN,Monte Carlo,SELL,1710.5,34,41724.78255000004,100673.98255000004,0.007914115494582171,1
2025-07-31,SUN,Monte Carlo,SELL,1706.7,33,43429.77585000004,97209.87585000004,-0.02549013403964255,1
2025-08-01,SUN,Monte Carlo,BUY,1629.7,34,41798.44615000004,97612.84615000003,0.004145363796388247,1
2025-08-04,SUN,Monte Carlo,BUY,1641.6,35,40155.20455000004,97278.70455000004,-0.0034231314133235935,1
2025-08-05,SUN,Monte Carlo,BUY,1632.1,36,38521.47245000004,95948.67245000004,-0.01367238704660563,1
2025-08-11,SUN,Monte Carlo,BUY,1608.4,37,36911.46405000004,96932.86405000003,0.005278688638686734,1
2025-08-12,SUN,Monte Carlo,BUY,1622.2,38,35287.641850000036,97600.04185000004,0.006882885454161969,1
2025-08-13,SUN,Monte Carlo,BUY,1639.8,39,33646.202050000036,97660.80205000004,0.0006225427658462037,1
2025-08-14,SUN,Monte Carlo,BUY,1641.4,40,32003.160650000038,97311.16065000003,-0.0035801610539815095,1
2025-08-18,SUN,Monte Carlo,BUY,1632.7,41,30368.82795000004,97059.42795000003,-0.002586884159211882,1
2025-08-19,SUN,Monte Carlo,BUY,1626.6,42,28740.60135000004,97330.80135000004,0.0027959509522331905,1
2025-08-20,SUN,Monte Carlo,BUY,1633.1,43,27105.86825000004,97634.46825000005,0.0031199465717746395,1
2025-08-21,SUN,Monte Carlo,BUY,1640.2,44,25464.02805000004,97703.22805000003,0.0007042574331835441,1
2025-08-22,SUN,Monte Carlo,BUY,1641.8,45,23820.58625000004,98372.08625000004,0.006845814752995791,1
2025-08-25,SUN,Monte Carlo,SELL,1656.7,44,25475.62955000004,95888.82955000004,-0.025243509563161237,1
2025-08-26,SUN,Monte Carlo,BUY,1600.3,45,23873.72925000004,95230.22925000003,-0.00686837354351673,1
2025-08-28,SUN,Monte Carlo,BUY,1585.7,46,22286.44355000004,95633.44355000004,0.004234099856480255,1
